#1
# Test reference year Source: DWD								
double	tab1(8761,9)	
						
# Latitude 50.94  Longitude 6.96
# I_BN is not part of the TRY weather file and was calculated based on angular relationships
								
#Time	T	phi	I_GH	I_BN	I_DH	C_B	T_Tau	v_Win
0	7.1	0.8	0	0	0	8	0	2.9
3600	5.3	0.82	0	0	0	7	1	2.5
7200	4	0.83	0	0	0	6	2	2.2
10800	3.8	0.83	0	0	0	5	3	2.2
14400	3.5	0.83	0	0	0	5	4	2.1
18000	3.3	0.84	0	0	0	4	5	2.5
21600	2.8	0.84	0	0	0	5	6	2
25200	3.4	0.82	0	0	0	6	7	1.9
28800	3.3	0.81	0	0	0	6	8	1.9
32400	3.3	0.81	40	20	38	7	9	2.9
36000	3.2	0.81	80	23.908016	76	5	10	3.5
39600	3.4	0.79	104	21.011894	99	5	11	4.4
43200	3.3	0.77	108	14.701011	104	4	12	4.3
46800	2.4	0.79	59	0	59	6	13	5
50400	1.5	0.84	38	0	38	6	14	5.2
54000	2.3	0.81	27	0	27	6	15	5.4
57600	2.4	0.72	11	10	10	6	16	4.9
61200	1	0.74	0	0	0	6	17	5.9
64800	0.7	0.83	0	0	0	8	18	4.1
68400	0.8	0.86	0	0	0	6	19	4.4
72000	0.9	0.84	0	0	0	5	20	4.9
75600	1	0.82	0	0	0	7	21	4.8
79200	1.2	0.82	0	0	0	7	22	5.3
82800	0.5	0.86	0	0	0	7	23	5.3
86400	0.9	0.89	0	0	0	8	24	5
90000	1.1	0.87	0	0	0	7	25	4
93600	1.3	0.86	0	0	0	6	26	4.6
97200	1.3	0.85	0	0	0	6	27	4.1
100800	1.1	0.85	0	0	0	4	28	6
104400	1.2	0.85	0	0	0	4	29	6.8
108000	1.2	0.86	0	0	0	6	30	6.4
111600	0.9	0.89	0	0	0	8	31	5.1
115200	1.1	0.9	0	0	0	8	32	5.9
118800	0.9	0.91	17	0	17	7	33	6.8
122400	1.4	0.92	46	0	46	6	34	6.1
126000	2	0.9	107	66.98435	91	5	35	5.9
129600	2.2	0.89	56	0	56	6	36	5.1
133200	1.5	0.9	31	0	31	7	37	2.6
136800	1.6	0.91	27	0	27	8	38	2.7
140400	1.6	0.91	15	0	15	8	39	3
144000	1.9	0.91	1	0	1	8	40	2.8
147600	2	0.89	0	0	0	8	41	3.1
151200	2.1	0.88	0	0	0	7	42	3.3
154800	2.1	0.87	0	0	0	6	43	3
158400	1.9	0.87	0	0	0	6	44	3
162000	2.2	0.86	0	0	0	7	45	3.2
165600	2.1	0.86	0	0	0	7	46	3.5
169200	2	0.85	0	0	0	6	47	2.6
172800	1.8	0.85	0	0	0	7	48	2.2
176400	1.7	0.86	0	0	0	7	49	2.2
180000	1.8	0.86	0	0	0	7	50	1.5
183600	1.4	0.86	0	0	0	7	51	1
187200	1.4	0.87	0	0	0	8	52	1.4
190800	1.4	0.88	0	0	0	8	53	0.8
194400	1.2	0.88	0	0	0	8	54	0.8
198000	0.9	0.88	0	0	0	8	55	2.1
201600	1.2	0.85	0	0	0	8	56	1.8
205200	0.9	0.82	30	0	30	8	57	1.8
208800	1	0.82	60	0	60	7	58	1.5
212400	1.4	0.82	54	0	54	7	59	1.2
216000	1.5	0.8	57	0	57	8	60	1.3
219600	1.3	0.79	50	0	50	8	61	1.8
223200	1.6	0.78	49	0	49	7	62	2.1
226800	1.3	0.79	39	13.763866	37	7	63	0.9
230400	1	0.8	7	0	7	5	64	1.4
234000	0	0.82	0	0	0	4	65	0.7
237600	-0.5	0.82	0	0	0	0	66	0.9
241200	-0.6	0.8	0	0	0	1	67	1.2
244800	-1.1	0.8	0	0	0	1	68	1.1
248400	-2.6	0.82	0	0	0	1	69	1
252000	-2	0.83	0	0	0	1	70	0.1
255600	-2.3	0.82	0	0	0	0	71	1.1
259200	-3.1	0.83	0	0	0	1	72	0.7
262800	-3.3	0.82	0	0	0	2	73	1.2
266400	-4.2	0.82	0	0	0	1	74	0.8
270000	-4	0.81	0	0	0	1	75	1.1
273600	-4.6	0.84	0	0	0	1	76	0.6
277200	-3.8	0.84	0	0	0	0	77	0.7
280800	-4.1	0.82	0	0	0	2	78	0.8
284400	-4.3	0.82	0	0	0	0	79	0.6
288000	-4.9	0.79	0	0	0	1	80	1
291600	-4.5	0.77	66	260	40	0	81	0.8
295200	-3.4	0.78	169	602.45087	67	0	82	1
298800	-2.1	0.77	250	751.985	69	0	83	1.1
302400	-1.2	0.72	285	805.7217	63	0	84	1.3
306000	-0.2	0.64	269	771.50214	60	0	85	0.5
309600	0	0.59	201	642.81055	55	0	86	1.1
313200	-0.2	0.56	103	426.51193	40	0	87	0.6
316800	-1.5	0.57	12	40	8	0	88	0.9
320400	-2	0.59	0	0	0	0	89	1.4
324000	-2.2	0.61	0	0	0	1	90	0.6
327600	-3.1	0.61	0	0	0	1	91	1
331200	-3	0.65	0	0	0	2	92	1.5
334800	-2.8	0.66	0	0	0	0	93	1.4
338400	-3.1	0.63	0	0	0	0	94	1.4
342000	-3.7	0.65	0	0	0	2	95	2
345600	-3.8	0.67	0	0	0	0	96	1.8
349200	-4.1	0.68	0	0	0	0	97	1.3
352800	-4.6	0.7	0	0	0	0	98	1
356400	-4.3	0.69	0	0	0	0	99	1.4
360000	-5.3	0.71	0	0	0	0	100	1.3
363600	-5.6	0.75	0	0	0	0	101	1.3
367200	-5.3	0.73	0	0	0	0	102	1
370800	-5.4	0.71	0	0	0	1	103	1.1
374400	-6.4	0.73	1	0	1	1	104	1
378000	-6	0.74	64	240	40	0	105	1.3
381600	-4.4	0.7	155	476.86105	74	0	106	1.9
385200	-3.5	0.66	231	611.0528	83	0	107	1.7
388800	-3.1	0.63	264	664.532	80	0	108	1.4
392400	-2.7	0.61	251	660.1273	71	0	109	2.1
396000	-2.3	0.59	183	527.77234	62	0	110	2.2
399600	-2.4	0.58	96	367.52124	41	1	111	1.8
403200	-3	0.58	13	50	8	3	112	1.9
406800	-3.5	0.61	0	0	0	4	113	2.1
410400	-2.9	0.61	0	0	0	2	114	1.9
414000	-3.2	0.6	0	0	0	2	115	1.6
417600	-2.8	0.59	0	0	0	2	116	2.2
421200	-3.1	0.58	0	0	0	2	117	2.3
424800	-2.8	0.59	0	0	0	2	118	2.8
428400	-3.1	0.59	0	0	0	3	119	2.3
432000	-2.8	0.59	0	0	0	4	120	3.6
435600	-3.4	0.6	0	0	0	5	121	3.3
439200	-3.5	0.62	0	0	0	6	122	2.8
442800	-3.6	0.63	0	0	0	7	123	3.4
446400	-3.8	0.63	0	0	0	6	124	1.9
450000	-4	0.65	0	0	0	7	125	2.4
453600	-4.3	0.68	0	0	0	7	126	1.8
457200	-4.2	0.68	0	0	0	6	127	3
460800	-4.6	0.68	0	0	0	6	128	2.3
464400	-4.7	0.7	22	0	22	8	129	2.3
468000	-4	0.7	57	0	57	7	130	1.8
471600	-3.8	0.69	79	4.112679	78	7	131	1.8
475200	-3.5	0.69	77	0	77	7	132	2.2
478800	-3.4	0.68	53	0	53	8	133	2
482400	-3.3	0.69	49	0	49	8	134	1
486000	-3.5	0.72	21	0	21	8	135	2.2
489600	-3	0.74	2	0	2	8	136	1.7
493200	-2.5	0.73	0	0	0	8	137	1.9
496800	-2.3	0.73	0	0	0	8	138	1.4
500400	-2.2	0.73	0	0	0	8	139	0.8
504000	-1.9	0.73	0	0	0	7	140	0.9
507600	-2	0.75	0	0	0	8	141	1
