#1
# Typical meterological year Source: DOE/ASHRAE2015
double	default(8760, 2) # Time [s], DHI [W/m2], from IWEC file (EnergyPlus weather files, published in eere.energy.gov
0	0
3600	0
7200	0
10800	0
14400	0
18000	0
21600	0
25200	0
28800	0
32400	8
36000	25
39600	37
43200	40
46800	35
50400	21
54000	6
57600	0
61200	0
64800	0
68400	0
72000	0
75600	0
79200	0
82800	0
86400	0
90000	0
93600	0
97200	0
100800	0
104400	0
108000	0
111600	0
115200	1
118800	30
122400	54
126000	85
129600	93
133200	82
136800	53
140400	11
144000	0
147600	0
151200	0
154800	0
158400	0
162000	0
165600	0
169200	0
172800	0
176400	0
180000	0
183600	0
187200	0
190800	0
194400	0
198000	0
201600	0
205200	16
208800	54
212400	79
216000	96
219600	86
223200	65
226800	24
230400	0
234000	0
237600	0
241200	0
244800	0
248400	0
252000	0
255600	0
259200	0
262800	0
266400	0
270000	0
273600	0
277200	0
280800	0
284400	0
288000	1
291600	30
295200	88
298800	71
302400	80
306000	92
309600	56
313200	23
316800	0
320400	0
324000	0
327600	0
331200	0
334800	0
338400	0
342000	0
345600	0
349200	0
352800	0
356400	0
360000	0
363600	0
367200	0
370800	0
374400	2
378000	22
381600	48
385200	89
388800	95
392400	68
396000	42
399600	13
403200	0
406800	0
410400	0
414000	0
417600	0
421200	0
424800	0
428400	0
432000	0
435600	0
439200	0
442800	0
446400	0
450000	0
453600	0
457200	0
460800	1
464400	16
468000	48
471600	71
475200	79
478800	68
482400	23
486000	7
489600	0
493200	0
496800	0
500400	0
504000	0
507600	0
511200	0
514800	0
518400	0
522000	0
525600	0
529200	0
532800	0
536400	0
540000	0
543600	0
547200	1
550800	9
554400	26
558000	39
561600	44
565200	38
568800	24
572400	7
576000	0
579600	0
583200	0
586800	0
590400	0
594000	0
597600	0
601200	0
604800	0
608400	0
612000	0
615600	0
619200	0
622800	0
626400	0
630000	0
633600	1
637200	9
640800	27
644400	40
648000	81
651600	39
655200	25
658800	14
662400	0
