#1	
double default(8761,2)	
#	
#Time	Irradiation
#	
#Radiation on tilted surface, Tilt=35, Azimuth=0	
#	
0	0.0
3600	0.0
7200	0.0
10800	0.0
14400	0.0
18000	0.0
21600	0.0
25200	0.0
28800	0.0
32400	48.6
36000	104.9
39600	144.5
43200	153.5
46800	79.9
50400	48.3
54000	30.7
57600	9.9
61200	0.0
64800	0.0
68400	0.0
72000	0.0
75600	0.0
79200	0.0
82800	0.0
86400	0.0
90000	0.0
93600	0.0
97200	0.0
100800	0.0
104400	0.0
108000	0.0
111600	0.0
115200	0.0
118800	18.9
122400	57.0
126000	162.0
129600	76.6
133200	41.8
136800	34.3
140400	17.0
144000	0.9
147600	0.0
151200	0.0
154800	0.0
158400	0.0
162000	0.0
165600	0.0
169200	0.0
172800	0.0
176400	0.0
180000	0.0
183600	0.0
187200	0.0
190800	0.0
194400	0.0
198000	0.0
201600	0.0
205200	33.6
208800	74.4
212400	71.5
216000	78.0
219600	67.7
223200	62.6
226800	59.7
230400	6.9
234000	0.0
237600	0.0
241200	0.0
244800	0.0
248400	0.0
252000	0.0
255600	0.0
259200	0.0
262800	0.0
266400	0.0
270000	0.0
273600	0.0
277200	0.0
280800	0.0
284400	0.0
288000	0.0
291600	120.9
295200	346.5
298800	551.1
302400	677.1
306000	706.7
309600	630.5
313200	573.7
316800	8.0
320400	0.0
324000	0.0
327600	0.0
331200	0.0
334800	0.0
338400	0.0
342000	0.0
345600	0.0
349200	0.0
352800	0.0
356400	0.0
360000	0.0
363600	0.0
367200	0.0
370800	0.0
374400	0.9
378000	114.6
381600	300.0
385200	484.3
388800	597.1
392400	631.8
396000	539.1
399600	492.5
403200	8.0
406800	0.0
410400	0.0
414000	0.0
417600	0.0
421200	0.0
424800	0.0
428400	0.0
432000	0.0
435600	0.0
439200	0.0
442800	0.0
446400	0.0
450000	0.0
453600	0.0
457200	0.0
460800	0.0
464400	24.5
468000	70.6
471600	106.1
475200	105.6
478800	72.0
482400	62.8
486000	24.0
489600	1.9
493200	0.0
496800	0.0
500400	0.0
504000	0.0
507600	0.0
511200	0.0
514800	0.0
518400	0.0
522000	0.0
525600	0.0
529200	0.0
532800	0.0
536400	0.0
540000	0.0
543600	0.0
547200	0.0
550800	27.9
554400	56.9
558000	83.6
561600	56.0
565200	37.8
568800	39.7
572400	22.9
576000	3.9
579600	0.0
583200	0.0
586800	0.0
590400	0.0
594000	0.0
597600	0.0
601200	0.0
604800	0.0
608400	0.0
612000	0.0
615600	0.0
619200	0.0
622800	0.0
626400	0.0
630000	0.0
633600	0.9
637200	45.4
640800	96.9
644400	123.2
648000	185.8
651600	244.9
655200	247.0
658800	103.2
662400	3.9
666000	0.0
669600	0.0
673200	0.0
676800	0.0
680400	0.0
684000	0.0
687600	0.0
691200	0.0
694800	0.0
698400	0.0
702000	0.0
705600	0.0
709200	0.0
712800	0.0
716400	0.0
720000	0.0
723600	13.3
727200	71.9
730800	148.0
734400	130.4
738000	94.1
741600	70.9
745200	24.1
748800	5.0
752400	0.0
756000	0.0
759600	0.0
763200	0.0
766800	0.0
770400	0.0
774000	0.0
777600	0.0
781200	0.0
784800	0.0
788400	0.0
792000	0.0
795600	0.0
799200	0.0
802800	0.0
806400	0.9
810000	83.9
813600	128.0
817200	157.2
820800	346.1
824400	186.9
828000	116.0
831600	106.8
835200	6.0
838800	0.0
842400	0.0
846000	0.0
849600	0.0
853200	0.0
856800	0.0
860400	0.0
864000	0.0
867600	0.0
871200	0.0
874800	0.0
878400	0.0
882000	0.0
885600	0.0
889200	0.0
892800	1.9
896400	78.1
900000	202.2
903600	369.3
907200	406.2
910800	402.0
914400	241.7
918000	149.6
921600	6.0
925200	0.0
928800	0.0
932400	0.0
936000	0.0
939600	0.0
943200	0.0
946800	0.0
950400	0.0
954000	0.0
957600	0.0
961200	0.0
964800	0.0
968400	0.0
972000	0.0
975600	0.0
979200	0.9
982800	45.3
986400	40.7
990000	288.3
993600	468.9
997200	477.3
1000800	325.3
1004400	283.6
1008000	11.1
1011600	0.0
1015200	0.0
1018800	0.0
1022400	0.0
1026000	0.0
1029600	0.0
1033200	0.0
1036800	0.0
1040400	0.0
1044000	0.0
1047600	0.0
1051200	0.0
1054800	0.0
1058400	0.0
1062000	0.0
1065600	0.9
1069200	74.8
1072800	188.7
1076400	426.3
1080000	449.9
1083600	234.9
1087200	396.7
1090800	328.2
1094400	10.1
1098000	0.0
1101600	0.0
1105200	0.0
1108800	0.0
1112400	0.0
1116000	0.0
1119600	0.0
1123200	0.0
1126800	0.0
1130400	0.0
1134000	0.0
1137600	0.0
1141200	0.0
1144800	0.0
1148400	0.0
1152000	0.9
1155600	47.4
1159200	50.7
1162800	99.7
1166400	85.2
1170000	73.9
1173600	46.6
1177200	27.9
1180800	4.0
1184400	0.0
1188000	0.0
1191600	0.0
1195200	0.0
1198800	0.0
1202400	0.0
1206000	0.0
1209600	0.0
1213200	0.0
1216800	0.0
1220400	0.0
1224000	0.0
1227600	0.0
1231200	0.0
1234800	0.0
1238400	0.0
1242000	41.4
1245600	124.8
1249200	298.5
1252800	222.5
1256400	160.9
1260000	120.4
1263600	127.4
1267200	13.2
1270800	0.0
1274400	0.0
1278000	0.0
1281600	0.0
1285200	0.0
1288800	0.0
1292400	0.0
1296000	0.0
1299600	0.0
1303200	0.0
1306800	0.0
1310400	0.0
1314000	0.0
1317600	0.0
1321200	0.0
1324800	1.9
1328400	56.0
1332000	159.6
1335600	435.1
1339200	603.5
1342800	622.8
1346400	547.9
1350000	461.9
1353600	16.3
1357200	0.0
1360800	0.0
1364400	0.0
1368000	0.0
1371600	0.0
1375200	0.0
1378800	0.0
1382400	0.0
1386000	0.0
1389600	0.0
1393200	0.0
1396800	0.0
1400400	0.0
1404000	0.0
1407600	0.0
1411200	2.9
1414800	116.8
1418400	336.2
1422000	512.1
1425600	613.2
1429200	637.6
1432800	561.8
1436400	329.8
1440000	15.3
1443600	0.0
1447200	0.0
1450800	0.0
1454400	0.0
1458000	0.0
1461600	0.0
1465200	0.0
1468800	0.0
1472400	0.0
1476000	0.0
1479600	0.0
1483200	0.0
1486800	0.0
1490400	0.0
1494000	0.0
1497600	0.9
1501200	24.5
1504800	42.0
1508400	47.6
1512000	60.5
1515600	68.6
1519200	44.2
1522800	15.1
1526400	2.9
1530000	0.0
1533600	0.0
1537200	0.0
1540800	0.0
1544400	0.0
1548000	0.0
1551600	0.0
1555200	0.0
1558800	0.0
1562400	0.0
1566000	0.0
1569600	0.0
1573200	0.0
1576800	0.0
1580400	0.0
1584000	2.9
1587600	128.8
1591200	206.9
1594800	468.5
1598400	570.1
1602000	559.3
1605600	479.6
1609200	230.7
1612800	18.5
1616400	0.0
1620000	0.0
1623600	0.0
1627200	0.0
1630800	0.0
1634400	0.0
1638000	0.0
1641600	0.0
1645200	0.0
1648800	0.0
1652400	0.0
1656000	0.0
1659600	0.0
1663200	0.0
1666800	0.0
1670400	0.9
1674000	20.0
1677600	68.2
1681200	145.5
1684800	149.4
1688400	77.1
1692000	47.0
1695600	75.8
1699200	9.2
1702800	0.0
1706400	0.0
1710000	0.0
1713600	0.0
1717200	0.0
1720800	0.0
1724400	0.0
1728000	0.0
1731600	0.0
1735200	0.0
1738800	0.0
1742400	0.0
1746000	0.0
1749600	0.0
1753200	0.0
1756800	5.9
1760400	157.0
1764000	353.1
1767600	555.6
1771200	587.8
1774800	600.6
1778400	429.0
1782000	287.7
1785600	17.5
1789200	0.0
1792800	0.0
1796400	0.0
1800000	0.0
1803600	0.0
1807200	0.0
1810800	0.0
1814400	0.0
1818000	0.0
1821600	0.0
1825200	0.0
1828800	0.0
1832400	0.0
1836000	0.0
1839600	0.0
1843200	3.9
1846800	26.8
1850400	49.5
1854000	98.5
1857600	77.2
1861200	52.2
1864800	74.9
1868400	47.4
1872000	8.2
1875600	0.0
1879200	0.0
1882800	0.0
1886400	0.0
1890000	0.0
1893600	0.0
1897200	0.0
1900800	0.0
1904400	0.0
1908000	0.0
1911600	0.0
1915200	0.0
1918800	0.0
1922400	0.0
1926000	0.0
1929600	19.8
1933200	199.6
1936800	415.9
1940400	322.2
1944000	260.7
1947600	94.0
1951200	223.1
1954800	533.1
1958400	21.7
1962000	0.0
1965600	0.0
1969200	0.0
1972800	0.0
1976400	0.0
1980000	0.0
1983600	0.0
1987200	0.0
1990800	0.0
1994400	0.0
1998000	0.0
2001600	0.0
2005200	0.0
2008800	0.0
2012400	0.0
2016000	6.9
2019600	54.0
2023200	260.6
2026800	126.2
2030400	130.1
2034000	130.0
2037600	83.1
2041200	48.8
2044800	16.5
2048400	0.0
2052000	0.0
2055600	0.0
2059200	0.0
2062800	0.0
2066400	0.0
2070000	0.0
2073600	0.0
2077200	0.0
2080800	0.0
2084400	0.0
2088000	0.0
2091600	0.0
2095200	0.0
2098800	0.0
2102400	3.9
2106000	35.8
2109600	58.3
2113200	71.8
2116800	105.1
2120400	128.2
2124000	73.9
2127600	30.9
2131200	10.3
2134800	0.0
2138400	0.0
2142000	0.0
2145600	0.0
2149200	0.0
2152800	0.0
2156400	0.0
2160000	0.0
2163600	0.0
2167200	0.0
2170800	0.0
2174400	0.0
2178000	0.0
2181600	0.0
2185200	0.0
2188800	3.9
2192400	35.8
2196000	89.5
2199600	98.6
2203200	99.6
2206800	106.8
2210400	160.1
2214000	170.5
2217600	19.7
2221200	0.0
2224800	0.0
2228400	0.0
2232000	0.0
2235600	0.0
2239200	0.0
2242800	0.0
2246400	0.0
2250000	0.0
2253600	0.0
2257200	0.0
2260800	0.0
2264400	0.0
2268000	0.0
2271600	0.0
2275200	5.9
2278800	160.8
2282400	293.7
2286000	343.2
2289600	409.4
2293200	382.9
2296800	262.4
2300400	302.4
2304000	30.3
2307600	0.0
2311200	0.0
2314800	0.0
2318400	0.0
2322000	0.0
2325600	0.0
2329200	0.0
2332800	0.0
2336400	0.0
2340000	0.0
2343600	0.0
2347200	0.0
2350800	0.0
2354400	0.0
2358000	0.0
2361600	18.6
2365200	109.1
2368800	195.3
2372400	281.5
2376000	284.2
2379600	202.9
2383200	514.2
2386800	310.1
2390400	26.1
2394000	0.0
2397600	0.0
2401200	0.0
2404800	0.0
2408400	0.0
2412000	0.0
2415600	0.0
2419200	0.0
2422800	0.0
2426400	0.0
2430000	0.0
2433600	0.0
2437200	0.0
2440800	0.0
2444400	0.0
2448000	1.9
2451600	34.8
2455200	88.3
2458800	176.3
2462400	99.7
2466000	116.8
2469600	165.0
2473200	190.0
2476800	25.8
2480400	0.0
2484000	0.0
2487600	0.0
2491200	0.0
2494800	0.0
2498400	0.0
2502000	0.0
2505600	0.0
2509200	0.0
2512800	0.0
2516400	0.0
2520000	0.0
2523600	0.0
2527200	0.0
2530800	0.0
2534400	18.3
2538000	119.2
2541600	186.2
2545200	381.6
2548800	635.4
2552400	646.8
2556000	609.4
2559600	510.5
2563200	43.7
2566800	0.0
2570400	0.0
2574000	0.0
2577600	0.0
2581200	0.0
2584800	0.0
2588400	0.0
2592000	0.0
2595600	0.0
2599200	0.0
2602800	0.0
2606400	0.0
2610000	0.0
2613600	0.0
2617200	0.0
2620800	12.9
2624400	95.0
2628000	163.8
2631600	291.6
2635200	300.2
2638800	252.5
2642400	257.4
2646000	112.1
2649600	35.1
2653200	0.0
2656800	0.0
2660400	0.0
2664000	0.0
2667600	0.0
2671200	0.0
2674800	0.0
2678400	0.0
2682000	0.0
2685600	0.0
2689200	0.0
2692800	0.0
2696400	0.0
2700000	0.0
2703600	0.0
2707200	7.9
2710800	68.1
2714400	99.7
2718000	157.4
2721600	264.9
2725200	149.2
2728800	65.3
2732400	47.1
2736000	9.4
2739600	0.0
2743200	0.0
2746800	0.0
2750400	0.0
2754000	0.0
2757600	0.0
2761200	0.0
2764800	0.0
2768400	0.0
2772000	0.0
2775600	0.0
2779200	0.0
2782800	0.0
2786400	0.0
2790000	0.0
2793600	1.9
2797200	41.6
2800800	94.7
2804400	150.4
2808000	159.7
2811600	157.7
2815200	128.6
2818800	64.2
2822400	27.4
2826000	0.9
2829600	0.0
2833200	0.0
2836800	0.0
2840400	0.0
2844000	0.0
2847600	0.0
2851200	0.0
2854800	0.0
2858400	0.0
2862000	0.0
2865600	0.0
2869200	0.0
2872800	0.0
2876400	0.0
2880000	9.9
2883600	70.9
2887200	69.7
2890800	116.1
2894400	117.9
2898000	125.6
2901600	104.5
2905200	39.9
2908800	13.6
2912400	0.0
2916000	0.0
2919600	0.0
2923200	0.0
2926800	0.0
2930400	0.0
2934000	0.0
2937600	0.0
2941200	0.0
2944800	0.0
2948400	0.0
2952000	0.0
2955600	0.0
2959200	0.0
2962800	0.0
2966400	10.9
2970000	47.3
2973600	69.7
2977200	88.0
2980800	101.2
2984400	131.3
2988000	103.3
2991600	44.9
2995200	16.9
2998800	0.0
3002400	0.0
3006000	0.0
3009600	0.0
3013200	0.0
3016800	0.0
3020400	0.0
3024000	0.0
3027600	0.0
3031200	0.0
3034800	0.0
3038400	0.0
3042000	0.0
3045600	0.0
3049200	0.0
3052800	21.0
3056400	78.6
3060000	231.8
3063600	327.5
3067200	260.1
3070800	139.8
3074400	91.3
3078000	51.1
3081600	19.0
3085200	1.8
3088800	0.0
3092400	0.0
3096000	0.0
3099600	0.0
3103200	0.0
3106800	0.0
3110400	0.0
3114000	0.0
3117600	0.0
3121200	0.0
3124800	0.0
3128400	0.0
3132000	0.0
3135600	0.0
3139200	9.9
3142800	32.6
3146400	83.6
3150000	164.2
3153600	211.6
3157200	146.8
3160800	95.4
3164400	65.9
3168000	24.4
3171600	2.8
3175200	0.0
3178800	0.0
3182400	0.0
3186000	0.0
3189600	0.0
3193200	0.0
3196800	0.0
3200400	0.0
3204000	0.0
3207600	0.0
3211200	0.0
3214800	0.0
3218400	0.0
3222000	0.0
3225600	1.9
3229200	24.7
3232800	106.1
3236400	168.0
3240000	183.1
3243600	144.1
3247200	102.3
3250800	73.4
3254400	30.9
3258000	3.7
3261600	0.0
3265200	0.0
3268800	0.0
3272400	0.0
3276000	0.0
3279600	0.0
3283200	0.0
3286800	0.0
3290400	0.0
3294000	0.0
3297600	0.0
3301200	0.0
3304800	0.0
3308400	0.0
3312000	63.5
3315600	272.6
3319200	473.2
3322800	632.4
3326400	742.5
3330000	764.9
3333600	700.1
3337200	553.9
3340800	371.6
3344400	2.8
3348000	0.0
3351600	0.0
3355200	0.0
3358800	0.0
3362400	0.0
3366000	0.0
3369600	0.0
3373200	0.0
3376800	0.0
3380400	0.0
3384000	0.0
3387600	0.0
3391200	0.0
3394800	0.0
3398400	54.5
3402000	244.6
3405600	437.7
3409200	577.8
3412800	658.0
3416400	696.3
3420000	637.3
3423600	524.2
3427200	279.4
3430800	1.8
3434400	0.0
3438000	0.0
3441600	0.0
3445200	0.0
3448800	0.0
3452400	0.0
3456000	0.0
3459600	0.0
3463200	0.0
3466800	0.0
3470400	0.0
3474000	0.0
3477600	0.0
3481200	0.0
3484800	43.2
3488400	103.9
3492000	298.4
3495600	337.4
3499200	255.6
3502800	227.4
3506400	304.2
3510000	123.0
3513600	32.1
3517200	0.0
3520800	0.0
3524400	0.0
3528000	0.0
3531600	0.0
3535200	0.0
3538800	0.0
3542400	0.0
3546000	0.0
3549600	0.0
3553200	0.0
3556800	0.0
3560400	0.0
3564000	0.0
3567600	0.0
3571200	4.9
3574800	23.6
3578400	54.8
3582000	75.9
3585600	73.3
3589200	78.2
3592800	68.8
3596400	51.6
3600000	18.1
3603600	0.9
3607200	0.0
3610800	0.0
3614400	0.0
3618000	0.0
3621600	0.0
3625200	0.0
3628800	0.0
3632400	0.0
3636000	0.0
3639600	0.0
3643200	0.0
3646800	0.0
3650400	0.0
3654000	0.0
3657600	19.1
3661200	45.3
3664800	73.6
3668400	134.8
3672000	123.3
3675600	130.2
3679200	286.1
3682800	224.0
3686400	157.9
3690000	9.4
3693600	0.0
3697200	0.0
3700800	0.0
3704400	0.0
3708000	0.0
3711600	0.0
3715200	0.0
3718800	0.0
3722400	0.0
3726000	0.0
3729600	0.0
3733200	0.0
3736800	0.0
3740400	0.0
3744000	70.0
3747600	255.5
3751200	405.7
3754800	455.5
3758400	423.8
3762000	353.8
3765600	330.5
3769200	268.4
3772800	176.6
3776400	3.7
3780000	0.0
3783600	0.0
3787200	0.0
3790800	0.0
