#1	
double default(8761,2)	
#	
#Time	Irradiation
#	
#Radiation on tilted surface, Tilt=35, Azimuth=0	
#	
0	0
3600	0
7200	0
10800	0
14400	0
18000	0
21600	0
25200	0
28800	0
32400	10.791721
36000	36.29955
39600	53.303947
43200	30.580782
46800	22.151234
50400	14.593083
54000	2.0020692
57600	0
61200	0
64800	0
68400	0
72000	0
75600	0
79200	0
82800	0
86400	0
90000	0
93600	0
97200	0
100800	0
104400	0
108000	0
111600	0
115200	0
118800	1.9838555
122400	32.631077
126000	176.21011
129600	292.4106
133200	136.61095
136800	15.859169
140400	2.0037196
144000	0
147600	0
151200	0
154800	0
158400	0
162000	0
165600	0
169200	0
172800	0
176400	0
180000	0
183600	0
187200	0
190800	0
194400	0
198000	0
201600	0
205200	9.685059
208800	38.734238
212400	24.475864
216000	48.18061
219600	54.16073
223200	49.632965
226800	28.26508
230400	0
234000	0
237600	0
241200	0
244800	0
248400	0
252000	0
255600	0
259200	0
262800	0
266400	0
270000	0
273600	0
277200	0
280800	0
284400	0
288000	0
291600	7.4825945
295200	35.069366
298800	99.77138
302400	102.86634
306000	47.544846
309600	27.166496
313200	15.498192
316800	0
320400	0
324000	0
327600	0
331200	0
334800	0
338400	0
342000	0
345600	0
349200	0
352800	0
356400	0
360000	0
363600	0
367200	0
370800	0
374400	0
378000	25.080824
381600	135.85225
385200	228.09184
388800	97.4482
392400	32.909252
396000	12.160373
399600	2.0089822
403200	0
406800	0
410400	0
414000	0
417600	0
421200	0
424800	0
428400	0
432000	0
435600	0
439200	0
442800	0
446400	0
450000	0
453600	0
457200	0
460800	0
464400	7.480231
468000	71.437164
471600	75.66824
475200	94.29972
478800	55.65709
482400	100.950836
486000	28.851545
489600	0
493200	0
496800	0
500400	0
504000	0
507600	0
511200	0
514800	0
518400	0
522000	0
525600	0
529200	0
532800	0
536400	0
540000	0
543600	0
547200	0
550800	5.2803674
554400	26.525421
558000	44.191284
561600	63.19904
565200	35.652237
568800	23.509958
572400	5.4012628
576000	0
579600	0
583200	0
586800	0
590400	0
594000	0
597600	0
601200	0
604800	0
608400	0
612000	0
615600	0
619200	0
622800	0
626400	0
630000	0
633600	0
637200	17.37536
640800	30.193436
644400	32.389866
648000	36.12587
651600	46.4035
655200	32.36008
658800	6.540999
662400	0
666000	0
669600	0
673200	0
676800	0
680400	0
684000	0
687600	0
691200	0
694800	0
698400	0
702000	0
705600	0
709200	0
712800	0
716400	0
720000	0
723600	8.578434
727200	79.59083
730800	133.6484
734400	309.8161
738000	214.98721
741600	46.284283
745200	16.7573
748800	0
752400	0
756000	0
759600	0
763200	0
766800	0
770400	0
774000	0
777600	0
781200	0
784800	0
788400	0
792000	0
795600	0
799200	0
802800	0
806400	0
810000	48.05932
813600	176.31801
817200	292.05923
820800	353.14075
824400	344.1868
828000	262.7233
831600	36.356136
835200	0.8855729
838800	0
842400	0
846000	0
849600	0
853200	0
856800	0
860400	0
864000	0
867600	0
871200	0
874800	0
878400	0
882000	0
885600	0
889200	0
892800	0
896400	72.52159
900000	276.53592
903600	329.95572
907200	557.73755
910800	497.2094
914400	238.54196
918000	31.424025
921600	0
925200	0
928800	0
932400	0
936000	0
939600	0
943200	0
946800	0
950400	0
954000	0
957600	0
961200	0
964800	0
968400	0
972000	0
975600	0
979200	0
982800	67.81752
986400	195.49942
990000	232.19617
993600	270.51892
997200	111.20982
1000800	27.495495
1004400	13.424625
1008000	1.8907588
1011600	0
1015200	0
1018800	0
1022400	0
1026000	0
1029600	0
1033200	0
1036800	0
1040400	0
1044000	0
1047600	0
1051200	0
1054800	0
1058400	0
1062000	0
1065600	0
1069200	40.219303
1072800	154.34752
1076400	285.50485
1080000	343.40134
1083600	323.47787
1087200	157.18944
1090800	29.445074
1094400	0
1098000	0
1101600	0
1105200	0
1108800	0
1112400	0
1116000	0
1119600	0
1123200	0
1126800	0
1130400	0
1134000	0
1137600	0
1141200	0
1144800	0
1148400	0
1152000	0
1155600	23.985641
1159200	58.387226
1162800	74.631035
1166400	66.26714
1170000	49.43467
1173600	32.67474
1177200	10.038825
1180800	0
1184400	0
1188000	0
1191600	0
1195200	0
1198800	0
1202400	0
1206000	0
1209600	0
1213200	0
1216800	0
1220400	0
1224000	0
1227600	0
1231200	0
1234800	0
1238400	0
1242000	22.890846
1245600	47.394802
1249200	52.272358
1252800	52.689583
1256400	41.394024
1260000	26.359818
1263600	7.7628856
1267200	0
1270800	0
1274400	0
1278000	0
1281600	0
1285200	0
1288800	0
1292400	0
1296000	0
1299600	0
1303200	0
1306800	0
1310400	0
1314000	0
1317600	0
1321200	0
1324800	0
1328400	16.292389
1332000	33.94485
1335600	39.118114
1339200	48.642235
1342800	57.67677
1346400	39.16939
1350000	12.374018
1353600	0
1357200	0
1360800	0
1364400	0
1368000	0
1371600	0
1375200	0
1378800	0
1382400	0
1386000	0
1389600	0
1393200	0
1396800	0
1400400	0
1404000	0
1407600	0
1411200	0
1414800	71.292915
1418400	260.856
1422000	416.90942
1425600	477.82095
1429200	394.48077
1432800	200.25981
1436400	133.7316
1440000	2.912996
1443600	0
1447200	0
1450800	0
1454400	0
1458000	0
1461600	0
1465200	0
1468800	0
1472400	0
1476000	0
1479600	0
1483200	0
1486800	0
1490400	0
1494000	0
1497600	0
1501200	19.608128
1504800	120.68156
1508400	84.067345
1512000	51.466187
1515600	44.268814
1519200	29.059538
1522800	10.112827
1526400	0.8855729
1530000	0
1533600	0
1537200	0
1540800	0
1544400	0
1548000	0
1551600	0
1555200	0
1558800	0
1562400	0
1566000	0
1569600	0
1573200	0
1576800	0
1580400	0
1584000	0
1587600	14.1057415
1591200	26.638494
1594800	25.982893
1598400	28.24737
1602000	51.117542
1605600	38.0949
1609200	19.383797
1612800	0.8855729
1616400	0
1620000	0
1623600	0
1627200	0
1630800	0
1634400	0
1638000	0
1641600	0
1645200	0
1648800	0
1652400	0
1656000	0
1659600	0
1663200	0
1666800	0
1670400	0.8855729
1674000	27.342682
1677600	46.293484
1681200	85.51009
1684800	96.77296
1688400	56.625572
1692000	63.87895
1695600	97.62452
1699200	2.9233844
1702800	0
1706400	0
1710000	0
1713600	0
1717200	0
1720800	0
1724400	0
1728000	0
1731600	0
1735200	0
1738800	0
1742400	0
1746000	0
1749600	0
1753200	0
1756800	0
1760400	44.15692
1764000	78.698746
1767600	80.28002
1771200	88.63844
1774800	79.85064
1778400	63.995758
1782000	20.62298
1785600	0.8855729
1789200	0
1792800	0
1796400	0
1800000	0
1803600	0
1807200	0
1810800	0
1814400	0
1818000	0
1821600	0
1825200	0
1828800	0
1832400	0
1836000	0
1839600	0
1843200	0
1846800	33.992943
1850400	133.1878
1854000	302.04468
1857600	273.5745
1861200	225.57066
1864800	243.79279
1868400	21.828745
1872000	2.9305568
1875600	0
1879200	0
1882800	0
1886400	0
1890000	0
1893600	0
1897200	0
1900800	0
1904400	0
1908000	0
1911600	0
1915200	0
1918800	0
1922400	0
1926000	0
1929600	0.8855729
1933200	21.86415
1936800	32.856102
1940400	48.591873
1944000	53.08642
1947600	39.106075
1951200	26.735342
1954800	16.041845
1958400	2.9342096
1962000	0
1965600	0
1969200	0
1972800	0
1976400	0
1980000	0
1983600	0
1987200	0
1990800	0
1994400	0
1998000	0
2001600	0
2005200	0
2008800	0
2012400	0
2016000	5.801757
2019600	100.4167
2023200	178.42892
2026800	196.01483
2030400	283.3379
2034000	222.77675
2037600	122.37722
2041200	64.46153
2044800	2.937904
2048400	0
2052000	0
2055600	0
2059200	0
2062800	0
2066400	0
2070000	0
2073600	0
2077200	0
2080800	0
2084400	0
2088000	0
2091600	0
2095200	0
2098800	0
2102400	0.8855729
2106000	46.21934
2109600	148.7859
2113200	121.64734
2116800	76.593376
2120400	52.90322
2124000	32.023125
2127600	27.820658
2131200	7.0573945
2134800	0
2138400	0
2142000	0
2145600	0
2149200	0
2152800	0
2156400	0
2160000	0
2163600	0
2167200	0
2170800	0
2174400	0
2178000	0
2181600	0
2185200	0
2188800	4.8214803
2192400	145.43172
2196000	386.16095
2199600	569.4528
2203200	665.95306
2206800	670.0128
2210400	577.72504
2214000	356.54916
2217600	11.192555
2221200	0
2224800	0
2228400	0
2232000	0
2235600	0
2239200	0
2242800	0
2246400	0
2250000	0
2253600	0
2257200	0
2260800	0
2264400	0
2268000	0
2271600	0
2275200	2.8539042
2278800	75.71071
2282400	230.93678
2286000	417.24988
2289600	483.2217
2293200	222.74567
2296800	127.36625
2300400	308.21857
2304000	6.047386
2307600	0
2311200	0
2314800	0
2318400	0
2322000	0
2325600	0
2329200	0
2332800	0
2336400	0
2340000	0
2343600	0
2347200	0
2350800	0
2354400	0
2358000	0
2361600	6.7958155
2365200	111.26424
2368800	246.33032
2372400	221.08649
2376000	130.66234
2379600	121.8532
2383200	142.54355
2386800	158.71829
2390400	14.335417
2394000	0
2397600	0
2401200	0
2404800	0
2408400	0
2412000	0
2415600	0
2419200	0
2422800	0
2426400	0
2430000	0
2433600	0
2437200	0
2440800	0
2444400	0
2448000	8.770641
2451600	73.10758
2455200	150.54562
2458800	265.86722
2462400	538.2482
2466000	536.4008
2469600	443.17856
2473200	274.18973
2476800	14.360661
2480400	0
2484000	0
2487600	0
2491200	0
2494800	0
2498400	0
2502000	0
2505600	0
2509200	0
2512800	0
2516400	0
2520000	0
2523600	0
2527200	0
2530800	0
2534400	5.8159966
2538000	50.837124
2541600	88.696465
2545200	88.85378
2548800	97.70631
2552400	182.6948
2556000	263.68137
2559600	284.62338
2563200	16.46351
2566800	0
2570400	0
2574000	0
2577600	0
2581200	0
2584800	0
2588400	0
2592000	0
2595600	0
2599200	0
2602800	0
2606400	0
2610000	0
2613600	0
2617200	0
2620800	0.8855729
2624400	18.658709
2628000	88.869484
2631600	171.21312
2635200	57.641556
2638800	85.06298
2642400	239.05803
2646000	182.10898
2649600	17.797377
2653200	0
2656800	0
2660400	0
2664000	0
2667600	0
2671200	0
2674800	0
2678400	0
2682000	0
2685600	0
2689200	0
2692800	0
2696400	0
2700000	0
2703600	0
2707200	13.723323
2710800	196.26384
2714400	434.282
2718000	592.57117
2721600	677.64124
2725200	695.257
2728800	509.39514
2732400	295.75565
2736000	25.138748
2739600	0
2743200	0
2746800	0
2750400	0
2754000	0
2757600	0
2761200	0
2764800	0
2768400	0
2772000	0
2775600	0
2779200	0
2782800	0
2786400	0
2790000	0
2793600	8.790452
2797200	68.12018
2800800	59.167282
2804400	70.35848
2808000	89.64264
2811600	75.58716
2815200	86.470795
2818800	58.081173
2822400	16.55222
2826000	0
2829600	0
2833200	0
2836800	0
2840400	0
2844000	0
2847600	0
2851200	0
2854800	0
2858400	0
2862000	0
2865600	0
2869200	0
2872800	0
2876400	0
2880000	12.752271
2883600	149.2112
2887200	317.93582
2890800	515.14526
2894400	614.1142
2898000	323.05347
2901600	126.88385
2905200	60.590675
2908800	1.9304053
2912400	0
2916000	0
2919600	0
2923200	0
2926800	0
2930400	0
2934000	0
2937600	0
2941200	0
2944800	0
2948400	0
2952000	0
2955600	0
2959200	0
2962800	0
2966400	20.846357
2970000	65.98
2973600	90.337105
2977200	78.49544
2980800	84.23134
2984400	186.50345
2988000	155.06084
2991600	47.551693
2995200	7.1742573
2998800	0
3002400	0
3006000	0
3009600	0
3013200	0
3016800	0
3020400	0
3024000	0
3027600	0
3031200	0
3034800	0
3038400	0
3042000	0
3045600	0
3049200	0
3052800	8.808338
3056400	55.59384
3060000	69.27804
3063600	148.8288
3067200	142.69145
3070800	497.25903
3074400	494.6501
3078000	419.5611
3081600	28.745247
3085200	0
3088800	0
3092400	0
3096000	0
3099600	0
3103200	0
3106800	0
3110400	0
3114000	0
3117600	0
3121200	0
3124800	0
3128400	0
3132000	0
3135600	0
3139200	12.78042
3142800	139.82214
3146400	347.73325
3150000	492.2403
3153600	614.9489
3157200	667.739
3160800	538.5334
3164400	392.62656
3168000	31.646486
3171600	0
3175200	0
3178800	0
3182400	0
3186000	0
3189600	0
3193200	0
3196800	0
3200400	0
3204000	0
3207600	0
3211200	0
3214800	0
3218400	0
3222000	0
3225600	31.195538
3229200	208.84103
3232800	401.52612
3236400	548.65625
3240000	657.3853
3243600	680.40326
3247200	560.46204
3250800	379.78683
3254400	35.637295
3258000	0
3261600	0
3265200	0
3268800	0
3272400	0
3276000	0
3279600	0
3283200	0
3286800	0
3290400	0
3294000	0
3297600	0
3301200	0
3304800	0
3308400	0
3312000	36.981922
3315600	223.5572
3319200	417.30344
3322800	550.5817
3326400	637.8172
3330000	661.38086
3333600	551.0428
3337200	408.31305
3340800	38.214294
3344400	0
3348000	0
3351600	0
3355200	0
3358800	0
3362400	0
3366000	0
3369600	0
3373200	0
3376800	0
3380400	0
3384000	0
3387600	0
3391200	0
3394800	0
3398400	32.036636
3402000	158.63539
3405600	249.60367
3409200	404.9239
3412800	449.67212
3416400	231.13629
3420000	104.768845
3423600	85.3011
3427200	27.34563
3430800	0
3434400	0
3438000	0
3441600	0
3445200	0
3448800	0
3452400	0
3456000	0
3459600	0
3463200	0
3466800	0
3470400	0
3474000	0
3477600	0
3481200	0
3484800	11.828914
3488400	52.531067
3492000	63.34821
3495600	69.40646
3499200	94.3308
3502800	173.72821
3506400	151.62271
3510000	352.47098
3513600	32.58378
3517200	1.8282703
3520800	0
3524400	0
3528000	0
3531600	0
3535200	0
3538800	0
3542400	0
3546000	0
3549600	0
3553200	0
3556800	0
3560400	0
3564000	0
3567600	0
3571200	59.552864
3574800	273.72385
3578400	455.23483
3582000	453.08954
3585600	655.3582
3589200	470.73734
3592800	425.31085
3596400	424.13504
3600000	175.56992
3603600	2.7730713
3607200	0
3610800	0
3614400	0
3618000	0
3621600	0
3625200	0
3628800	0
3632400	0
3636000	0
3639600	0
3643200	0
3646800	0
3650400	0
3654000	0
3657600	3.8750217
3661200	16.637447
3664800	33.420517
3668400	41.231865
3672000	42.759808
3675600	40.003967
3679200	34.316086
3682800	19.116428
3686400	7.268479
3690000	0
3693600	0
3697200	0
3700800	0
3704400	0
3708000	0
3711600	0
3715200	0
3718800	0
3722400	0
3726000	0
3729600	0
3733200	0
3736800	0
3740400	0
3744000	20.845919
3747600	101.11176
3751200	184.99571
3754800	227.87775
3758400	213.55472
3762000	244.07967
3765600	173.14166
3769200	61.783943
3772800	50.7879
3776400	4.668344
3780000	0
3783600	0
3787200	0
3790800	0
3794400	0
3798000	0
3801600	0
3805200	0
3808800	0
3812400	0
3816000	0
3819600	0
3823200	0
3826800	0
3830400	99.152756
3834000	352.86328
3837600	577.15936
3841200	730.26373
3844800	806.98676
3848400	601.7007
3852000	245.54962
3855600	97.83675
3859200	71.69376
3862800	1.8318796
3866400	0
3870000	0
3873600	0
3877200	0
3880800	0
3884400	0
3888000	0
3891600	0
3895200	0
3898800	0
3902400	0
3906000	0
3909600	0
3913200	0
3916800	18.889723
3920400	51.71408
3924000	253.22987
3927600	242.44864
3931200	220.69623
3934800	135.29646
3938400	98.89157
3942000	66.88942
3945600	26.56424
3949200	4.6756573
3952800	0
3956400	0
3960000	0
3963600	0
3967200	0
3970800	0
3974400	0
3978000	0
3981600	0
3985200	0
3988800	0
3992400	0
3996000	0
3999600	0
4003200	21.915163
4006800	161.26358
4010400	121.77213
4014000	97.89411
4017600	88.9393
4021200	82.12871
4024800	82.872116
4028400	52.307472
4032000	21.249046
4035600	0.8855729
4039200	0
4042800	0
4046400	0
4050000	0
4053600	0
4057200	0
4060800	0
4064400	0
4068000	0
4071600	0
4075200	0
4078800	0
4082400	0
4086000	0.8855729
4089600	34.269623
4093200	141.81369
4096800	252.54709
4100400	430.78595
4104000	425.28265
4107600	441.44797
4111200	420.836
4114800	344.41736
4118400	158.14502
4122000	0
4125600	0
4129200	0
4132800	0
4136400	0
4140000	0
4143600	0
4147200	0
4150800	0
4154400	0
4158000	0
4161600	0
4165200	0
4168800	0
4172400	3.6430492
4176000	62.597153
4179600	178.92107
4183200	219.2054
4186800	348.60654
4190400	305.26227
4194000	200.95764
4197600	162.91068
4201200	124.49638
4204800	49.306522
4208400	0
4212000	0
4215600	0
4219200	0
4222800	0
4226400	0
4230000	0
4233600	0
4237200	0
4240800	0
4244400	0
4248000	0
4251600	0
4255200	0
4258800	4.5639806
4262400	30.033726
4266000	55.37472
4269600	95.286224
4273200	106.052475
4276800	118.31484
