#1
double	default(366,2) #Please don't delete - RP
0	9.534556
86400	8.832516
172800	7.294577
259200	6.706862
345600	6.60477
432000	5.740621
518400	6.033485
604800	6.231929
691200	5.946264
777600	6.049586
864000	6.981301
950400	7.081034
1036800	5.628307
1123200	5.1264
1209600	4.419855
1296000	3.938986
1382400	3.66097
1468800	2.678489
1555200	3.940246
1641600	3.084319
1728000	3.510274
1814400	3.980361
1900800	2.694615
1987200	2.607848
2073600	0.653037
2160000	0.1341385
2246400	-0.2909591
2332800	-0.8900255
2419200	-2.372736
2505600	-3.342567
2592000	-4.696244
2678400	-4.831343
2764800	-6.19186
2851200	-6.124617
2937600	-8.050015
3024000	-9.604218
3110400	-10.57412
3196800	-8.654292
3283200	-5.635984
3369600	-4.714601
3456000	-4.887711
3542400	-4.159501
3628800	-3.866348
3715200	-2.409701
3801600	-0.5502543
3888000	1.231332
3974400	0.9662756
4060800	2.865799
4147200	3.942258
4233600	3.13225
4320000	2.599722
4406400	3.257634
4492800	4.613045
4579200	6.277343
4665600	7.37776
4752000	6.199245
4838400	5.545256
4924800	4.655918
5011200	6.564078
5097600	7.069492
5184000	7.373745
5270400	6.23581
5356800	6.094373
5443200	5.889308
5529600	5.342048
5616000	4.459854
5702400	4.014437
5788800	4.916217
5875200	5.572037
5961600	6.963075
6048000	7.090438
6134400	7.177424
6220800	7.642818
6307200	7.647266
6393600	7.379963
6480000	7.80532
6566400	7.476718
6652800	7.904277
6739200	7.31396
6825600	8.036599
6912000	9.328288
6998400	9.011021
7084800	9.827275
7171200	9.409094
7257600	9.269232
7344000	8.027956
7430400	9.422813
7516800	10.10984
7603200	8.916463
7689600	8.583119
7776000	7.343242
7862400	6.311554
7948800	6.031497
8035200	4.411742
8121600	4.344874
8208000	4.59484
8294400	4.202156
8380800	3.829731
8467200	3.794446
8553600	4.983231
8640000	7.48596
8726400	7.835748
8812800	7.454221
8899200	7.475628
8985600	7.787949
9072000	7.812322
9158400	6.661101
9244800	6.645073
9331200	7.712109
9417600	9.254775
9504000	9.534357
9590400	9.090195
9676800	7.958655
9763200	8.405082
9849600	8.613178
9936000	9.690402
1.00224e+07	11.25979
