#1	
# Measurement from Billwerder Wettermast, Source: Lange2014
double	default(35136, 2)
0	4.534666667
900	4.591333333
1800	4.696
2700	4.946
3600	4.832
4500	4.812666667
5400	4.901333333
6300	4.909333333
7200	5.047
8100	5.184666667
9000	5.377333333
9900	5.867333333
10800	5.836666667
11700	5.826666667
12600	5.838666667
13500	6.024
14400	6.32
15300	6.616
16200	7.038666667
17100	7.222666667
18000	7.362666667
18900	7.578666667
19800	7.789333333
20700	8.081333333
21600	8.424666667
22500	8.768
23400	9.108666667
24300	9.197333333
25200	9.374
26100	9.539333333
27000	9.707333333
27900	9.788
28800	9.877
29700	9.966
30600	10.11266667
31500	10.19133333
32400	10.24666667
33300	10.30466667
34200	10.392
35100	10.51066667
36000	10.60933333
36900	10.65133333
37800	10.7
38700	10.75066667
39600	10.86933333
40500	10.92266667
41400	10.92133333
42300	10.95933333
43200	11.04666667
44100	11.14933333
45000	11.19666667
45900	11.222
46800	11.31066667
47700	11.27066667
48600	11.274
49500	11.292
50400	11.27666667
51300	11.29133333
52200	11.39
53100	11.42333333
54000	11.43066667
54900	11.40466667
55800	11.20466667
56700	11.10377778
57600	11.00288889
58500	10.902
59400	10.674
60300	10.44333333
61200	10.52266667
62100	10.536
63000	10.544
63900	10.382
64800	10.16
65700	10.30733333
66600	10.25266667
67500	10.29066667
68400	10.21266667
69300	10.31266667
70200	10.422
71100	10.56533333
72000	10.778
72900	10.99066667
73800	11.16266667
74700	11.33333333
75600	11.42466667
76500	11.502
77400	11.54666667
78300	11.596
79200	11.58866667
80100	11.58133333
81000	11.592
81900	11.70333333
82800	11.82666667
83700	11.926
84600	11.90666667
85500	11.914
86400	11.907
87300	11.9
88200	11.90866667
89100	11.88266667
90000	11.89533333
90900	11.92666667
91800	12.00866667
92700	12.096
93600	11.75833333
94500	11.42066667
95400	10.658
96300	10.29533333
97200	10.04333333
98100	9.946
99000	9.873333333
99900	9.814
100800	9.715333333
101700	9.616666667
102600	9.562
103500	9.544666667
104400	9.597333333
105300	9.558
106200	9.458
107100	9.324666667
108000	9.295333333
108900	9.266
109800	9.282
110700	9.231333333
111600	9.137333333
112500	9.108
113400	9.234
114300	9.194
115200	9.196
116100	9.198
117000	9.089333333
117900	9.088
118800	9.054666667
119700	9.124666667
120600	9.214666667
121500	9.338666667
122400	9.313333333
123300	9.288
124200	9.208
125100	9.061333333
126000	9.012
126900	9.011333333
127800	8.968
128700	8.994
129600	8.975333333
130500	8.956666667
131400	8.918666667
132300	8.897333333
133200	8.893333333
134100	8.862666667
135000	8.842
135900	8.804
136800	8.638666667
137700	8.502666667
138600	8.486666667
139500	8.335333333
140400	8.181333333
141300	8.020666667
142200	7.908
143100	7.718666667
144000	7.504
144900	7.442
145800	7.344666667
146700	7.113333333
147600	7.003333333
148500	6.928666667
149400	6.971333333
150300	6.839333333
151200	6.696
152100	6.547333333
153000	6.574
153900	6.735333333
154800	6.83
155700	6.908666667
156600	6.784
157500	6.682666667
158400	6.52
159300	6.084
160200	5.801333333
161100	5.566666667
162000	5.352666667
162900	5.37
163800	5.438
164700	5.382
165600	5.194666667
166500	5.013333333
167400	4.926666667
168300	4.75
169200	4.698
170100	4.686666667
171000	4.623333333
171900	4.611333333
172800	4.509333333
173700	4.425333333
174600	4.286666667
175500	4.172
176400	4.057333333
177300	3.975333333
178200	3.94
179100	3.870666667
180000	3.832666667
180900	3.668
181800	3.652666667
182700	3.708
183600	3.707333333
184500	3.688
185400	3.709333333
186300	3.802666667
187200	3.610666667
188100	3.448
189000	3.423333333
189900	3.412666667
190800	3.560666667
191700	3.614
192600	3.757333333
193500	3.884666667
194400	3.866
195300	3.880666667
196200	3.862
197100	3.858666667
198000	3.992666667
198900	4.129333333
199800	4.305333333
200700	4.382
201600	4.388
202500	4.562
203400	4.584
204300	4.592
205200	4.772666667
206100	4.851333333
207000	4.938
207900	5.006666667
208800	5.15
209700	5.314666667
210600	5.458666667
211500	5.59
212400	5.722
213300	5.803333333
214200	5.601333333
215100	5.31
216000	5.141333333
216900	4.804
217800	4.710666667
218700	4.913333333
219600	5.129333333
220500	5.222
221400	5.372
222300	5.589333333
223200	5.889333333
224100	6.248
225000	6.77
225900	7.138666667
226800	7.286
227700	7.422
228600	7.588
229500	7.866666667
230400	8.018
231300	8.129333333
232200	8.197333333
233100	8.231333333
234000	8.341333333
234900	8.455333333
235800	8.627333333
236700	8.96
237600	9.345333333
238500	9.47
239400	9.166666667
240300	8.210666667
241200	7.726666667
242100	7.530666667
243000	7.498666667
243900	7.704
244800	7.71
245700	7.715333333
246600	7.607333333
247500	7.541333333
248400	7.516
249300	7.542666667
250200	7.477333333
251100	7.530666667
252000	7.69
252900	7.308
253800	6.422
254700	5.894
255600	5.528666667
256500	5.608666667
257400	5.811333333
258300	5.938
259200	5.982666667
260100	6.113333333
261000	6.103333333
261900	6.229333333
262800	6.256666667
263700	6.220666667
264600	6.16
265500	6.098
266400	6.213333333
267300	6.328666667
268200	6.323333333
269100	6.341333333
270000	6.354
270900	6.312666667
271800	6.211333333
272700	6.183333333
273600	5.897
274500	5.610666667
275400	5.881333333
276300	6.093333333
277200	6.132666667
278100	6.158666667
279000	6.107333333
279900	6.119333333
280800	6.009
281700	5.898666667
282600	5.831333333
283500	5.840666667
284400	5.68
285300	5.440666667
286200	5.062666667
287100	4.536666667
288000	4.425666667
288900	4.314666667
289800	4.278666667
290700	4.188
291600	4.267333333
292500	4.649333333
