#1
double	default(183,2)  # Original data (from DeutscherWetterdienstDWD2015) with 60min. resolution averaged over two days using matlab mean. See: \\transientee-sources\matlab\pd\Modellbildung\Umgebungsbedingungen\Temperature_2d_mean.m
0	8.73125
172800	5.60625
345600	4.902083
518400	6.041667
691200	5.58125
864000	7.635417
1036800	2.95
1209600	0.2583333
1382400	2.247917
1555200	3.65625
1728000	4.05625
1900800	1.96875
2073600	-1.225
2246400	-1.352083
2419200	-4.5375
2592000	-6.102083
2764800	-7.720833
2937600	-10.18333
3110400	-9.6875
3283200	-2.402083
3456000	-4.047917
3628800	-1.841667
3801600	2.8375
3974400	2.785417
4147200	4.166667
4320000	2.69375
4492800	7.23125
4665600	7.2
4838400	3.88125
5011200	7.960417
5184000	6.28125
5356800	5.766667
5529600	4.316667
5702400	4.34375
5875200	7.28125
6048000	7.504167
6220800	7.754167
6393600	7.441667
6566400	7.9125
6739200	7.216667
6912000	9.241667
7084800	8.73125
7257600	6.941667
7430400	9.89375
7603200	7.625
7776000	4.785417
7948800	3.491667
8121600	4.01875
8294400	3.316667
8467200	4.679167
8640000	9.689583
8812800	7.122917
8985600	7.4875
9158400	5.285417
9331200	9.829167
9504000	9.839583
9676800	7.464583
9849600	9.939583
1.00224e+07	13.59167
1.01952e+07	12.24583
1.0368e+07	13.8625
1.05408e+07	13.12917
1.07136e+07	10.60833
1.08864e+07	6.93125
1.10592e+07	14.55625
1.1232e+07	17.05208
1.14048e+07	8.502083
1.15776e+07	10.58125
1.17504e+07	7.7625
1.19232e+07	14.85833
1.2096e+07	18.89583
1.22688e+07	19.05208
1.24416e+07	16.95208
1.26144e+07	17.68333
1.27872e+07	16.25417
1.296e+07	12.025
1.31328e+07	10.14167
1.33056e+07	9.847917
1.34784e+07	10.53333
1.36512e+07	16.42083
1.3824e+07	13.59375
1.39968e+07	14.05
1.41696e+07	12.33958
1.43424e+07	15.86458
1.45152e+07	16.18542
1.4688e+07	16.4375
1.48608e+07	17.82083
1.50336e+07	14.87708
1.52064e+07	13.07917
1.53792e+07	16.01667
1.5552e+07	21.14792
1.57248e+07	17.15
1.58976e+07	18.49375
1.60704e+07	19.12083
1.62432e+07	19.1125
1.6416e+07	17.43542
1.65888e+07	15.29792
1.67616e+07	15.16042
1.69344e+07	14.5125
1.71072e+07	15.90417
1.728e+07	14.11042
1.74528e+07	14.50833
1.76256e+07	20.49375
1.77984e+07	21.64583
1.79712e+07	20.77292
1.8144e+07	14.55208
1.83168e+07	17.375
1.84896e+07	19.22292
1.86624e+07	18.09375
1.88352e+07	16.90417
1.9008e+07	15.72917
1.91808e+07	15.63542
1.93536e+07	16.68333
1.95264e+07	17.8875
1.96992e+07	18.43542
1.9872e+07	24.82083
2.00448e+07	21.41875
2.02176e+07	16.87292
2.03904e+07	16.09583
2.05632e+07	16.44583
2.0736e+07	17.92708
2.09088e+07	15.93333
2.10816e+07	14.29792
2.12544e+07	16.625
2.14272e+07	14.55625
2.16e+07	15.97917
2.17728e+07	19.43958
2.19456e+07	13.98333
2.21184e+07	11.99792
2.22912e+07	14.74583
2.2464e+07	14.98333
2.26368e+07	9.927083
2.28096e+07	11.09583
2.29824e+07	10.71458
2.31552e+07	12.31875
2.3328e+07	12.43958
2.35008e+07	12.04375
2.36736e+07	13.21458
2.38464e+07	11.83958
2.40192e+07	10.25625
2.4192e+07	9.470833
2.43648e+07	8.591667
2.45376e+07	8.416667
2.47104e+07	9.252083
2.48832e+07	8.810417
2.5056e+07	13.10833
2.52288e+07	15.375
2.54016e+07	13.91458
2.55744e+07	11.55625
2.57472e+07	5.079167
2.592e+07	1.558333
2.60928e+07	4.822917
2.62656e+07	6.010417
2.64384e+07	6.86875
2.66112e+07	6.64375
2.6784e+07	7.73125
2.69568e+07	9.075
2.71296e+07	8.552083
2.73024e+07	6.333333
2.74752e+07	6.066667
2.7648e+07	0.09375
2.78208e+07	5.15625
2.79936e+07	5.929167
2.81664e+07	6.86875
2.83392e+07	5.764583
2.8512e+07	7.45625
2.86848e+07	3.7875
2.88576e+07	1.74375
2.90304e+07	0.7541667
2.92032e+07	0.0875
2.9376e+07	-3.65625
2.95488e+07	-2.716667
2.97216e+07	-1.610417
2.98944e+07	-3.495833
3.00672e+07	0.8
3.024e+07	5.264583
3.04128e+07	3.26875
3.05856e+07	0.4645833
3.07584e+07	-0.625
3.09312e+07	7.45
3.1104e+07	6.2
3.12768e+07	3.904167
3.14496e+07	7.852083
