#1	
double	default(8784, 2) # Time [s], Temperature [°C], data from Hamburg-Fuhlsbuettel (Latitude:53.633; Longitude:9.988) in 2012, station height 11m. Source: DeutscherWetterdienstDWD2015
0	4.5
3600	4.6
7200	5.1
10800	6
14400	7
18000	8.8
21600	9.4
25200	9.7
28800	10
32400	10.3
36000	10.6
39600	10.9
43200	11.1
46800	10.9
50400	11
54000	10.4
57600	9.2
61200	10.4
64800	10.9
68400	10.7
72000	11.1
75600	11.8
79200	12.1
82800	12.4
86400	12.4
90000	12.3
93600	10.1
97200	9.7
100800	9.3
104400	8.9
108000	8.8
111600	8.8
115200	8.5
118800	8.6
122400	8.5
126000	8.5
129600	8.5
133200	8.4
136800	7.9
140400	7.2
144000	6.1
147600	6.6
151200	5.9
154800	6.6
158400	5.3
162000	4.8
165600	4.3
169200	4.2
172800	3.6
176400	3.1
180000	3
183600	3.6
187200	3.4
190800	3.7
194400	4.2
198000	4.8
201600	5.3
205200	5.5
208800	5.7
212400	5.4
216000	5.3
219600	6.5
223200	7.3
226800	8
230400	8.2
234000	8.8
237600	8.6
241200	7.2
244800	7.3
248400	7.6
252000	6
255600	6.5
259200	6.4
262800	6.3
266400	6.4
270000	6.1
273600	5.4
277200	6.1
280800	5.9
284400	4.3
288000	3.9
291600	4.9
295200	4.1
298800	5.1
302400	5.2
306000	5.2
309600	4.5
313200	5.2
316800	5.8
320400	5.8
324000	6
327600	6
331200	6.3
334800	5.3
338400	5.2
342000	5.1
345600	5.2
349200	5.2
352800	6
356400	6.2
360000	6.8
363600	7.7
367200	6.8
370800	7.4
374400	6.9
378000	7
381600	7.2
385200	6.6
388800	4.9
392400	5.8
396000	6.2
399600	5.5
403200	5.2
406800	6.1
410400	5.7
414000	5.9
417600	5.5
421200	5.4
424800	4.8
428400	4.5
432000	4.6
435600	4.6
439200	4.2
442800	3.2
446400	2.8
450000	2.5
453600	2.2
457200	1.7
460800	1.3
464400	2
468000	3
471600	3.7
475200	4.1
478800	4.6
482400	4.7
486000	4.3
489600	4.2
493200	4
496800	4.6
500400	4.6
504000	4.8
507600	4.9
511200	5
514800	5.2
518400	5.1
522000	4.9
525600	4.9
529200	4.6
532800	4.2
536400	4.4
540000	4.7
543600	5.1
547200	5.6
550800	6.5
554400	7.2
558000	7.5
561600	7
565200	7.6
568800	6.6
572400	6.4
576000	6.6
579600	6.1
583200	5.9
586800	6.1
590400	6
594000	6.3
597600	6.3
601200	5.7
604800	6.1
608400	5.9
612000	6.1
615600	6.5
619200	6.4
622800	6
626400	6.1
630000	6.1
633600	5.9
637200	6.1
640800	6.2
644400	6.8
648000	7.1
651600	7.4
655200	7.2
658800	7.1
662400	6.4
666000	6.1
669600	6
673200	5.6
676800	5.6
680400	5.5
684000	5.4
687600	5.1
691200	3.9
694800	3.6
698400	3.4
702000	3.1
705600	2.6
709200	2.5
712800	3.8
716400	3.9
720000	4.4
723600	4.7
727200	5.2
730800	5.5
734400	5.5
738000	6
741600	6.5
745200	7.5
748800	7.8
752400	7.7
756000	7.5
759600	7.6
763200	7.7
766800	7.4
770400	7.1
774000	6.6
777600	6.2
781200	5.6
784800	5.4
788400	5.4
792000	5
795600	4.7
799200	4.6
802800	4.2
806400	3.9
810000	4.1
813600	5.5
817200	6.1
820800	6.7
824400	6.7
828000	7.2
831600	6.3
835200	5.4
838800	5.5
842400	5.5
846000	5.8
849600	6.2
853200	6.5
856800	6.8
860400	7.1
864000	7.2
867600	7.1
871200	7.6
874800	7.3
878400	7.1
882000	7.1
885600	6.8
889200	7.3
892800	7.9
896400	8.4
900000	8.5
903600	8.3
907200	8.3
910800	8.2
914400	8.1
918000	8.1
921600	8.1
925200	8.2
928800	8.2
932400	8
936000	8
939600	8.2
943200	8.4
946800	8.6
950400	8.4
954000	8.4
957600	8.4
961200	8.6
964800	8.8
968400	9.1
972000	9
975600	9.1
979200	9.2
982800	9.1
986400	8.6
990000	8.4
993600	8.6
997200	9.4
1000800	8.5
1004400	6.8
1008000	5.7
1011600	5.4
1015200	5.3
1018800	5.1
1022400	4.7
1026000	4.9
1029600	4
1033200	4
1036800	4.1
1040400	3.7
1044000	4
1047600	3.2
1051200	2.6
1054800	2.1
1058400	2.5
1062000	2.5
1065600	2.4
1069200	3.1
1072800	4.6
