#1;T_K
#Temperature for Duesseldorf 2017 1 m depth;
#Source: CDC DWD #DWD Climate Data Center (CDC): Hourly station observations of soil temperature at the depth of 100cm in
#°C for Germany, version v18.1 & recent
double default(8761,2);
0;279.35
3600;279.25
7200;279.25
10800;279.25
14400;279.25
18000;279.25
21600;279.25
25200;279.15
28800;279.15
32400;279.15
36000;279.15
39600;279.15
43200;279.15
46800;279.15
50400;279.05
54000;279.05
57600;279.05
61200;279.05
64800;279.05
68400;279.05
72000;279.05
75600;278.95
79200;278.95
82800;278.95
86400;278.95
90000;278.95
93600;278.95
97200;278.95
100800;278.85
104400;278.85
108000;278.85
111600;278.85
115200;278.85
118800;278.85
122400;278.85
126000;278.85
129600;278.75
133200;278.75
136800;278.75
140400;278.75
144000;278.75
147600;278.75
151200;278.75
154800;278.75
158400;278.65
162000;278.65
165600;278.65
169200;278.65
172800;278.65
176400;278.65
180000;278.65
183600;278.65
187200;278.65
190800;278.55
194400;278.55
198000;278.55
201600;278.55
205200;278.55
208800;278.55
212400;278.55
216000;278.55
219600;278.55
223200;278.55
226800;278.55
230400;278.45
234000;278.45
237600;278.45
241200;278.45
244800;278.45
248400;278.45
252000;278.45
255600;278.45
259200;278.45
262800;278.45
266400;278.45
270000;278.35
273600;278.35
277200;278.35
280800;278.35
284400;278.35
288000;278.35
291600;278.35
295200;278.35
298800;278.35
302400;278.35
306000;278.35
309600;278.35
313200;278.35
316800;278.35
320400;278.35
324000;278.35
327600;278.35
331200;278.35
334800;278.35
338400;278.35
342000;278.35
345600;278.35
349200;278.35
352800;278.35
356400;278.35
360000;278.35
363600;278.35
367200;278.35
370800;278.35
374400;278.35
378000;278.35
381600;278.35
385200;278.35
388800;278.35
392400;278.35
396000;278.35
399600;278.35
403200;278.35
406800;278.35
410400;278.35
414000;278.35
417600;278.35
421200;278.35
424800;278.35
428400;278.35
432000;278.25
435600;278.25
439200;278.25
442800;278.25
446400;278.25
450000;278.25
453600;278.25
457200;278.25
460800;278.25
464400;278.25
468000;278.25
471600;278.25
475200;278.25
478800;278.25
482400;278.25
486000;278.25
489600;278.25
493200;278.25
496800;278.25
500400;278.25
504000;278.15
507600;278.15
511200;278.15
514800;278.15
518400;278.15
522000;278.15
525600;278.15
529200;278.15
532800;278.15
536400;278.15
540000;278.15
543600;278.15
547200;278.05
550800;278.05
554400;278.05
558000;278.05
561600;278.05
565200;278.05
568800;278.05
572400;278.05
576000;278.05
579600;278.05
583200;277.95
586800;277.95
590400;277.95
594000;277.95
597600;277.95
601200;277.95
604800;277.95
608400;277.95
612000;277.95
615600;277.95
619200;277.85
622800;277.85
626400;277.85
630000;277.85
633600;277.85
637200;277.85
640800;277.85
644400;277.85
648000;277.85
651600;277.85
655200;277.85
658800;277.75
662400;277.75
666000;277.75
669600;277.75
673200;277.75
676800;277.75
680400;277.75
684000;277.75
687600;277.75
691200;277.75
694800;277.75
698400;277.65
702000;277.65
705600;277.65
709200;277.65
712800;277.65
716400;277.65
720000;277.65
723600;277.65
727200;277.65
730800;277.65
734400;277.65
738000;277.65
741600;277.65
745200;277.65
748800;277.55
752400;277.55
756000;277.55
759600;277.55
763200;277.55
766800;277.55
770400;277.55
774000;277.55
777600;277.55
781200;277.55
784800;277.55
788400;277.55
792000;277.55
795600;277.55
799200;277.55
802800;277.55
806400;277.55
810000;277.55
813600;277.55
817200;277.55
820800;277.55
824400;277.55
828000;277.55
831600;277.55
835200;277.55
838800;277.55
842400;277.55
846000;277.55
849600;277.55
853200;277.55
856800;277.55
860400;277.55
864000;277.55
867600;277.55
871200;277.55
874800;277.55
878400;277.55
882000;277.55
885600;277.55
889200;277.55
892800;277.55
896400;277.55
900000;277.55
903600;277.55
907200;277.65
910800;277.65
914400;277.65
918000;277.65
921600;277.65
925200;277.65
928800;277.65
932400;277.65
936000;277.65
939600;277.65
943200;277.65
946800;277.65
950400;277.65
954000;277.65
957600;277.75
961200;277.75
964800;277.75
968400;277.75
972000;277.75
975600;277.75
979200;277.75
982800;277.75
986400;277.75
990000;277.75
993600;277.75
997200;277.75
1000800;277.85
1004400;277.85
1008000;277.85
1011600;277.85
1015200;277.85
1018800;277.85
1022400;277.85
1026000;277.85
1029600;277.85
1033200;277.85
1036800;277.85
1040400;277.85
1044000;277.85
1047600;277.85
1051200;277.85
1054800;277.85
1058400;277.85
1062000;277.85
1065600;277.85
1069200;277.85
1072800;277.95
1076400;277.95
1080000;277.95
1083600;277.95
1087200;277.95
1090800;277.95
1094400;277.95
1098000;277.95
1101600;277.95
1105200;277.95
1108800;277.95
1112400;277.95
1116000;277.95
1119600;277.95
1123200;277.95
1126800;277.95
1130400;277.95
1134000;277.95
1137600;277.95
1141200;277.95
1144800;277.95
1148400;277.95
1152000;277.95
1155600;277.95
1159200;277.95
1162800;277.95
1166400;277.95
1170000;277.95
1173600;277.95
1177200;277.95
1180800;277.95
1184400;277.95
1188000;277.95
1191600;277.95
1195200;277.95
1198800;277.95
1202400;277.95
1206000;277.95
1209600;277.95
1213200;277.95
1216800;277.95
1220400;277.95
1224000;277.95
1227600;277.95
1231200;277.95
1234800;277.95
1238400;277.95
1242000;277.95
1245600;277.95
1249200;277.95
1252800;277.95
1256400;277.95
1260000;277.95
1263600;277.95
1267200;277.95
1270800;277.95
1274400;277.95
1278000;277.95
1281600;277.85
1285200;277.85
1288800;277.85
1292400;277.85
1296000;277.85
1299600;277.85
1303200;277.85
1306800;277.85
1310400;277.85
1314000;277.85
1317600;277.85
1321200;277.85
1324800;277.85
1328400;277.85
1332000;277.85
1335600;277.85
1339200;277.75
1342800;277.75
1346400;277.75
1350000;277.75
1353600;277.75
1357200;277.75
1360800;277.75
1364400;277.75
1368000;277.75
1371600;277.75
1375200;277.75
1378800;277.75
1382400;277.75
1386000;277.75
1389600;277.75
1393200;277.75
1396800;277.75
1400400;277.65
1404000;277.65
1407600;277.65
1411200;277.65
1414800;277.65
1418400;277.65
1422000;277.65
1425600;277.65
1429200;277.65
1432800;277.65
1436400;277.65
1440000;277.65
1443600;277.65
1447200;277.65
1450800;277.65
1454400;277.65
1458000;277.65
1461600;277.65
1465200;277.55
1468800;277.55
1472400;277.55
1476000;277.55
1479600;277.55
1483200;277.55
1486800;277.55
1490400;277.55
1494000;277.55
1497600;277.55
1501200;277.55
1504800;277.55
1508400;277.55
1512000;277.55
1515600;277.45
1519200;277.45
1522800;277.45
1526400;277.45
1530000;277.45
1533600;277.45
1537200;277.45
1540800;277.45
1544400;277.45
1548000;277.45
1551600;277.45
1555200;277.45
1558800;277.35
1562400;277.35
1566000;277.35
1569600;277.35
1573200;277.35
1576800;277.35
1580400;277.35
1584000;277.35
1587600;277.35
1591200;277.35
1594800;277.35
1598400;277.35
1602000;277.35
1605600;277.35
1609200;277.35
1612800;277.25
1616400;277.25
1620000;277.25
1623600;277.25
1627200;277.25
1630800;277.25
1634400;277.25
1638000;277.25
1641600;277.25
1645200;277.25
1648800;277.15
1652400;277.15
1656000;277.15
1659600;277.15
1663200;277.15
1666800;277.15
1670400;277.15
1674000;277.15
1677600;277.15
1681200;277.15
1684800;277.15
1688400;277.15
1692000;277.15
1695600;277.15
1699200;277.15
1702800;277.05
1706400;277.05
1710000;277.05
1713600;277.05
1717200;277.05
1720800;277.05
1724400;277.05
1728000;277.05
1731600;277.05
1735200;277.05
1738800;277.05
1742400;277.05
1746000;276.95
1749600;276.95
1753200;276.95
1756800;276.95
1760400;276.95
1764000;276.95
1767600;276.95
1771200;276.95
1774800;276.95
1778400;276.95
1782000;276.95
1785600;276.95
1789200;276.95
1792800;276.95
1796400;276.85
1800000;276.85
1803600;276.85
1807200;276.85
1810800;276.85
1814400;276.85
1818000;276.85
1821600;276.85
1825200;276.85
1828800;276.85
1832400;276.85
1836000;276.85
1839600;276.75
1843200;276.75
1846800;276.85
1850400;276.75
1854000;276.75
1857600;276.75
1861200;276.75
1864800;276.75
1868400;276.75
1872000;276.75
1875600;276.75
1879200;276.75
1882800;276.75
1886400;276.75
1890000;276.75
1893600;276.75
1897200;276.65
1900800;276.65
1904400;276.65
1908000;276.65
1911600;276.65
1915200;276.65
1918800;276.65
1922400;276.65
1926000;276.65
1929600;276.65
1933200;276.65
1936800;276.65
1940400;276.65
1944000;276.65
1947600;276.65
1951200;276.65
1954800;276.65
1958400;276.65
1962000;276.65
1965600;276.55
1969200;276.55
1972800;276.55
1976400;276.55
1980000;276.55
1983600;276.55
1987200;276.55
1990800;276.55
1994400;276.55
1998000;276.55
2001600;276.55
2005200;276.55
2008800;276.55
2012400;276.55
2016000;276.55
2019600;276.45
2023200;276.45
2026800;276.45
2030400;276.45
2034000;276.45
2037600;276.45
2041200;276.45
2044800;276.45
2048400;276.45
2052000;276.45
2055600;276.45
2059200;276.45
2062800;276.45
2066400;276.45
2070000;276.45
2073600;276.45
2077200;276.45
2080800;276.45
2084400;276.45
2088000;276.35
2091600;276.35
2095200;276.35
2098800;276.35
2102400;276.35
2106000;276.35
2109600;276.35
2113200;276.35
2116800;276.35
2120400;276.35
2124000;276.35
2127600;276.35
2131200;276.35
2134800;276.35
2138400;276.35
2142000;276.35
2145600;276.35
2149200;276.35
2152800;276.35
2156400;276.35
2160000;276.35
2163600;276.25
2167200;276.25
