#1	
double	default(8784, 2) # Time [s], Wind Velocity [m/s], data from Hamburg-Fuhlsbuettel (Latitude:53.633; Longitude:9.988) in 2012, station height 11m. Source: WebWerdis
0	2.4
3600	2.5
7200	3
10800	3.4
14400	3
18000	3.7
21600	5
25200	5.8
28800	5.7
32400	5.8
36000	5.6
39600	5.6
43200	5.2
46800	3.9
50400	4.4
54000	4.4
57600	3.2
61200	3.7
64800	3.9
68400	3.5
72000	4.1
75600	4.9
79200	5.9
82800	8.1
86400	8.9
90000	9.5
93600	5.2
97200	3.2
100800	3.9
104400	4.4
108000	3.8
111600	3.2
115200	3.3
118800	3.7
122400	3.7
126000	3.3
129600	4.2
133200	3.7
136800	4
140400	4.2
144000	3.2
147600	3
151200	3.5
154800	4.9
158400	5.6
162000	5.1
165600	4.6
169200	4.9
172800	5.4
176400	5.2
180000	5.3
183600	6
187200	7.1
190800	7.1
194400	8.3
198000	8
201600	8.4
205200	8.3
208800	8.9
212400	9.1
216000	10.3
219600	10.3
223200	11.5
226800	13
230400	13.1
234000	13
237600	12.5
241200	7.7
244800	8.9
248400	7.6
252000	10.3
255600	9
259200	9.5
262800	8.9
266400	9.2
270000	8.7
273600	7.3
277200	7.6
280800	8.6
284400	8.1
288000	6.9
291600	6.3
295200	8.5
298800	6.9
302400	7.3
306000	7.3
309600	7
313200	6.3
316800	6.9
320400	8.1
324000	7.3
327600	8.3
331200	9
334800	10
338400	9.7
342000	9.9
345600	10.3
349200	10.6
352800	9.7
356400	10
360000	10.3
363600	9.7
367200	10.7
370800	8.8
374400	7.4
378000	7.9
381600	7.9
385200	8.2
388800	8.3
392400	8.5
396000	10.2
399600	10.8
403200	13.1
406800	12.7
410400	12.9
414000	11.8
417600	10.6
421200	10.4
424800	8.8
428400	6.9
432000	6.7
435600	7
439200	6.6
442800	5.3
446400	4.8
450000	4.6
453600	4.5
457200	4.5
460800	3.4
464400	3.7
468000	4.4
471600	4.8
475200	4.9
478800	4.7
482400	4.2
486000	2.8
489600	1.5
493200	3.6
496800	3.9
500400	3.1
504000	3.5
507600	3.8
511200	4.2
514800	4.9
518400	5.7
522000	6.3
525600	6.1
529200	6.3
532800	6.6
536400	7
540000	6.7
543600	6.5
547200	6.4
550800	5.8
554400	5.3
558000	6
561600	7
565200	7.3
568800	8.4
572400	6.4
576000	6.1
579600	6.8
583200	6.1
586800	6.1
590400	5.3
594000	5.6
597600	5.5
601200	5.8
604800	5
608400	5.7
612000	5.7
615600	5.3
619200	5.9
622800	6.3
626400	6.2
630000	6
633600	5.9
637200	4.9
640800	5
644400	5.8
648000	5.8
651600	5.9
655200	6.1
658800	5.9
662400	6.2
666000	5.4
669600	4.8
673200	4.2
676800	3.9
680400	3.7
684000	2.7
687600	3.6
691200	3.1
694800	2.6
698400	1.2
702000	0.8
705600	0.6
709200	1.3
712800	1.8
716400	3.3
720000	2.8
723600	2.4
727200	2.8
730800	3.2
734400	4.4
738000	4.9
741600	4.3
745200	4.3
748800	4.3
752400	4.4
756000	5
759600	5
763200	6.5
766800	6.6
770400	6.6
774000	6.3
777600	7.3
781200	5.6
784800	5.4
788400	5.1
792000	4.7
795600	4
799200	3.8
802800	4.1
806400	3.8
810000	2.6
813600	2.7
817200	3.4
820800	4.2
824400	3.9
828000	4
831600	4.3
835200	4.7
838800	4.9
842400	4.1
846000	4.7
849600	5.1
853200	4
856800	4.5
860400	4.6
864000	3.9
867600	3.8
871200	4.3
874800	4.6
878400	5
882000	4.6
885600	5.2
889200	4.8
892800	5.5
896400	5.2
900000	5.3
903600	5.7
907200	5.4
910800	5.3
914400	5
918000	4.4
921600	3.8
925200	4.4
928800	4.2
932400	4.3
936000	4.5
939600	4.7
943200	4.9
946800	5.5
950400	6.2
954000	6.6
957600	6.6
961200	7.3
964800	7
968400	7.2
972000	7.6
975600	8.1
979200	8.5
982800	8.8
986400	9
990000	8.5
993600	9.2
997200	9.3
1000800	11.1
1004400	11.3
1008000	10.1
1011600	10.2
1015200	9.6
1018800	8.2
1022400	6.7
1026000	6.7
1029600	7
1033200	6.1
1036800	6.7
1040400	7.1
1044000	5.3
1047600	6.4
1051200	7.7
1054800	5.8
1058400	4
1062000	6.2
1065600	6.3
1069200	7
1072800	6.7
1076400	8.6
1080000	5.4
1083600	8.9
1087200	10.1
1090800	8.8
1094400	7.7
1098000	8.6
1101600	8.6
1105200	8.1
1108800	7.7
1112400	7.5
1116000	7.2
1119600	6.2
1123200	4.9
1126800	4.5
1130400	4.3
1134000	4.1
1137600	3.9
1141200	2.9
1144800	2.3
1148400	2.4
1152000	2.4
1155600	2.9
1159200	4.1
1162800	4.2
1166400	4.2
1170000	4.2
1173600	4.7
1177200	3.7
1180800	2.4
1184400	2.2
1188000	2.3
1191600	2
1195200	2
1198800	2.1
1202400	1.9
1206000	1.2
1209600	1.2
1213200	1.4
1216800	1.4
1220400	1.7
1224000	1.9
1227600	1.3
1231200	1.2
1234800	1
1238400	1
1242000	0.8
1245600	0.8
1249200	1.6
1252800	1.5
1256400	2
1260000	2.1
1263600	2.2
1267200	1.1
1270800	1.1
1274400	1.3
1278000	0.6
1281600	0.5
1285200	0.5
1288800	0.6
1292400	0.5
1296000	0.4
1299600	1
1303200	0.9
1306800	1.3
1310400	0.6
1314000	0.5
1317600	0.9
1321200	1.2
1324800	1.4
1328400	1
1332000	1.5
1335600	2.3
1339200	2.3
1342800	2.5
1346400	2.6
1350000	3
1353600	2.1
1357200	1.5
1360800	1.9
1364400	1.9
1368000	2.5
1371600	2.2
1375200	2.3
1378800	2.8
1382400	2.8
1386000	3
1389600	2.9
1393200	3.6
1396800	3.1
1400400	3
1404000	3.4
1407600	3.3
1411200	3.3
1414800	3.7
1418400	3.3
1422000	3.4
1425600	3.6
1429200	4
1432800	3.6
1436400	2.8
1440000	1.8
1443600	1.9
1447200	2
1450800	2.1
1454400	2.4
1458000	2.7
1461600	2
1465200	2.9
1468800	2.2
1472400	2.6
1476000	1.7
1479600	2
1483200	2.6
1486800	2.3
1490400	2.2
1494000	3.2
1497600	3.4
1501200	4.5
1504800	4.6
1508400	5.3
1512000	5.2
1515600	5.7
1519200	6
1522800	6.2
1526400	7.1
1530000	7.2
1533600	6.1
1537200	5.8
1540800	5.4
1544400	6.1
1548000	5.6
1551600	5.4
1555200	4.8
1558800	4
1562400	3.6
1566000	3.5
1569600	3.6
1573200	3.8
1576800	3.9
1580400	4.5
1584000	5
1587600	5.5
1591200	5.5
1594800	5.2
1598400	5.4
1602000	4.7
1605600	4.9
1609200	5.5
1612800	6
1616400	7.8
1620000	8.2
1623600	5.1
1627200	4.8
1630800	4.6
1634400	4.8
1638000	4.1
1641600	4.3
1645200	4.8
1648800	4.1
1652400	4.6
1656000	7
1659600	6.7
1663200	3.2
1666800	3.5
1670400	3.7
1674000	3
1677600	4.1
1681200	5.8
1684800	5.5
1688400	4.2
1692000	4.2
1695600	4.5
1699200	4
1702800	4.2
1706400	4.5
1710000	4.4
1713600	4.6
1717200	5
1720800	5
1724400	4.9
1728000	4.6
1731600	3.6
1735200	3.2
1738800	3.9
1742400	4.1
1746000	4.2
1749600	4.3
1753200	4.9
1756800	6.3
1760400	7.7
1764000	7.6
1767600	7.7
1771200	8.3
1774800	6
1778400	7.3
1782000	6
1785600	5.6
1789200	5.5
1792800	6.4
1796400	7
1800000	3.4
1803600	4.1
1807200	5.6
1810800	6.3
1814400	7.3
1818000	6.5
1821600	7.1
1825200	8.4
1828800	7.5
1832400	8.4
1836000	7.7
1839600	9.4
1843200	8.9
1846800	8.2
1850400	8.5
1854000	7.8
1857600	7.8
1861200	6.8
1864800	6.2
1868400	4.3
1872000	3.4
1875600	2.4
1879200	3.3
1882800	4.4
1886400	4.2
1890000	4.8
1893600	3.8
1897200	4.3
1900800	3.6
1904400	2.3
1908000	2
1911600	0.6
1915200	1.1
1918800	0.9
1922400	0.5
1926000	0.8
1929600	0.5
1933200	0.5
1936800	1.2
1940400	1.7
1944000	1.6
1947600	1.6
1951200	2
1954800	2.2
1958400	2
1962000	2
1965600	1.6
1969200	1.1
1972800	1.3
1976400	1.3
1980000	0.7
1983600	0.5
1987200	0.7
1990800	1.2
1994400	1
1998000	1.1
2001600	0.7
2005200	0.9
2008800	1.1
2012400	1.2
2016000	2.1
2019600	2.2
2023200	2.3
2026800	2.2
2030400	2.3
2034000	2.2
2037600	1.9
2041200	1.6
2044800	2.2
2048400	2.5
2052000	2.9
2055600	2.4
2059200	2.3
2062800	2.6
2066400	2.3
2070000	2.5
2073600	2
2077200	1.5
2080800	2.2
2084400	2
2088000	1.6
2091600	2.7
2095200	2.5
2098800	2.5
2102400	2.2
2106000	3.4
2109600	3.6
2113200	4.9
2116800	5.1
2120400	5.1
2124000	4.9
2127600	4.4
2131200	4.8
2134800	4.6
2138400	5
2142000	5.2
2145600	4.4
2149200	5.6
2152800	5.7
2156400	5.4
2160000	5.4
2163600	5.8
2167200	5.9
2170800	6
2174400	5.4
2178000	6.1
2181600	5.7
2185200	5.5
2188800	6.1
2192400	6.6
2196000	7.7
2199600	8.6
2203200	9
2206800	8.8
2210400	8
2214000	8.1
2217600	6.8
2221200	6.6
2224800	7.5
2228400	7.8
2232000	8.5
2235600	9.1
2239200	8.4
2242800	7.8
2246400	7.4
2250000	6.5
2253600	7.4
2257200	6.9
2260800	6.6
2264400	6.4
2268000	5.8
2271600	5.6
2275200	5.7
2278800	6.2
2282400	5.5
2286000	5.2
2289600	5.7
2293200	5.3
2296800	5.5
2300400	4.7
2304000	4.3
2307600	4.7
2311200	4.5
2314800	4.5
2318400	3.7
2322000	4.1
2325600	3.9
2329200	3.7
2332800	4.3
2336400	4.3
2340000	4.5
2343600	3.7
2347200	3.5
2350800	3.1
2354400	3
