#1
# Typical meterological year Source: DOE/ASHRAE2015	
double	default(8760, 2)
0	10.3
3600	10.8
7200	11.3
10800	10.3
14400	11.3
18000	11.8
21600	10.3
25200	10.3
28800	10.3
32400	9.3
36000	9.3
39600	9.3
43200	9.3
46800	7.7
50400	8.2
54000	8.2
57600	8.2
61200	8.2
64800	7.7
68400	9.8
72000	10.3
75600	9.3
79200	9.3
82800	8.7
86400	7.2
90000	8.2
93600	8.2
97200	7.7
100800	7.7
104400	8.2
108000	7.7
111600	7.7
115200	7.7
118800	7.7
122400	8.2
126000	7.2
129600	7.7
133200	7.7
136800	7.2
140400	6.2
144000	5.1
147600	6.2
151200	6.7
154800	8.2
158400	8.7
162000	8.7
165600	10.8
169200	12.9
172800	11.8
176400	12.9
180000	12.9
183600	11.8
187200	13.9
190800	12.9
194400	10.8
198000	9.3
201600	7.2
205200	7.7
208800	9.8
212400	10.8
216000	10.8
219600	9.8
223200	11.3
226800	11.8
230400	10.8
234000	11.3
237600	11.8
241200	11.3
244800	7.7
248400	7.7
252000	8.2
255600	8.2
259200	9.8
262800	9.8
266400	10.8
270000	10.8
273600	11.3
277200	10.8
280800	8.7
284400	8.2
288000	5.7
291600	7.2
295200	7.2
298800	7.2
302400	7.2
306000	6.2
309600	6.7
313200	6.7
316800	6.7
320400	6.2
324000	6.7
327600	5.7
331200	5.7
334800	5.7
338400	5.7
342000	4.1
345600	4.1
349200	3.6
352800	3.6
356400	3.6
360000	3.6
363600	3.6
367200	2.6
370800	3.1
374400	5.1
378000	4.1
381600	5.1
385200	4.6
388800	4.6
392400	5.1
396000	5.1
399600	6.2
403200	7.2
406800	7.2
410400	7.7
414000	9.3
417600	7.7
421200	8.2
424800	9.3
428400	8.2
432000	7.7
435600	7.7
439200	5.1
442800	4.1
446400	4.6
450000	4.6
453600	4.6
457200	3.6
460800	4.6
464400	4.6
468000	4.1
471600	5.1
475200	5.1
478800	5.1
482400	5.1
486000	3.6
489600	3.6
493200	4.1
496800	5.1
500400	5.7
504000	5.7
507600	5.1
511200	6.2
514800	5.7
518400	5.7
522000	6.2
525600	5.1
529200	7.2
532800	7.2
536400	8.2
540000	7.2
543600	7.2
547200	8.7
550800	10.8
554400	8.2
558000	9.3
561600	8.2
565200	7.2
568800	6.7
572400	6.2
576000	5.7
579600	4.6
583200	4.6
586800	5.7
590400	5.7
594000	6.7
597600	8.2
601200	8.7
604800	10.3
608400	10.3
612000	7.7
615600	7.7
619200	9.3
622800	9.8
626400	9.3
630000	8.2
633600	7.7
637200	6.7
640800	7.7
644400	8.2
648000	6.7
651600	6.2
655200	4.6
658800	3.1
662400	3.1
666000	3.6
669600	4.1
673200	5.7
676800	6.2
680400	6.2
684000	6.2
687600	4.1
691200	5.7
694800	5.1
698400	5.7
702000	6.2
705600	5.9
709200	5.7
712800	6.2
716400	5.1
720000	4.1
723600	3.1
727200	4.1
730800	3.6
734400	3.6
738000	4.1
741600	4.1
745200	4.6
748800	3.1
752400	2.6
756000	3.6
759600	1.5
763200	2.6
766800	2.1
770400	2.6
774000	2.6
777600	1.5
781200	2.1
784800	2.6
788400	2.6
792000	1.5
795600	1
799200	0
802800	0
806400	0
810000	0
813600	0
817200	2.6
820800	3.1
824400	3.1
828000	4.1
831600	3.6
835200	5.1
838800	5.1
842400	6.7
846000	5.1
849600	5.1
853200	6.2
856800	7.2
860400	7.7
864000	7.7
867600	7.7
871200	7.7
874800	9.3
878400	8.2
882000	9.3
885600	8.7
889200	9.3
892800	8.7
896400	7.7
900000	8.2
903600	8.7
907200	9.3
910800	8.7
914400	8.2
918000	8.2
921600	9.3
925200	9.3
928800	9.8
932400	9.8
936000	8.7
939600	9.8
943200	9.3
946800	9.3
950400	8.7
954000	8.2
957600	9.3
961200	8.2
964800	8.7
968400	8.7
972000	8.2
975600	9.8
979200	7.7
982800	6.7
986400	7.2
990000	6.2
993600	7.2
997200	7.2
1000800	6.2
1004400	4.6
