#1;0;0.0.1;0.0.2;0.0.3;0.0.4;0.0.5;0.0.6;0.0.7
"#Heat demand profiles as used in the project IntegraNet (GWI/UMSICHT). Calculated based on different sources. For details see:  Gemeinsamer Abschlussbericht des Forschungsvorhabens IntegraNet: ""Integrierte Betrachtung von Strom-, Gas- und Wärmesystemen zur modellbasierten Optimierung des Energieausgleichs- und Transportbedarfs innerhalb der deutschen Energienetze"", Benthin et al. (2020)";0;0;0;0;0;0;0;0
#;6WE_27;6WE_24;6WE_19;6WE_1;6WE_29;6WE_15;6WE_11;6WE_10
double default(8761,9);;;;;;;;
0;0;0;0;0;0;0;0;0
3600;38498.85666;8464.098511;9704.867188;9546.277954;9495.952332;9443.355286;8951.554871;9076.503418
7200;39408.98031;7974.667603;9248.213623;9418.242188;8772.012695;8906.10553;8585.63147;8912.941711
10800;39293.8052;13137.97345;13432.76526;13256.04572;13283.7713;12952.72656;13269.84125;12655.79913
14400;35211.71505;12645.85919;13531.97815;13519.83282;12862.84845;13025.88672;12832.47601;13505.61945
18000;29961.84682;5258.266113;7352.587402;5665.480469;5365.524414;5847.914551;4907.725586;4303.44043
21600;25328.77976;8128.646973;9429.727539;8877.088867;8911.856445;8991.666016;8495.363281;8274.241211
25200;18472.83793;10260.94238;11989.30078;10778.41113;11193.35449;10824.03418;11602.52344;10467.53906
28800;11932.50045;11757.64746;12604.44336;12885.1875;12752.56543;12665.72852;12447.12305;12595.26074
32400;6774.16044;11944.98047;13202.88281;10267.48145;11993.57617;11916.66699;11782.12891;12205.07227
36000;0;14801.30664;17094.14063;21073.98047;17087.80664;16173.1748;16792.14063;18387.53125
39600;0;17604.18359;19027.75586;19850.92773;16255.61328;15049.37207;18799.04688;18313.25195
43200;0;17095.99805;17782.55664;19335.8125;20962.01367;22151.31836;20269.69531;19046.76367
46800;0;16488.7832;16783.33984;16549.91016;18597.88672;19836.47656;16733.24219;17601.2832
50400;0;16624.4375;16914.45508;16869.23633;17357.78906;18451.82617;17171.60547;15687.51855
54000;0;16287.89648;14679.68945;17137.90625;15086.31738;15667.02246;14066.2998;17088.03125
57600;0;16978.5957;16608.19727;17677.05078;16585.625;17345.6582;16405.11328;17519.01367
61200;0;14096.6377;14456.47559;16389.61133;13386.51953;15321.94141;13470.48438;15343.74609
64800;0;14883.16504;15006.50293;17836.78125;14751.14941;16722.15234;14803.91504;16038.4834
68400;0;18876.99414;17321.62891;20576.21094;16771.37891;17077.43359;16113.91992;18914.99414
72000;7176.748649;19681.09766;19247.61133;21239.14844;19799.32617;21495.77734;20355.17383;19853.61914
75600;17154.81642;16226.7334;16585.04688;18164.7207;17439.20313;17809.18164;16674.57031;18306.79297
