#1;0;0;0;0
"#Heat demand profiles as used in the project IntegraNet (GWI/UMSICHT). Calculated based on different sources. For details see:  Gemeinsamer Abschlussbericht des Forschungsvorhabens IntegraNet: ""Integrierte Betrachtung von Strom-, Gas- und Wärmesystemen zur modellbasierten Optimierung des Energieausgleichs- und Transportbedarfs innerhalb der deutschen Energienetze"", Benthin et al. (2020)";;;;
#;6WE_5;6WE_30;6WE_25;6WE_31
double default(8761,5);;;;
0;0;0;0;0
3600;8870.707764;8806.830627;8774.766907;8926.939209
7200;8296.002197;8191.087524;8036.962524;8897.126953
10800;13318.49084;12702.14966;12659.7196;13975.95239
14400;12674.51819;12893.69556;12382.04773;13772.62622
18000;5669.520508;6840.774414;7308.149902;5631.066406
21600;8594.819336;8310.761719;9298.305664;9352.154297
25200;10906.32031;10582.45117;12109.28906;11203.80078
28800;13294.91699;11449.86035;12352.62402;12733.07813
32400;12669.55957;12231.18848;13010.38477;11765.24219
36000;18718.57422;14136.9541;14254.77441;17561.61719
39600;16155.95215;17495.73438;14172.61621;18024.38672
43200;17156.46875;17884.57617;14982.40527;18722.3125
46800;14924.15039;17278.12891;15416.24414;17825.63672
50400;17184.28906;18008.60352;16079.81641;18130.67383
54000;16815.13477;16677.89453;15220.17383;16010.48535
57600;16139.08496;16953.41016;14336.14844;18132.53906
61200;15265.51172;15307.64844;12284.3125;16917.35156
64800;16238.33398;15272.73242;13116.68066;17977.67969
68400;16928.75977;16200.18457;14396.97461;19000.60352
72000;18439.44336;20449.82617;17797.63086;20386.51367
75600;17587.20898;17677.83984;16167.63574;18231.38477
79200;18757.69531;16146.40234;16562.05664;19205.91016
82800;16552.55664;18083.0332;16741.63867;18420.89258
86400;16807.53516;15846.54004;15979.7793;18215.05273
90000;16646.14453;18027.11133;17186.70898;20346.80664
93600;19059.54102;18711.52734;20817.52344;20283.32422
97200;15153.1582;16500.78125;16647.47656;16260.62988
100800;12689.87402;13428.21191;15016.44824;14554.81445
104400;11538.55859;17015.33984;14944.19141;11488.85547
108000;16093.32422;16161.86133;17460.44336;17007.89453
111600;17138.35938;17001.33008;18739.61133;18042.58203
115200;19280.84375;17318.33008;18510.93359;18739.74414
118800;19003.91211;17530.52539;18741.92969;17806.89844
122400;24613.82422;19936.59375;22238.99414;23829.11914
126000;22711.19336;23243.2793;19934.58398;25142.16406
129600;23487.2207;22784.72266;20562.55469;24666.1582
133200;20788.48438;21361.5332;21106.24609;23378.75586
136800;21571.16406;22254.66602;21790.86133;21345.87305
140400;20994.90039;21231.46094;20018.0957;21649.91016
144000;21147.93555;21489.16797;19418.15234;23017.06836
147600;19031.05078;20064.09766;17518.83398;19278.13672
151200;19833.08984;20682.7168;18276.47266;21147.61133
154800;20458.22852;20603.70703;18265.94727;22238.56445
158400;22102.73828;23036.26172;20428.28711;23200.99805
162000;19613.60742;21006.69336;19391.61914;21432.16016
165600;22052.07813;19608.33203;19840.57227;22417.98047
169200;18727.85547;20188.66406;19415.16797;20287.03906
172800;17209.45313;15554.9668;18315.68555;20582.83594
176400;16297.42188;18058.94922;19043.10742;21564.21094
180000;18647.9082;19108.97656;20332.53125;20332.9082
183600;12994.62793;16220.67676;16351.08984;16106.93555
187200;12318.48828;13128.33008;15297.84473;14631.42188
190800;11114.08887;16902.57031;14865.32422;11495.17383
194400;16650.11719;16764.375;17553.75391;17631.04102
198000;17318.66211;17442.59375;19864.36914;18521.02539
201600;19574.08984;17944.66406;18720.35742;19311.21289
205200;19422.63867;18344.76367;19242.20898;18369.67969
208800;24625.18555;20560.93359;21680.83789;24128.07617
212400;21667.15234;24034.05664;21281.06641;24145.32031
216000;22986.98242;22772.93945;21950.72266;24453.75195
219600;20533.80273;21835.33789;22033.57422;22277.50781
223200;22169.37891;22885.16406;22093.69531;23059.41211
226800;20999.625;21840.15039;20223.49609;22509.71875
230400;20890.31445;21508.65039;21316.03125;23422.42188
234000;20141.39258;20791.29297;18052.60938;21612.05469
237600;19824.23633;21502.16016;18486.07617;22387.78711
241200;19448.53125;21215.08203;18059.9375;23370.65234
244800;21252.70508;22552.28711;21426.75391;24094.62891
248400;20102.50781;21283.23828;18627.375;21412.57031
252000;23055.78906;19002.30273;19758.49219;22791.97461
255600;21239.21484;21461.45313;20697.91797;21221.52344
259200;18753.90234;20251.22461;18732.41602;22220.96094
262800;20647.49023;19607.62305;20827.29883;22936.52344
266400;23930.66992;20689.93164;23827.99023;23678.89844
270000;18446.95703;19961.76367;20813.75195;20543.95508
273600;17231.44336;15998.14844;19234.95508;18198.74609
277200;14074.98633;20552.71484;17751.81836;13896.18359
280800;20143.33398;20385.64063;21901.64844;21506.69531
284400;21743.32227;19359.68164;23421.36133;22657.58203
288000;24745.57422;22402.08008;23613.40039;24124.61133
291600;24166.56836;23703.09375;24035.56836;23022.4668
295200;30841.75195;26291.89453;27548.86328;29604.8125
298800;28287.97266;28969.16016;26576.7207;31779.16992
302400;29530.78125;29140.50586;26960.14063;29665.68555
306000;26225.03711;27694.33594;27893.82227;27038.37109
309600;27501.82617;28888.76172;28410.61133;28634.02344
313200;26771.95508;27268.0957;26263.625;26798.36914
316800;24342.15625;25230.62109;24503.56445;26379.65039
320400;20211.93945;21312.60742;20252.45898;22655.72266
324000;19161.55469;20789.15234;18976.61523;22178.92773
327600;17769.38281;19475.57031;17692.93945;21364.78516
331200;22057.67773;22931.22656;20694.85156;23817.17773
334800;20406.0918;22123.60547;20581.46875;22694.42578
338400;25678.39063;21307.79883;22292.99805;24533.22852
342000;23130.18164;23258.80664;22180.70703;23906.35547
345600;21005.19531;21553.91992;21145.32813;24058.92773
349200;23512.26758;22955.47852;22985.56445;25277.01758
352800;25080.16602;22454.50195;25533.45313;25260.17383
356400;19945.76563;18461.17969;21402.5918;21688.19727
360000;18809.18945;16320.51465;20340.67578;20127.07031
363600;14672.10059;22006.99023;19521.07031;15110.02148
367200;22142.9043;21634.86133;23453.28711;22833.62695
370800;23326.25391;23031.45313;24848.54688;24108.61914
374400;25752.97461;23965.24805;24685.06445;25280.23047
378000;25731.98828;24740.98047;24844.34375;24168.11328
381600;32335.91797;27500.9707;29240.9375;31115.31641
385200;28749.43164;30963.73047;30747.13281;31921.99414
388800;29482.35156;30405.81445;27428.64453;30396.87109
392400;25431.06641;29029.36914;29426.59375;29940.08984
396000;30561.97461;30730.43359;29755.97266;30179.04883
399600;30124.12305;29591.51953;27407.52734;27965.80664
