#1;0;0;0;0;0;0;0;0
"#Heat demand profiles as used in the project IntegraNet (GWI/UMSICHT). Calculated based on different sources. For details see:  Gemeinsamer Abschlussbericht des Forschungsvorhabens IntegraNet: ""Integrierte Betrachtung von Strom-, Gas- und Wärmesystemen zur modellbasierten Optimierung des Energieausgleichs- und Transportbedarfs innerhalb der deutschen Energienetze"", Benthin et al. (2020)";;;;;;;;
#;6WE_26;6WE_14;6WE_32;6WE_8;6WE_9;6WE_16;6WE_20;6WE_18
double default(8761,9);;;;;;;;
0;0;0;0;0;0;0;0;0
3600;335.6441383;376.9691715;339.8719616;8635.811951;8890.440979;143.5548534;231.6082001;318.2077942
7200;619.1931038;651.8443375;636.5652809;8274.240173;8228.105286;630.9700241;382.8881683;718.2255859
10800;1257.024895;1280.261948;1244.375343;13226.10455;12849.54248;1187.144539;1338.735901;1192.518654
14400;2028.482414;1958.210922;2021.524513;12861.36041;13038.10889;2193.649544;1863.588928;1982.621193
18000;0;272.0270081;0;3073.748047;5710.047363;0;805.8372803;0
21600;0;334.3481445;503.8610229;8060.337891;8657.201172;439.4013672;919.7579346;0
25200;0;955.9710083;552.7593994;11014.56348;10722.03125;1125.51001;1437.080444;1589.387817
28800;1910.702148;997.7650146;595.5626221;13395.55176;12526.47168;1899.36853;2040.111694;1238.975098
32400;853.6056519;1350.891113;1629.499146;12423.51465;11787.3916;1381.000732;1772.496216;3060.321289
36000;6327.515137;7091.370117;4195.885254;18865.03125;20549.81445;1694.731567;4136.384766;4988.853027
39600;5531.878906;4504.007813;2284.600098;19167.35742;18487.19141;3082.440674;1237.844116;5236.369629
43200;5286.379883;6518.663574;3073.539063;19314.83594;21314.55078;5730.918945;1200.712769;3478.613525
46800;2898.435059;2589.009766;2975.883057;17049.67383;16556.28711;4028.471924;1690.819824;2870.565674
50400;3598.720703;2672.646484;2029.649902;18052.76758;16321.24023;2641.562744;3042.97168;3067.992676
54000;1966.669067;1649.665894;1175.782349;15750.38574;14698.02051;1988.740723;1861.659302;2359.252441
57600;3193.637695;2015.227661;1569.12146;18009.2832;17022.33203;2872.908691;2050.575195;2150.101807
61200;1577.894775;1259.650879;395.5870056;14094.57129;14838.85156;1744.941162;1184.324951;1458.648438
