#1
#normalized CHP electric power for heat coverage of 60 percent following the HMF SLP Gas	
#generated by D:\01-transientee-sources\matlab\pd\Optimierung\Vorbereitung\Model_Biomass_minimum_power.m
double	default(35040, 2)
0	0.2728
3600	0.29901
7200	0.28114
10800	0.30496
14400	0.41218
18000	0.61469
21600	0.62541
25200	0.60159
28800	0.5861
32400	0.55275
36000	0.53249
39600	0.51582
43200	0.50629
46800	0.49914
50400	0.49914
54000	0.51343
57600	0.54202
61200	0.57061
64800	0.59444
68400	0.61112
72000	0.60516
75600	0.55155
79200	0.47055
82800	0.34904
86400	0.3061
90000	0.3355
93600	0.31545
97200	0.34219
100800	0.46249
104400	0.68972
108000	0.70175
111600	0.67502
115200	0.65764
118800	0.62021
122400	0.59749
126000	0.57878
129600	0.56808
133200	0.56006
136800	0.56006
140400	0.5761
144000	0.60818
147600	0.64026
151200	0.667
154800	0.68571
158400	0.67903
162000	0.61888
165600	0.52798
169200	0.39164
172800	0.35399
176400	0.388
180000	0.36481
183600	0.39573
187200	0.53485
190800	0.79764
194400	0.81155
198000	0.78064
201600	0.76054
205200	0.71726
208800	0.69098
212400	0.66934
216000	0.65697
219600	0.6477
223200	0.6477
226800	0.66625
230400	0.70335
234000	0.74045
237600	0.77136
241200	0.793
244800	0.78527
248400	0.71571
252000	0.6106
255600	0.45292
259200	0.37987
262800	0.41636
266400	0.39148
270000	0.42466
273600	0.57395
277200	0.85595
280800	0.87088
284400	0.83771
288000	0.81614
291600	0.76969
295200	0.74149
298800	0.71827
302400	0.705
306000	0.69505
309600	0.69505
313200	0.71495
316800	0.75476
320400	0.79458
324000	0.82775
327600	0.85098
331200	0.84268
334800	0.76803
338400	0.65523
342000	0.48604
345600	0.38533
349200	0.42235
352800	0.39711
356400	0.43077
360000	0.58221
363600	0.86826
367200	0.88341
370800	0.84975
374400	0.82788
378000	0.78076
381600	0.75216
385200	0.7286
388800	0.71514
392400	0.70504
396000	0.70504
399600	0.72523
403200	0.76562
406800	0.806
410400	0.83966
414000	0.86321
417600	0.8548
421200	0.77908
424800	0.66466
428400	0.49302
432000	0.4375
435600	0.46519
439200	0.47072
442800	0.5058
446400	0.62948
450000	0.93037
453600	0.92114
457200	0.8953
460800	0.89161
464400	0.87315
468000	0.84915
471600	0.82331
475200	0.81592
478800	0.81408
482400	0.81961
486000	0.827
489600	0.86207
493200	0.89161
496800	0.91007
500400	0.90638
504000	0.88607
507600	0.80854
511200	0.70516
514800	0.51872
518400	0.40471
522000	0.44359
525600	0.41708
529200	0.45242
532800	0.61148
536400	0.91191
540000	0.92782
543600	0.89247
547200	0.8695
550800	0.82001
554400	0.78997
558000	0.76523
561600	0.75109
565200	0.74049
568800	0.74049
572400	0.76169
576000	0.80411
579600	0.84652
583200	0.88187
586800	0.90661
590400	0.89777
594000	0.81825
597600	0.69807
601200	0.51781
604800	0.39015
608400	0.42763
612000	0.40208
615600	0.43615
619200	0.58949
622800	0.87912
626400	0.89445
630000	0.86038
633600	0.83823
637200	0.79052
640800	0.76156
644400	0.73771
648000	0.72408
651600	0.71386
655200	0.71386
658800	0.7343
662400	0.77519
666000	0.81608
669600	0.85015
673200	0.87401
676800	0.86549
680400	0.78882
684000	0.67297
687600	0.49919
691200	0.39516
694800	0.43312
698400	0.40724
702000	0.44175
705600	0.59705
709200	0.8904
712800	0.90593
716400	0.87142
720000	0.84899
723600	0.80067
727200	0.77134
730800	0.74718
734400	0.73337
738000	0.72302
741600	0.72302
745200	0.74373
748800	0.78514
752400	0.82656
756000	0.86107
759600	0.88523
763200	0.8766
766800	0.79895
770400	0.68161
774000	0.5056
777600	0.39203
781200	0.42969
784800	0.40401
788400	0.43825
792000	0.59233
795600	0.88335
799200	0.89876
802800	0.86452
806400	0.84227
810000	0.79433
813600	0.76523
817200	0.74126
820800	0.72757
824400	0.7173
828000	0.7173
831600	0.73784
835200	0.77893
838800	0.82001
842400	0.85425
846000	0.87822
849600	0.86966
853200	0.79262
856800	0.67621
860400	0.50159
864000	0.35554
867600	0.3897
871200	0.36641
874800	0.39746
878400	0.53719
882000	0.80113
885600	0.8151
889200	0.78405
892800	0.76387
896400	0.72039
900000	0.694
903600	0.67226
907200	0.65984
910800	0.65053
914400	0.65053
918000	0.66916
921600	0.70642
925200	0.74368
928800	0.77473
932400	0.79647
936000	0.78871
939600	0.71884
943200	0.61327
946800	0.4549
950400	0.34597
954000	0.37921
957600	0.35655
961200	0.38677
964800	0.52274
968400	0.77957
972000	0.79317
975600	0.76296
979200	0.74331
982800	0.70101
986400	0.67533
990000	0.65418
993600	0.64209
997200	0.63303
1000800	0.63303
1004400	0.65116
1008000	0.68741
1011600	0.72367
1015200	0.75389
1018800	0.77504
1022400	0.76749
1026000	0.6995
1029600	0.59677
1033200	0.44266
1036800	0.39787
1040400	0.43609
1044000	0.41003
1047600	0.44477
1051200	0.60114
1054800	0.8965
1058400	0.91214
1062000	0.87739
1065600	0.8548
1069200	0.80615
1072800	0.77662
1076400	0.7523
1080000	0.7384
1083600	0.72797
1087200	0.72797
1090800	0.74882
1094400	0.79052
1098000	0.83222
1101600	0.86696
1105200	0.89129
1108800	0.8826
1112400	0.80442
1116000	0.68627
1119600	0.50906
1123200	0.47258
1126800	0.50249
1130400	0.50848
1134000	0.54636
1137600	0.67996
1141200	1.005
1144800	0.99502
1148400	0.9671
1152000	0.96311
1155600	0.94317
1159200	0.91725
1162800	0.88933
1166400	0.88136
1170000	0.87936
1173600	0.88535
1177200	0.89332
1180800	0.93121
1184400	0.96311
1188000	0.98305
1191600	0.97906
1195200	0.95713
1198800	0.87338
1202400	0.76172
1206000	0.56032
1209600	0.55027
1213200	0.58509
1216800	0.59206
1220400	0.63617
1224000	0.79173
1227600	1.0134
1231200	1.0134
1234800	1.0134
1238400	1.0134
1242000	1.0134
1245600	1.0134
1249200	1.0134
1252800	1.0134
1256400	1.0134
1260000	1.0134
1263600	1.0134
1267200	1.0134
1270800	1.0134
1274400	1.0134
1278000	1.0134
1281600	1.0134
1285200	1.0134
1288800	0.88693
1292400	0.65242
1296000	0.54074
1299600	0.57497
1303200	0.58181
1306800	0.62516
1310400	0.77803
1314000	1.0134
1317600	1.0134
1321200	1.0134
1324800	1.0134
1328400	1.0134
1332000	1.0134
1335600	1.0134
1339200	1.0085
1342800	1.0062
1346400	1.013
1350000	1.0134
1353600	1.0134
1357200	1.0134
1360800	1.0134
1364400	1.0134
1368000	1.0134
1371600	0.99935
1375200	0.87158
1378800	0.64113
1382400	0.51562
1386000	0.54826
1389600	0.55478
1393200	0.59612
1396800	0.74189
1400400	1.0134
1404000	1.0134
1407600	1.0134
1411200	1.0134
1414800	1.0134
1418400	1.0008
1422000	0.97033
1425600	0.96163
1429200	0.95945
1432800	0.96598
1436400	0.97468
1440000	1.0134
1443600	1.0134
1447200	1.0134
1450800	1.0134
1454400	1.0134
1458000	0.95292
1461600	0.83109
1465200	0.61135
1468800	0.52561
1472400	0.55888
1476000	0.56553
1479600	0.60767
1483200	0.75626
1486800	1.0134
1490400	1.0134
1494000	1.0134
1497600	1.0134
1501200	1.0134
1504800	1.0134
1508400	0.98913
1512000	0.98026
1515600	0.97804
1519200	0.98469
1522800	0.99356
1526400	1.0134
1530000	1.0134
1533600	1.0134
1537200	1.0134
1540800	1.0134
1544400	0.97138
1548000	0.84719
1551600	0.62319
1555200	0.47776
1558800	0.508
1562400	0.51405
1566000	0.55235
1569600	0.68741
1573200	1.0134
1576800	1.0059
1580400	0.9777
1584000	0.97366
1587600	0.95351
1591200	0.9273
1594800	0.89908
1598400	0.89101
1602000	0.889
1605600	0.89505
1609200	0.90311
1612800	0.94141
1616400	0.97366
1620000	0.99382
1623600	0.98979
1627200	0.96762
1630800	0.88295
1634400	0.77006
1638000	0.56646
1641600	0.48915
1645200	0.52011
1648800	0.5263
1652400	0.56551
1656000	0.70379
1659600	1.0134
1663200	1.0134
1666800	1.001
1670400	0.99687
1674000	0.97623
1677600	0.9494
1681200	0.9205
1684800	0.91225
1688400	0.91018
1692000	0.91638
1695600	0.92463
1699200	0.96385
1702800	0.99687
1706400	1.0134
1710000	1.0134
1713600	0.99068
1717200	0.90399
1720800	0.78841
1724400	0.57996
1728000	0.48033
1731600	0.51073
1735200	0.51681
1738800	0.55532
1742400	0.69111
1746000	1.0134
1749600	1.0113
1753200	0.98296
1756800	0.97891
1760400	0.95864
1764000	0.93229
1767600	0.90392
1771200	0.89581
1774800	0.89378
1778400	0.89986
1782000	0.90797
1785600	0.94648
1789200	0.97891
1792800	0.99917
1796400	0.99512
1800000	0.97283
1803600	0.8877
1807200	0.77421
1810800	0.56951
1814400	0.45965
1818000	0.48874
1821600	0.49456
1825200	0.53141
1828800	0.66136
1832400	0.97749
1836000	0.96779
1839600	0.94064
1843200	0.93676
1846800	0.91736
1850400	0.89215
1854000	0.865
1857600	0.85724
1861200	0.8553
1864800	0.86112
1868400	0.86888
1872000	0.90573
1875600	0.93676
1879200	0.95615
1882800	0.95227
1886400	0.93094
1890000	0.84948
1893600	0.74087
1897200	0.54499
1900800	0.49552
1904400	0.52688
1908000	0.53315
1911600	0.57288
1915200	0.71296
1918800	1.0134
1922400	1.0134
1926000	1.0134
1929600	1.0099
1933200	0.98895
1936800	0.96177
1940400	0.9325
1944000	0.92413
1947600	0.92204
1951200	0.92831
1954800	0.93668
1958400	0.9764
1962000	1.0099
1965600	1.0134
1969200	1.0134
1972800	1.0036
1976400	0.91577
1980000	0.79868
1983600	0.58751
1987200	0.50464
1990800	0.53658
1994400	0.54297
1998000	0.58343
