#1
# Original data (from VDI2008) for typical single days. Single days are used to generate a yearly profile. See: \\transientee-sources\matlab\pd\Grundlagen\Verbraucherdaten\VDI4655 for details.
double	default(35136,2)
0	288.1969
900	288.1969
1800	288.1969
2700	288.1969
3600	288.1969
4500	288.1969
5400	230.5581
6300	345.8366
7200	288.1969
8100	345.8366
9000	288.1969
9900	288.1969
10800	345.8366
11700	288.1969
12600	345.8366
13500	288.1969
14400	288.1969
15300	403.4764
16200	288.1969
17100	345.8366
18000	288.1969
18900	288.1969
19800	288.1969
20700	288.1969
21600	345.8366
22500	403.4764
23400	288.1969
24300	288.1969
25200	288.1969
26100	345.8366
27000	403.4764
27900	288.1969
28800	288.1969
29700	345.8366
30600	403.4764
31500	518.755
32400	403.4764
33300	345.8366
34200	461.1152
35100	518.755
36000	345.8366
36900	576.3947
37800	461.1152
38700	1786.822
39600	979.8702
40500	1556.265
41400	1671.543
42300	518.755
43200	461.1152
44100	403.4764
45000	576.3947
45900	403.4764
46800	403.4764
47700	403.4764
48600	345.8366
49500	345.8366
50400	1844.462
51300	1671.543
52200	1671.543
53100	864.5916
54000	1613.904
54900	461.1152
55800	634.0336
56700	749.313
57600	403.4764
58500	518.755
59400	3170.169
60300	3170.169
61200	1844.462
62100	576.3947
63000	576.3947
63900	518.755
64800	634.0336
65700	864.5916
66600	461.1152
67500	403.4764
68400	403.4764
69300	403.4764
70200	518.755
71100	461.1152
72000	403.4764
72900	403.4764
73800	749.313
74700	864.5916
75600	864.5916
76500	691.6733
77400	518.755
78300	518.755
79200	691.6733
80100	518.755
81000	461.1152
81900	461.1152
82800	230.5581
83700	345.8366
84600	288.1969
85500	288.1969
86400	644.59
87300	704.3972
88200	717.6882
89100	850.5936
90000	637.9445
90900	465.1678
91800	511.6847
92700	458.5231
93600	471.8133
94500	770.8498
95400	604.7186
96300	671.1713
97200	398.716
98100	392.0704
99000	624.6543
99900	305.6821
100800	312.3276
101700	445.2321
102600	385.4249
103500	378.7794
104400	318.9723
105300	2325.841
106200	285.7464
107100	285.7464
108000	2126.483
108900	418.6517
109800	2465.391
110700	305.6821
111600	245.8749
112500	299.0365
113400	903.7552
114300	438.5874
115200	524.9758
116100	591.4284
117000	465.1678
117900	392.0704
118800	378.7794
119700	558.2017
120600	505.0401
121500	425.2963
122400	505.0401
123300	538.266
124200	1136.339
125100	272.4553
126000	245.8749
126900	318.9723
127800	451.8776
128700	152.841
129600	279.1008
130500	225.9392
131400	225.9392
