#1	
# Source: EnergieportalHH2014
double	default(8784, 2)
0	115580000
3600	116316000
7200	115853000
10800	115796000
14400	117093000
18000	117276000
21600	118182000
25200	118629000
28800	116961000
32400	116423000
36000	116014000
39600	115187000
43200	114011000
46800	113850000
50400	113582000
54000	115787000
57600	114482000
61200	115995000
64800	126087000
68400	130773000
72000	130812000
75600	119522000
79200	111640000
82800	107472000
86400	109173000
90000	107547000
93600	102636000
97200	105227000
100800	109781000
104400	113721000
108000	146319000
111600	187116000
115200	178406000
118800	180031000
122400	200104000
126000	210123000
129600	230295000
133200	232382000
136800	231937000
140400	235126000
144000	234315000
147600	233799000
151200	234392000
154800	234190000
158400	232451000
162000	196891000
165600	180171000
169200	180381000
172800	154483000
176400	120173000
180000	118411000
183600	117728000
187200	124552000
190800	141591000
194400	192346000
198000	206040000
201600	207740000
205200	223455000
208800	230878000
212400	205689000
216000	206006000
219600	210299000
223200	189571000
226800	196288000
230400	227762000
234000	229189000
237600	228589000
241200	225441000
244800	189346000
248400	179452000
252000	175945000
255600	146319000
259200	111417000
262800	112741000
266400	113644000
270000	112399000
273600	113862000
277200	113553000
280800	129805000
284400	179275000
288000	200628000
291600	232577000
295200	236416000
298800	234246000
302400	235689000
306000	235988000
309600	234846000
313200	230684000
316800	220574000
320400	236455000
324000	218686000
327600	217809000
331200	234810000
334800	161126000
338400	124148000
342000	120433000
345600	119881000
349200	116904000
352800	117776000
356400	116224000
360000	117098000
363600	117851000
367200	123237000
370800	174056000
374400	179303000
378000	179659000
381600	178920000
385200	179286000
388800	186158000
392400	214177000
396000	189673000
399600	194526000
403200	219183000
406800	232642000
410400	195470000
414000	223640000
417600	194020000
421200	133141000
424800	132184000
428400	131061000
432000	130799000
435600	131507000
439200	131492000
442800	132005000
446400	130323000
450000	130930000
453600	129196000
457200	136341000
460800	177070000
464400	196196000
468000	217571000
471600	224490000
475200	224592000
478800	219610000
482400	228482000
486000	185409000
489600	181504000
493200	194303000
496800	210931000
500400	183889000
504000	184942000
507600	205063000
511200	185966000
514800	114265000
518400	100589000
522000	101406000
525600	100125000
529200	98036000
532800	97914000
536400	98349000
540000	98396000
543600	99694000
547200	98423000
550800	98544000
554400	98161000
558000	98609000
561600	99817000
565200	98070000
568800	94047000
572400	79420000
576000	88895000
579600	98663000
583200	99824000
586800	99601000
590400	100557000
594000	99779000
597600	99245000
601200	99770000
604800	97943000
608400	99421000
612000	99732000
615600	99343000
619200	98854000
622800	95573000
626400	94866000
630000	98327000
633600	99651000
637200	100105000
640800	99636000
644400	99390000
648000	97977000
651600	99341000
655200	82797000
658800	82758000
662400	82624000
666000	100351000
669600	131841000
673200	157728000
676800	166946000
680400	138143000
684000	132072000
687600	132934000
691200	136652000
694800	166967000
698400	173826000
702000	146719000
705600	145119000
709200	173844000
712800	195008000
716400	182371000
720000	158033000
723600	161004000
727200	158832000
730800	156448000
734400	170305000
738000	180450000
741600	180332000
745200	180410000
748800	180525000
752400	190317000
756000	192620000
759600	192172000
763200	191893000
766800	191815000
770400	189735000
774000	175059000
777600	116751000
781200	114590000
784800	113621000
788400	113263000
792000	113950000
795600	137451000
799200	185780000
802800	190125000
806400	190081000
810000	189098000
813600	190092000
817200	190693000
820800	189611000
824400	190450000
828000	206988000
831600	217502000
835200	217125000
838800	218018000
842400	216845000
846000	214582000
849600	220247000
853200	219805000
856800	220609000
860400	195137000
864000	192108000
867600	132914000
871200	101840000
874800	101839000
878400	102823000
882000	129207000
885600	199916000
889200	216148000
892800	223628000
896400	237027000
900000	220331000
903600	215098000
907200	219000000
910800	216578000
914400	211814000
918000	216432000
921600	217723000
925200	228814000
928800	227907000
932400	227837000
936000	227968000
939600	227769000
943200	227287000
946800	222618000
950400	174585000
954000	122477000
957600	103309000
961200	101943000
964800	105651000
968400	154362000
972000	230080000
975600	236508000
979200	235479000
982800	234163000
986400	232893000
990000	234323000
993600	235066000
997200	234674000
1000800	235514000
1004400	235134000
1008000	237183000
1011600	236933000
1015200	238000000
1018800	236907000
1022400	237033000
1026000	236652000
1029600	231241000
1033200	176183000
1036800	150389000
1040400	116643000
1044000	121323000
1047600	126876000
1051200	124684000
1054800	125051000
1058400	158577000
1062000	225621000
1065600	228330000
1069200	229291000
1072800	194567000
1076400	195475000
1080000	196591000
1083600	196678000
1087200	209410000
1090800	234862000
1094400	235605000
1098000	235236000
1101600	234375000
1105200	234793000
1108800	235304000
1112400	221256000
1116000	188822000
1119600	180510000
1123200	128688000
1126800	132572000
1130400	134838000
1134000	138299000
1137600	147396000
1141200	148411000
1144800	152055000
1148400	153338000
1152000	178301000
1155600	184417000
1159200	221549000
1162800	222806000
1166400	201531000
1170000	162648000
1173600	212864000
1177200	229471000
1180800	235346000
1184400	233442000
1188000	231966000
1191600	212322000
1195200	211222000
1198800	179506000
1202400	181978000
1206000	182815000
1209600	199775000
1213200	211336000
1216800	197704000
1220400	168608000
1224000	175303000
1227600	173595000
1231200	174638000
1234800	178646000
1238400	224009000
1242000	222482000
1245600	216080000
1249200	197940000
1252800	186319000
1256400	177054000
1260000	177710000
1263600	177146000
1267200	179034000
1270800	220051000
1274400	227711000
1278000	226884000
1281600	220109000
1285200	222066000
1288800	223413000
1292400	224032000
1296000	227928000
1299600	204144000
1303200	195066000
1306800	167351000
1310400	155504000
1314000	182250000
1317600	227673000
1321200	229386000
1324800	226769000
1328400	225422000
1332000	224798000
1335600	221846000
1339200	226491000
1342800	222397000
1346400	228770000
1350000	228404000
1353600	229933000
1357200	227947000
1360800	228954000
1364400	233018000
1368000	231595000
1371600	232516000
1375200	233290000
1378800	233712000
1382400	236110000
1386000	236215000
1389600	235210000
1393200	235796000
1396800	235693000
1400400	235477000
1404000	235881000
1407600	236075000
1411200	236214000
1414800	234698000
1418400	235101000
1422000	235838000
1425600	236376000
1429200	228958000
1432800	220272000
1436400	234002000
1440000	235084000
1443600	233891000
1447200	235260000
1450800	234338000
1454400	235950000
1458000	234545000
1461600	235307000
1465200	235859000
1468800	224154000
1472400	222168000
1476000	219795000
1479600	219232000
1483200	219485000
1486800	218745000
1490400	221099000
1494000	227966000
1497600	205562000
1501200	204445000
1504800	218682000
1508400	220935000
1512000	222034000
1515600	225127000
1519200	216672000
1522800	216174000
1526400	233918000
1530000	236097000
1533600	236954000
1537200	236123000
1540800	227144000
1544400	225124000
1548000	218822000
1551600	179640000
1555200	154980000
1558800	146385000
1562400	161030000
1566000	162785000
1569600	160486000
1573200	151923000
1576800	206471000
1580400	240994000
1584000	242849000
1587600	243273000
1591200	243942000
1594800	243293000
1598400	242901000
1602000	242228000
1605600	231036000
1609200	227856000
1612800	241588000
1616400	240161000
1620000	241203000
1623600	240402000
1627200	226617000
1630800	227386000
1634400	227340000
1638000	227638000
1641600	225127000
