#1	
# Source: EnergieportalHH2014
double	default(8784, 2)
0	184810000
3600	160838000
7200	148213000
10800	145513000
14400	144313000
18000	140863000
21600	134013000
25200	130557000
28800	130935000
32400	133016000
36000	136713000
39600	163731000
43200	168120000
46800	149326000
50400	144770000
54000	151867000
57600	161772000
61200	161763000
64800	155163000
68400	154307000
72000	147985000
75600	138027000
79200	125915000
82800	116554000
86400	107468000
90000	107393000
93600	111662000
97200	117743000
100800	121687000
104400	132415000
108000	173412000
111600	189312000
115200	190504000
118800	189669000
122400	187788000
126000	183414000
129600	181826000
133200	182487000
136800	184959000
140400	187938000
144000	188138000
147600	187029000
151200	184829000
154800	186385000
158400	186627000
162000	187752000
165600	190954000
169200	192427000
172800	194954000
176400	195907000
180000	194760000
183600	194507000
187200	192357000
190800	188682000
194400	192979000
198000	236977000
201600	232868000
205200	231690000
208800	235434000
212400	235691000
216000	233964000
219600	233893000
223200	241618000
226800	247374000
230400	205362000
234000	187217000
237600	188467000
241200	187933000
244800	194289000
248400	195417000
252000	193592000
255600	194614000
259200	187509000
262800	173237000
266400	175053000
270000	173834000
273600	180527000
277200	190910000
280800	186652000
284400	240459000
288000	240215000
291600	229812000
295200	231167000
298800	230635000
302400	231133000
306000	232420000
309600	239413000
313200	237190000
316800	236323000
320400	236545000
324000	235314000
327600	234809000
331200	193356000
334800	184195000
338400	183078000
342000	184528000
345600	183945000
349200	177028000
352800	179678000
356400	180461000
360000	177858000
363600	176964000
367200	175414000
370800	246264000
374400	233592000
378000	222170000
381600	220915000
385200	224780000
388800	226982000
392400	234973000
396000	194313000
399600	185443000
403200	183229000
406800	184678000
410400	185067000
414000	185764000
417600	185008000
421200	185955000
424800	179652000
428400	170158000
432000	171330000
435600	173086000
439200	174736000
442800	171939000
446400	176392000
450000	184414000
453600	198042000
457200	238231000
460800	240143000
464400	240099000
468000	237760000
471600	235605000
475200	234100000
478800	236444000
482400	236769000
486000	235019000
489600	234680000
493200	234618000
496800	232027000
500400	234529000
504000	223485000
507600	180682000
511200	184554000
514800	180118000
518400	168327000
522000	188793000
525600	193718000
529200	193954000
532800	192202000
536400	179077000
540000	185865000
543600	182577000
547200	184740000
550800	182149000
554400	181421000
558000	185321000
561600	186857000
565200	184013000
568800	184259000
572400	185283000
576000	185385000
579600	185137000
583200	186115000
586800	186015000
590400	185540000
594000	186765000
597600	187281000
601200	187734000
604800	189768000
608400	189618000
612000	191609000
615600	190937000
619200	192184000
622800	189043000
626400	188143000
630000	188718000
633600	190465000
637200	181966000
640800	182575000
644400	186036000
648000	186367000
651600	185695000
655200	188720000
658800	175450000
662400	174364000
666000	174432000
669600	173079000
673200	168410000
676800	174260000
680400	185432000
684000	189677000
687600	171054000
691200	164482000
694800	181904000
698400	174829000
702000	175207000
705600	175679000
709200	170360000
712800	234007000
716400	291229000
720000	294810000
723600	299272000
727200	302211000
730800	303164000
734400	254717000
738000	234595000
741600	234149000
745200	272286000
748800	300786000
752400	311413000
756000	310985000
759600	298932000
763200	250585000
766800	231943000
770400	237240000
774000	238009000
777600	182512000
781200	164781000
784800	157081000
788400	165512000
792000	188306000
795600	190287000
799200	248678000
802800	209528000
806400	237931000
810000	215762000
813600	240585000
817200	237139000
820800	237328000
824400	238136000
828000	285940000
831600	299454000
835200	288161000
838800	287210000
842400	287979000
846000	302029000
849600	250407000
853200	240554000
856800	245885000
860400	201057000
864000	198057000
867600	193632000
871200	195357000
874800	189282000
878400	193657000
882000	189557000
885600	236560000
889200	302160000
892800	301152000
896400	302866000
900000	306985000
903600	303714000
907200	256017000
910800	235399000
914400	237964000
918000	236744000
921600	293955000
925200	299440000
928800	302802000
932400	303079000
936000	241704000
939600	247385000
943200	253004000
946800	250754000
950400	195193000
954000	168568000
957600	162665000
961200	163927000
964800	163627000
968400	176818000
