#1
# This data is derived from the same stochastic model as 'NormalizedWindPredictionError_900s.txt' but with another seed (other random numbers). See comment in file 'NormalizedWindPredictionError_900s.txt' for details about the model.
double	default(35136,2)
0	0.0006512212
900	0.001071388
1800	0.01514461
2700	0.009260955
3600	0.01129173
4500	0.005369854
5400	0.01109914
6300	0.00880203
7200	0.007440333
8100	0.005725335
9000	0.0007627477
9900	0.003611149
10800	0.01899312
11700	0.00326519
12600	0.002619876
13500	0.01300336
14400	0.02051147
15300	0.007565828
16200	0.001829511
17100	0.02333182
18000	0.00582435
18900	0.002465672
19800	0.004637937
20700	0.005125284
21600	0.000626823
22500	0.00736389
23400	0.01040015
24300	0.003443331
25200	0.001110708
26100	-0.01207281
27000	-0.008053287
27900	-0.005453955
28800	-0.002603666
29700	-0.005806815
30600	-0.0003487819
31500	-0.009338902
32400	-0.01402924
33300	-0.003372588
34200	-0.01301687
35100	-0.005914054
36000	-0.002092991
36900	-0.009572408
37800	-0.004031969
38700	-0.005912542
39600	-0.01320138
40500	-0.006911961
41400	-0.00300178
42300	-0.003462113
43200	-0.0005024195
44100	-0.002041429
45000	-0.0007480825
45900	-0.02178314
46800	-0.004165873
47700	-0.005201396
48600	-0.008418147
49500	-0.002163926
50400	-0.0008403077
51300	-0.004689416
52200	-0.01071839
53100	-0.005054618
54000	-0.005321975
54900	-0.0002016061
55800	-0.002191315
56700	-0.0007786631
57600	-0.002780321
58500	-0.0004757787
59400	-0.008026253
60300	-0.01802472
61200	-0.000829613
62100	-0.01041589
63000	-0.001357013
63900	-0.001197848
64800	0.003493205
65700	0.01199412
66600	8.559178e-05
67500	0.006651663
68400	0.01178207
69300	0.01092912
70200	0.01565072
71100	0.008704304
72000	0.004455418
72900	0.008171062
73800	0.01494229
74700	0.01300585
75600	0.004277903
76500	0.0110064
77400	0.007932946
78300	0.005021523
79200	0.004840828
80100	0.007248198
81000	0.002385264
81900	0.01626075
82800	0.007732676
83700	0.0007247474
84600	0.001564278
85500	0.01872128
86400	0.00570104
87300	0.002365182
88200	0.01044109
89100	0.007907108
90000	0.00476421
90900	0.001233825
91800	0.01591669
92700	0.002774524
93600	0.002015186
94500	0.002282421
95400	0.003930438
96300	0.007637195
97200	0.01560388
98100	0.006250631
99000	0.01348938
99900	0.01118384
100800	0.01393311
101700	0.002196074
102600	-0.01296475
103500	-0.007899529
104400	-0.01890031
105300	-0.000417024
106200	-0.0044562
107100	-0.02115807
108000	-0.01680455
108900	-0.0040311
109800	-0.01000767
110700	-0.01387905
111600	-0.004568442
112500	-0.009114754
113400	-0.00147629
114300	-0.00623919
115200	-0.01468672
116100	-0.01101783
117000	-0.01025915
117900	-0.003506024
118800	-0.001034068
119700	-0.0008200041
120600	0.008093366
121500	0.01215978
122400	0.003698459
123300	0.0004472875
124200	0.01267315
125100	0.0005070306
126000	0.006150431
126900	0.004857473
127800	0.005811932
128700	0.003951408
129600	0.004163272
130500	0.004617011
131400	-0.005732293
132300	-0.01151904
133200	-0.01365495
134100	-0.003314943
135000	-0.001582913
135900	-0.0013381
136800	-0.0110704
137700	-0.02063379
138600	-0.008635369
139500	-0.009214497
140400	-0.006467311
141300	-0.01638871
142200	-0.002211548
143100	-0.006239684
144000	-0.005203264
144900	0.002509729
145800	0.00751388
146700	0.002006803
147600	0.002651137
148500	0.006255039
149400	0.005659381
150300	0.006408176
151200	0.01057503
152100	0.006316159
153000	0.01134679
153900	0.00717556
154800	0.01147272
155700	0.00696799
156600	0.00387547
157500	0.01112046
158400	0.0006652207
159300	0.006317173
160200	0.0102146
161100	0.01708045
162000	0.0005938708
162900	0.003508967
163800	0.01947286
164700	0.0002276714
165600	0.001481323
166500	-0.007389897
167400	-0.01284368
168300	-0.007127274
169200	-0.006048488
170100	-0.0174839
171000	-0.001094337
171900	-0.006150451
172800	-0.01027161
173700	-0.002169943
174600	-0.01273078
175500	-0.002044727
176400	-0.0074136
177300	-0.004328265
178200	-0.00343477
179100	-0.002385683
180000	-0.008797906
180900	-0.003279346
181800	-0.009416017
182700	-0.002720388
183600	-0.006150483
184500	-0.004812031
185400	-0.007142347
186300	-0.02062584
187200	-0.007136895
188100	-0.003745909
189000	-0.009253875
189900	-0.002790362
190800	-0.01723798
191700	-0.00122071
192600	-0.01238533
193500	-0.002037626
194400	-0.00407858
195300	-0.001210457
196200	-0.001005171
197100	-0.01070839
198000	-0.008532425
198900	-0.001954613
199800	-0.008780885
200700	-0.002254347
201600	-0.001879069
202500	-0.003631208
203400	-0.01888028
204300	-0.0002963241
205200	0.008798531
206100	0.006191643
207000	0.01102059
207900	0.0001625572
208800	0.01304126
209700	0.001002079
210600	0.004766132
211500	0.006572929
212400	0.009714149
213300	0.01009978
214200	0.007759051
215100	0.005408823
216000	0.0003816531
216900	0.01202747
217800	0.01107333
218700	-0.002814925
219600	-0.01497869
220500	-0.006001115
221400	-0.007526223
222300	-0.003532255
223200	-0.004904282
224100	-0.00312137
225000	-0.00776273
