#1
# Normal distributed, reordered and normalised timeseries that can be used to model wind prediction errors. The underlying normal distribution has mean of 0,11% and stdev of 0,85% according to Dena2014 (static approach). This data is reorded such that the histogram stays the same but the number of changes of sign is reduced (equal distributed between 3 and 12 hours, according to Dany2000, see: \\transientee-sources\matlab\pd\Modellbildung\GridErrors\GenerateRealisticRenewablePredictionErrors.m for more details. The normalization is with respect to the installed wind capacity (y = ynorm * Pwind + 0,11/100*Pwind).
double	default(35136,2)
0	0.005435579
900	0.01418252
1800	0.01713648
2700	0.002083309
3600	0.0001399232
4500	0.009090733
5400	0.00540385
6300	0.001378177
7200	0.004679157
8100	0.01156125
9000	0.009036073
9900	0.005635628
10800	0.01060493
11700	0.001790327
12600	0.01911711
13500	0.008503728
14400	0.01947911
15300	-5.536271e-05
16200	-0.01494025
17100	-0.005997609
18000	-0.006207072
18900	-0.007273228
19800	-0.00986956
20700	-0.002692521
21600	-0.006165364
22500	-0.00336889
23400	-0.002512032
24300	-0.003821937
25200	-0.003093348
26100	-0.0158869
27000	-0.00677902
27900	-0.00115813
28800	-0.01045718
29700	-0.006356972
30600	-0.00932
31500	-0.006218865
32400	0.008234796
33300	0.006214705
34200	0.001697996
35100	6.891972e-05
36000	0.006739042
36900	0.003416479
37800	0.0001924535
38700	0.004057951
39600	0.02305246
40500	0.002287744
41400	0.01370294
42300	0.001655331
43200	0.01090263
44100	0.009992195
45000	0.008135603
45900	-0.001292457
46800	-0.006799485
47700	-0.0004040474
48600	-0.002760362
49500	-0.009887615
50400	-0.0006191785
51300	-0.001152869
52200	-0.01150922
53100	-0.004126551
54000	-0.004695196
54900	-0.02052726
55800	-0.01507158
56700	-0.002463676
57600	-0.001971022
58500	-0.0034492
59400	-0.004438103
60300	-0.007681967
61200	-0.00921095
62100	-0.01303042
63000	-0.004676038
63900	-0.01900576
64800	-0.01016693
65700	-0.008624216
66600	-0.0004499786
67500	-0.002825659
68400	-0.0005076623
69300	-0.005625119
70200	-0.004929498
71100	-0.0006947903
72000	-0.01278292
72900	-0.004400941
