#1
#	Original data for 2011 (from 50HzNKZ) meassured every 15min, scaled by installed power (from BNAEEG).
double	default(35136, 2)
0	2.45011E-05
900	2.45011E-05
1800	2.42485E-05
2700	2.45011E-05
3600	0.000023996
4500	2.45011E-05
5400	0.000023996
6300	2.42485E-05
7200	2.37434E-05
8100	2.42485E-05
9000	2.45011E-05
9900	2.42485E-05
10800	0.000023996
11700	0.000023996
12600	2.42485E-05
13500	0.000023996
14400	2.50063E-05
15300	2.93003E-05
16200	3.05633E-05
17100	2.87952E-05
18000	3.03107E-05
18900	3.00581E-05
19800	3.15736E-05
20700	0.000031321
21600	8.33544E-05
22500	8.71432E-05
23400	8.84062E-05
24300	9.11846E-05
25200	0.000131094
26100	0.000136903
27000	0.000144481
27900	0.000155342
28800	0.000271028
29700	0.000397575
30600	0.000875979
31500	0.002231624
32400	0.004711291
33300	0.007050013
34200	0.008781763
35100	0.011256883
36000	0.013284668
36900	0.015264208
37800	0.017369538
38700	0.020085628
39600	0.023139934
40500	0.024470321
41400	0.026799697
42300	0.029139429
43200	0.029541803
44100	0.03175903
45000	0.031686284
45900	0.031549634
46800	0.034090679
47700	0.033443799
48600	0.032567568
49500	0.02768679
50400	0.024516039
51300	0.023945188
52200	0.02071028
53100	0.015779742
54000	0.011647638
54900	0.008612276
55800	0.005818388
56700	0.003766103
57600	0.002300581
58500	0.001362213
59400	0.000666582
60300	0.000285173
61200	0.000137914
62100	0.000128568
63000	0.000124779
63900	0.000121243
64800	6.69361E-05
65700	6.74413E-05
66600	6.64309E-05
67500	6.56731E-05
68400	3.18262E-05
69300	3.15736E-05
70200	3.03107E-05
71100	2.93003E-05
72000	2.87952E-05
72900	2.80374E-05
73800	2.67744E-05
74700	2.60167E-05
75600	2.52589E-05
76500	2.52589E-05
77400	2.50063E-05
78300	2.47537E-05
79200	2.45011E-05
80100	2.47537E-05
81000	2.47537E-05
81900	2.42485E-05
82800	2.45011E-05
83700	2.42485E-05
84600	2.45011E-05
85500	2.45011E-05
86400	2.47537E-05
87300	2.45011E-05
88200	0.000023996
89100	2.42485E-05
90000	2.42485E-05
90900	2.37434E-05
91800	2.42485E-05
92700	2.42485E-05
93600	0.000023996
94500	2.42485E-05
95400	2.42485E-05
96300	0.000023996
97200	2.42485E-05
98100	2.37434E-05
99000	0.000023996
99900	0.000023996
100800	2.37434E-05
101700	2.42485E-05
102600	0.000023996
103500	0.000023996
104400	2.37434E-05
105300	0.000023996
106200	2.42485E-05
107100	0.000023996
108000	7.77974E-05
108900	7.85552E-05
109800	7.83026E-05
110700	7.98181E-05
111600	0.000119727
112500	0.000122506
113400	0.000126042
114300	0.000131346
115200	0.000249053
116100	0.000412983
117000	0.001303865
117900	0.003195251
118800	0.006299823
119700	0.009321546
120600	0.01404976
121500	0.019110381
122400	0.024264713
123300	0.028186663
124200	0.033791614
125100	0.03661076
126000	0.040499874
126900	0.046712048
127800	0.049728972
128700	0.053662541
129600	0.055071988
130500	0.053613539
131400	0.053611771
132300	0.052102551
133200	0.052224804
134100	0.047334175
135000	0.042090679
135900	0.039235666
136800	0.034983834
137700	0.031180601
138600	0.027082091
139500	0.02146931
140400	0.016292751
141300	0.011407426
142200	0.006984845
143100	0.00412882
144000	0.002294771
144900	0.001362465
145800	0.000666835
146700	0.000285173
147600	0.000138419
148500	0.000128315
149400	0.000124779
150300	0.000121243
151200	6.71887E-05
152100	6.66835E-05
153000	6.66835E-05
153900	6.61783E-05
154800	0.000031321
155700	3.08159E-05
156600	3.03107E-05
157500	2.98055E-05
158400	2.90477E-05
159300	2.77848E-05
160200	0.000027027
161100	2.62693E-05
162000	2.55115E-05
162900	2.52589E-05
163800	2.47537E-05
164700	2.47537E-05
165600	2.45011E-05
166500	2.45011E-05
167400	2.45011E-05
168300	2.42485E-05
169200	2.45011E-05
170100	2.45011E-05
171000	2.45011E-05
171900	2.42485E-05
172800	2.42485E-05
173700	0.000023996
174600	0.000023996
175500	0.000023996
176400	2.42485E-05
177300	2.42485E-05
178200	2.37434E-05
179100	0.000023996
180000	0.000023996
180900	2.45011E-05
181800	0.000023996
182700	2.37434E-05
183600	0.000023996
184500	0.000023996
185400	0.000023996
186300	0.000023996
187200	2.37434E-05
188100	2.42485E-05
189000	0.000023996
189900	0.000023996
190800	2.42485E-05
191700	0.000023996
192600	0.000023996
193500	0.000023996
194400	0.00007805
195300	7.83026E-05
196200	7.90604E-05
197100	7.98181E-05
198000	0.00011998
198900	0.000122758
199800	0.0001268
200700	0.000131851
201600	0.000248042
202500	0.000443546
203400	0.001232129
204300	0.003180854
205200	0.006033594
206100	0.010208386
207000	0.015026269
207900	0.018962869
208800	0.024130589
209700	0.028464259
210600	0.031600909
211500	0.03427027
212400	0.040328366
213300	0.040621622
