#1	Original data for 2011 (from 50HzNKZ, AmprionNKZ, TennetNKZ, TransnetNKZ) meassured every 15min, scaled by installed power (from BNAEEG).
double	default(35040, 2)
0	0.0000041
900	0.0000041
1800	0.000004
2700	0.0000041
3600	0.000004
4500	0.0000041
5400	0.000004
6300	0.000004
7200	0.0000039
8100	0.000004
9000	0.0000041
9900	0.000004
10800	0.000004
11700	0.000004
12600	0.000004
13500	0.000004
14400	0.0000041
15300	0.0000049
16200	0.0000051
17100	0.0000048
18000	0.000005
18900	0.000005
19800	0.0000052
20700	0.0000052
21600	0.0000138
22500	0.0000145
23400	0.0000147
24300	0.0000151
25200	0.0000217
26100	0.0000227
27000	0.000024
27900	0.0000258
28800	0.0001288
29700	0.0001917
30600	0.0002291
31500	0.0010825
32400	0.0022062
33300	0.0037673
34200	0.0054373
35100	0.0075239
36000	0.0092849
36900	0.0113731
37800	0.0138593
38700	0.0168239
39600	0.0186714
40500	0.0204843
41400	0.0219182
42300	0.0251975
43200	0.0254737
44100	0.0276014
45000	0.0297262
45900	0.0288236
46800	0.0270244
47700	0.0256182
48600	0.0230007
49500	0.0206407
50400	0.0183968
51300	0.0168775
52200	0.0154191
53100	0.0132185
54000	0.0099352
54900	0.0064567
55800	0.0040658
56700	0.0023427
57600	0.0007168
58500	0.0002679
59400	0.000362
60300	0.0000892
61200	0.0000229
62100	0.0000213
63000	0.0000207
63900	0.0000201
64800	0.0000111
65700	0.0000112
66600	0.000011
67500	0.0000109
68400	0.0000053
69300	0.0000052
70200	0.000005
71100	0.0000049
72000	0.0000048
72900	0.0000047
73800	0.0000044
74700	0.0000043
75600	0.0000042
76500	0.0000042
77400	0.0000041
78300	0.0000041
79200	0.0000041
80100	0.0000041
81000	0.0000041
81900	0.000004
82800	0.0000041
83700	0.000004
84600	0.0000041
85500	0.0000041
86400	0.0000041
87300	0.0000041
88200	0.000004
89100	0.000004
90000	0.000004
90900	0.0000039
91800	0.000004
92700	0.000004
93600	0.000004
94500	0.000004
95400	0.000004
96300	0.000004
97200	0.000004
98100	0.0000039
99000	0.000004
99900	0.000004
100800	0.0000039
101700	0.000004
102600	0.000004
103500	0.000004
104400	0.0000039
105300	0.000004
106200	0.000004
107100	0.000004
108000	0.0000129
108900	0.000013
109800	0.000013
110700	0.0000132
111600	0.0000199
112500	0.0000203
113400	0.0000209
114300	0.0000218
115200	0.0000413
116100	0.000278
117000	0.0002582
117900	0.0008652
118800	0.0020088
119700	0.0043536
120600	0.0071911
121500	0.0096647
122400	0.0143327
123300	0.0174973
124200	0.0258854
125100	0.0287414
126000	0.03299
126900	0.0436576
127800	0.0435296
128700	0.0579674
129600	0.066288
130500	0.0560318
131400	0.0506683
132300	0.0507112
133200	0.043776
134100	0.0478252
135000	0.0497208
135900	0.0490796
136800	0.0417121
137700	0.0444752
138600	0.0347447
139500	0.0300007
140400	0.0350919
141300	0.018066
142200	0.0101673
143100	0.006551
144000	0.0028109
144900	0.0010221
145800	0.0003201
146700	0.0002149
147600	0.000023
148500	0.0000213
149400	0.0000207
150300	0.0000201
151200	0.0000111
152100	0.0000111
153000	0.0000111
153900	0.000011
154800	0.0000052
155700	0.0000051
156600	0.000005
157500	0.0000049
158400	0.0000048
159300	0.0000046
160200	0.0000045
161100	0.0000044
162000	0.0000042
162900	0.0000042
163800	0.0000041
164700	0.0000041
165600	0.0000041
166500	0.0000041
167400	0.0000041
168300	0.000004
169200	0.0000041
170100	0.0000041
171000	0.0000041
171900	0.000004
172800	0.000004
173700	0.000004
174600	0.000004
175500	0.000004
176400	0.000004
177300	0.000004
178200	0.0000039
179100	0.000004
180000	0.000004
180900	0.0000041
181800	0.000004
182700	0.0000039
183600	0.000004
184500	0.000004
185400	0.000004
186300	0.000004
187200	0.0000039
188100	0.000004
189000	0.000004
189900	0.000004
190800	0.000004
191700	0.000004
192600	0.000004
193500	0.000004
194400	0.0000129
195300	0.000013
196200	0.0000131
197100	0.0000132
198000	0.0000199
198900	0.0000204
199800	0.000021
200700	0.0000219
201600	0.0000411
202500	0.0000736
203400	0.000372
204300	0.0013657
205200	0.0032635
206100	0.0046265
207000	0.0083168
207900	0.0116515
208800	0.0184167
209700	0.0264263
210600	0.0332317
211500	0.0396663
212400	0.0430596
213300	0.0447843
214200	0.0492701
