#1	Original data for 2011 (from TennetNKZ) meassured every 15min, scaled by installed power (from BNAEEG).
double	default(35136, 2)
0	0
900	0
1800	0
2700	0
3600	0
4500	0
5400	0
6300	0
7200	0
8100	0
9000	0
9900	0
10800	0
11700	0
12600	0
13500	0
14400	0
15300	0
16200	0
17100	0
18000	0
18900	0
19800	0
20700	0
21600	0
22500	0
23400	0
24300	0
25200	0
26100	0
27000	0
27900	0
28800	0.000197297
29700	0.000295946
30600	9.86485E-05
31500	0.000887837
32400	0.001874322
33300	0.003945941
34200	0.006412153
35100	0.009470257
36000	0.011739173
36900	0.015191871
37800	0.018743218
38700	0.02259051
39600	0.02525402
40500	0.027621584
41400	0.029791852
42300	0.031764822
43200	0.032455362
44100	0.036499951
45000	0.038176975
45900	0.038078327
46800	0.03255401
47700	0.030186446
48600	0.026832396
49500	0.024267535
50400	0.021505376
51300	0.019039163
52200	0.018940515
53100	0.013810792
54000	0.010752688
54900	0.007102693
55800	0.003255401
56700	0.002466213
57600	0.000197297
58500	0
59400	0.000493243
60300	0
61200	0
62100	0
63000	0
63900	0
64800	0
65700	0
66600	0
67500	0
68400	0
69300	0
70200	0
71100	0
72000	0
72900	0
73800	0
74700	0
75600	0
76500	0
77400	0
78300	0
79200	0
80100	0
81000	0
81900	0
82800	0
83700	0
84600	0
85500	0
86400	0
87300	0
88200	0
89100	0
90000	0
90900	0
91800	0
92700	0
93600	0
94500	0
95400	0
96300	0
97200	0
98100	0
99000	0
99900	0
100800	0
101700	0
102600	0
103500	0
104400	0
105300	0
106200	0
107100	0
108000	0
108900	0
109800	0
110700	0
111600	0
112500	0
113400	0
114300	0
115200	0
116100	0.000493243
117000	9.86485E-05
117900	0.000394594
118800	0.001381079
119700	0.004143238
120600	0.007497287
121500	0.00927296
122400	0.012725658
123300	0.016277005
124200	0.021702673
125100	0.023774292
126000	0.028706718
126900	0.039163461
127800	0.038472921
128700	0.049225609
129600	0.06047154
130500	0.052579659
131400	0.05317155
132300	0.051593174
133200	0.043997238
134100	0.045970208
135000	0.052283713
135900	0.048140475
136800	0.041629673
137700	0.044194535
138600	0.036697248
139500	0.030876985
140400	0.029199961
141300	0.01459998
142200	0.007497287
143100	0.004143238
144000	0.001381079
144900	0.000394594
145800	9.86485E-05
146700	0.000197297
147600	0
148500	0
149400	0
150300	0
151200	0
152100	0
153000	0
153900	0
154800	0
155700	0
156600	0
157500	0
158400	0
159300	0
160200	0
161100	0
162000	0
162900	0
163800	0
164700	0
165600	0
166500	0
167400	0
168300	0
169200	0
170100	0
171000	0
171900	0
172800	0
173700	0
174600	0
175500	0
176400	0
177300	0
178200	0
179100	0
180000	0
180900	0
181800	0
182700	0
183600	0
184500	0
185400	0
186300	0
187200	0
188100	0
189000	0
189900	0
190800	0
191700	0
192600	0
193500	0
194400	0
195300	0
196200	0
197100	0
198000	0
198900	0
199800	0
200700	0
201600	0
202500	0
203400	9.86485E-05
204300	0.00069054
205200	0.001578376
206100	0.002268916
207000	0.004932426
207900	0.008089178
208800	0.010752688
209700	0.014106738
210600	0.017559436
211500	0.024070238
212400	0.025747263
213300	0.026832396
214200	0.03521752
215100	0.038670218
216000	0.038571569
216900	0.039656703
217800	0.041037782
218700	0.040051297
219600	0.038571569
220500	0.038670218
221400	0.036499951
222300	0.03186347
223200	0.026832396
224100	0.025747263
225000	0.020518891
225900	0.016770248
226800	0.012429713
227700	0.009667555
228600	0.006313505
229500	0.003255401
230400	0.001479728
231300	0.000197297
232200	9.86485E-05
233100	0
234000	0
234900	0
235800	0
236700	0
237600	0
238500	0
239400	0
240300	0
241200	0
242100	0
243000	0
243900	0
244800	0
245700	0
246600	0
247500	0
248400	0
249300	0
250200	0
251100	0
252000	0
252900	0
253800	0
254700	0
255600	0
256500	0
257400	0
258300	0
259200	0
260100	0
261000	0
261900	0
262800	0
263700	0
264600	0
265500	0
266400	0
267300	0
268200	0
269100	0
270000	0
270900	0
271800	0
272700	0
273600	0
274500	0
275400	0
276300	0
277200	0
278100	0
279000	0
279900	0
280800	0
281700	0
282600	0
283500	0
284400	0
285300	0
286200	0
287100	0
288000	0
288900	9.86485E-05
289800	0.000394594
290700	0.000493243
291600	0.000591891
292500	0.00069054
293400	0.001874322
294300	0.005622965
295200	0.009470257
296100	0.013613495
297000	0.019039163
297900	0.021406728
298800	0.022294564
299700	0.027621584
300600	0.03058104
301500	0.033441847
302400	0.036105357
303300	0.041037782
304200	0.042714807
305100	0.04054454
306000	0.041136431
306900	0.04320805
307800	0.037585084
308700	0.035710763
309600	0.033540495
310500	0.030087797
311400	0.025451317
312300	0.018644569
313200	0.013514847
314100	0.010259446
315000	0.006214856
315900	0.004143238
316800	0.001677025
317700	0.000493243
318600	0.000197297
319500	0
320400	0
321300	0
322200	0
323100	0
324000	0
324900	0
325800	0
326700	0
327600	0
328500	0
329400	0
330300	0
331200	0
332100	0
333000	0
333900	0
334800	0
335700	0
336600	0
337500	0
338400	0
339300	0
340200	0
341100	0
342000	0
342900	0
343800	0
344700	0
345600	0
346500	0
347400	0
348300	0
349200	0
350100	0
351000	0
351900	0
352800	0
353700	0
354600	0
355500	0
356400	0
357300	0
358200	0
359100	0
360000	0
360900	0
361800	0
362700	0
363600	0
364500	0
365400	0
366300	0
367200	0
368100	0
369000	0
369900	0
370800	0
371700	0
372600	0
373500	0
374400	0
375300	0.000493243
376200	0.001775673
377100	0.003748644
378000	0.007694584
378900	0.012232416
379800	0.018151327
380700	0.025845911
381600	0.033935089
382500	0.042320213
383400	0.053763441
384300	0.059879649
385200	0.067475584
386100	0.076748545
387000	0.082667456
387900	0.101114728
388800	0.11226201
389700	0.109105258
390600	0.108414718
391500	0.111078228
392400	0.116207951
393300	0.11561606
394200	0.115122817
395100	0.108710664
396000	0.10229851
396900	0.094307981
397800	0.081976916
398700	0.069645852
399600	0.057413436
400500	0.040939134
401400	0.028706718
402300	0.016967545
403200	0.00927296
404100	0.003255401
405000	0.000591891
405900	0.000197297
406800	0
407700	0
408600	0
409500	0
410400	0
411300	0
412200	0
413100	0
414000	0
414900	0
415800	0
416700	0
417600	0
418500	0
419400	0
420300	0
421200	0
422100	0
423000	0
423900	0
424800	0
425700	0
426600	0
427500	0
428400	0
429300	0
430200	0
431100	0
432000	0
432900	0
433800	0
434700	0
435600	0
436500	0
437400	0
438300	0
439200	0
440100	0
441000	0
441900	0
442800	0
443700	0
444600	0
445500	0
446400	0
447300	0
448200	0
449100	0
450000	0
450900	0
451800	0
452700	0
453600	0
454500	0
455400	0
456300	0
457200	0
