#1	Original data for 2014 (from 50HzNKZ) meassured every 15min, scaled by installed power (from BNAEEG).
double	default(35040, 2)
0	0
900	0
1800	0
2700	0
3600	0
4500	0
5400	0
6300	0
7200	0
8100	0
9000	0
9900	0
10800	0
11700	0
12600	0
13500	0
14400	0
15300	0
16200	0
17100	0
18000	0
18900	0
19800	0
20700	0
21600	0
22500	0
23400	0
24300	0
25200	0
26100	0
27000	0
27900	0
28800	0.000235092
29700	0.000705277
30600	0.007287859
31500	0.017867008
32400	0.028328612
33300	0.035146286
34200	0.047606174
35100	0.059008146
36000	0.070410118
36900	0.078755892
37800	0.084280559
38700	0.08486829
39600	0.082399821
40500	0.09239124
41400	0.094036886
42300	0.095917624
43200	0.095447439
44100	0.094624617
45000	0.094742163
45900	0.099326461
46800	0.094154432
47700	0.089452588
48600	0.088864857
49500	0.080048899
50400	0.074406686
51300	0.069352203
52200	0.06312226
53100	0.051015011
54000	0.037379662
54900	0.029856711
55800	0.020923207
56700	0.00846332
57600	0.002468468
58500	0.000705277
59400	0.000235092
60300	0
61200	0
62100	0
63000	0
63900	0
64800	0
65700	0
66600	0
67500	0
68400	0
69300	0
70200	0
71100	0
72000	0
72900	0
73800	0
74700	0
75600	0
76500	0
77400	0
78300	0
79200	0
80100	0
81000	0
81900	0
82800	0
83700	0
84600	0
85500	0
86400	0
87300	0
88200	0
89100	0
90000	0
90900	0
91800	0
92700	0
93600	0
94500	0
95400	0
96300	0
97200	0
98100	0
99000	0
99900	0
100800	0
101700	0
102600	0
103500	0
104400	0
105300	0
106200	0
107100	0
108000	0
108900	0
109800	0
110700	0
111600	0
112500	0
113400	0
114300	0
115200	0.000470184
116100	0.000940369
117000	0.004349206
117900	0.009286142
118800	0.013400256
119700	0.01751437
120600	0.023744314
121500	0.031502357
122400	0.039730584
123300	0.046548259
124200	0.054894032
125100	0.061241522
126000	0.067236373
126900	0.073113679
127800	0.080048899
128700	0.088159581
129600	0.08545602
130500	0.084163013
131400	0.086513935
132300	0.08968768
133200	0.083810375
134100	0.078168161
135000	0.071820672
135900	0.064180175
136800	0.055011578
137700	0.047841266
138600	0.040435861
139500	0.030914626
140400	0.021628484
141300	0.014105533
142200	0.007875589
143100	0.004701844
144000	0.001998284
144900	0.000587731
145800	0.000235092
146700	0
147600	0
148500	0
149400	0
150300	0
151200	0
152100	0
153000	0
153900	0
154800	0
155700	0
156600	0
157500	0
158400	0
159300	0
160200	0
161100	0
162000	0
162900	0
163800	0
164700	0
165600	0
166500	0
167400	0
168300	0
169200	0
170100	0
171000	0
171900	0
172800	0
173700	0
174600	0
175500	0
176400	0
177300	0
178200	0
179100	0
180000	0
180900	0
181800	0
182700	0
183600	0
184500	0
185400	0
186300	0
187200	0
188100	0
189000	0
189900	0
190800	0
191700	0
192600	0
193500	0
194400	0
195300	0
196200	0
197100	0
198000	0
198900	0
199800	0
200700	0
201600	0.000352638
202500	0.000822823
203400	0.007170313
204300	0.015751178
205200	0.033265548
206100	0.057715139
207000	0.098621184
207900	0.12260059
208800	0.147167727
209700	0.17455597
210600	0.202649489
211500	0.211935632
212400	0.2144041
213300	0.220046313
214200	0.226041165
215100	0.22345515
216000	0.213816369
216900	0.190894879
217800	0.174438423
218700	0.151516933
219600	0.138469315
220500	0.123305867
221400	0.10720205
222300	0.094742163
223200	0.073936502
224100	0.063827536
225000	0.056422132
225900	0.041728868
226800	0.027740881
227700	0.017631916
228600	0.009756327
229500	0.003996568
230400	0.001175461
231300	0.000470184
232200	0.000117546
233100	0
234000	0
234900	0
235800	0
236700	0
237600	0
238500	0
239400	0
240300	0
241200	0
242100	0
243000	0
243900	0
244800	0
245700	0
246600	0
247500	0
248400	0
249300	0
250200	0
251100	0
252000	0
252900	0
253800	0
254700	0
255600	0
256500	0
257400	0
258300	0
259200	0
260100	0
261000	0
261900	0
262800	0
263700	0
264600	0
265500	0
266400	0
267300	0
268200	0
269100	0
270000	0
270900	0
271800	0
272700	0
273600	0
274500	0
275400	0
276300	0
277200	0
278100	0
279000	0
279900	0
280800	0
281700	0
282600	0
283500	0
284400	0
285300	0
286200	0
287100	0
288000	0.000352638
288900	0.000822823
289800	0.006112398
290700	0.015045902
291600	0.024332044
292500	0.036556839
293400	0.047135989
294300	0.062769621
295200	0.080871722
296100	0.097680815
297000	0.115430278
297900	0.130358633
298800	0.137528946
299700	0.151399386
300600	0.153985401
301500	0.154455585
302400	0.150106379
303300	0.143641343
304200	0.13376747
305100	0.116018008
306000	0.10085456
306900	0.081576999
307800	0.072525948
308700	0.07217331
309600	0.072761041
310500	0.065002997
311400	0.059008146
312300	0.05042728
313200	0.041728868
314100	0.03291291
315000	0.021275845
315900	0.008698412
316800	0.002586014
317700	0.000705277
318600	0.000235092
319500	0
320400	0
321300	0
322200	0
323100	0
324000	0
324900	0
325800	0
326700	0
327600	0
328500	0
329400	0
330300	0
331200	0
332100	0
333000	0
333900	0
334800	0
335700	0
336600	0
337500	0
338400	0
339300	0
340200	0
341100	0
342000	0
342900	0
343800	0
344700	0
345600	0
346500	0
347400	0
348300	0
349200	0
350100	0
351000	0
351900	0
352800	0
353700	0
354600	0
355500	0
356400	0
357300	0
358200	0
359100	0
360000	0
360900	0
361800	0
362700	0
363600	0
364500	0
365400	0
366300	0
367200	0
368100	0
369000	0
369900	0
370800	0
371700	0
372600	0
373500	0
374400	0.000235092
375300	0.001057915
376200	0.005524667
377100	0.011401972
378000	0.016574001
378900	0.021981122
379800	0.02809352
380700	0.035263832
381600	0.043139421
382500	0.048546542
383400	0.055834401
384300	0.061711706
385200	0.060771338
386100	0.061241522
387000	0.061829253
387900	0.059125692
388800	0.055246671
389700	0.047606174
390600	0.043962244
391500	0.038555123
392400	0.034441009
393300	0.028798796
394200	0.025272413
395100	0.024567136
396000	0.023626768
396900	0.019982838
397800	0.01751437
398700	0.014458171
399600	0.011049334
400500	0.009286142
401400	0.00693522
402300	0.00423166
403200	0.001998284
404100	0.000587731
405000	0.000117546
405900	0
406800	0
407700	0
408600	0
409500	0
410400	0
411300	0
412200	0
413100	0
414000	0
414900	0
415800	0
416700	0
417600	0
418500	0
419400	0
420300	0
421200	0
422100	0
423000	0
423900	0
424800	0
425700	0
426600	0
427500	0
428400	0
429300	0
430200	0
431100	0
432000	0
432900	0
433800	0
434700	0
435600	0
436500	0
437400	0
438300	0
439200	0
440100	0
441000	0
441900	0
442800	0
443700	0
444600	0
445500	0
446400	0
447300	0
448200	0
449100	0
450000	0
450900	0
451800	0
452700	0
453600	0
454500	0
455400	0
456300	0
