#1	Original data for 2014 (from AmprionNKZ) meassured every 15min, scaled by installed power (from BNAEEG).
double	default(35136, 2)
0	0
900	0
1800	0
2700	0
3600	0
4500	0
5400	0
6300	0
7200	0
8100	0
9000	0
9900	0
10800	0
11700	0
12600	0
13500	0
14400	0
15300	0
16200	0
17100	0
18000	0
18900	0
19800	0
20700	0
21600	0
22500	0
23400	0
24300	0
25200	0
26100	0
27000	0
27900	0
28800	0.000107962
29700	0.000755735
30600	0.002375169
31500	0.007233468
32400	0.016626181
33300	0.028502024
34200	0.038758435
35100	0.059703104
36000	0.077840756
36900	0.101160594
37800	0.127179487
38700	0.144129555
39600	0.160647773
40500	0.170904184
41400	0.187422402
42300	0.193792173
43200	0.20145749
44100	0.21268556
45000	0.224777328
45900	0.229311741
46800	0.222078273
47700	0.210310391
48600	0.204156545
49500	0.190985155
50400	0.170040486
51300	0.140674764
52200	0.122645074
53100	0.104291498
54000	0.089932524
54900	0.074493927
55800	0.055924426
56700	0.033900135
57600	0.017273954
58500	0.008852901
59400	0.003130904
60300	0.001187584
61200	0.000431849
62100	0
63000	0
63900	0
64800	0
65700	0
66600	0
67500	0
68400	0
69300	0
70200	0
71100	0
72000	0
72900	0
73800	0
74700	0
75600	0
76500	0
77400	0
78300	0
79200	0
80100	0
81000	0
81900	0
82800	0
83700	0
84600	0
85500	0
86400	0
87300	0
88200	0
89100	0
90000	0
90900	0
91800	0
92700	0
93600	0
94500	0
95400	0
96300	0
97200	0
98100	0
99000	0
99900	0
100800	0
101700	0
102600	0
103500	0
104400	0
105300	0
106200	0
107100	0
108000	0
108900	0
109800	0
110700	0
111600	0
112500	0
113400	0
114300	0
115200	0
116100	0.000431849
117000	0.001079622
117900	0.002807018
118800	0.0048583
119700	0.008205128
120600	0.010904184
121500	0.015546559
122400	0.020080972
123300	0.025802969
124200	0.030553306
125100	0.035519568
126000	0.040377868
126900	0.045452092
127800	0.05074224
128700	0.057219973
129600	0.062618084
130500	0.063265857
131400	0.064453441
132300	0.068232119
133200	0.064561404
134100	0.060566802
135000	0.058623482
135900	0.056356275
136800	0.054197031
137700	0.049014845
138600	0.044156545
139500	0.038650472
140400	0.034224022
141300	0.031093117
142200	0.025695007
143100	0.019973009
144000	0.013495277
144900	0.006477733
145800	0.00194332
146700	0.000755735
147600	0.000323887
148500	0
149400	0
150300	0
151200	0
152100	0
153000	0
153900	0
154800	0
155700	0
156600	0
157500	0
158400	0
159300	0
160200	0
161100	0
162000	0
162900	0
163800	0
164700	0
165600	0
166500	0
167400	0
168300	0
169200	0
170100	0
171000	0
171900	0
172800	0
173700	0
174600	0
175500	0
176400	0
177300	0
178200	0
179100	0
180000	0
180900	0
181800	0
182700	0
183600	0
184500	0
185400	0
186300	0
187200	0
188100	0
189000	0
189900	0
190800	0
191700	0
192600	0
193500	0
194400	0
195300	0
196200	0
197100	0
198000	0
198900	0
199800	0
200700	0.000107962
201600	0.000215924
202500	0.001295547
203400	0.0048583
204300	0.01025641
205200	0.015654521
206100	0.02148448
207000	0.026126856
207900	0.035195682
208800	0.044588394
209700	0.055276653
210600	0.065209177
211500	0.069311741
212400	0.071794872
213300	0.072118758
214200	0.073954116
215100	0.072550607
216000	0.073630229
216900	0.078164642
217800	0.088744939
218700	0.093495277
219600	0.09414305
220500	0.09317139
221400	0.098677463
222300	0.092307692
223200	0.080215924
224100	0.066072874
225000	0.059595142
225900	0.049986505
226800	0.042860999
227700	0.035735493
228600	0.026558704
229500	0.019973009
230400	0.013387314
231300	0.006369771
232200	0.002051282
233100	0.000755735
234000	0.000323887
234900	0
235800	0
236700	0
237600	0
238500	0
239400	0
240300	0
241200	0
242100	0
243000	0
243900	0
244800	0
245700	0
246600	0
247500	0
248400	0
249300	0
250200	0
251100	0
252000	0
252900	0
253800	0
254700	0
255600	0
256500	0
257400	0
258300	0
259200	0
260100	0
261000	0
261900	0
262800	0
263700	0
264600	0
265500	0
266400	0
267300	0
268200	0
269100	0
270000	0
270900	0
271800	0
272700	0
273600	0
274500	0
275400	0
276300	0
277200	0
278100	0
279000	0
279900	0
280800	0
281700	0
282600	0
283500	0
284400	0
285300	0
286200	0
287100	0
288000	0
288900	0.000539811
289800	0.001727395
290700	0.005937922
291600	0.011120108
292500	0.016626181
293400	0.019865047
294300	0.026666667
295200	0.03562753
296100	0.045775978
297000	0.053225371
297900	0.058407557
298800	0.062618084
299700	0.065964912
300600	0.070499325
301500	0.070931174
302400	0.071255061
303300	0.067260459
304200	0.060134953
305100	0.057651822
306000	0.056464238
306900	0.051282051
307800	0.04340081
308700	0.039082321
309600	0.035735493
310500	0.031632928
311400	0.02731444
312300	0.022024291
313200	0.017597841
314100	0.013387314
315000	0.010148448
315900	0.006693657
316800	0.003994602
317700	0.002051282
318600	0.000647773
319500	0.000215924
320400	0.000107962
321300	0
322200	0
323100	0
324000	0
324900	0
325800	0
326700	0
327600	0
328500	0
329400	0
330300	0
331200	0
332100	0
333000	0
333900	0
334800	0
335700	0
336600	0
337500	0
338400	0
339300	0
340200	0
341100	0
342000	0
342900	0
343800	0
344700	0
345600	0
346500	0
347400	0
348300	0
349200	0
350100	0
351000	0
351900	0
352800	0
353700	0
354600	0
355500	0
356400	0
357300	0
358200	0
359100	0
360000	0
360900	0
361800	0
362700	0
363600	0
364500	0
365400	0
366300	0
367200	0
368100	0
369000	0
369900	0
370800	0
371700	0
372600	0
373500	0
374400	0
375300	0.000215924
376200	0.001079622
377100	0.006153846
378000	0.015438596
378900	0.02634278
379800	0.035195682
380700	0.029041835
381600	0.040809717
382500	0.054844804
383400	0.070391363
384300	0.086045884
385200	0.104507422
386100	0.12048583
387000	0.135168691
387900	0.147260459
388800	0.159460189
389700	0.171336032
390600	0.177921727
391500	0.178245614
392400	0.17802969
393300	0.169500675
394200	0.17414305
395100	0.163670715
396000	0.148879892
396900	0.13365722
397800	0.11854251
398700	0.101700405
399600	0.083670715
400500	0.065209177
401400	0.048259109
402300	0.035735493
403200	0.02148448
404100	0.010040486
405000	0.003238866
405900	0.001079622
406800	0.000323887
407700	0
408600	0
409500	0
410400	0
411300	0
412200	0
413100	0
414000	0
414900	0
415800	0
416700	0
417600	0
418500	0
419400	0
420300	0
421200	0
422100	0
423000	0
423900	0
424800	0
425700	0
426600	0
427500	0
428400	0
429300	0
430200	0
431100	0
432000	0
432900	0
433800	0
434700	0
435600	0
436500	0
437400	0
438300	0
439200	0
440100	0
441000	0
441900	0
442800	0
443700	0
444600	0
445500	0
446400	0
447300	0
448200	0
449100	0
450000	0
450900	0
