#1	
# Sources:
# Power production from https://www.netztransparenz.de/Weitere-Veroeffentlichungen/Solarenergie-Hochrechnung
# Installed capacities from https://www.netztransparenz.de/EEG/Anlagenstammdaten
double	default(35040, 2)
0	0
900	0
1800	0
2700	0
3600	0
4500	0
5400	0
6300	0
7200	0
8100	0
9000	0
9900	0
10800	0
11700	0
12600	0
13500	0
14400	0
15300	0
16200	0
17100	0
18000	0
18900	0
19800	0
20700	0
21600	0
22500	0
23400	0
24300	0
25200	0
26100	0
27000	0
27900	0
28800	0
29700	0.000594059
30600	0.00320792
31500	0.009029701
32400	0.016871284
33300	0.022693065
34200	0.035881181
35100	0.051326722
36000	0.068435629
36900	0.083287111
37800	0.099326712
38700	0.131287101
39600	0.151960365
40500	0.167999965
41400	0.19199996
42300	0.20673263
43200	0.235009852
44100	0.225980151
45000	0.221821736
45900	0.216594014
46800	0.214217777
47700	0.200079166
48600	0.174653429
49500	0.161821749
50400	0.14399997
51300	0.120712846
52200	0.100396019
53100	0.078653449
54000	0.053227712
54900	0.031247518
55800	0.015445541
56700	0.005821781
57600	0.001782178
58500	0.000712871
59400	0.000356436
60300	0
61200	0
62100	0
63000	0
63900	0
64800	0
65700	0
66600	0
67500	0
68400	0
69300	0
70200	0
71100	0
72000	0
72900	0
73800	0
74700	0
75600	0
76500	0
77400	0
78300	0
79200	0
80100	0
81000	0
81900	0
82800	0
83700	0
84600	0
85500	0
86400	0
87300	0
88200	0
89100	0
90000	0
90900	0
91800	0
92700	0
93600	0
94500	0
95400	0
96300	0
97200	0
98100	0
99000	0
99900	0
100800	0
101700	0
102600	0
103500	0
104400	0
105300	0
106200	0
107100	0
108000	0
108900	0
109800	0
110700	0
111600	0
112500	0
113400	0
114300	0
115200	0
116100	0.000356426
117000	0.000712853
117900	0.001544514
118800	0.002732602
119700	0.003683072
120600	0.005346395
121500	0.007247335
122400	0.009979937
123300	0.0135442
124200	0.015682758
125100	0.017940124
126000	0.020197491
126900	0.023642945
127800	0.027326017
128700	0.032434794
129600	0.035880249
130500	0.039088085
131400	0.045741377
132300	0.049186831
133200	0.056196548
134100	0.061186517
135000	0.061305325
135900	0.056315357
136800	0.050493727
137700	0.044078054
138600	0.03766238
139500	0.030652663
140400	0.023524137
141300	0.014732288
142200	0.009267084
143100	0.004158307
144000	0.001544514
144900	0.000594044
145800	0.000356426
146700	0
147600	0
148500	0
149400	0
150300	0
151200	0
152100	0
153000	0
153900	0
154800	0
155700	0
156600	0
157500	0
158400	0
159300	0
160200	0
161100	0
162000	0
162900	0
163800	0
164700	0
165600	0
166500	0
167400	0
168300	0
169200	0
170100	0
171000	0
171900	0
172800	0
173700	0
174600	0
175500	0
176400	0
177300	0
178200	0
179100	0
180000	0
180900	0
181800	0
182700	0
183600	0
184500	0
185400	0
186300	0
187200	0
188100	0
189000	0
189900	0
190800	0
191700	0
192600	0
193500	0
194400	0
195300	0
196200	0
197100	0
198000	0
198900	0
199800	0
200700	0
201600	0
202500	0.00106927
203400	0.003801849
204300	0.007841314
205200	0.016039051
206100	0.027801021
207000	0.03908776
207900	0.049186422
208800	0.05679012
209700	0.062611701
210600	0.066532358
211500	0.069146129
212400	0.073066786
213300	0.075086518
214200	0.075561749
215100	0.07603698
216000	0.074730095
216900	0.068195667
217800	0.066651165
218700	0.060235545
219600	0.052394232
220500	0.045622188
221400	0.039919415
222300	0.034216641
223200	0.02732579
224100	0.022454671
225000	0.017345936
225900	0.013544087
226800	0.009385815
227700	0.006534428
228600	0.004039465
229500	0.001900925
230400	0.000712847
231300	0.000237616
232200	0.000118808
233100	0
234000	0
234900	0
235800	0
236700	0
237600	0
238500	0
239400	0
240300	0
241200	0
242100	0
243000	0
243900	0
244800	0
245700	0
246600	0
247500	0
248400	0
249300	0
250200	0
251100	0
252000	0
252900	0
253800	0
254700	0
255600	0
256500	0
257400	0
258300	0
259200	0
260100	0
261000	0
261900	0
262800	0
263700	0
264600	0
265500	0
266400	0
267300	0
268200	0
269100	0
270000	0
270900	0
271800	0
272700	0
273600	0
274500	0
275400	0
276300	0
277200	0
278100	0
279000	0
279900	0
280800	0
281700	0
282600	0
283500	0
284400	0
285300	0
286200	0
287100	0
288000	0.000118808
288900	0.000831653
289800	0.002257344
290700	0.006653225
291600	0.018296369
292500	0.032315665
293400	0.045028077
294300	0.060116641
295200	0.07449236
296100	0.08827404
297000	0.10110526
297900	0.118807591
298800	0.123203472
299700	0.124985586
300600	0.129381467
301500	0.134133771
302400	0.131757619
303300	0.12427274
304200	0.121183743
305100	0.113104827
306000	0.113104827
306900	0.104431873
307800	0.096590572
308700	0.086967157
309600	0.077818972
310500	0.069740056
311400	0.057621682
312300	0.043364771
313200	0.030058321
314100	0.01924683
315000	0.010811491
315900	0.005346342
316800	0.002019729
317700	0.000712846
318600	0.000356423
319500	0
320400	0
321300	0
322200	0
323100	0
324000	0
324900	0
325800	0
326700	0
327600	0
328500	0
329400	0
330300	0
331200	0
332100	0
333000	0
333900	0
334800	0
335700	0
336600	0
337500	0
338400	0
339300	0
340200	0
341100	0
342000	0
342900	0
343800	0
344700	0
345600	0
346500	0
347400	0
348300	0
349200	0
350100	0
351000	0
351900	0
352800	0
353700	0
354600	0
355500	0
356400	0
357300	0
358200	0
359100	0
360000	0
360900	0
361800	0
362700	0
363600	0
364500	0
365400	0
366300	0
367200	0
368100	0
369000	0
369900	0
370800	0
371700	0
372600	0
373500	0
374400	0
375300	0.000594006
376200	0.002019622
377100	0.004514448
378000	0.008078486
378900	0.011998928
379800	0.016275774
380700	0.021621831
381600	0.027799497
382500	0.035402778
383400	0.041105239
384300	0.048114514
385200	0.05049054
386100	0.050015335
387000	0.050609341
387900	0.055836597
388800	0.056311802
389700	0.052272559
390600	0.048827322
391500	0.046094893
392400	0.042649656
393300	0.042174451
394200	0.038016406
395100	0.036115586
396000	0.031125933
396900	0.028155901
397800	0.021859434
398700	0.017226184
399600	0.013780947
400500	0.009622903
401400	0.006058865
402300	0.00285123
403200	0.001069211
404100	0.000356404
405000	0.000237603
405900	0
406800	0
407700	0
408600	0
409500	0
410400	0
411300	0
412200	0
413100	0
414000	0
414900	0
415800	0
416700	0
417600	0
418500	0
419400	0
420300	0
421200	0
422100	0
423000	0
423900	0
424800	0
425700	0
426600	0
427500	0
428400	0
429300	0
430200	0
431100	0
432000	0
432900	0
433800	0
434700	0
435600	0
436500	0
437400	0
438300	0
439200	0
440100	0
441000	0
441900	0
442800	0
443700	0
444600	0
445500	0
446400	0
447300	0
448200	0
449100	0
450000	0
450900	0
