#1	
# Sources:
# Power production from https://www.netztransparenz.de/Weitere-Veroeffentlichungen/Solarenergie-Hochrechnung
# Installed capacities from https://www.netztransparenz.de/EEG/Anlagenstammdaten
double	default(35040, 2)
0	0
900	0
1800	0
2700	0
3600	0
4500	0
5400	0
6300	0
7200	0
8100	0
9000	0
9900	0
10800	0
11700	0
12600	0
13500	0
14400	0
15300	0
16200	0
17100	0
18000	0
18900	0
19800	0
20700	0
21600	0
22500	0
23400	0
24300	0
25200	0
26100	0
27000	0
27900	0
28800	0
29700	0.000109695
30600	0.000767863
31500	0.003619924
32400	0.010640382
33300	0.022048626
34200	0.031592061
35100	0.055066717
36000	0.064829542
36900	0.075360229
37800	0.091924122
38700	0.107171679
39600	0.11024313
40500	0.109694656
41400	0.116166641
42300	0.12768458
43200	0.138654046
44100	0.156973053
45000	0.16114145
45900	0.148197481
46800	0.130865725
47700	0.121212595
48600	0.116056946
49500	0.109694656
50400	0.103551756
51300	0.095434351
52200	0.083477633
53100	0.070753053
54000	0.055176412
54900	0.03839313
55800	0.023255267
56700	0.011627634
57600	0.004278092
58500	0.000987252
59400	0
60300	0
61200	0
62100	0
63000	0
63900	0
64800	0
65700	0
66600	0
67500	0
68400	0
69300	0
70200	0
71100	0
72000	0
72900	0
73800	0
74700	0
75600	0
76500	0
77400	0
78300	0
79200	0
80100	0
81000	0
81900	0
82800	0
83700	0
84600	0
85500	0
86400	0
87300	0
88200	0
89100	0
90000	0
90900	0
91800	0
92700	0
93600	0
94500	0
95400	0
96300	0
97200	0
98100	0
99000	0
99900	0
100800	0
101700	0
102600	0
103500	0
104400	0
105300	0
106200	0
107100	0
108000	0
108900	0
109800	0
110700	0
111600	0
112500	0
113400	0
114300	0
115200	0
116100	0.000109689
117000	0.000329067
117900	0.001425957
118800	0.003400359
119700	0.007458851
120600	0.009104186
121500	0.013491746
122400	0.016014593
123300	0.018756818
124200	0.022595932
125100	0.027093181
126000	0.033784209
126900	0.041462439
127800	0.049360046
128700	0.060328945
129600	0.06745873
130500	0.06855562
131400	0.070091266
132300	0.074259447
133200	0.080402031
134100	0.084131457
135000	0.086434925
135900	0.084241146
136800	0.076672605
137700	0.068994376
138600	0.060438634
139500	0.053637917
140400	0.042339951
141300	0.030383851
142200	0.019744018
143100	0.011407655
144000	0.004606938
144900	0.001206579
145800	0.000109689
146700	0
147600	0
148500	0
149400	0
150300	0
151200	0
152100	0
153000	0
153900	0
154800	0
155700	0
156600	0
157500	0
158400	0
159300	0
160200	0
161100	0
162000	0
162900	0
163800	0
164700	0
165600	0
166500	0
167400	0
168300	0
169200	0
170100	0
171000	0
171900	0
172800	0
173700	0
174600	0
175500	0
176400	0
177300	0
178200	0
179100	0
180000	0
180900	0
181800	0
182700	0
183600	0
184500	0
185400	0
186300	0
187200	0
188100	0
189000	0
189900	0
190800	0
191700	0
192600	0
193500	0
194400	0
195300	0
196200	0
197100	0
198000	0
198900	0
199800	0
200700	0
201600	0
202500	0.000438752
203400	0.001864695
204300	0.004058454
205200	0.00691034
206100	0.010310666
207000	0.012614113
207900	0.013381929
208800	0.018537262
209700	0.023034467
210600	0.027531673
211500	0.031261063
212400	0.035319517
213300	0.037074524
214200	0.036964836
215100	0.035867956
216000	0.03564858
216900	0.033454822
217800	0.03301607
218700	0.033674197
219600	0.034661389
220500	0.028518864
221400	0.02446041
222300	0.020950396
223200	0.017769446
224100	0.015027248
225000	0.013710992
225900	0.010749418
226800	0.007787844
227700	0.00691034
228600	0.006252213
229500	0.003510014
230400	0.001206567
231300	0.000329064
232200	0
233100	0
234000	0
234900	0
235800	0
236700	0
237600	0
238500	0
239400	0
240300	0
241200	0
242100	0
243000	0
243900	0
244800	0
245700	0
246600	0
247500	0
248400	0
249300	0
250200	0
251100	0
252000	0
252900	0
253800	0
254700	0
255600	0
256500	0
257400	0
258300	0
259200	0
260100	0
261000	0
261900	0
262800	0
263700	0
264600	0
265500	0
266400	0
267300	0
268200	0
269100	0
270000	0
270900	0
271800	0
272700	0
273600	0
274500	0
275400	0
276300	0
277200	0
278100	0
279000	0
279900	0
280800	0
281700	0
282600	0
283500	0
284400	0
285300	0
286200	0
287100	0
288000	0
288900	0.000219376
289800	0.001206567
290700	0.004935957
291600	0.009542851
292500	0.020292269
293400	0.036635772
294300	0.067677459
295200	0.086434096
296100	0.099377273
297000	0.111223571
297900	0.124934563
298800	0.138755243
299700	0.150162789
300600	0.153124363
301500	0.165519101
302400	0.180217285
303300	0.189760135
304200	0.186030745
305100	0.185372618
306000	0.189979511
306900	0.181094788
307800	0.168370987
308700	0.147639967
309600	0.121972989
310500	0.103764791
311400	0.085008153
312300	0.076781558
313200	0.064825572
314100	0.049359573
315000	0.03246763
315900	0.017111319
316800	0.006581276
317700	0.001864695
318600	0.000219376
319500	0
320400	0
321300	0
322200	0
323100	0
324000	0
324900	0
325800	0
326700	0
327600	0
328500	0
329400	0
330300	0
331200	0
332100	0
333000	0
333900	0
334800	0
335700	0
336600	0
337500	0
338400	0
339300	0
340200	0
341100	0
342000	0
342900	0
343800	0
344700	0
345600	0
346500	0
347400	0
348300	0
349200	0
350100	0
351000	0
351900	0
352800	0
353700	0
354600	0
355500	0
356400	0
357300	0
358200	0
359100	0
360000	0
360900	0
361800	0
362700	0
363600	0
364500	0
365400	0
366300	0
367200	0
368100	0
369000	0
369900	0
370800	0
371700	0
372600	0
373500	0
374400	0
375300	0.000548405
376200	0.002742026
377100	0.008993845
378000	0.014916621
378900	0.024568553
379800	0.03904645
380700	0.057801908
381600	0.078312262
382500	0.097287082
383400	0.116919987
384300	0.136662574
385200	0.161011765
386100	0.181741481
387000	0.192599904
387900	0.209929508
388800	0.226820388
389700	0.247550105
390600	0.25764076
391500	0.260821511
392400	0.2597247
393300	0.250511493
394200	0.236033596
395100	0.211355362
396000	0.186019042
396900	0.166166774
397800	0.140172368
398700	0.119771694
399600	0.098054849
400500	0.070415227
401400	0.047053166
402300	0.028846113
403200	0.013052044
404100	0.003729155
405000	0.000329043
405900	0
406800	0
407700	0
408600	0
409500	0
410400	0
411300	0
412200	0
413100	0
414000	0
414900	0
415800	0
416700	0
417600	0
418500	0
419400	0
420300	0
421200	0
422100	0
423000	0
423900	0
424800	0
425700	0
426600	0
427500	0
428400	0
429300	0
430200	0
431100	0
432000	0
432900	0
433800	0
434700	0
435600	0
436500	0
437400	0
438300	0
439200	0
440100	0
441000	0
441900	0
442800	0
443700	0
444600	0
445500	0
446400	0
447300	0
448200	0
449100	0
450000	0
450900	0
451800	0
452700	0
