#1	
# Sources:
# Power production from https://www.netztransparenz.de/Weitere-Veroeffentlichungen/Solarenergie-Hochrechnung
# Installed capacities from https://www.netztransparenz.de/EEG/Anlagenstammdaten
double	default(35040, 2)
0	0
900	0
1800	0
2700	0
3600	0
4500	0
5400	0
6300	0
7200	0
8100	0
9000	0
9900	0
10800	0
11700	0
12600	0
13500	0
14400	0
15300	0
16200	0
17100	0
18000	0
18900	0
19800	0
20700	0
21600	0
22500	0
23400	0
24300	0
25200	0
26100	0
27000	0
27900	0
28800	0
29700	0.000375492
30600	0.001314222
31500	0.003996307
32400	0.00911909
33300	0.015368348
34200	0.023200037
35100	0.035215779
36000	0.043530243
36900	0.050691411
37800	0.059756859
38700	0.073086822
39600	0.080918511
40500	0.085719444
41400	0.09347067
42300	0.100819584
43200	0.110609195
44100	0.114149547
45000	0.114954173
45900	0.110716478
46800	0.104681786
47700	0.098030215
48600	0.08936708
49500	0.083439671
50400	0.075473878
51300	0.066113401
52200	0.056377431
53100	0.046534179
54000	0.034867108
54900	0.023441425
55800	0.014322335
56700	0.007348914
57600	0.003218502
58500	0.001367863
59400	0.00061688
60300	0.000107283
61200	0
62100	0
63000	0
63900	0
64800	0
65700	0
66600	0
67500	0
68400	0
69300	0
70200	0
71100	0
72000	0
72900	0
73800	0
74700	0
75600	0
76500	0
77400	0
78300	0
79200	0
80100	0
81000	0
81900	0
82800	0
83700	0
84600	0
85500	0
86400	0
87300	0
88200	0
89100	0
90000	0
90900	0
91800	0
92700	0
93600	0
94500	0
95400	0
96300	0
97200	0
98100	0
99000	0
99900	0
100800	0
101700	0
102600	0
103500	0
104400	0
105300	0
106200	0
107100	0
108000	0
108900	0
109800	0
110700	0
111600	0
112500	0
113400	0
114300	0
115200	2.68195E-05
116100	0.00056321
117000	0.001233698
117900	0.00222602
118800	0.003727913
119700	0.005685738
120600	0.007455827
121500	0.010245057
122400	0.012980648
123300	0.016198991
124200	0.019417333
125100	0.02293069
126000	0.026470867
126900	0.03135202
127800	0.036072256
128700	0.041489799
129600	0.044386307
130500	0.045244532
131400	0.047095079
132300	0.048462874
133200	0.050903451
134100	0.052244427
135000	0.051976232
135900	0.048623791
136800	0.043957195
137700	0.038781027
138600	0.033631679
139500	0.028670068
140400	0.022662495
141300	0.016011254
142200	0.010727808
143100	0.005980753
144000	0.002762411
144900	0.001233698
145800	0.000643669
146700	0.000214556
147600	0
148500	0
149400	0
150300	0
151200	0
152100	0
153000	0
153900	0
154800	0
155700	0
156600	0
157500	0
158400	0
159300	0
160200	0
161100	0
162000	0
162900	0
163800	0
164700	0
165600	0
166500	0
167400	0
168300	0
169200	0
170100	0
171000	0
171900	0
172800	0
173700	0
174600	0
175500	0
176400	0
177300	0
178200	0
179100	0
180000	0
180900	0
181800	0
182700	0
183600	0
184500	0
185400	0
186300	0
187200	0
188100	0
189000	0
189900	0
190800	0
191700	0
192600	0
193500	0
194400	0
195300	0
196200	0
197100	0
198000	0
198900	0
199800	0
200700	0
201600	2.68194E-05
202500	0.000724123
203400	0.002360106
204300	0.00480067
205200	0.00874312
206100	0.013919262
207000	0.019014946
207900	0.023547422
208800	0.028321273
209700	0.032585556
210600	0.036286631
211500	0.039987707
212400	0.043956976
213300	0.046022069
214200	0.046263443
215100	0.046129346
216000	0.046290263
216900	0.044091073
217800	0.042696465
218700	0.040470456
219600	0.037547142
220500	0.032907388
221400	0.028804022
222300	0.024647017
223200	0.020516831
224100	0.017137589
225000	0.014106998
225900	0.011156865
226800	0.008099455
227700	0.006061182
228600	0.004317921
229500	0.002386925
230400	0.001126414
231300	0.000590027
232200	0.000402291
233100	0.000187736
234000	0
234900	0
235800	0
236700	0
237600	0
238500	0
239400	0
240300	0
241200	0
242100	0
243000	0
243900	0
244800	0
245700	0
246600	0
247500	0
248400	0
249300	0
250200	0
251100	0
252000	0
252900	0
253800	0
254700	0
255600	0
256500	0
257400	0
258300	0
259200	0
260100	0
261000	0
261900	0
262800	0
263700	0
264600	0
265500	0
266400	0
267300	0
268200	0
269100	0
270000	0
270900	0
271800	0
272700	0
273600	0
274500	0
275400	0
276300	0
277200	0
278100	0
279000	0
279900	0
280800	0
281700	0
282600	0
283500	0
284400	0
285300	0
286200	0
287100	0
288000	8.04581E-05
288900	0.000482749
289800	0.001475066
290700	0.004210642
291600	0.010218182
292500	0.019309949
293400	0.030064518
294300	0.044922452
295200	0.057608016
296100	0.068657598
297000	0.079385347
297900	0.091588163
298800	0.102128177
299700	0.110227628
300600	0.113445953
301500	0.119507131
302400	0.122779095
303300	0.123985967
304200	0.123530037
305100	0.120928558
306000	0.119828964
306900	0.112373178
307800	0.103093674
308700	0.093036409
309600	0.079921735
310500	0.070534954
311400	0.059646288
312300	0.04972312
313200	0.040068145
314100	0.030520448
315000	0.020007253
315900	0.011532331
316800	0.00557843
317700	0.002252827
318600	0.000992317
319500	0.000160916
320400	0
321300	0
322200	0
323100	0
324000	0
324900	0
325800	0
326700	0
327600	0
328500	0
329400	0
330300	0
331200	0
332100	0
333000	0
333900	0
334800	0
335700	0
336600	0
337500	0
338400	0
339300	0
340200	0
341100	0
342000	0
342900	0
343800	0
344700	0
345600	0
346500	0
347400	0
348300	0
349200	0
350100	0
351000	0
351900	0
352800	0
353700	0
354600	0
355500	0
356400	0
357300	0
358200	0
359100	0
360000	0
360900	0
361800	0
362700	0
363600	0
364500	0
365400	0
366300	0
367200	0
368100	0
369000	0
369900	0
370800	0
371700	0
372600	0
373500	0
374400	0.000107272
375300	0.000777724
376200	0.002386808
377100	0.006704517
378000	0.013006762
378900	0.021937179
379800	0.032718041
380700	0.045805258
381600	0.060099287
382500	0.0740715
383400	0.086675991
384300	0.099521845
385200	0.113091787
386100	0.124194467
387000	0.13108671
387900	0.14328893
388800	0.150556626
389700	0.158092503
390600	0.160023404
391500	0.160988854
392400	0.159889313
393300	0.157100234
394200	0.149725266
395100	0.141170303
396000	0.129665352
396900	0.117945857
397800	0.102766831
398700	0.088901891
399600	0.073588775
400500	0.054842946
401400	0.038644834
402300	0.024699439
403200	0.014186757
404100	0.004934524
405000	0.001635902
405900	0.000402271
406800	0
407700	0
408600	0
409500	0
410400	0
411300	0
412200	0
413100	0
414000	0
414900	0
415800	0
416700	0
417600	0
418500	0
419400	0
420300	0
421200	0
422100	0
423000	0
423900	0
424800	0
425700	0
426600	0
427500	0
428400	0
429300	0
430200	0
431100	0
432000	0
432900	0
433800	0
434700	0
435600	0
436500	0
437400	0
438300	0
439200	0
440100	0
441000	0
441900	0
442800	0
443700	0
