#1  Original data for 2015 (from 50HzNKZ, AmprionNKZ, TennetNKZ, TransnetNKZ) meassured every 15min, scaled by installed power (from BNAEEG). Scaled to 950 FLH (keeping maximum power) with transientee-sources\matlab\la\REF\changeFullLoadHours_RE.m
double	default(35136, 2)
0	0
900	0
1800	0
2700	0
3600	0
4500	0
5400	0
6300	0
7200	0
8100	0
9000	0
9900	0
10800	0
11700	0
12600	0
13500	0
14400	0
15300	0
16200	0
17100	0
18000	0
18900	0
19800	0
20700	0
21600	0
22500	0
23400	0
24300	0
25200	0
26100	0
27000	0
27900	0
28800	0
29700	0.000380942
30600	0.0013333
31500	0.00405432
32400	0.009251469
33300	0.015591445
34200	0.023536825
35100	0.035727
36000	0.04416216
36900	0.051427286
37800	0.060624334
38700	0.074147802
39600	0.082093182
40500	0.086963811
41400	0.094827556
42300	0.102283157
43200	0.112214901
44100	0.115806614
45000	0.116622966
45900	0.112323741
46800	0.106201422
47700	0.09945329
48600	0.090664396
49500	0.084650939
50400	0.076569514
51300	0.067073151
52200	0.057195848
53100	0.047209706
54000	0.035373266
54900	0.02378172
55800	0.014530252
56700	0.007455596
57600	0.003265224
58500	0.00138772
59400	0.000625834
60300	0.000108841
61200	0
62100	0
63000	0
63900	0
64800	0
65700	0
66600	0
67500	0
68400	0
69300	0
70200	0
71100	0
72000	0
72900	0
73800	0
74700	0
75600	0
76500	0
77400	0
78300	0
79200	0
80100	0
81000	0
81900	0
82800	0
83700	0
84600	0
85500	0
86400	0
87300	0
88200	0
89100	0
90000	0
90900	0
91800	0
92700	0
93600	0
94500	0
95400	0
96300	0
97200	0
98100	0
99000	0
99900	0
100800	0
101700	0
102600	0
103500	0
104400	0
105300	0
106200	0
107100	0
108000	0
108900	0
109800	0
110700	0
111600	0
112500	0
113400	0
114300	0
115200	2.72102E-05
116100	0.000571414
117000	0.001251669
117900	0.002258447
118800	0.003782218
119700	0.005768563
120600	0.007564437
121500	0.010394298
122400	0.013169733
123300	0.016434959
124200	0.019700185
125100	0.023264726
126000	0.026856471
126900	0.031808725
127800	0.036597719
128700	0.042094182
129600	0.045032889
130500	0.045903618
131400	0.04778112
132300	0.049168833
133200	0.051644965
134100	0.053005473
135000	0.052733374
135900	0.049332103
136800	0.044597519
137700	0.03934595
138600	0.034121597
139500	0.029087709
140400	0.022992616
141300	0.016244495
142200	0.010884087
143100	0.006067875
144000	0.00280265
144900	0.001251669
145800	0.000653045
146700	0.000217682
147600	0
148500	0
149400	0
150300	0
151200	0
152100	0
153000	0
153900	0
154800	0
155700	0
156600	0
157500	0
158400	0
159300	0
160200	0
161100	0
162000	0
162900	0
163800	0
164700	0
165600	0
166500	0
167400	0
168300	0
169200	0
170100	0
171000	0
171900	0
172800	0
173700	0
174600	0
175500	0
176400	0
177300	0
178200	0
179100	0
180000	0
180900	0
181800	0
182700	0
183600	0
184500	0
185400	0
186300	0
187200	0
188100	0
189000	0
189900	0
190800	0
191700	0
192600	0
193500	0
194400	0
195300	0
196200	0
197100	0
198000	0
198900	0
199800	0
200700	0
201600	2.72102E-05
202500	0.000734675
203400	0.002394498
204300	0.004870626
205200	0.008870526
206100	0.014122097
207000	0.019292031
207900	0.02389056
208800	0.028733974
209700	0.033060393
210600	0.036815409
211500	0.040570414
212400	0.044597519
213300	0.046692712
214200	0.046937596
215100	0.046801551
216000	0.046964811
216900	0.044733574
217800	0.043318646
218700	0.041060193
219600	0.038094282
220500	0.033386923
221400	0.029223764
222300	0.025006173
223200	0.020815809
224100	0.017387323
225000	0.014312572
225900	0.011319446
226800	0.008217482
227700	0.006149506
228600	0.004380842
229500	0.002421708
230400	0.001142829
231300	0.000598624
232200	0.000408154
233100	0.000190472
234000	0
234900	0
235800	0
236700	0
237600	0
238500	0
239400	0
240300	0
241200	0
242100	0
243000	0
243900	0
244800	0
245700	0
246600	0
247500	0
248400	0
249300	0
250200	0
251100	0
252000	0
252900	0
253800	0
254700	0
255600	0
256500	0
257400	0
258300	0
259200	0
260100	0
261000	0
261900	0
262800	0
263700	0
264600	0
265500	0
266400	0
267300	0
268200	0
269100	0
270000	0
270900	0
271800	0
272700	0
273600	0
274500	0
275400	0
276300	0
277200	0
278100	0
279000	0
279900	0
280800	0
281700	0
282600	0
283500	0
284400	0
285300	0
286200	0
287100	0
288000	8.16306E-05
288900	0.000489783
289800	0.001496561
290700	0.004272002
291600	0.010367087
292500	0.019591345
293400	0.030502637
294300	0.045577088
295200	0.058447517
296100	0.069658123
297000	0.080542199
297900	0.092922849
298800	0.10361645
299700	0.111833908
300600	0.115099209
301500	0.121248711
302400	0.124568271
303300	0.125792799
304200	0.12533015
305100	0.122690811
306000	0.12157523
306900	0.114010704
307800	0.104596019
308700	0.094392197
309600	0.081086409
310500	0.07156283
311400	0.060515494
312300	0.050447717
313200	0.040652039
314100	0.030965211
315000	0.020298815
315900	0.011700385
316800	0.005659722
317700	0.002285657
318600	0.001006778
319500	0.000163261
320400	0
321300	0
322200	0
323100	0
324000	0
324900	0
325800	0
326700	0
327600	0
328500	0
329400	0
330300	0
331200	0
332100	0
333000	0
333900	0
334800	0
335700	0
336600	0
337500	0
338400	0
339300	0
340200	0
341100	0
342000	0
342900	0
343800	0
344700	0
345600	0
346500	0
347400	0
348300	0
349200	0
350100	0
351000	0
351900	0
352800	0
353700	0
354600	0
355500	0
356400	0
357300	0
358200	0
359100	0
360000	0
360900	0
361800	0
362700	0
363600	0
364500	0
365400	0
366300	0
367200	0
368100	0
369000	0
369900	0
370800	0
371700	0
372600	0
373500	0
374400	0.000108841
375300	0.000789096
376200	0.002421708
377100	0.00680255
378000	0.013196948
378900	0.022257942
379800	0.033196448
380700	0.046475021
381600	0.060978069
382500	0.075154586
383400	0.08794338
384300	0.100977069
385200	0.114745399
386100	0.126010479
387000	0.133003516
387900	0.14538407
388800	0.1527581
389700	0.160404176
390600	0.162363292
391500	0.16334285
392400	0.162227269
393300	0.159397327
394200	0.151914564
395100	0.143234457
396000	0.131561308
396900	0.11967048
397800	0.104269499
398700	0.090201822
399600	0.074664796
400500	0.055644865
401400	0.039209906
402300	0.025060593
403200	0.014394197
404100	0.005006678
405000	0.001659822
405900	0.000408154
406800	0
407700	0
408600	0
409500	0
410400	0
411300	0
412200	0
413100	0
414000	0
414900	0
415800	0
416700	0
417600	0
418500	0
419400	0
420300	0
421200	0
422100	0
423000	0
423900	0
424800	0
425700	0
426600	0
427500	0
428400	0
429300	0
430200	0
431100	0
432000	0
432900	0
433800	0
434700	0
435600	0
436500	0
437400	0
438300	0
