#1	
# Sources:
# Power production from https://www.netztransparenz.de/Weitere-Veroeffentlichungen/Solarenergie-Hochrechnung
# Installed capacities from https://www.netztransparenz.de/EEG/Anlagenstammdaten
double	default(35040, 2)
0	0
900	0
1800	0
2700	0
3600	0
4500	0
5400	0
6300	0
7200	0
8100	0
9000	0
9900	0
10800	0
11700	0
12600	0
13500	0
14400	0
15300	0
16200	0
17100	0
18000	0
18900	0
19800	0
20700	0
21600	0
22500	0
23400	0
24300	0
25200	0
26100	0
27000	0
27900	0
28800	0
29700	0.000337073
30600	0.000741562
31500	0.001887611
32400	0.005056102
33300	0.009100984
34200	0.013887427
35100	0.019010944
36000	0.022516508
36900	0.026156901
37800	0.030269197
38700	0.035932032
39600	0.04078589
40500	0.043684721
41400	0.045167845
42300	0.047864432
43200	0.04941497
44100	0.051100338
45000	0.052178973
45900	0.05271829
46800	0.051235167
47700	0.050156532
48600	0.046583553
49500	0.043819551
50400	0.038830864
51300	0.034246664
52200	0.029527636
53100	0.024606363
54000	0.020156993
54900	0.015168306
55800	0.01105601
56700	0.006741469
57600	0.003707808
58500	0.002022441
59400	0.001078635
60300	0.000269659
61200	0
62100	0
63000	0
63900	0
64800	0
65700	0
66600	0
67500	0
68400	0
69300	0
70200	0
71100	0
72000	0
72900	0
73800	0
74700	0
75600	0
76500	0
77400	0
78300	0
79200	0
80100	0
81000	0
81900	0
82800	0
83700	0
84600	0
85500	0
86400	0
87300	0
88200	0
89100	0
90000	0
90900	0
91800	0
92700	0
93600	0
94500	0
95400	0
96300	0
97200	0
98100	0
99000	0
99900	0
100800	0
101700	0
102600	0
103500	0
104400	0
105300	0
106200	0
107100	0
108000	0
108900	0
109800	0
110700	0
111600	0
112500	0
113400	0
114300	0
115200	0
116100	0.000943746
117000	0.002224545
117900	0.003505343
118800	0.005190605
119700	0.006808455
120600	0.008898179
121500	0.011796829
122400	0.015167351
123300	0.019144568
124200	0.023391426
125100	0.027907926
126000	0.031143628
126900	0.035323076
127800	0.040041807
128700	0.04354715
129600	0.045232412
130500	0.044490897
131400	0.044693128
132300	0.044019024
133200	0.042873046
134100	0.041390016
135000	0.039637344
135900	0.035660128
136800	0.032087374
137700	0.027773105
138600	0.02406553
139500	0.020088314
140400	0.016245918
141300	0.01206647
142200	0.008695948
143100	0.004988373
144000	0.002831239
144900	0.001954903
145800	0.001348209
146700	0.000539284
147600	0
148500	0
149400	0
150300	0
151200	0
152100	0
153000	0
153900	0
154800	0
155700	0
156600	0
157500	0
158400	0
159300	0
160200	0
161100	0
162000	0
162900	0
163800	0
164700	0
165600	0
166500	0
167400	0
168300	0
169200	0
170100	0
171000	0
171900	0
172800	0
173700	0
174600	0
175500	0
176400	0
177300	0
178200	0
179100	0
180000	0
180900	0
181800	0
182700	0
183600	0
184500	0
185400	0
186300	0
187200	0
188100	0
189000	0
189900	0
190800	0
191700	0
192600	0
193500	0
194400	0
195300	0
196200	0
197100	0
198000	0
198900	0
199800	0
200700	0
201600	0
202500	0.000674104
203400	0.002022312
204300	0.004044624
205200	0.006673629
206100	0.009774508
207000	0.013347259
207900	0.01692001
208800	0.019279374
209700	0.022380252
210600	0.025683362
211500	0.030199859
212400	0.035120818
213300	0.03727795
214200	0.037682413
215100	0.038356517
216000	0.040985522
216900	0.042738193
217800	0.041861857
218700	0.040513649
219600	0.037817234
220500	0.035188228
221400	0.031143604
222300	0.02703157
223200	0.022919535
224100	0.019279374
225000	0.015504392
225900	0.012336103
226800	0.009100404
227700	0.006403988
228600	0.004179445
229500	0.002494185
230400	0.00161785
231300	0.001145977
232200	0.000943746
233100	0.000471873
234000	0
234900	0
235800	0
236700	0
237600	0
238500	0
239400	0
240300	0
241200	0
242100	0
243000	0
243900	0
244800	0
245700	0
246600	0
247500	0
248400	0
249300	0
250200	0
251100	0
252000	0
252900	0
253800	0
254700	0
255600	0
256500	0
257400	0
258300	0
259200	0
260100	0
261000	0
261900	0
262800	0
263700	0
264600	0
265500	0
266400	0
267300	0
268200	0
269100	0
270000	0
270900	0
271800	0
272700	0
273600	0
274500	0
275400	0
276300	0
277200	0
278100	0
279000	0
279900	0
280800	0
281700	0
282600	0
283500	0
284400	0
285300	0
286200	0
287100	0
288000	0
288900	0.000134821
289800	0.000539283
290700	0.001550439
291600	0.005055779
292500	0.010381199
293400	0.01597626
294300	0.021503911
295200	0.029323515
296100	0.036401605
297000	0.043547106
297900	0.049816271
298800	0.056355078
299700	0.061815319
300600	0.066196993
301500	0.06909564
302400	0.071926876
303300	0.074892933
304200	0.076645602
305100	0.076915244
306000	0.073207673
306900	0.069971975
307800	0.066062173
308700	0.060736753
309600	0.055074281
310500	0.049883681
311400	0.043951568
312300	0.036266785
313200	0.029121284
314100	0.021032039
315000	0.014965104
315900	0.00883076
316800	0.005055779
317700	0.002561594
318600	0.001483028
319500	0.000404462
320400	0
321300	0
322200	0
323100	0
324000	0
324900	0
325800	0
326700	0
327600	0
328500	0
329400	0
330300	0
331200	0
332100	0
333000	0
333900	0
334800	0
335700	0
336600	0
337500	0
338400	0
339300	0
340200	0
341100	0
342000	0
342900	0
343800	0
344700	0
345600	0
346500	0
347400	0
348300	0
349200	0
350100	0
351000	0
351900	0
352800	0
353700	0
354600	0
355500	0
356400	0
357300	0
358200	0
359100	0
360000	0
360900	0
361800	0
362700	0
363600	0
364500	0
365400	0
366300	0
367200	0
368100	0
369000	0
369900	0
370800	0
371700	0
372600	0
373500	0
374400	0
375300	0.000337036
376200	0.001617774
377100	0.004583693
378000	0.009437015
378900	0.01543626
379800	0.02204217
380700	0.029794003
381600	0.038085095
382500	0.046915444
383400	0.054465056
384300	0.061812446
385200	0.068620577
386100	0.07664204
387000	0.083517579
387900	0.090325711
388800	0.094235331
389700	0.099223468
390600	0.101650129
391500	0.102121979
392400	0.102054572
393300	0.104211604
394200	0.103470124
395100	0.102998273
396000	0.09915606
396900	0.090730155
397800	0.080956104
398700	0.069429464
399600	0.055273943
400500	0.042871009
401400	0.030939926
402300	0.020356989
403200	0.011459232
404100	0.004988136
405000	0.002157032
405900	0.000674072
406800	0
407700	0
408600	0
409500	0
410400	0
411300	0
412200	0
413100	0
414000	0
414900	0
415800	0
416700	0
417600	0
418500	0
419400	0
420300	0
421200	0
422100	0
423000	0
423900	0
424800	0
425700	0
426600	0
427500	0
428400	0
429300	0
430200	0
431100	0
432000	0
432900	0
433800	0
434700	0
435600	0
436500	0
437400	0
438300	0
439200	0
440100	0
441000	0
441900	0
442800	0
443700	0
444600	0
445500	0
446400	0
447300	0
