#1	Original data for 2015 (from TennetNKZ) meassured every 15min, scaled by installed power (from BNAEEG).
double	default(35040, 2)
0	0
900	0
1800	0
2700	0
3600	0
4500	0
5400	0
6300	0
7200	0
8100	0
9000	0
9900	0
10800	0
11700	0
12600	0
13500	0
14400	0
15300	0
16200	0
17100	0
18000	0
18900	0
19800	0
20700	0
21600	0
22500	0
23400	0
24300	0
25200	0
26100	0
27000	0
27900	0
28800	0
29700	0.000323562
30600	0.000711836
31500	0.001811946
32400	0.004853427
33300	0.008736168
34200	0.013330745
35100	0.018248884
36000	0.021613926
36900	0.025108393
37800	0.029055847
38700	0.034491684
39600	0.039150974
40500	0.041933605
41400	0.043357277
42300	0.045945771
43200	0.047434155
44100	0.049051964
45000	0.050087362
45900	0.050605061
46800	0.049181389
47700	0.048145991
48600	0.044716236
49500	0.04206303
50400	0.037274316
51300	0.032873876
52200	0.028344011
53100	0.023620009
54000	0.019348994
54900	0.01456028
55800	0.010612826
56700	0.006471235
57600	0.003559179
58500	0.001941371
59400	0.001035398
60300	0.000258849
61200	0
62100	0
63000	0
63900	0
64800	0
65700	0
66600	0
67500	0
68400	0
69300	0
70200	0
71100	0
72000	0
72900	0
73800	0
74700	0
75600	0
76500	0
77400	0
78300	0
79200	0
80100	0
81000	0
81900	0
82800	0
83700	0
84600	0
85500	0
86400	0
87300	0
88200	0
89100	0
90000	0
90900	0
91800	0
92700	0
93600	0
94500	0
95400	0
96300	0
97200	0
98100	0
99000	0
99900	0
100800	0
101700	0
102600	0
103500	0
104400	0
105300	0
106200	0
107100	0
108000	0
108900	0
109800	0
110700	0
111600	0
112500	0
113400	0
114300	0
115200	0
116100	0.000905973
117000	0.002135508
117900	0.003365042
118800	0.004982851
119700	0.006535948
120600	0.008542031
121500	0.011324662
122400	0.01456028
123300	0.018378308
124200	0.022455187
125100	0.026790914
126000	0.029897107
126900	0.033909273
127800	0.038439138
128700	0.04180418
129600	0.043421989
130500	0.042710153
131400	0.04290429
132300	0.042257167
133200	0.041157057
134100	0.039733385
135000	0.038050864
135900	0.034232835
136800	0.03080308
137700	0.02666149
138600	0.02310231
139500	0.019284281
140400	0.015595677
141300	0.011583511
142200	0.008347894
143100	0.004788714
144000	0.002717919
144900	0.001876658
145800	0.001294247
146700	0.000517699
147600	0
148500	0
149400	0
150300	0
151200	0
152100	0
153000	0
153900	0
154800	0
155700	0
156600	0
157500	0
158400	0
159300	0
160200	0
161100	0
162000	0
162900	0
163800	0
164700	0
165600	0
166500	0
167400	0
168300	0
169200	0
170100	0
171000	0
171900	0
172800	0
173700	0
174600	0
175500	0
176400	0
177300	0
178200	0
179100	0
180000	0
180900	0
181800	0
182700	0
183600	0
184500	0
185400	0
186300	0
187200	0
188100	0
189000	0
189900	0
190800	0
191700	0
192600	0
193500	0
194400	0
195300	0
196200	0
197100	0
198000	0
198900	0
199800	0
200700	0
201600	0
202500	0.000647124
203400	0.001941371
204300	0.003882741
205200	0.006406523
206100	0.009383291
207000	0.012813046
207900	0.016242801
208800	0.018507733
209700	0.021484501
210600	0.024655407
211500	0.028991134
212400	0.033715136
213300	0.035785932
214200	0.036174206
215100	0.036821329
216000	0.039345111
216900	0.041027632
217800	0.040186372
218700	0.038892125
219600	0.03630363
220500	0.033779849
221400	0.029897107
222300	0.025949654
223200	0.0220022
224100	0.018507733
225000	0.014883841
225900	0.011842361
226800	0.008736168
227700	0.006147674
228600	0.004012166
229500	0.002394357
230400	0.001553096
231300	0.00110011
232200	0.000905973
233100	0.000452986
234000	0
234900	0
235800	0
236700	0
237600	0
238500	0
239400	0
240300	0
241200	0
242100	0
243000	0
243900	0
244800	0
245700	0
246600	0
247500	0
248400	0
249300	0
250200	0
251100	0
252000	0
252900	0
253800	0
254700	0
255600	0
256500	0
257400	0
258300	0
259200	0
260100	0
261000	0
261900	0
262800	0
263700	0
264600	0
265500	0
266400	0
267300	0
268200	0
269100	0
270000	0
270900	0
271800	0
272700	0
273600	0
274500	0
275400	0
276300	0
277200	0
278100	0
279000	0
279900	0
280800	0
281700	0
282600	0
283500	0
284400	0
285300	0
286200	0
287100	0
288000	0
288900	0.000129425
289800	0.000517699
290700	0.001488384
291600	0.004853427
292500	0.009965702
293400	0.015336828
294300	0.020643241
295200	0.028149874
296100	0.034944671
297000	0.04180418
297900	0.047822429
298800	0.054099528
299700	0.059341228
300600	0.063547531
301500	0.066330162
302400	0.069048081
303300	0.071895425
304200	0.073577946
305100	0.073836795
306000	0.070277616
306900	0.067171423
307800	0.063418107
308700	0.058305831
309600	0.052869993
310500	0.047887142
311400	0.042192455
312300	0.034815246
313200	0.027955737
314100	0.020190254
315000	0.014366142
315900	0.008477318
316800	0.004853427
317700	0.002459069
318600	0.001423672
319500	0.000388274
320400	0
321300	0
322200	0
323100	0
324000	0
324900	0
325800	0
326700	0
327600	0
328500	0
329400	0
330300	0
331200	0
332100	0
333000	0
333900	0
334800	0
335700	0
336600	0
337500	0
338400	0
339300	0
340200	0
341100	0
342000	0
342900	0
343800	0
344700	0
345600	0
346500	0
347400	0
348300	0
349200	0
350100	0
351000	0
351900	0
352800	0
353700	0
354600	0
355500	0
356400	0
357300	0
358200	0
359100	0
360000	0
360900	0
361800	0
362700	0
363600	0
364500	0
365400	0
366300	0
367200	0
368100	0
369000	0
369900	0
370800	0
371700	0
372600	0
373500	0
374400	0
375300	0.000323562
376200	0.001553096
377100	0.00440044
378000	0.00905973
378900	0.014819129
379800	0.02116094
380700	0.02860286
381600	0.03656248
382500	0.045039798
383400	0.052287582
384300	0.059341228
385200	0.065877176
386100	0.073577946
387000	0.080178606
387900	0.086714554
388800	0.09046787
389700	0.095256584
390600	0.097586229
391500	0.098039216
392400	0.097974503
393300	0.100045299
394200	0.099333463
395100	0.098880476
396000	0.095191872
396900	0.087102828
397800	0.077719537
398700	0.066653724
399600	0.05306413
400500	0.041157057
401400	0.02970297
402300	0.019543131
403200	0.0110011
404100	0.004788714
405000	0.002070795
405900	0.000647124
406800	0
407700	0
408600	0
409500	0
410400	0
411300	0
412200	0
413100	0
414000	0
414900	0
415800	0
416700	0
417600	0
418500	0
419400	0
420300	0
421200	0
422100	0
423000	0
423900	0
424800	0
425700	0
426600	0
427500	0
428400	0
429300	0
430200	0
431100	0
432000	0
432900	0
433800	0
434700	0
435600	0
436500	0
437400	0
438300	0
439200	0
440100	0
441000	0
441900	0
442800	0
443700	0
444600	0
445500	0
446400	0
447300	0
448200	0
449100	0
450000	0
450900	0
451800	0
452700	0
453600	0
454500	0
455400	0
456300	0
