#1	Original data for 2015 (from TransnetNKZ) meassured every 15min, scaled by installed power (from BNAEEG).
double	default(35040, 2)
0	0
900	0
1800	0
2700	0
3600	0
4500	0
5400	0
6300	0
7200	0
8100	0
9000	0
9900	0
10800	0
11700	0
12600	0
13500	0
14400	0
15300	0
16200	0
17100	0
18000	0
18900	0
19800	0
20700	0
21600	0
22500	0
23400	0
24300	0
25200	0
26100	0
27000	0
27900	0
28800	0
29700	0.00055535
30600	0.000740466
31500	0.002221399
32400	0.004813032
33300	0.008515365
34200	0.012773047
35100	0.017956312
36000	0.022584228
36900	0.021103295
37800	0.019437245
38700	0.020362829
39600	0.023694928
40500	0.024805628
41400	0.025916327
42300	0.02684191
43200	0.027582377
44100	0.030544243
45000	0.032580526
45900	0.031840059
46800	0.027212144
47700	0.022584228
48600	0.020918178
49500	0.018326546
50400	0.015179563
51300	0.01314328
52200	0.010736764
53100	0.011662347
54000	0.009255831
54900	0.006664198
55800	0.005183265
56700	0.003517216
57600	0.002036283
58500	0.0011107
59400	0.000740466
60300	0
61200	0
62100	0
63000	0
63900	0
64800	0
65700	0
66600	0
67500	0
68400	0
69300	0
70200	0
71100	0
72000	0
72900	0
73800	0
74700	0
75600	0
76500	0
77400	0
78300	0
79200	0
80100	0
81000	0
81900	0
82800	0
83700	0
84600	0
85500	0
86400	0
87300	0
88200	0
89100	0
90000	0
90900	0
91800	0
92700	0
93600	0
94500	0
95400	0
96300	0
97200	0
98100	0
99000	0
99900	0
100800	0
101700	0
102600	0
103500	0
104400	0
105300	0
106200	0
107100	0
108000	0
108900	0
109800	0
110700	0
111600	0
112500	0
113400	0
114300	0
115200	0.000185117
116100	0.00055535
117000	0.000740466
117900	0.000925583
118800	0.001480933
119700	0.002221399
120600	0.003332099
121500	0.004257682
122400	0.005368382
123300	0.006479082
124200	0.007219548
125100	0.007960015
126000	0.008700481
126900	0.01258793
127800	0.01314328
128700	0.014439097
129600	0.012402814
130500	0.013513514
131400	0.012773047
132300	0.011662347
133200	0.010366531
134100	0.009626064
135000	0.008515365
135900	0.007774898
136800	0.007219548
137700	0.006293965
138600	0.005368382
139500	0.004442799
140400	0.003702332
141300	0.003146983
142200	0.002406516
143100	0.001851166
144000	0.0011107
144900	0.000185117
145800	0
146700	0
147600	0
148500	0
149400	0
150300	0
151200	0
152100	0
153000	0
153900	0
154800	0
155700	0
156600	0
157500	0
158400	0
159300	0
160200	0
161100	0
162000	0
162900	0
163800	0
164700	0
165600	0
166500	0
167400	0
168300	0
169200	0
170100	0
171000	0
171900	0
172800	0
173700	0
174600	0
175500	0
176400	0
177300	0
178200	0
179100	0
180000	0
180900	0
181800	0
182700	0
183600	0
184500	0
185400	0
186300	0
187200	0
188100	0
189000	0
189900	0
190800	0
191700	0
192600	0
193500	0
194400	0
195300	0
196200	0
197100	0
198000	0
198900	0
199800	0
200700	0
201600	0.000185117
202500	0.000740466
203400	0.00166605
204300	0.002961866
205200	0.005368382
206100	0.008515365
207000	0.012402814
207900	0.016845613
208800	0.022769345
209700	0.027027027
210600	0.029803776
211500	0.032580526
212400	0.033506109
213300	0.035727508
214200	0.035727508
215100	0.034061459
216000	0.030359126
216900	0.024250278
217800	0.020177712
218700	0.017400963
219600	0.015179563
220500	0.011292114
221400	0.009811181
222300	0.007219548
223200	0.006108849
224100	0.004998149
225000	0.004627916
225900	0.003887449
226800	0.003146983
227700	0.002406516
228600	0.001480933
229500	0.000740466
230400	0.000185117
231300	0
232200	0
233100	0
234000	0
234900	0
235800	0
236700	0
237600	0
238500	0
239400	0
240300	0
241200	0
242100	0
243000	0
243900	0
244800	0
245700	0
246600	0
247500	0
248400	0
249300	0
250200	0
251100	0
252000	0
252900	0
253800	0
254700	0
255600	0
256500	0
257400	0
258300	0
259200	0
260100	0
261000	0
261900	0
262800	0
263700	0
264600	0
265500	0
266400	0
267300	0
268200	0
269100	0
270000	0
270900	0
271800	0
272700	0
273600	0
274500	0
275400	0
276300	0
277200	0
278100	0
279000	0
279900	0
280800	0
281700	0
282600	0
283500	0
284400	0
285300	0
286200	0
287100	0
288000	0.000370233
288900	0.001295816
289800	0.003146983
290700	0.006108849
291600	0.012032581
292500	0.020177712
293400	0.031654943
294300	0.043132173
295200	0.055164754
296100	0.068678267
297000	0.083117364
297900	0.099407627
298800	0.124028138
299700	0.142910033
300600	0.141243984
301500	0.146797482
302400	0.140503517
303300	0.136245835
304200	0.139392817
305100	0.134394669
306000	0.129211403
306900	0.11514254
307800	0.095520178
308700	0.090707146
309600	0.073306183
310500	0.066086635
311400	0.057756387
312300	0.046464272
313200	0.040355424
314100	0.039614957
315000	0.025360977
315900	0.018141429
316800	0.010366531
317700	0.004257682
318600	0.001851166
319500	0
320400	0
321300	0
322200	0
323100	0
324000	0
324900	0
325800	0
326700	0
327600	0
328500	0
329400	0
330300	0
331200	0
332100	0
333000	0
333900	0
334800	0
335700	0
336600	0
337500	0
338400	0
339300	0
340200	0
341100	0
342000	0
342900	0
343800	0
344700	0
345600	0
346500	0
347400	0
348300	0
349200	0
350100	0
351000	0
351900	0
352800	0
353700	0
354600	0
355500	0
356400	0
357300	0
358200	0
359100	0
360000	0
360900	0
361800	0
362700	0
363600	0
364500	0
365400	0
366300	0
367200	0
368100	0
369000	0
369900	0
370800	0
371700	0
372600	0
373500	0
374400	0.000740466
375300	0.002591633
376200	0.004257682
377100	0.011477231
378000	0.026101444
378900	0.048870789
379800	0.074046649
380700	0.103109959
381600	0.134764902
382500	0.163087745
383400	0.187338023
384300	0.211588301
385200	0.24176231
386100	0.262125139
387000	0.271566087
387900	0.299703813
388800	0.309885228
389700	0.319511292
390600	0.314513143
391500	0.318770826
392400	0.318585709
393300	0.309700111
394200	0.291743799
395100	0.278600518
396000	0.260273973
396900	0.240651611
397800	0.216401333
398700	0.194002221
399600	0.169196594
400500	0.126990004
401400	0.092928545
402300	0.061458719
403200	0.04276194
404100	0.013513514
405000	0.004442799
405900	0.000925583
406800	0
407700	0
408600	0
409500	0
410400	0
411300	0
412200	0
413100	0
414000	0
414900	0
415800	0
416700	0
417600	0
418500	0
419400	0
420300	0
421200	0
422100	0
423000	0
423900	0
424800	0
425700	0
426600	0
427500	0
428400	0
429300	0
430200	0
431100	0
432000	0
432900	0
433800	0
434700	0
435600	0
436500	0
437400	0
438300	0
439200	0
440100	0
441000	0
441900	0
442800	0
443700	0
444600	0
445500	0
446400	0
447300	0
448200	0
449100	0
450000	0
450900	0
451800	0
452700	0
453600	0
454500	0
455400	0
456300	0
457200	0
458100	0
