#1	
# Sources:
# Power production from https://www.netztransparenz.de/Weitere-Veroeffentlichungen/Solarenergie-Hochrechnung
# Installed capacities from https://www.netztransparenz.de/EEG/Anlagenstammdaten
double	default(35040, 2)
0	0
900	0
1800	0
2700	0
3600	0
4500	0
5400	0
6300	0
7200	0
8100	0
9000	0
9900	0
10800	0
11700	0
12600	0
13500	0
14400	0
15300	0
16200	0
17100	0
18000	0
18900	0
19800	0
20700	0
21600	0
22500	0
23400	0
24300	0
25200	0
26100	0
27000	0
27900	0
28800	0
29700	0.000610007
30600	0.000813342
31500	0.002440027
32400	0.005286725
33300	0.009353436
34200	0.014030154
35100	0.01972355
36000	0.024806939
36900	0.023180254
37800	0.021350234
38700	0.022366912
39600	0.026026952
40500	0.027246966
41400	0.028466979
42300	0.029483657
43200	0.030296999
44100	0.033550368
45000	0.035787059
45900	0.034973717
46800	0.029890328
47700	0.024806939
48600	0.022976919
49500	0.020130221
50400	0.016673516
51300	0.014436825
52200	0.011793463
53100	0.012810141
54000	0.010166778
54900	0.00732008
55800	0.005693396
56700	0.003863376
57600	0.002236691
58500	0.001220013
59400	0.000813342
60300	0
61200	0
62100	0
63000	0
63900	0
64800	0
65700	0
66600	0
67500	0
68400	0
69300	0
70200	0
71100	0
72000	0
72900	0
73800	0
74700	0
75600	0
76500	0
77400	0
78300	0
79200	0
80100	0
81000	0
81900	0
82800	0
83700	0
84600	0
85500	0
86400	0
87300	0
88200	0
89100	0
90000	0
90900	0
91800	0
92700	0
93600	0
94500	0
95400	0
96300	0
97200	0
98100	0
99000	0
99900	0
100800	0
101700	0
102600	0
103500	0
104400	0
105300	0
106200	0
107100	0
108000	0
108900	0
109800	0
110700	0
111600	0
112500	0
113400	0
114300	0
115200	0.000203326
116100	0.000609978
117000	0.000813305
117900	0.001016631
118800	0.001626609
119700	0.002439914
120600	0.003659871
121500	0.004676502
122400	0.005896459
123300	0.007116416
124200	0.00792972
125100	0.008743025
126000	0.00955633
126900	0.013826179
127800	0.014436158
128700	0.015859441
129600	0.013622853
130500	0.01484281
131400	0.014029505
132300	0.012809548
133200	0.011386265
134100	0.01057296
135000	0.009353004
135900	0.008539699
136800	0.00792972
137700	0.00691309
138600	0.005896459
139500	0.004879828
140400	0.004066523
141300	0.003456545
142200	0.00264324
143100	0.002033262
144000	0.001219957
144900	0.000203326
145800	0
146700	0
147600	0
148500	0
149400	0
150300	0
151200	0
152100	0
153000	0
153900	0
154800	0
155700	0
156600	0
157500	0
158400	0
159300	0
160200	0
161100	0
162000	0
162900	0
163800	0
164700	0
165600	0
166500	0
167400	0
168300	0
169200	0
170100	0
171000	0
171900	0
172800	0
173700	0
174600	0
175500	0
176400	0
177300	0
178200	0
179100	0
180000	0
180900	0
181800	0
182700	0
183600	0
184500	0
185400	0
186300	0
187200	0
188100	0
189000	0
189900	0
190800	0
191700	0
192600	0
193500	0
194400	0
195300	0
196200	0
197100	0
198000	0
198900	0
199800	0
200700	0
201600	0.000203325
202500	0.000813302
203400	0.001829929
204300	0.003253207
205200	0.005896438
206100	0.009352971
207000	0.013622806
207900	0.018502617
208800	0.025009032
209700	0.029685518
210600	0.0327354
211500	0.035785282
212400	0.036801909
213300	0.039241815
214200	0.039241815
215100	0.037411885
216000	0.033345376
216900	0.026635636
217800	0.022162476
218700	0.019112594
219600	0.016672688
220500	0.012402853
221400	0.01077625
222300	0.007929693
223200	0.00670974
224100	0.005489788
225000	0.005083137
225900	0.004269835
226800	0.003456533
227700	0.002643231
228600	0.001626604
229500	0.000813302
230400	0.000203325
231300	0
232200	0
233100	0
234000	0
234900	0
235800	0
236700	0
237600	0
238500	0
239400	0
240300	0
241200	0
242100	0
243000	0
243900	0
244800	0
245700	0
246600	0
247500	0
248400	0
249300	0
250200	0
251100	0
252000	0
252900	0
253800	0
254700	0
255600	0
256500	0
257400	0
258300	0
259200	0
260100	0
261000	0
261900	0
262800	0
263700	0
264600	0
265500	0
266400	0
267300	0
268200	0
269100	0
270000	0
270900	0
271800	0
272700	0
273600	0
274500	0
275400	0
276300	0
277200	0
278100	0
279000	0
279900	0
280800	0
281700	0
282600	0
283500	0
284400	0
285300	0
286200	0
287100	0
288000	0.000406651
288900	0.001423278
289800	0.003456532
290700	0.006709739
291600	0.013216152
292500	0.022162471
293400	0.034768647
294300	0.047374823
295200	0.060590976
296100	0.075433732
297000	0.091293115
297900	0.109185752
298800	0.136228033
299700	0.156967226
300600	0.155137297
301500	0.16123706
302400	0.154323996
303300	0.149647511
304200	0.153104043
305100	0.147614257
306000	0.141921145
306900	0.126468413
307800	0.104915918
308700	0.099629457
309600	0.080516867
310500	0.072587176
311400	0.063437532
312300	0.051034681
313200	0.044324942
314100	0.04351164
315000	0.027855583
315900	0.019925891
316800	0.011386224
317700	0.004676485
318600	0.002033254
319500	0
320400	0
321300	0
322200	0
323100	0
324000	0
324900	0
325800	0
326700	0
327600	0
328500	0
329400	0
330300	0
331200	0
332100	0
333000	0
333900	0
334800	0
335700	0
336600	0
337500	0
338400	0
339300	0
340200	0
341100	0
342000	0
342900	0
343800	0
344700	0
345600	0
346500	0
347400	0
348300	0
349200	0
350100	0
351000	0
351900	0
352800	0
353700	0
354600	0
355500	0
356400	0
357300	0
358200	0
359100	0
360000	0
360900	0
361800	0
362700	0
363600	0
364500	0
365400	0
366300	0
367200	0
368100	0
369000	0
369900	0
370800	0
371700	0
372600	0
373500	0
374400	0.000813284
375300	0.002846494
376200	0.004676383
377100	0.012605902
378000	0.028668262
378900	0.053676745
379800	0.081328401
380700	0.113249799
381600	0.148017691
382500	0.179125804
383400	0.205760856
384300	0.232395907
385200	0.265537231
386100	0.287902541
387000	0.298271912
387900	0.329176705
388800	0.34035936
389700	0.350932052
390600	0.345442385
391500	0.350118768
392400	0.349915447
393300	0.340156039
394200	0.320433902
395100	0.30599811
396000	0.285869331
396900	0.264317305
397800	0.237682253
398700	0.213080412
399600	0.185835397
400500	0.139478208
401400	0.102067144
402300	0.067502573
403200	0.046967152
404100	0.014842433
405000	0.004879704
405900	0.001016605
406800	0
407700	0
408600	0
409500	0
410400	0
411300	0
412200	0
413100	0
414000	0
414900	0
415800	0
416700	0
417600	0
418500	0
419400	0
420300	0
421200	0
422100	0
423000	0
423900	0
424800	0
425700	0
426600	0
427500	0
428400	0
429300	0
430200	0
431100	0
432000	0
432900	0
433800	0
434700	0
435600	0
436500	0
437400	0
438300	0
439200	0
440100	0
441000	0
441900	0
442800	0
443700	0
444600	0
445500	0
446400	0
447300	0
448200	0
449100	0
450000	0
