#1
#	Original data for 2011 (from 50HzNKZ) meassured every 15min, scaled by installed power (from BNAEEG).	
double	default(35136, 2)
0	0.423076923
900	0.423162015
1800	0.428267529
2700	0.444179714
3600	0.457624234
4500	0.465878148
5400	0.471834581
6300	0.482896528
7200	0.478131382
8100	0.496085773
9000	0.510551396
9900	0.514550715
10800	0.515912185
11700	0.52016678
12600	0.533526208
13500	0.547906739
14400	0.543396869
15300	0.552501702
16200	0.552161334
17100	0.554714091
18000	0.551310415
18900	0.552842069
19800	0.555054459
20700	0.552076242
21600	0.537440436
22500	0.544758339
23400	0.55199115
24300	0.558032675
25200	0.555054459
26100	0.566371681
27000	0.573093941
27900	0.575221239
28800	0.581262764
29700	0.576837985
30600	0.570030633
31500	0.576923077
32400	0.579816201
33300	0.577263445
34200	0.582539142
35100	0.580582029
36000	0.568328795
36900	0.569094622
37800	0.573264125
38700	0.564925119
39600	0.563563649
40500	0.543652144
41400	0.538376447
42300	0.531143635
43200	0.534547311
44100	0.530803268
45000	0.533015657
45900	0.529867257
46800	0.532079646
47700	0.532334922
48600	0.515656909
49500	0.510806671
50400	0.491235534
51300	0.468260722
52200	0.462899932
53100	0.457539142
54000	0.443328795
54900	0.42877808
55800	0.42248128
56700	0.413036079
57600	0.402825051
58500	0.402825051
59400	0.383849558
60300	0.378658952
61200	0.364448604
62100	0.359257999
63000	0.355684139
63900	0.361895848
64800	0.359428182
65700	0.35840708
66600	0.35168482
67500	0.337134105
68400	0.338410483
69300	0.344111641
70200	0.335091899
71100	0.326497617
72000	0.340112321
72900	0.336368278
73800	0.332709326
74700	0.337899932
75600	0.326412526
76500	0.324625596
77400	0.309904697
78300	0.298162015
79200	0.307692308
80100	0.309053778
81000	0.311181076
81900	0.297906739
82800	0.305820286
83700	0.301735875
84600	0.292035398
85500	0.298076923
86400	0.29212049
87300	0.291269571
88200	0.284632403
89100	0.268975494
90000	0.271358067
90900	0.264976174
91800	0.271783526
92700	0.276293397
93600	0.265656909
94500	0.274931926
95400	0.269060585
96300	0.259275017
97200	0.248127978
98100	0.254680054
99000	0.245575221
99900	0.242937372
100800	0.240469707
101700	0.244979578
102600	0.237151123
103500	0.237321307
104400	0.229492852
105300	0.219877468
106200	0.223706603
107100	0.215537781
108000	0.214857046
108900	0.217920354
109800	0.216558884
110700	0.20745405
111600	0.21145337
112500	0.216814159
113400	0.212049013
114300	0.207113683
115200	0.194094622
116100	0.184223962
117000	0.188563649
117900	0.191712049
