#1	Original data for 2011 (from 50HzNKZ, AmprionNKZ, TennetNKZ, TransnetNKZ) meassured every 15min, scaled by installed power (from BNAEEG).
double	default(35040, 2)
0	0.356976137
900	0.362271381
1800	0.369169134
2700	0.382058875
3600	0.388573419
4500	0.40048772
5400	0.411147884
6300	0.417070197
7200	0.417105034
8100	0.428984497
9000	0.437031876
9900	0.440968472
10800	0.446263717
11700	0.450722871
12600	0.458178018
13500	0.466747953
14400	0.469186553
15300	0.472914126
16200	0.474063752
17100	0.481100854
18000	0.475701097
18900	0.477477791
19800	0.483051733
20700	0.485699356
21600	0.478279045
22500	0.47712942
23400	0.476049469
24300	0.471381292
25200	0.469987807
26100	0.467897579
27000	0.466329908
27900	0.466051211
28800	0.464135168
29700	0.456122627
30600	0.450026128
31500	0.449991291
32400	0.449120362
33300	0.443267723
34200	0.436927365
35100	0.431562446
36000	0.426093015
36900	0.430203797
37800	0.427381989
38700	0.418881728
39600	0.419334611
40500	0.406096499
41400	0.406549382
42300	0.403483714
43200	0.397735586
44100	0.400069674
45000	0.39853684
45900	0.400069674
46800	0.400174186
47700	0.399477443
48600	0.394844104
49500	0.392057133
50400	0.383313012
51300	0.373105731
52200	0.3700749
53100	0.362619753
54000	0.354851071
54900	0.347918481
55800	0.343842536
56700	0.342832259
57600	0.340080125
58500	0.336944783
59400	0.329001916
60300	0.324612437
61200	0.318899146
62100	0.313603902
63000	0.316878593
63900	0.311060791
64800	0.303431458
65700	0.304093364
66600	0.29841491
67500	0.288660512
68400	0.285141961
69300	0.284201359
70200	0.274377286
71100	0.265563491
72000	0.269047204
72900	0.266573768
73800	0.265215119
74700	0.26678279
75600	0.26302038
76500	0.263856471
77400	0.25560007
78300	0.248040411
79200	0.24866748
80100	0.242501306
81000	0.240968472
81900	0.237519596
82800	0.244417349
83700	0.243128375
84600	0.241525867
85500	0.246019857
86400	0.245775997
87300	0.243093538
88200	0.238181501
89100	0.231005051
90000	0.228392266
90900	0.226894269
91800	0.230935377
92700	0.231527608
93600	0.226789758
94500	0.233931371
95400	0.228566452
96300	0.225988504
97200	0.223340881
98100	0.221912559
99000	0.224734367
99900	0.221006793
100800	0.214457412
101700	0.217070197
102600	0.212680718
103500	0.206305522
104400	0.20595715
105300	0.204145619
106200	0.197631075
107100	0.190210765
108000	0.190036579
108900	0.189235325
109800	0.189165651
110700	0.1832085
111600	0.18515938
112500	0.187911514
113400	0.184009754
114300	0.180665389
115200	0.177042327
116100	0.174499216
117000	0.174917262
117900	0.176937816
118800	0.177181676
119700	0.174255356
120600	0.174011496
121500	0.175892702
122400	0.177042327
123300	0.177286187
124200	0.165128026
125100	0.15948441
126000	0.159205713
126900	0.15948441
127800	0.159414736
128700	0.155791674
129600	0.147430761
130500	0.151924752
131400	0.153945306
132300	0.156349068
133200	0.155896185
134100	0.161261104
135000	0.154711723
135900	0.147221738
136800	0.147604947
137700	0.153875631
138600	0.152691169
139500	0.150600941
140400	0.149277129
141300	0.141438774
142200	0.137537014
143100	0.139836265
144000	0.141299425
144900	0.137920223
145800	0.144574116
146700	0.148266852
147600	0.140254311
148500	0.138268594
149400	0.141821982
150300	0.14732625
151200	0.142170354
152100	0.136073855
153000	0.137780874
153900	0.139209197
154800	0.133635255
155700	0.128444522
156600	0.130465076
157500	0.132834001
158400	0.128897405
159300	0.123079603
160200	0.116251524
161100	0.117714684
162000	0.118620449
162900	0.11642571
163800	0.115972827
164700	0.112419439
165600	0.110607908
166500	0.109353771
167400	0.112071068
168300	0.109702142
169200	0.108099634
170100	0.10681066
171000	0.103640481
171900	0.100783836
172800	0.097369796
173700	0.096045985
174600	0.094060268
175500	0.091308134
176400	0.091377809
177300	0.089531441
178200	0.087371538
179100	0.08454973
180000	0.082006619
180900	0.079254485
181800	0.078488068
182700	0.073367009
183600	0.073192824
184500	0.075039192
185400	0.073367009
186300	0.071869012
187200	0.072217384
188100	0.074168263
189000	0.074621146
189900	0.071276781
190800	0.071625152
191700	0.069778784
192600	0.070092318
193500	0.065737676
194400	0.063960982
195300	0.063647448
196200	0.06082564
197100	0.05936248
198000	0.0598502
198900	0.059327643
199800	0.061104337
200700	0.061243686
201600	0.060268246
202500	0.057968995
203400	0.058073506
204300	0.058561226
205200	0.058387041
206100	0.058491552
207000	0.057063229
207900	0.054485281
208800	0.05364919
209700	0.054833653
210600	0.055391047
211500	0.055286535
212400	0.054206584
213300	0.051419613
214200	0.050688033
215100	0.046089531
216000	0.044591535
216900	0.044696046
217800	0.0454973
218700	0.043198049
219600	0.040863961
220500	0.042083261
221400	0.042814841
222300	0.044591535
223200	0.044103815
224100	0.041665215
225000	0.041665215
225900	0.039609824
226800	0.041491029
227700	0.041734889
228600	0.041665215
229500	0.042919352
230400	0.043825118
231300	0.043964466
232200	0.046507577
233100	0.048284271
234000	0.049468734
234900	0.051071242
235800	0.052151193
236700	0.053231144
237600	0.051315102
238500	0.05438077
239400	0.057968995
240300	0.056018115
241200	0.055216861
242100	0.055147187
243000	0.056192301
243900	0.057794809
244800	0.061208849
245700	0.063647448
246600	0.065737676
247500	0.067305348
248400	0.069918133
249300	0.070998084
250200	0.072147709
251100	0.072217384
252000	0.070893573
252900	0.070057481
253800	0.070405853
254700	0.07165999
255600	0.069569761
256500	0.066887302
257400	0.068803344
258300	0.072948964
259200	0.074028915
260100	0.074865006
261000	0.072635429
261900	0.076920397
262800	0.077303606
263700	0.077059746
264600	0.073715381
265500	0.06897753
266400	0.066678279
267300	0.069291064
268200	0.068663996
269100	0.06727051
270000	0.066399582
270900	0.066329908
271800	0.065006096
272700	0.065946699
273600	0.066817628
274500	0.068211113
275400	0.070614875
276300	0.07019683
277200	0.068524647
278100	0.069186553
279000	0.06946525
279900	0.069151716
280800	0.071276781
281700	0.074098589
282600	0.075457237
283500	0.076990071
284400	0.07834872
285300	0.079219648
286200	0.07883644
287100	0.081588573
288000	0.084584567
288900	0.083887824
289800	0.085420658
290700	0.086430935
291600	0.088939209
292500	0.0934332
293400	0.095244731
294300	0.098763282
295200	0.10109737
296100	0.103535969
297000	0.10681066
297900	0.108970563
298800	0.110642745
299700	0.112175579
300600	0.11618185
301500	0.118899146
302400	0.120815189
303300	0.124891134
304200	0.126946525
305100	0.129176102
306000	0.133182372
306900	0.134331998
307800	0.131823724
308700	0.133043024
309600	0.135133252
310500	0.134192649
311400	0.135272601
312300	0.137188643
313200	0.13917436
314100	0.141891657
315000	0.143947048
315900	0.144539279
316800	0.14513151
317700	0.148754572
318600	0.154189166
319500	0.161330779
320400	0.169029786
321300	0.177042327
322200	0.180456366
323100	0.18394008
324000	0.187737328
324900	0.193241596
325800	0.198432329
326700	0.198711026
327600	0.199825814
328500	0.20170702
329400	0.201149626
330300	0.201672183
331200	0.205364919
332100	0.209928584
333000	0.209301515
333900	0.212088486
334800	0.213586483
335700	0.212959415
336600	0.21508448
337500	0.212471695
338400	0.211182721
339300	0.213342623
340200	0.211879464
341100	0.208778958
342000	0.206758404
342900	0.202299251
343800	0.194844104
344700	0.195331824
345600	0.193102247
346500	0.194669918
347400	0.197073681
348300	0.194251872
349200	0.195331824
350100	0.196725309
351000	0.197004006
351900	0.195819544
352800	0.194495732
353700	0.196655635
354600	0.197143355
355500	0.200661906
356400	0.19780526
357300	0.199094234
358200	0.19853684
359100	0.200104511
360000	0.199338094
360900	0.199094234
361800	0.2012193
362700	0.199895489
363600	0.196760146
364500	0.1987807
365400	0.205086222
366300	0.205608779
367200	0.203657899
368100	0.205330082
369000	0.20937119
369900	0.208953144
370800	0.208813796
371700	0.210625327
372600	0.20839575
373500	0.209022818
374400	0.206479707
375300	0.21010277
376200	0.204912036
377100	0.199407769
378000	0.19804912
378900	0.201358648
379800	0.195993729
380700	0.186274168
381600	0.184845846
382500	0.179794461
383400	0.173419265
384300	0.171503222
385200	0.16934332
386100	0.1688556
387000	0.170667131
387900	0.164500958
388800	0.15948441
389700	0.156488417
390600	0.155129768
391500	0.159588922
392400	0.162375893
393300	0.164361609
394200	0.164048075
395100	0.164953841
396000	0.166869883
396900	0.172408988
397800	0.174603728
398700	0.173941822
399600	0.174986936
400500	0.183591709
401400	0.19379899
402300	0.20985891
403200	0.221982233
404100	0.229507055
405000	0.237066713
405900	0.247378505
406800	0.258979272
407700	0.26824595
408600	0.276572026
409500	0.284340707
410400	0.29865877
411300	0.313603902
412200	0.318202404
413100	0.320745515
414000	0.330012193
414900	0.341682634
415800	0.347047553
416700	0.35547814
417600	0.358474133
418500	0.350496429
419400	0.344190908
420300	0.336317715
