#1	Original data for 2011 (from TennetNKZ) meassured every 15min, scaled by installed power (from BNAEEG).
double	default(35040, 2)
0	0.55
900	0.542857143
1800	0.542857143
2700	0.542857143
3600	0.542857143
4500	0.535714286
5400	0.55
6300	0.571428571
7200	0.578571429
8100	0.578571429
9000	0.578571429
9900	0.578571429
10800	0.578571429
11700	0.578571429
12600	0.578571429
13500	0.578571429
14400	0.578571429
15300	0.578571429
16200	0.578571429
17100	0.578571429
18000	0.578571429
18900	0.578571429
19800	0.571428571
20700	0.571428571
21600	0.578571429
22500	0.578571429
23400	0.578571429
24300	0.578571429
25200	0.578571429
26100	0.571428571
27000	0.571428571
27900	0.578571429
28800	0.571428571
29700	0.571428571
30600	0.55
31500	0.557142857
32400	0.578571429
33300	0.578571429
34200	0.578571429
35100	0.571428571
36000	0.514285714
36900	0.507142857
37800	0.542857143
38700	0.564285714
39600	0.564285714
40500	0.571428571
41400	0.564285714
42300	0.578571429
43200	0.571428571
44100	0.578571429
45000	0.578571429
45900	0.578571429
46800	0.578571429
47700	0.578571429
48600	0.578571429
49500	0.571428571
50400	0.578571429
51300	0.578571429
52200	0.578571429
53100	0.578571429
54000	0.578571429
54900	0.578571429
55800	0.578571429
56700	0.578571429
57600	0.578571429
58500	0.578571429
59400	0.578571429
60300	0.578571429
61200	0.578571429
62100	0.578571429
63000	0.578571429
63900	0.578571429
64800	0.578571429
65700	0.578571429
66600	0.571428571
67500	0.507142857
68400	0.528571429
69300	0.557142857
70200	0.578571429
71100	0.564285714
72000	0.578571429
72900	0.578571429
73800	0.578571429
74700	0.578571429
75600	0.557142857
76500	0.557142857
77400	0.578571429
78300	0.578571429
79200	0.578571429
80100	0.578571429
81000	0.578571429
81900	0.564285714
82800	0.578571429
83700	0.564285714
84600	0.578571429
85500	0.578571429
86400	0.578571429
87300	0.542857143
88200	0.571428571
89100	0.507142857
90000	0.578571429
90900	0.578571429
91800	0.542857143
92700	0.55
93600	0.564285714
94500	0.557142857
95400	0.514285714
96300	0.528571429
97200	0.571428571
98100	0.557142857
99000	0.528571429
99900	0.578571429
100800	0.535714286
101700	0.514285714
102600	0.521428571
103500	0.557142857
104400	0.571428571
105300	0.557142857
106200	0.557142857
107100	0.571428571
108000	0.571428571
108900	0.557142857
109800	0.492857143
110700	0.535714286
111600	0.528571429
112500	0.478571429
113400	0.557142857
114300	0.492857143
115200	0.4
116100	0.35
117000	0.4
117900	0.442857143
118800	0.378571429
119700	0.342857143
120600	0.235714286
121500	0.335714286
122400	0.307142857
123300	0.35
124200	0.335714286
125100	0.371428571
126000	0.45
126900	0.492857143
127800	0.528571429
128700	0.535714286
129600	0.428571429
130500	0.421428571
131400	0.428571429
132300	0.542857143
133200	0.485714286
134100	0.385714286
135000	0.514285714
135900	0.55
136800	0.557142857
137700	0.55
138600	0.557142857
139500	0.542857143
140400	0.442857143
141300	0.435714286
142200	0.542857143
143100	0.521428571
144000	0.571428571
144900	0.535714286
145800	0.535714286
146700	0.528571429
147600	0.428571429
148500	0.492857143
149400	0.464285714
150300	0.535714286
151200	0.464285714
152100	0.485714286
153000	0.457142857
153900	0.45
154800	0.25
155700	0.235714286
156600	0.278571429
157500	0.285714286
158400	0.378571429
159300	0.328571429
160200	0.392857143
161100	0.357142857
162000	0.35
162900	0.385714286
163800	0.357142857
164700	0.357142857
165600	0.328571429
166500	0.307142857
167400	0.392857143
168300	0.342857143
169200	0.314285714
170100	0.314285714
171000	0.321428571
171900	0.328571429
172800	0.35
173700	0.264285714
174600	0.257142857
175500	0.25
176400	0.228571429
177300	0.264285714
178200	0.228571429
179100	0.207142857
180000	0.207142857
180900	0.185714286
181800	0.264285714
182700	0.178571429
183600	0.164285714
184500	0.135714286
185400	0.135714286
186300	0.135714286
