#1
#Source: Original data for 2012 (from 50HzNKZ) meassured every 15min, scaled by installed power (from BNAEEG).	
double	default(35136, 2)
0	0.0960707
900	0.098688647
1800	0.101544588
2700	0.107256471
3600	0.105828501
4500	0.107018476
5400	0.106542486
6300	0.111778379
7200	0.106939145
8100	0.098212657
9000	0.10440053
9900	0.115427638
10800	0.11741093
11700	0.114792984
12600	0.108684442
13500	0.114872316
14400	0.127724053
15300	0.131849301
16200	0.141369107
17100	0.140972448
18000	0.130421331
18900	0.137402521
19800	0.139465146
20700	0.139147819
21600	0.150730248
22500	0.155648814
23400	0.156045473
24300	0.161598693
25200	0.165089288
26100	0.174688425
27000	0.179131
27900	0.19071343
28800	0.193569372
29700	0.21252965
30600	0.226016041
31500	0.250688203
32400	0.276629672
33300	0.283610862
34200	0.270838457
35100	0.270759125
36000	0.284562843
36900	0.299477204
37800	0.303761116
38700	0.316692185
39600	0.325101346
40500	0.317882161
41400	0.317088844
42300	0.302571141
43200	0.298207897
44100	0.284245516
45000	0.279723608
45900	0.271235115
46800	0.275122369
47700	0.272266428
48600	0.263143281
49500	0.266395881
50400	0.275995018
51300	0.256003427
52200	0.243548349
53100	0.244500329
54000	0.247118276
54900	0.256082759
55800	0.248149588
56700	0.226016041
57600	0.232124583
58500	0.239978422
59400	0.225302055
60300	0.211022348
61200	0.212688314
62100	0.220145494
63000	0.224191412
63900	0.223477426
64800	0.217686211
65700	0.225698714
66600	0.218876187
67500	0.224984729
68400	0.233790548
69300	0.242834363
70200	0.242279041
71100	0.249577559
72000	0.264412588
72900	0.274567047
73800	0.280437594
74700	0.276788335
75600	0.293051336
76500	0.3127256
77400	0.346679571
78300	0.353502098
79200	0.368257796
80100	0.393643943
81000	0.425455959
81900	0.427597915
82800	0.435451754
83700	0.448382823
84600	0.47376897
85500	0.483288775
86400	0.49138061
87300	0.495902517
88200	0.526048567
89100	0.558336573
90000	0.570553656
90900	0.595463813
91800	0.615852062
92700	0.621643277
93600	0.627117165
94500	0.626799838
95400	0.618311345
96300	0.624737214
97200	0.632035731
98100	0.633622365
99000	0.640286229
99900	0.635446995
100800	0.624419887
101700	0.603000325
102600	0.582294749
103500	0.55960588
104400	0.543501543
105300	0.507564279
106200	0.487414024
107100	0.457188643
108000	0.447510174
108900	0.426487271
109800	0.400863129
110700	0.39721387
111600	0.382854831
112500	0.345489596
113400	0.323594044
114300	0.292892672
115200	0.262905286
116100	0.232045251
117000	0.212846977
117900	0.19023744
118800	0.179051669
119700	0.164533966
120600	0.144939034
121500	0.129866009
122400	0.11693494
123300	0.120425535
124200	0.113365013
125100	0.116696945
126000	0.114872316
126900	0.114316994
127800	0.120584199
128700	0.111937042
129600	0.102972559
130500	0.104083203
131400	0.105193847
132300	0.099878622
133200	0.10392454
134100	0.109795086
135000	0.115427638
135900	0.109160433
136800	0.10114793
137700	0.10812912
138600	0.108367115
139500	0.120108208
140400	0.135736555
141300	0.146525668
142200	0.146208341
143100	0.150730248
144000	0.152396214
144900	0.170404512
145800	0.180876298
146700	0.183652908
147600	0.179924318
148500	0.18698484
149400	0.185239542
150300	0.190951425
151200	0.195076674
152100	0.206659104
153000	0.204437816
153900	0.207769748
154800	0.215385592
155700	0.231886587
156600	0.225222724
157500	0.234504534
158400	0.257748725
159300	0.277581652
160200	0.272107764
161100	0.272107764
162000	0.269886476
162900	0.25521011
163800	0.258145383
164700	0.248070256
165600	0.246642285
166500	0.257907388
167400	0.263460608
168300	0.252195505
169200	0.276471008
170100	0.287339452
171000	0.315264214
171900	0.320341444
172800	0.315105551
173700	0.308441687
174600	0.304475102
175500	0.312646268
176400	0.306855053
177300	0.319389463
178200	0.330971893
179100	0.328591941
180000	0.323752707
180900	0.330257907
181800	0.336207786
182700	0.329940581
183600	0.310266317
184500	0.301063838
185400	0.301301833
186300	0.320579439
187200	0.339063727
188100	0.34152301
189000	0.349059523
189900	0.373414357
190800	0.389518695
191700	0.384282802
192600	0.39626189
193500	0.411890237
194400	0.415142837
195300	0.410700261
196200	0.43061252
197100	0.455602009
198000	0.467819092
198900	0.482733453
199800	0.517718737
200700	0.529380499
201600	0.541359587
202500	0.552545358
203400	0.544929514
204300	0.530332479
205200	0.527476538
206100	0.554211324
207000	0.543898202
207900	0.554607982
208800	0.566745734
209700	0.592766535
210600	0.62132595
211500	0.642507517
212400	0.65567658
213300	0.660912473
214200	0.675033518
215100	0.69462845
216000	0.70763885
216900	0.712319421
217800	0.721839226
218700	0.723505192
219600	0.737705568
220500	0.74611473
221400	0.746828715
222300	0.744686759
223200	0.754523891
224100	0.754523891
225000	0.755555203
225900	0.755793198
226800	0.754365227
227700	0.753333915
228600	0.744369432
229500	0.732390344
230400	0.742227476
231300	0.754603222
232200	0.764916345
233100	0.777054096
234000	0.773642833
234900	0.770231569
235800	0.775705457
236700	0.787684545
237600	0.786653233
238500	0.787208555
239400	0.780544692
240300	0.72525049
241200	0.717079324
242100	0.719141948
243000	0.712240089
243900	0.717793309
244800	0.714144051
245700	0.713430065
246600	0.715016699
247500	0.723425861
248400	0.718110636
249300	0.727789105
250200	0.726361134
251100	0.713350733
252000	0.704148255
252900	0.707876845
253800	0.708670163
254700	0.696532411
255600	0.697484391
256500	0.683601342
257400	0.650758014
258300	0.658135863
259200	0.668369654
260100	0.674160869
261000	0.665672376
261900	0.671066932
262800	0.663609751
263700	0.6644824
264600	0.662261112
265500	0.653455293
266400	0.644014819
267300	0.602682998
268200	0.595225818
269100	0.593083862
270000	0.579518139
270900	0.574520241
271800	0.563493134
272700	0.549927411
273600	0.542232236
274500	0.541914909
275400	0.550562065
276300	0.553735334
277200	0.548340777
278100	0.545405504
279000	0.545643499
