#1	Original data for 2012 (from TennetNKZ) meassured every 15min, scaled by installed power (from BNAEEG).
double	default(35136, 2)
0	0.122562313
900	0.129119478
1800	0.131790915
2700	0.129038525
3600	0.130738531
4500	0.142233807
5400	0.1542148
6300	0.16093387
7200	0.168057703
8100	0.181819654
9000	0.193638741
9900	0.205134017
10800	0.218491204
11700	0.231119818
12600	0.237757935
13500	0.245691295
14400	0.254272276
15300	0.252734176
16200	0.257591335
17100	0.259372293
18000	0.27119138
18900	0.283819994
19800	0.288515247
20700	0.296610513
21600	0.310048653
22500	0.311910564
23400	0.32615823
24300	0.336601122
25200	0.33166301
26100	0.332553489
27000	0.333686827
27900	0.332634442
28800	0.34356305
29700	0.353924989
30600	0.356434521
31500	0.368496466
32400	0.372139336
33300	0.376591731
34200	0.378129832
35100	0.376025063
36000	0.377806021
36900	0.384929855
37800	0.383634612
38700	0.384282233
39600	0.377077447
40500	0.359591675
41400	0.344453529
42300	0.345910677
43200	0.33530588
44100	0.32462013
45000	0.310777226
45900	0.307781978
46800	0.300658145
47700	0.285115236
48600	0.278962835
49500	0.271839001
50400	0.263338973
51300	0.25378656
52200	0.249091306
53100	0.244477005
54000	0.241481757
54900	0.238081746
55800	0.227557901
56700	0.222295979
57600	0.204891159
58500	0.195986368
59400	0.197686373
60300	0.204810207
61200	0.204405443
62100	0.206914975
63000	0.211286419
63900	0.214443572
64800	0.218248347
65700	0.223024553
66600	0.223995985
67500	0.232738871
68400	0.240105562
69300	0.257186572
70200	0.260100867
71100	0.273539007
72000	0.29102478
72900	0.297420039
73800	0.312396279
74700	0.337086838
75600	0.359834533
76500	0.381206033
77400	0.400148953
78300	0.435444309
79200	0.4672587
80100	0.483449231
81000	0.50085405
81900	0.513320759
82800	0.498749282
83700	0.482315893
84600	0.472763481
85500	0.457139619
86400	0.453658655
87300	0.438601462
88200	0.418849015
89100	0.417229962
90000	0.406625165
90900	0.401039432
91800	0.38905844
92700	0.384767949
93600	0.394644173
94500	0.39731561
95400	0.393187025
96300	0.385496523
97200	0.377563163
98100	0.371167904
99000	0.358377385
99900	0.355058326
100800	0.33684398
101700	0.319520113
102600	0.310534368
103500	0.30721531
104400	0.293291454
105300	0.282686657
106200	0.264553263
107100	0.253138939
108000	0.239619846
108900	0.230553149
109800	0.218815015
110700	0.201814958
111600	0.186433955
112500	0.178905358
113400	0.166681508
114300	0.154943374
115200	0.15300051
116100	0.154133847
117000	0.152757652
117900	0.150976694
118800	0.149276688
119700	0.142152855
120600	0.149195735
121500	0.152757652
122400	0.150652883
123300	0.151867173
124200	0.151543362
125100	0.153971942
126000	0.154052894
126900	0.152433841
127800	0.160529107
128700	0.169757709
129600	0.175667252
130500	0.181819654
131400	0.188538724
132300	0.191695877
133200	0.188053008
134100	0.195014936
135000	0.204891159
135900	0.206105449
136800	0.217115009
137700	0.223672174
138600	0.220029305
139500	0.209910224
140400	0.213391187
141300	0.208453076
142200	0.209019744
143100	0.216629294
144000	0.226343612
144900	0.217519773
145800	0.217115009
146700	0.223915032
147600	0.224076937
148500	0.236300788
149400	0.256943714
150300	0.266091363
151200	0.253138939
152100	0.252734176
153000	0.288191437
153900	0.299362903
154800	0.305029588
155700	0.30446292
156600	0.308348647
157500	0.306891499
158400	0.30446292
159300	0.323972508
160200	0.337896364
161100	0.346234487
162000	0.351253552
162900	0.356920237
163800	0.352872605
164700	0.349391641
165600	0.346639251
166500	0.351253552
167400	0.354086895
168300	0.35821548
169200	0.358458338
170100	0.35457261
171000	0.364610739
171900	0.365905982
172800	0.364529787
173700	0.366553603
174600	0.367767893
175500	0.369548851
176400	0.375215536
177300	0.376834589
178200	0.383958423
179100	0.389139392
180000	0.406544212
180900	0.414315667
181800	0.425001417
182700	0.433744303
183600	0.436577646
184500	0.442730047
185400	0.45778724
186300	0.46847299
187200	0.473815865
188100	0.475758729
189000	0.488225437
189900	0.492677833
190800	0.501501672
191700	0.506277878
192600	0.506439783
193500	0.506925499
194400	0.518016012
195300	0.536958933
196200	0.564078071
197100	0.569825709
198000	0.568692372
198900	0.600102
199800	0.607630597
200700	0.619692542
201600	0.639364036
202500	0.648511686
203400	0.658064098
204300	0.669802233
205200	0.682592751
206100	0.698297566
207000	0.707040452
207900	0.720154781
208800	0.724526225
209700	0.730354815
210600	0.742011997
211500	0.741850092
212400	0.754073942
213300	0.747840588
214200	0.754883469
215100	0.761359681
216000	0.764273976
216900	0.760550154
217800	0.757959669
218700	0.764273976
219600	0.766054934
220500	0.769535898
221400	0.774069247
222300	0.766621603
223200	0.773745436
224100	0.78394547
225000	0.783378802
225900	0.777631164
226800	0.772531147
227700	0.780545459
228600	0.783459754
229500	0.784593092
230400	0.788155008
231300	0.790826446
232200	0.788883582
233100	0.777874021
234000	0.748083446
234900	0.742335808
235800	0.73934056
236700	0.750188215
237600	0.742821524
238500	0.74638344
239400	0.751888221
240300	0.759093007
241200	0.765245408
242100	0.766945414
243000	0.744926293
243900	0.744602482
244800	0.745088198
245700	0.747759635
246600	0.746869156
247500	0.741769139
248400	0.734402448
249300	0.726307183
250200	0.726388136
251100	0.736264359
252000	0.732459584
252900	0.739178654
253800	0.738935796
254700	0.737883412
255600	0.7329453
256500	0.738450081
257400	0.736992933
258300	0.721854787
259200	0.726873851
260100	0.727359567
261000	0.723554793
261900	0.703964251
262800	0.706392831
263700	0.692873738
264600	0.694330886
265500	0.693197549
266400	0.696435655
267300	0.697083276
268200	0.692388022
269100	0.688178484
270000	0.689230869
270900	0.692873738
271800	0.688502295
272700	0.675549871
273600	0.668992706
274500	0.667940322
275400	0.667616511
276300	0.65628314
277200	0.654259324
278100	0.644221195
279000	0.630702102
279900	0.618559205
280800	0.607063928
281700	0.615887767
282600	0.617587773
283500	0.613944904
284400	0.615806815
285300	0.595163889
286200	0.599373426
287100	0.592087688
288000	0.577030495
288900	0.574520963
289800	0.587797197
290700	0.595973415
291600	0.608844887
292500	0.616616341
293400	0.616616341
294300	0.619287779
295200	0.629649718
296100	0.646002153
297000	0.656525998
297900	0.654259324
298800	0.672068907
299700	0.66696889
300600	0.671340333
301500	0.686478479
302400	0.693278501
303300	0.698054708
304200	0.673040339
305100	0.697649945
306000	0.703964251
306900	0.701373766
307800	0.678302261
308700	0.669640327
309600	0.673607007
310500	0.669964138
311400	0.681864178
312300	0.678221308
313200	0.685668952
314100	0.680649888
315000	0.673283197
315900	0.689311822
316800	0.694816602
317700	0.706149973
318600	0.698378518
319500	0.695545176
320400	0.709792842
321300	0.715297622
322200	0.719669066
323100	0.719588113
324000	0.727521473
324900	0.724930988
325800	0.730678626
326700	0.733350064
327600	0.742254855
328500	0.74881202
329400	0.755692995
330300	0.753345368
331200	0.754964421
332100	0.753912037
333000	0.75828348
333900	0.752292984
334800	0.751483457
335700	0.7543168
336600	0.759254912
