#1	Original data for 2012 (from TennetNKZ) meassured every 15min, scaled by installed power (from BNAEEG).
double	default(35135, 2)
0	0.117284409
900	0.123878051
1800	0.126103405
2700	0.123136266
3600	0.124867097
4500	0.136488391
5400	0.148686629
6300	0.155527533
7200	0.162862959
8100	0.176874449
9000	0.188825425
9900	0.20052914
10800	0.214128527
11700	0.226986129
12600	0.233744612
13500	0.241986664
14400	0.250970502
15300	0.249404512
16200	0.254349743
17100	0.256162995
18000	0.268196392
18900	0.281053994
19800	0.285834384
20700	0.294076437
21600	0.307758244
22500	0.309653916
23400	0.324159929
24300	0.334792177
25200	0.329764525
26100	0.33067115
27000	0.331825038
27900	0.330753571
28800	0.341880342
29700	0.352430169
30600	0.354985206
31500	0.367265864
32400	0.370562685
33300	0.375260655
34200	0.376661804
35100	0.37451887
36000	0.376332122
36900	0.383585128
37800	0.3822664
38700	0.382925764
39600	0.375590337
40500	0.357787503
41400	0.342539706
42300	0.343858435
43200	0.333061346
44100	0.322593939
45000	0.308087926
45900	0.305038367
46800	0.29778536
47700	0.282125461
48600	0.275861501
49500	0.268608494
50400	0.26003676
51300	0.250475979
52200	0.245365906
53100	0.240585515
54000	0.237535956
54900	0.234074294
55800	0.223359625
56700	0.218002291
57600	0.200199458
58500	0.191298041
59400	0.192946451
60300	0.200117037
61200	0.199704935
62100	0.202259971
63000	0.2067931
63900	0.2100075
64800	0.213881265
65700	0.218826497
66600	0.220557328
67500	0.229293903
68400	0.236711751
69300	0.253607959
70200	0.256492677
71100	0.270174484
72000	0.288059738
72900	0.29457096
73800	0.31031328
74700	0.336275746
75600	0.360260119
76500	0.382431241
77400	0.401635223
78300	0.437817834
79200	0.470538783
80100	0.487105309
81000	0.504743301
81900	0.518013006
82800	0.503259732
83700	0.486033842
84600	0.475896117
85500	0.459247171
86400	0.454961304
87300	0.439548665
88200	0.419025954
89100	0.416718179
90000	0.406003511
90900	0.4011407
91800	0.388695201
92700	0.384244492
93600	0.394134955
94500	0.397266935
95400	0.392156863
96300	0.384409333
97200	0.376661804
98100	0.370315423
99000	0.357375401
99900	0.353666477
100800	0.335781223
101700	0.318390492
102600	0.309818757
103500	0.306604357
104400	0.291933503
105300	0.281878199
106200	0.263498422
107100	0.251300184
108000	0.237700797
108900	0.228552119
109800	0.217260507
110700	0.200776401
111600	0.185116501
112500	0.176792028
113400	0.164181688
114300	0.152477973
115200	0.15049988
116100	0.151653768
117000	0.150664722
117900	0.149263573
118800	0.147697583
119700	0.140691838
120600	0.148192106
121500	0.151901029
122400	0.149098732
123300	0.150170198
124200	0.149428414
125100	0.152313132
126000	0.151818609
126900	0.149593255
127800	0.15676384
128700	0.16607736
129600	0.171846797
130500	0.177945916
131400	0.185281342
132300	0.187424276
133200	0.183880194
134100	0.190885938
135000	0.20061156
135900	0.201683027
136800	0.212809798
137700	0.21940344
138600	0.215859358
139500	0.205721633
140400	0.209512977
141300	0.204238063
142200	0.205721633
143100	0.21305706
144000	0.222288159
144900	0.213221901
145800	0.212727378
146700	0.219650702
147600	0.219815543
148500	0.232261042
149400	0.253278276
150300	0.262591796
151200	0.249404512
152100	0.248992409
153000	0.285092599
153900	0.296466632
154800	0.302236069
155700	0.301659125
156600	0.30561531
157500	0.304131741
158400	0.301659125
159300	0.321522472
160200	0.335698802
161100	0.344188117
162000	0.349298189
162900	0.355150047
163800	0.3509466
164700	0.347402517
165600	0.344600219
166500	0.349298189
167400	0.352182908
168300	0.356386354
169200	0.356633616
170100	0.352759851
171000	0.362979997
171900	0.364793248
172800	0.362897576
173700	0.36504051
174600	0.366111977
175500	0.367925228
176400	0.373694665
177300	0.375425496
178200	0.382678502
179100	0.387870995
180000	0.405591408
180900	0.413503779
181800	0.424383288
182700	0.433284705
183600	0.436169424
184500	0.442433384
185400	0.457763601
186300	0.468643111
187200	0.474082866
188100	0.476060958
189000	0.488753719
189900	0.493369269
190800	0.502270685
191700	0.507298338
192600	0.507298338
193500	0.507792861
194400	0.519084473
195300	0.538370876
196200	0.565981752
197100	0.571833609
198000	0.570679722
198900	0.603070989
199800	0.610406416
200700	0.622604653
201600	0.642632841
202500	0.653594771
203400	0.663814916
204300	0.676507677
205200	0.689859803
206100	0.705849385
207000	0.714750802
207900	0.728102927
208800	0.732965738
209700	0.738982436
210600	0.750850992
211500	0.750686151
212400	0.76313165
213300	0.75678527
214200	0.763955856
215100	0.770549498
216000	0.773516637
216900	0.769725292
217800	0.767912041
218700	0.775412309
219600	0.777472822
220500	0.781016904
221400	0.785632454
222300	0.778049766
223200	0.785302772
224100	0.795687758
225000	0.795028394
225900	0.788352331
226800	0.782253212
227700	0.790000742
228600	0.790248003
229500	0.790907368
230400	0.794533871
231300	0.797253748
232200	0.795275655
233100	0.784066464
234000	0.753818131
234900	0.748543217
235800	0.746070601
236700	0.757197372
237600	0.750109207
238500	0.754312654
239400	0.760741455
240300	0.768241723
