#1
double	default(8760,2)
0	0.9893333
3600	0.8426667
7200	0.7786667
10800	0.8906667
14400	0.7626667
18000	0.6506667
21600	0.5706667
25200	0.4746667
28800	0.4133333
32400	0.32
36000	0.4133333
39600	0.36
43200	0.064
46800	0
50400	0.005333333
54000	0
57600	0.03466667
61200	0.096
64800	0.05066667
68400	0.04266667
72000	0.06933333
75600	0.064
79200	0.1786667
82800	0.32
86400	0.208
90000	0.3733333
93600	0.4586667
97200	0.4426667
100800	0.32
104400	0.1706667
108000	0.1226667
111600	0.1226667
115200	0.096
118800	0.1066667
122400	0.1226667
126000	0.1466667
129600	0.1706667
133200	0.1466667
136800	0.2826667
140400	0.36
144000	0.1706667
147600	0.1013333
151200	0.1306667
154800	0.1306667
158400	0.1466667
162000	0.2506667
165600	0.2186667
169200	0.272
172800	0.4133333
176400	0.36
180000	0.6506667
183600	0.5706667
187200	0.6026667
190800	0.36
194400	0.36
198000	0.3733333
201600	0.208
205200	0.3333333
208800	0.5546667
212400	0.6506667
216000	0.5706667
219600	0.6826667
223200	0.6506667
226800	0.8426667
230400	0.8426667
234000	0.5546667
237600	0.36
241200	0.2506667
244800	0.2506667
248400	0.208
252000	0.1546667
255600	0.2186667
259200	0.32
262800	0.24
266400	0.2186667
270000	0.1786667
273600	0.208
277200	0.1786667
280800	0.2506667
284400	0.24
288000	0.36
291600	0.4
295200	0.3733333
298800	0.5546667
302400	0.6826667
306000	0.8906667
309600	0.9626667
313200	0.9466667
316800	0.8266667
320400	0.8426667
324000	0.6666667
327600	0.8426667
331200	0.8426667
334800	0.7786667
338400	0.6666667
342000	0.2826667
345600	0.3333333
349200	0.4426667
352800	0.2506667
356400	0.2186667
360000	0.208
363600	0.1226667
367200	0.1066667
370800	0.04266667
374400	0.096
378000	0.1546667
381600	0.064
385200	0.096
388800	0.08533333
392400	0.08
396000	0.04533333
399600	0.04
403200	0.04
406800	0.1546667
410400	0.24
414000	0.1226667
417600	0.1226667
421200	0.1226667
424800	0.05333333
428400	0.02666667
432000	0.04266667
435600	0.02133333
439200	0
442800	0.04266667
446400	0.04266667
450000	0.04533333
453600	0.08533333
457200	0.1786667
460800	0.24
464400	0.3066667
468000	0.1786667
471600	0.1466667
475200	0.3066667
478800	0.4133333
482400	0.3066667
486000	0.2506667
489600	0.208
493200	0.24
496800	0.36
500400	0.32
504000	0.1306667
507600	0.08533333
511200	0.06933333
514800	0.1066667
518400	0.05333333
522000	0.06933333
525600	0.02133333
529200	0.02133333
532800	0.02666667
536400	0.01066667
540000	0
543600	0
547200	0
550800	0
554400	0
558000	0
561600	0.01066667
565200	0
568800	0.032
572400	0
576000	0
579600	0
583200	0.04533333
586800	0.02666667
590400	0.032
594000	0.05333333
597600	0.05066667
601200	0
604800	0.02666667
608400	0
612000	0.02666667
615600	0.02666667
619200	0.032
622800	0.05066667
626400	0.05066667
630000	0.05333333
633600	0.04266667
637200	0.04266667
640800	0.05333333
644400	0.064
648000	0.05333333
651600	0.04533333
655200	0.05066667
658800	0.01066667
662400	0.005333333
666000	0
669600	0
673200	0
676800	0
680400	0
684000	0
687600	0
691200	0
694800	0
698400	0
702000	0.02666667
705600	0.05066667
709200	0.04533333
712800	0.05333333
716400	0.064
720000	0.1226667
723600	0.1546667
727200	0.1466667
730800	0.208
