#1
double	default(8760,2)
0	0.3443325
3600	0.3435017
7200	0.3496783
10800	0.3116277
14400	0.2661285
18000	0.2478796
21600	0.2284473
25200	0.2075875
28800	0.1916269
32400	0.1735773
36000	0.1682159
39600	0.2032002
43200	0.1870216
46800	0.1897038
50400	0.1571989
54000	0.132672
57600	0.1388635
61200	0.1506078
64800	0.1477294
68400	0.1452385
72000	0.1406716
75600	0.1595441
79200	0.1656219
82800	0.1759141
86400	0.1685627
90000	0.1714206
93600	0.152307
97200	0.1607286
100800	0.1498123
104400	0.141768
108000	0.173569
111600	0.1784021
115200	0.1754087
118800	0.19075
122400	0.2236413
126000	0.242305
129600	0.2564337
133200	0.2505377
136800	0.232193
140400	0.1962712
144000	0.1668986
147600	0.1315353
151200	0.1267465
154800	0.1364275
158400	0.1346046
162000	0.1586833
165600	0.1466599
169200	0.1676001
172800	0.1917963
176400	0.2391421
180000	0.2515152
183600	0.3021434
187200	0.3200893
190800	0.3572507
194400	0.3521005
198000	0.3442992
201600	0.3648292
205200	0.3857072
208800	0.4311079
212400	0.4305357
216000	0.4528318
219600	0.4321323
223200	0.4377147
226800	0.4148442
230400	0.4051447
234000	0.3748667
237600	0.3748483
241200	0.333053
244800	0.3177773
248400	0.3173308
252000	0.2497144
255600	0.2785394
259200	0.2699418
262800	0.2392962
266400	0.2354398
270000	0.2283324
273600	0.2379939
277200	0.2346592
280800	0.2324237
284400	0.2211072
288000	0.2567982
291600	0.2723949
295200	0.2704192
298800	0.3067305
302400	0.3509017
306000	0.4143348
309600	0.4316671
313200	0.410008
316800	0.4188093
320400	0.4267016
324000	0.3972834
327600	0.4065068
331200	0.4491883
334800	0.4088347
338400	0.3495502
342000	0.3431694
345600	0.3621139
349200	0.3367497
352800	0.2777933
356400	0.2632013
360000	0.2237333
363600	0.2072285
367200	0.1837826
370800	0.1528825
374400	0.1454577
378000	0.1385129
381600	0.1452589
385200	0.1605844
388800	0.1696277
392400	0.1731448
396000	0.157279
399600	0.1248887
403200	0.1058907
406800	0.08434951
410400	0.07713818
414000	0.0769817
417600	0.07141672
421200	0.06703032
424800	0.06393814
428400	0.07107977
432000	0.08678304
435600	0.09242247
439200	0.09476433
442800	0.09246023
446400	0.1184731
450000	0.1405565
453600	0.1377035
457200	0.1100771
460800	0.1435924
464400	0.1507273
468000	0.1772149
471600	0.2045774
475200	0.242923
478800	0.2711649
482400	0.2763148
486000	0.2509269
489600	0.2082135
493200	0.1621311
496800	0.1665058
500400	0.1575855
504000	0.1245413
507600	0.1125801
511200	0.09410302
514800	0.09693945
518400	0.08406156
522000	0.0740494
525600	0.0653233
529200	0.0536449
532800	0.05195309
536400	0.04958278
540000	0.0444856
543600	0.04551648
547200	0.04042451
550800	0.03055849
554400	0.03280706
558000	0.03691063
561600	0.02562841
565200	0.03189634
568800	0.03142142
572400	0.02753064
576000	0.02671151
579600	0.02468722
583200	0.03594615
586800	0.04154518
590400	0.04454729
594000	0.0507678
597600	0.05936287
601200	0.0613087
604800	0.06076339
608400	0.06239857
612000	0.05708858
615600	0.07002182
619200	0.08377899
622800	0.08595511
626400	0.08810728
630000	0.08778174
633600	0.08427207
637200	0.0868782
640800	0.09779121
644400	0.1001161
648000	0.1019583
651600	0.1069088
655200	0.1033969
658800	0.08918604
662400	0.07940084
666000	0.0679972
669600	0.06843214
673200	0.06320255
676800	0.05764758
680400	0.06242777
684000	0.05904315
687600	0.05675222
691200	0.04862771
694800	0.05045654
698400	0.05341008
702000	0.05365791
705600	0.05949043
709200	0.06159462
712800	0.06412105
716400	0.06553964
720000	0.06808448
723600	0.07373544
727200	0.07969837
730800	0.1113197
734400	0.1221833
738000	0.1384984
741600	0.1356856
745200	0.1368726
748800	0.1461527
752400	0.1472735
756000	0.1557651
759600	0.1625445
763200	0.1676361
766800	0.1775193
770400	0.1803131
774000	0.2047455
777600	0.1788873
781200	0.1684492
784800	0.174492
788400	0.1999826
792000	0.2168969
795600	0.2348007
799200	0.2146728
802800	0.2165787
806400	0.2331555
810000	0.2456665
813600	0.2521209
817200	0.2696366
820800	0.2780133
824400	0.2638574
828000	0.2413908
831600	0.2249585
835200	0.1965742
838800	0.1864122
842400	0.1579422
846000	0.163624
849600	0.1612146
853200	0.1425758
856800	0.1417978
860400	0.1321745
864000	0.1405222
867600	0.1424879
871200	0.1452589
874800	0.1398002
878400	0.1427288
882000	0.1420039
885600	0.1187875
889200	0.1365528
892800	0.1314239
896400	0.1081596
900000	0.09782489
903600	0.09932055
907200	0.1013209
910800	0.1017955
914400	0.1018507
918000	0.08950635
921600	0.08304217
925200	0.07158002
928800	0.06356468
932400	0.05874275
936000	0.05457129
939600	0.05307913
943200	0.05247995
946800	0.04763206
950400	0.04112566
954000	0.04141301
957600	0.04368601
961200	0.04381246
964800	0.0471597
968400	0.04591063
972000	0.04049873
975600	0.04519706
979200	0.04660508
982800	0.03833386
986400	0.03951278
990000	0.03111762
993600	0.03012724
997200	0.02758626
1000800	0.03281314
1004400	0.03252073
1008000	0.03343518
1011600	0.02779766
1015200	0.03648598
1018800	0.04748124
1022400	0.03958533
1026000	0.04672455
1029600	0.04142767
1033200	0.03857922
1036800	0.04081473
1040400	0.03834902
1044000	0.03981961
1047600	0.04352626
1051200	0.0427357
1054800	0.04578611
1058400	0.05064151
1062000	0.05951575
1065600	0.05833148
1069200	0.05299998
1072800	0.05461264
1076400	0.05513096
1080000	0.05522571
1083600	0.05758334
1087200	0.06366943
1090800	0.06371906
1094400	0.06804731
1098000	0.06419986
1101600	0.06481053
1105200	0.05722532
1108800	0.06233891
1112400	0.08620255
1116000	0.07538248
1119600	0.06619371
1123200	0.06653383
1126800	0.06528289
1130400	0.06738721
1134000	0.07455376
1137600	0.07107932
1141200	0.07164533
1144800	0.05611634
1148400	0.04845835
1152000	0.05202758
1155600	0.04078369
1159200	0.03825557
1162800	0.04001439
1166400	0.04395102
1170000	0.04315146
1173600	0.03940842
1177200	0.03399823
1180800	0.03214292
1184400	0.02746017
1188000	0.03376756
1191600	0.03254836
1195200	0.03397114
1198800	0.03588321
1202400	0.04417575
1206000	0.0494188
1209600	0.05066555
1213200	0.05648085
1216800	0.06063464
1220400	0.06067455
1224000	0.05956992
1227600	0.05678598
1231200	0.06168936
1234800	0.05977481
1238400	0.05619298
1242000	0.04469748
1245600	0.03528743
1249200	0.03367947
1252800	0.03187604
1256400	0.02634424
1260000	0.0228953
1263600	0.02410385
1267200	0.02549811
1270800	0.03244291
1274400	0.02430356
1278000	0.03049265
1281600	0.03227675
1285200	0.03471269
1288800	0.03284323
1292400	0.03782302
1296000	0.03785718
1299600	0.03012307
1303200	0.02508315
1306800	0.02936332
1310400	0.02832002
1314000	0.02622072
1317600	0.03183604
1321200	0.03143909
1324800	0.02341779
1328400	0.01905272
1332000	0.01503454
1335600	0.01334433
1339200	0.0132556
1342800	0.01310685
1346400	0.0183187
1350000	0.02463607
1353600	0.02871103
1357200	0.03568932
1360800	0.03878798
1364400	0.04786042
1368000	0.05553749
1371600	0.0648568
1375200	0.06555319
1378800	0.07542697
1382400	0.08471668
1386000	0.09639362
1389600	0.0998207
1393200	0.09040538
1396800	0.08542832
1400400	0.07787924
1404000	0.06909406
1407600	0.06610697
1411200	0.07939667
1414800	0.05826064
1418400	0.07284589
1422000	0.07737476
1425600	0.06726666
1429200	0.07076291
1432800	0.06545998
1436400	0.07459653
1440000	0.06980169
1443600	0.06464879
1447200	0.07387447
1450800	0.07568641
1454400	0.07944507
1458000	0.0889193
1461600	0.09318165
1465200	0.1069271
1468800	0.09090427
1472400	0.09296837
1476000	0.09533712
1479600	0.09586799
1483200	0.1112357
1486800	0.09993051
1490400	0.09419974
1494000	0.1007459
1497600	0.1000299
1501200	0.09973625
1504800	0.09332535
1508400	0.0932758
1512000	0.1056298
1515600	0.1253468
1519200	0.1314965
1522800	0.1300239
1526400	0.1280586
1530000	0.1563973
1533600	0.1728468
1537200	0.1897859
1540800	0.2369711
1544400	0.2449382
1548000	0.2318954
1551600	0.2276229
1555200	0.2368687
1558800	0.2476959
1562400	0.2339301
1566000	0.2552418
1569600	0.247451
1573200	0.2469113
1576800	0.2386041
1580400	0.2543193
1584000	0.2403136
1587600	0.2340499
1591200	0.2386886
1594800	0.2405111
1598400	0.2314185
1602000	0.2261233
1605600	0.2234443
1609200	0.2213935
1612800	0.225998
1616400	0.2289297
1620000	0.210629
1623600	0.2097748
1627200	0.2118425
1630800	0.1940112
1634400	0.1910761
1638000	0.185537
1641600	0.1963
1645200	0.1888054
1648800	0.1870933
1652400	0.1627034
1656000	0.1842289
1659600	0.1812486
1663200	0.2050513
1666800	0.2077501
1670400	0.2211562
1674000	0.2113098
1677600	0.2415999
1681200	0.254516
1684800	0.2518883
1688400	0.2579369
1692000	0.2522564
1695600	0.2749612
1699200	0.2678055
1702800	0.2848018
1706400	0.2938474
1710000	0.2890745
1713600	0.3034041
1717200	0.3123797
1720800	0.3107173
1724400	0.3121464
1728000	0.3099701
1731600	0.3188993
1735200	0.324762
1738800	0.3176042
1742400	0.2997959
1746000	0.2906096
1749600	0.2833877
1753200	0.2795577
1756800	0.2836522
1760400	0.2993613
1764000	0.3110513
1767600	0.3078153
1771200	0.2957895
1774800	0.2835308
1778400	0.2733044
1782000	0.2567056
1785600	0.2511533
1789200	0.2454861
1792800	0.2562461
1796400	0.247387
1800000	0.2510221
1803600	0.2427029
1807200	0.2258012
1810800	0.213962
1814400	0.2159342
1818000	0.184309
1821600	0.1725785
1825200	0.1505547
1828800	0.1383597
1832400	0.1383981
1836000	0.1454242
1839600	0.1428052
1843200	0.138385
1846800	0.1370406
1850400	0.127397
1854000	0.1404574
1857600	0.1189014
1861200	0.1396686
1864800	0.1192739
1868400	0.09731289
1872000	0.08463697
1875600	0.0729239
1879200	0.0645449
1882800	0.06818661
1886400	0.05271807
1890000	0.04352834
1893600	0.04664828
1897200	0.05738253
1900800	0.05367651
1904400	0.04629147
1908000	0.04148664
1911600	0.04768931
1915200	0.04481686
1918800	0.04627207
1922400	0.04472568
1926000	0.03596641
1929600	0.02688606
1933200	0.0197636
1936800	0.02275579
1940400	0.02431471
1944000	0.02360573
1947600	0.02942384
1951200	0.02836987
1954800	0.03086337
1958400	0.03504203
1962000	0.03749088
1965600	0.05162044
1969200	0.05991104
1972800	0.0455622
1976400	0.06053151
1980000	0.07347025
1983600	0.05024366
1987200	0.04155245
1990800	0.04184899
1994400	0.0424828
1998000	0.04911179
2001600	0.04837828
2005200	0.04582059
2008800	0.05014338
2012400	0.05219812
2016000	0.04820578
2019600	0.04634183
2023200	0.0562141
2026800	0.03979133
2030400	0.03872021
2034000	0.04183251
2037600	0.04838479
2041200	0.05375123
2044800	0.04906848
2048400	0.05380092
2052000	0.05399991
2055600	0.03690557
2059200	0.02346218
2062800	0.02385942
2066400	0.03442251
2070000	0.0377916
2073600	0.03216746
2077200	0.02983244
2080800	0.03411208
2084400	0.03274837
2088000	0.03483091
2091600	0.03148649
2095200	0.03141794
2098800	0.03072939
2102400	0.03016836
2106000	0.0297721
2109600	0.03238126
2113200	0.03635582
2116800	0.0298186
2120400	0.03562092
2124000	0.05944013
2127600	0.07121571
2131200	0.06028038
2134800	0.06530393
2138400	0.0644746
2142000	0.08248569
2145600	0.08864171
2149200	0.09339315
2152800	0.1043983
2156400	0.1134498
2160000	0.1316965
2163600	0.1489228
2167200	0.1525098
2170800	0.1539752
2174400	0.1245229
2178000	0.1182983
2181600	0.1260559
2185200	0.1405753
2188800	0.1338429
2192400	0.1377844
2196000	0.1416326
2199600	0.156644
2203200	0.1687251
2206800	0.153726
2210400	0.1533209
2214000	0.150781
2217600	0.1460538
2221200	0.1372195
2224800	0.1495731
2228400	0.1769374
2232000	0.169418
2235600	0.1926661
2239200	0.1711616
2242800	0.1687672
2246400	0.1625773
2250000	0.1680097
2253600	0.1685579
2257200	0.1648963
2260800	0.1599033
2264400	0.1670263
2268000	0.1678373
2271600	0.1848891
2275200	0.2119992
2278800	0.2631897
2282400	0.2659855
2286000	0.2811796
2289600	0.3001291
2293200	0.2906104
2296800	0.2595367
2300400	0.2372616
2304000	0.216143
2307600	0.2064597
2311200	0.2232317
2314800	0.1821493
2318400	0.1347664
2322000	0.1401856
2325600	0.1373627
2329200	0.125071
2332800	0.1290478
2336400	0.1288587
2340000	0.1194496
2343600	0.1214168
2347200	0.1173732
2350800	0.1200136
2354400	0.1170646
2358000	0.1166271
2361600	0.1144658
2365200	0.1219019
2368800	0.1408452
2372400	0.1523841
2376000	0.1669252
2379600	0.1640891
2383200	0.1632681
2386800	0.1470813
2390400	0.1451662
2394000	0.1497561
2397600	0.1483324
2401200	0.1739227
2404800	0.1848462
2408400	0.2342216
2412000	0.2697128
2415600	0.3371892
2419200	0.3784842
2422800	0.3765319
2426400	0.375936
2430000	0.3698189
2433600	0.3741676
2437200	0.3621214
2440800	0.402368
2444400	0.3328434
2448000	0.3113439
2451600	0.3345334
2455200	0.3388855
2458800	0.3402546
2462400	0.343095
2466000	0.3093137
2469600	0.2764716
2473200	0.2131534
2476800	0.1896733
2480400	0.1488673
2484000	0.1507795
2487600	0.1642851
2491200	0.1921254
2494800	0.2218441
