#1
double	default(8760,2)
0	0.8194904
3600	0.590269
7200	0.5291358
10800	0.6354614
14400	0.5143422
18000	0.4156731
21600	0.3589052
25200	0.2906098
28800	0.252122
32400	0.2016419
36000	0.252122
39600	0.2253804
43200	0.04071697
46800	0
50400	0.0063676
54000	0.001821344
57600	0.01735442
61200	0.0600038
64800	0.03211834
68400	0.02377047
72000	0.04402986
75600	0.04071697
79200	0.1126866
82800	0.2016419
86400	0.1311233
90000	0.2327417
93600	0.2829927
97200	0.2735502
100800	0.2016419
104400	0.1067669
108000	0.07005636
111600	0.07005636
115200	0.0600038
118800	0.06503008
122400	0.07005636
126000	0.08834457
129600	0.1067669
133200	0.08834457
136800	0.1776456
140400	0.2253804
144000	0.1067669
147600	0.06251694
151200	0.07542406
154800	0.07542406
158400	0.08834457
162000	0.1568699
165600	0.1375057
169200	0.1705636
172800	0.252122
176400	0.2253804
180000	0.4156731
183600	0.3589052
187200	0.380626
190800	0.2253804
194400	0.2253804
198000	0.2327417
201600	0.1311233
205200	0.2095805
208800	0.3478125
212400	0.4156731
216000	0.3589052
219600	0.4411371
223200	0.4156731
226800	0.590269
230400	0.590269
234000	0.3478125
237600	0.2253804
241200	0.1568699
244800	0.1568699
248400	0.1311233
252000	0.09480483
255600	0.1375057
259200	0.2016419
262800	0.1502705
266400	0.1375057
270000	0.1126866
273600	0.1311233
277200	0.1126866
280800	0.1568699
284400	0.1502705
288000	0.2253804
291600	0.2456619
295200	0.2327417
298800	0.3478125
302400	0.4411371
306000	0.6354614
309600	0.7546282
313200	0.7255485
316800	0.576431
320400	0.590269
324000	0.4278899
327600	0.590269
331200	0.590269
334800	0.5291358
338400	0.4278899
342000	0.1776456
345600	0.2095805
349200	0.2735502
352800	0.1568699
356400	0.1375057
360000	0.1311233
363600	0.07005636
367200	0.06503008
370800	0.02377047
374400	0.0600038
378000	0.09480483
381600	0.04071697
385200	0.0600038
388800	0.05396855
392400	0.05065566
396000	0.02655309
399600	0.02098785
403200	0.02098785
406800	0.09480483
410400	0.1502705
414000	0.07005636
417600	0.07005636
421200	0.07005636
424800	0.03490096
428400	0.01237679
432000	0.02377047
435600	0.01071758
439200	0
442800	0.02377047
446400	0.02377047
450000	0.02655309
453600	0.05396855
457200	0.1126866
460800	0.1502705
464400	0.1936431
468000	0.1126866
471600	0.08834457
475200	0.1936431
478800	0.252122
482400	0.1936431
486000	0.1568699
489600	0.1311233
493200	0.1502705
496800	0.2253804
500400	0.2016419
504000	0.07542406
507600	0.05396855
511200	0.04402986
514800	0.06503008
518400	0.03490096
522000	0.04402986
525600	0.01071758
529200	0.01071758
532800	0.01237679
536400	0.007504164
540000	0.001821344
543600	0.002957908
547200	0
550800	0
554400	0
558000	0
561600	0.007504164
565200	0.002957908
568800	0.01569521
572400	0
576000	0
579600	0
583200	0.02655309
586800	0.01237679
590400	0.01569521
594000	0.03490096
597600	0.03211834
601200	0.005231036
604800	0.01237679
608400	0.002957908
612000	0.01237679
615600	0.01237679
619200	0.01569521
622800	0.03211834
626400	0.03211834
630000	0.03490096
633600	0.02377047
637200	0.02377047
640800	0.03490096
644400	0.04071697
648000	0.03490096
651600	0.02655309
655200	0.03211834
658800	0.007504164
662400	0.0063676
666000	0.002957908
669600	0
673200	0
676800	0
680400	0
684000	0
687600	0
691200	0
694800	0
698400	0
702000	0.01237679
705600	0.03211834
709200	0.02655309
712800	0.03490096
716400	0.04071697
720000	0.07005636
723600	0.09480483
727200	0.08834457
730800	0.1311233
734400	0.1375057
738000	0.08834457
741600	0.07005636
745200	0.1311233
748800	0.1375057
752400	0.1126866
756000	0.1126866
759600	0.1067669
763200	0.07542406
766800	0.07542406
770400	0.09480483
774000	0.1126866
777600	0.1126866
781200	0.05396855
784800	0.08834457
788400	0.09480483
792000	0.07542406
795600	0.1375057
799200	0.1502705
802800	0.1568699
806400	0.1311233
810000	0.1186062
813600	0.09480483
817200	0.03211834
820800	0.06251694
824400	0.07542406
828000	0.08834457
831600	0.05065566
835200	0.0600038
838800	0.01569521
842400	0.04071697
846000	0.06251694
849600	0.03211834
853200	0.01735442
856800	0.01237679
860400	0.01237679
864000	0
867600	0.05065566
871200	0.05065566
874800	0.09480483
878400	0.0600038
882000	0.07005636
885600	0.05065566
889200	0.0600038
892800	0.05065566
896400	0.03211834
900000	0.04402986
903600	0.06251694
907200	0.0600038
910800	0.04071697
914400	0.05396855
918000	0.05396855
921600	0.04071697
925200	0.02655309
928800	0.06251694
932400	0.01237679
936000	0.002957908
939600	0.005231036
943200	0.01071758
946800	0.0063676
950400	0.002957908
954000	0.002957908
957600	0
961200	0
964800	0
968400	0
972000	0
975600	0
979200	0
982800	0
986400	0
990000	0
993600	0
997200	0
1000800	0.007504164
1004400	0.005231036
1008000	0
1011600	0
1015200	0
1018800	0
1022400	0
1026000	0
1029600	0
1033200	0
1036800	0.001821344
1040400	0.007504164
1044000	0
1047600	0
1051200	0
1054800	0
1058400	0
1062000	0.002957908
1065600	0
1069200	0.0063676
1072800	0.01237679
1076400	0.01237679
1080000	0.03490096
1083600	0.03211834
1087200	0.06251694
1090800	0.03490096
1094400	0.0063676
1098000	0
1101600	0.002957908
1105200	0.007504164
1108800	0.002957908
1112400	0.02377047
1116000	0.0063676
1119600	0.001821344
1123200	0.001821344
1126800	0.02377047
1130400	0.01735442
1134000	0.01569521
1137600	0.01735442
1141200	0.01237679
1144800	0.01071758
1148400	0.01569521
1152000	0.04402986
1155600	0.06503008
1159200	0.05065566
1162800	0.03490096
1166400	0.06503008
1170000	0.04071697
1173600	0.04402986
1177200	0.03211834
1180800	0.02377047
1184400	0.02098785
1188000	0.01569521
1191600	0.01569521
1195200	0.01071758
1198800	0.01735442
1202400	0.001821344
1206000	0
1209600	0
1213200	0
1216800	0
1220400	0
1224000	0
1227600	0
1231200	0
1234800	0
1238400	0
1242000	0
1245600	0
1249200	0
1252800	0
1256400	0
1260000	0.001821344
1263600	0.001821344
1267200	0.01735442
1270800	0.01237679
1274400	0.001821344
1278000	0.005231036
1281600	0.001821344
1285200	0.007504164
1288800	0.007504164
1292400	0.001821344
1296000	0.04402986
1299600	0.01569521
1303200	0.01237679
1306800	0.002957908
1310400	0
1314000	0.005231036
1317600	0.001821344
1321200	0
1324800	0
1328400	0.0063676
1332000	0.001821344
1335600	0.005231036
1339200	0.007504164
1342800	0.007504164
1346400	0.0063676
1350000	0.001821344
1353600	0
1357200	0
1360800	0
1364400	0
1368000	0
1371600	0
1375200	0
1378800	0.002957908
1382400	0.007504164
1386000	0
1389600	0
1393200	0.002957908
1396800	0.002957908
1400400	0.005231036
1404000	0
1407600	0
1411200	0.001821344
1414800	0.005231036
1418400	0.0063676
1422000	0.007504164
1425600	0.02377047
1429200	0.01569521
1432800	0.01071758
1436400	0.01237679
1440000	0.007504164
1443600	0.007504164
1447200	0.01569521
1450800	0.01569521
1454400	0.0063676
1458000	0
1461600	0
1465200	0
1468800	0
1472400	0
1476000	0
1479600	0.01569521
1483200	0.005231036
1486800	0.005231036
1490400	0.002957908
1494000	0.0063676
1497600	0.007504164
1501200	0.007504164
1504800	0.01735442
1508400	0.02655309
1512000	0.05065566
1515600	0.03490096
1519200	0.06251694
1522800	0.07542406
1526400	0.2095805
1530000	0.2016419
1533600	0.2327417
1537200	0.2735502
1540800	0.3254675
1544400	0.2735502
1548000	0.1936431
1551600	0.2016419
1555200	0.2906098
1558800	0.3478125
1562400	0.1568699
1566000	0.2829927
1569600	0.1568699
1573200	0.1126866
1576800	0.09480483
1580400	0.1311233
1584000	0.1936431
1587600	0.04402986
1591200	0.0600038
1594800	0.1126866
1598400	0.1776456
1602000	0.3254675
1605600	0.3589052
1609200	0.2906098
1612800	0.2253804
1616400	0.1936431
1620000	0.07005636
1623600	0.04402986
1627200	0.05396855
1630800	0.1568699
1634400	0.1067669
1638000	0.03211834
1641600	0.02098785
1645200	0.03211834
1648800	0.02098785
1652400	0.01237679
1656000	0
1659600	0.002957908
1663200	0.01071758
1666800	0.01569521
1670400	0.07005636
1674000	0.04402986
1677600	0.005231036
1681200	0.03490096
1684800	0.04071697
1688400	0.1311233
1692000	0.07542406
1695600	0.08834457
1699200	0.1502705
1702800	0.1568699
