#1
double	default(8760,2)
0	0.4892912
3600	0.4910487
7200	0.506141
10800	0.4546481
14400	0.4001006
18000	0.3818436
21600	0.3526747
25200	0.3172316
28800	0.2944933
32400	0.2675877
36000	0.2614547
39600	0.3046259
43200	0.2790269
46800	0.2786817
50400	0.2623904
54000	0.2004373
57600	0.2014761
61200	0.2135537
64800	0.2053761
68400	0.2088711
72000	0.200814
75600	0.231135
79200	0.2405793
82800	0.2540505
86400	0.2433828
90000	0.247289
93600	0.2324423
97200	0.2468226
100800	0.2307424
104400	0.2158187
108000	0.2502698
111600	0.2571945
115200	0.2545941
118800	0.2789357
122400	0.3198035
126000	0.351731
129600	0.3722118
133200	0.3581734
136800	0.3408829
140400	0.2891806
144000	0.240353
147600	0.1959761
151200	0.1895832
154800	0.204762
158400	0.2059483
162000	0.2356628
165600	0.2236713
169200	0.2529576
172800	0.2819608
176400	0.3495056
180000	0.3683952
183600	0.434881
187200	0.4564272
190800	0.4941559
194400	0.4867921
198000	0.4832401
201600	0.5116266
205200	0.5332604
208800	0.5858918
212400	0.5900159
216000	0.6108894
219600	0.5874253
223200	0.6024516
226800	0.5834346
230400	0.5682302
234000	0.5193563
237600	0.5028944
241200	0.4596733
244800	0.4449657
248400	0.4386173
252000	0.3890318
255600	0.3835741
259200	0.3758734
262800	0.345203
266400	0.3292855
270000	0.3339391
273600	0.3530174
277200	0.3488111
280800	0.3465422
284400	0.3351126
288000	0.3786514
291600	0.3918412
295200	0.3834284
298800	0.441914
302400	0.4761525
306000	0.5522441
309600	0.5831487
313200	0.5978689
316800	0.5836564
320400	0.5928879
324000	0.5618528
327600	0.5717413
331200	0.6131045
334800	0.5769764
338400	0.5026449
342000	0.4849524
345600	0.5056582
349200	0.4755811
352800	0.4070625
356400	0.3848215
360000	0.3266258
363600	0.3079186
367200	0.2713138
370800	0.2254186
374400	0.211514
378000	0.198736
381600	0.2116987
385200	0.227483
388800	0.2395204
392400	0.2443457
396000	0.2215997
399600	0.1762613
403200	0.1448927
406800	0.1146697
410400	0.1049239
414000	0.1048088
417600	0.09461241
421200	0.0884747
424800	0.08578468
428400	0.09510371
432000	0.1194604
435600	0.1279561
439200	0.1318145
442800	0.128158
446400	0.1645048
450000	0.1969543
453600	0.1931804
457200	0.171109
460800	0.209573
464400	0.2189891
468000	0.2585745
471600	0.296696
475200	0.3537912
478800	0.3861081
482400	0.3815733
486000	0.3504587
489600	0.2913539
493200	0.2273097
496800	0.2413912
500400	0.2288546
504000	0.1788815
507600	0.1599138
511200	0.1300769
514800	0.1344728
518400	0.1135297
522000	0.09742247
525600	0.08481076
529200	0.06755593
532800	0.06627073
536400	0.05965694
540000	0.05069464
543600	0.05247137
547200	0.05017015
550800	0.04233131
554400	0.04612232
558000	0.05065741
561600	0.04008291
565200	0.04674478
568800	0.04539296
572400	0.03842901
576000	0.03994748
579600	0.03831776
583200	0.0517207
586800	0.05815293
590400	0.06215637
594000	0.07213094
597600	0.08039529
601200	0.08380044
604800	0.08809903
608400	0.09063476
612000	0.08887129
615600	0.1057594
619200	0.1201153
622800	0.1233782
626400	0.1240719
630000	0.123399
633600	0.119814
637200	0.1251486
640800	0.1395462
644400	0.1431209
648000	0.1447856
651600	0.1531903
655200	0.1476979
658800	0.1236227
662400	0.1080854
666000	0.09015955
669600	0.09187743
673200	0.08287197
676800	0.07601122
680400	0.08348714
684000	0.07586922
687600	0.07484641
691200	0.06599996
694800	0.06304977
698400	0.06843048
702000	0.07368709
705600	0.08107578
709200	0.08340289
712800	0.08892297
716400	0.09173501
720000	0.09548788
723600	0.1072558
727200	0.1234422
730800	0.1650037
734400	0.1796604
738000	0.2077839
741600	0.198588
745200	0.2036415
748800	0.2137677
752400	0.2122486
756000	0.2203782
759600	0.232876
763200	0.2375987
766800	0.2503192
770400	0.2548797
774000	0.2847605
777600	0.2481891
781200	0.2360807
784800	0.2449049
788400	0.2834814
792000	0.3041709
795600	0.3292147
799200	0.3026815
802800	0.3056829
806400	0.3277225
810000	0.3475995
813600	0.3610031
817200	0.3839212
820800	0.3939064
824400	0.3776634
828000	0.3470103
831600	0.3200774
835200	0.2800484
838800	0.2540873
842400	0.2170573
846000	0.222388
849600	0.2065627
853200	0.1915148
856800	0.1867188
860400	0.1800553
864000	0.1877292
867600	0.1917276
871200	0.1961602
874800	0.1946085
878400	0.1988083
882000	0.1987888
885600	0.1634886
889200	0.1822983
892800	0.1727961
896400	0.1495411
900000	0.1369217
903600	0.1465216
907200	0.1486056
910800	0.1495673
914400	0.1508198
918000	0.13478
921600	0.125236
925200	0.1096474
928800	0.0981849
932400	0.09309264
936000	0.0856536
939600	0.07995201
943200	0.07895156
946800	0.07072201
950400	0.06446372
954000	0.06461681
957600	0.06773251
961200	0.0668528
964800	0.07406355
968400	0.07096446
972000	0.06447123
975600	0.07085258
979200	0.07313988
982800	0.06069472
986400	0.06407493
990000	0.04986755
993600	0.04862448
997200	0.04381656
1000800	0.05227857
1004400	0.05245587
1008000	0.05381267
1011600	0.04349889
1015200	0.05811098
1018800	0.07528729
1022400	0.06223946
1026000	0.07491041
1029600	0.06610645
1033200	0.06133006
1036800	0.06469833
1040400	0.06072261
1044000	0.06307969
1047600	0.06777744
1051200	0.06817563
1054800	0.07182748
1058400	0.07743214
1062000	0.0907344
1065600	0.08854701
1069200	0.07944217
1072800	0.08323143
1076400	0.08476157
1080000	0.08635278
1083600	0.0937217
1087200	0.1032576
1090800	0.1028474
1094400	0.1054839
1098000	0.09821145
1101600	0.09673879
1105200	0.08681204
1108800	0.09463842
1112400	0.1217182
1116000	0.105848
1119600	0.09127084
1123200	0.08805417
1126800	0.08807293
1130400	0.09617145
1134000	0.1081137
1137600	0.1052493
1141200	0.1082289
1144800	0.08886921
1148400	0.07496162
1152000	0.08126299
1155600	0.06570105
1159200	0.06164924
1162800	0.06536129
1166400	0.07151945
1170000	0.06941722
1173600	0.06212564
1177200	0.05495874
1180800	0.05171648
1184400	0.04326271
1188000	0.04935234
1191600	0.04619398
1195200	0.04888902
1198800	0.0505757
1202400	0.05597328
1206000	0.05997772
1209600	0.06066373
1213200	0.06806835
1216800	0.07797606
1220400	0.07856619
1224000	0.0741904
1227600	0.07167111
1231200	0.0863777
1234800	0.08489608
1238400	0.08293467
1242000	0.06664117
1245600	0.05330536
1249200	0.0505639
1252800	0.04784909
1256400	0.03863951
1260000	0.03566037
1263600	0.03682686
1267200	0.03896605
1270800	0.05000329
1274400	0.03682367
1278000	0.04722888
1281600	0.04905948
1285200	0.05484132
1288800	0.05072421
1292400	0.05717564
1296000	0.0538398
1299600	0.04595061
1303200	0.03887859
1306800	0.04124581
1310400	0.04269697
1314000	0.04015334
1317600	0.04206485
1321200	0.04552295
1324800	0.03620074
1328400	0.02969189
1332000	0.02373932
1335600	0.02173144
1339200	0.0204141
1342800	0.02207928
1346400	0.02956963
1350000	0.04014665
1353600	0.04587442
1357200	0.05686946
1360800	0.05940452
1364400	0.06937215
1368000	0.07994351
1371600	0.08898657
1375200	0.09116855
1378800	0.106916
1382400	0.1173769
1386000	0.1349243
1389600	0.1379467
1393200	0.1270745
1396800	0.1212632
1400400	0.1190068
1404000	0.1080392
1407600	0.1018168
1411200	0.1112058
1414800	0.0859575
1418400	0.09794343
1422000	0.1089978
1425600	0.1037749
1429200	0.1111854
1432800	0.1013142
1436400	0.1072898
1440000	0.09392763
1443600	0.08752879
1447200	0.09903587
1450800	0.1026335
1454400	0.1137999
