#1
#Source: Original data for 2014 (from 50HzNKZ) meassured every 15min, scaled by installed power (from BNAEEG).
double	default(35136, 2)
0	0.265522932
900	0.265454744
1800	0.268659566
2700	0.272137139
3600	0.259999727
4500	0.252430892
5400	0.259181475
6300	0.266682123
7200	0.262863611
8100	0.252703643
9000	0.249430633
9900	0.247657752
10800	0.257476782
11700	0.26825044
12600	0.273023579
13500	0.255976653
14400	0.245748496
15300	0.246157623
16200	0.238861538
17100	0.235793091
18000	0.23790691
18900	0.22720144
19800	0.218337038
20700	0.214791277
21600	0.217655161
22500	0.224337556
23400	0.223382929
24300	0.226315
25200	0.23224733
26100	0.229451634
27000	0.22304199
27900	0.222496488
28800	0.226178625
29700	0.226655938
30600	0.230883576
31500	0.226792314
32400	0.23224733
33300	0.240770794
34200	0.234020211
35100	0.215404967
36000	0.198835354
36900	0.199176292
37800	0.18260668
38700	0.173401339
39600	0.158740982
40500	0.151035771
41400	0.144148813
42300	0.137602793
43200	0.133034217
44100	0.12341975
45000	0.113191594
45900	0.109032144
46800	0.100235929
47700	0.090894214
48600	0.088166705
49500	0.086462013
50400	0.088439456
51300	0.086871139
52200	0.087689391
53100	0.078756802
54000	0.083802692
54900	0.094303599
55800	0.102145185
56700	0.109986772
57600	0.117078293
58500	0.128124702
59400	0.138557421
60300	0.14333056
61200	0.157718167
62100	0.177219851
63000	0.187038881
63900	0.197403412
64800	0.204222183
65700	0.209745387
66600	0.217109659
67500	0.229997136
68400	0.232997395
69300	0.242884613
70200	0.254885649
71100	0.270773385
72000	0.272682641
72900	0.267295812
73800	0.277728531
74700	0.284479114
75600	0.285092803
76500	0.280933353
77400	0.286661121
78300	0.297639342
79200	0.3128452
80100	0.327914684
81000	0.325528114
81900	0.308617562
82800	0.317072838
83700	0.340188471
84600	0.332005946
85500	0.333506076
86400	0.339165655
87300	0.340870348
88200	0.32832381
89100	0.340393034
90000	0.331528632
90900	0.320550411
91800	0.311754197
92700	0.313322514
93600	0.314822644
94500	0.313799828
95400	0.31195876
96300	0.307867498
97200	0.321505039
98100	0.331255881
99000	0.344757047
99900	0.345916238
100800	0.342029539
101700	0.345984426
102600	0.356621708
103500	0.359212841
104400	0.360985721
105300	0.372645819
106200	0.379396402
107100	0.379873716
108000	0.3827376
108900	0.382055723
109800	0.383487665
110700	0.395079575
111600	0.408512553
112500	0.417786082
113400	0.401693783
114300	0.390988313
115200	0.386965238
116100	0.380896532
117000	0.383964979
117900	0.395011387
118800	0.379191839
119700	0.373395884
120600	0.383010351
121500	0.38601061
122400	0.388806306
123300	0.397875271
124200	0.383760416
125100	0.38601061
126000	0.379532778
126900	0.371486628
127800	0.356076207
128700	0.34080216
129600	0.334597079
130500	0.336983649
131400	0.350416627
132300	0.351166692
133200	0.33902928
134100	0.334733454
135000	0.335551707
135900	0.333847014
136800	0.341484037
137700	0.329551189
138600	0.327096431
139500	0.33902928
140400	0.336301772
141300	0.342643228
142200	0.347893682
143100	0.346666303
144000	0.35539433
144900	0.351030316
145800	0.353348698
146700	0.376464331
147600	0.385669671
148500	0.389556371
149400	0.382942163
150300	0.385669671
151200	0.36964556
152100	0.352257695
153000	0.330437629
153900	0.32443711
154800	0.317959278
155700	0.317686527
156600	0.32000491
157500	0.324027984
158400	0.314549893
159300	0.315095395
160200	0.301935167
161100	0.296139212
162000	0.293343516
162900	0.285024616
163800	0.280115101
164700	0.273637269
165600	0.262249922
166500	0.24595306
167400	0.244248367
168300	0.240225292
169200	0.24117992
170100	0.241929985
171000	0.245475746
171900	0.247180438
172800	0.235656716
173700	0.230201699
174600	0.212950209
175500	0.20729063
176400	0.209540824
177300	0.217450598
178200	0.205654125
179100	0.193994027
180000	0.187788945
180900	0.187857133
181800	0.186970693
182700	0.195630532
183600	0.209131698
184500	0.209268073
185400	0.2141094
186300	0.228837945
187200	0.223451116
188100	0.233815648
189000	0.234974839
189900	0.238861538
190800	0.24622581
191700	0.251135325
192600	0.243498302
193500	0.250794387
194400	0.258363222
195300	0.257749533
196200	0.258499598
197100	0.267909501
198000	0.267023061
198900	0.267500375
199800	0.274523709
200700	0.271591637
201600	0.27895591
202500	0.30213973
203400	0.309708566
204300	0.319323032
205200	0.320345848
206100	0.334187953
207000	0.328391997
207900	0.327573745
208800	0.335415331
209700	0.341211286
210600	0.331869571
211500	0.332756011
212400	0.338483778
213300	0.326619117
214200	0.32089135
215100	0.314686268
216000	0.303708048
216900	0.287752124
217800	0.299139471
218700	0.301594229
219600	0.304594488
220500	0.312163323
221400	0.326278179
222300	0.33159682
223200	0.342779604
224100	0.36875912
225000	0.378782713
225900	0.383828603
226800	0.38751074
227700	0.402307472
228600	0.417513331
229500	0.43360563
230400	0.429105241
231300	0.426991422
232200	0.432855565
233100	0.428218801
234000	0.411240062
234900	0.407489738
235800	0.402580223
236700	0.406194171
237600	0.425900419
238500	0.432855565
239400	0.426036794
240300	0.411308249
241200	0.407967052
242100	0.417649706
243000	0.410830935
243900	0.398829899
244800	0.399920902
245700	0.40892168
246600	0.425082166
247500	0.446765857
248400	0.436128575
249300	0.408444366
250200	0.414444884
251100	0.452220874
252000	0.453448252
252900	0.446765857
253800	0.448334174
254700	0.494906378
255600	0.524772594
256500	0.514885376
257400	0.49129243
258300	0.464835599
259200	0.472063496
260100	0.482632591
261000	0.503361654
261900	0.482018902
262800	0.475609257
263700	0.445743041
264600	0.416013201
265500	0.411308249
266400	0.402512035
267300	0.407012424
268200	0.398693524
269100	0.402989349
270000	0.398693524
270900	0.399579964
271800	0.414240321
272700	0.424400289
273600	0.41396757
274500	0.402307472
275400	0.396852455
276300	0.389624558
277200	0.394056759
278100	0.396920643
279000	0.405989608
279900	0.415876826
280800	0.413285693
281700	0.409262618
282600	0.396852455
283500	0.381782972
284400	0.376055205
285300	0.351371255
286200	0.344757047
287100	0.350348439
288000	0.352666821
