#1	Original data for 2015 (from 50HzNKZ) meassured every 15min, scaled by installed power (from BNAEEG).
double	default(35040, 2)
0	0.238054326
900	0.240896173
1800	0.247967748
2700	0.248166017
3600	0.256559381
4500	0.268389399
5400	0.272751305
6300	0.276518406
7200	0.283457802
8100	0.284911771
9000	0.282796907
9900	0.280153328
10800	0.278435001
11700	0.266406715
12600	0.263300509
13500	0.260392572
14400	0.258608155
15300	0.257682903
16200	0.253651444
17100	0.24909127
18000	0.250148701
18900	0.250941775
19800	0.247901659
20700	0.243209305
21600	0.241094442
22500	0.243804111
23400	0.253188818
24300	0.259665587
25200	0.269446831
26100	0.265217104
27000	0.26825722
27900	0.268719847
28800	0.263366598
29700	0.265481462
30600	0.255898487
31500	0.253519265
32400	0.254576697
33300	0.263961404
34200	0.26832331
35100	0.261317824
36000	0.262970061
36900	0.26191263
37800	0.266010178
38700	0.270636442
39600	0.26442403
40500	0.264291851
41400	0.258277708
42300	0.266671073
43200	0.264159672
44100	0.273874827
45000	0.279756791
45900	0.282202102
46800	0.282664728
47700	0.291124182
48600	0.293106867
49500	0.28887714
50400	0.289802392
51300	0.288546692
52200	0.281409028
53100	0.284845681
54000	0.292379882
54900	0.296873967
55800	0.304738616
56700	0.315445113
57600	0.328729099
58500	0.353975283
59400	0.37221598
60300	0.389795783
61200	0.400171833
62100	0.418082083
63000	0.438569824
63900	0.441477761
64800	0.449474589
65700	0.462362038
66600	0.466129139
67500	0.472011103
68400	0.483510673
69300	0.485757716
70200	0.488335206
71100	0.489656996
72000	0.497918181
72900	0.504262772
73800	0.511069989
74700	0.520652964
75600	0.524948781
76500	0.526072302
77400	0.525345318
78300	0.535126561
79200	0.547154848
80100	0.548344458
81000	0.550855859
81900	0.561297997
82800	0.559381402
83700	0.570352257
84600	0.587337255
85500	0.593615756
86400	0.597713304
87300	0.585222391
88200	0.592492234
89100	0.603793536
90000	0.614500033
90900	0.6059084
91800	0.617870597
92700	0.631749389
93600	0.637234816
94500	0.624413456
95400	0.628048378
96300	0.635186042
97200	0.642984601
98100	0.645429912
99000	0.659242615
99900	0.673650122
100800	0.674178838
101700	0.682043487
102600	0.692948252
103500	0.693807415
104400	0.692089089
105300	0.69572401
106200	0.690965567
107100	0.68422444
108000	0.681184324
108900	0.686868019
109800	0.687198467
110700	0.684951424
111600	0.696583174
112500	0.705042628
113400	0.705769612
114300	0.703853017
115200	0.706893133
116100	0.717004825
117000	0.722556341
117900	0.727314784
118800	0.727446963
119700	0.726389531
120600	0.698565858
121500	0.694798758
122400	0.702861675
123300	0.709074086
124200	0.709338444
125100	0.706694865
126000	0.70728967
126900	0.703720838
127800	0.708677549
128700	0.704844359
129600	0.696517084
130500	0.691229925
131400	0.692948252
132300	0.689115062
133200	0.678540744
134100	0.678210297
135000	0.676161523
135900	0.681250413
136800	0.674244928
137700	0.673187496
138600	0.675963254
139500	0.678474655
140400	0.679201639
141300	0.666908995
142200	0.665785474
143100	0.672526601
144000	0.679399907
144900	0.676888507
145800	0.668957769
146700	0.648403939
147600	0.623223845
148500	0.611526006
149400	0.604256163
150300	0.615160928
151200	0.645496002
152100	0.672923138
153000	0.685678409
153900	0.689115062
154800	0.696054458
155700	0.702332959
156600	0.707025312
157500	0.70345648
158400	0.704447822
159300	0.706364417
160200	0.700548543
161100	0.701011169
162000	0.70213469
162900	0.698499769
163800	0.697706695
164700	0.697310158
165600	0.687661093
166500	0.686339303
167400	0.692353447
168300	0.702729496
169200	0.701672064
170100	0.705240896
171000	0.695856189
171900	0.695525742
172800	0.694336131
173700	0.685744498
174600	0.681977397
175500	0.693476968
176400	0.690304673
177300	0.684687066
178200	0.68680193
179100	0.682638292
180000	0.685678409
180900	0.683497456
181800	0.676293702
182700	0.672857048
183600	0.668693411
184500	0.662811447
185400	0.656136409
186300	0.645297733
187200	0.638820964
188100	0.630625867
189000	0.618531492
189900	0.61238517
190800	0.615755733
191700	0.609609411
192600	0.613310422
193500	0.602868284
194400	0.604322252
195300	0.631088494
196200	0.651642324
197100	0.655673782
198000	0.658053004
198900	0.657590377
199800	0.664529773
200700	0.680259071
201600	0.705174807
202500	0.707487939
203400	0.699491111
204300	0.699358932
205200	0.700350274
206100	0.69446831
207000	0.689643778
207900	0.688454167
208800	0.686603661
209700	0.686537572
210600	0.690304673
211500	0.689842046
212400	0.700218095
213300	0.709999339
214200	0.713303813
215100	0.71885533
216000	0.722291983
216900	0.723745952
217800	0.724208578
218700	0.724208578
219600	0.715947393
220500	0.715154319
221400	0.706100059
222300	0.684356619
223200	0.662679268
224100	0.648337849
225000	0.642720243
225900	0.638292248
226800	0.620976803
227700	0.610336395
228600	0.586742449
229500	0.566915604
230400	0.554490781
231300	0.542396405
232200	0.535126561
233100	0.523032186
234000	0.518802459
234900	0.52243738
235800	0.528649792
236700	0.526534928
237600	0.521578217
238500	0.521446038
239400	0.511664794
240300	0.50452713
241200	0.488070848
242100	0.476769546
243000	0.463485559
243900	0.457934043
244800	0.452712973
245700	0.449672857
246600	0.457934043
247500	0.460511533
248400	0.460577622
249300	0.458859295
250200	0.46474126
251100	0.470821492
252000	0.480338378
252900	0.490516159
253800	0.501222655
254700	0.506906351
255600	0.513052673
256500	0.536382262
257400	0.553763796
258300	0.556605644
259200	0.556737823
260100	0.561760624
261000	0.555019496
261900	0.566188619
262800	0.570484436
263700	0.581323111
264600	0.596193246
265500	0.592954861
266400	0.590575639
267300	0.607098011
268200	0.617936686
269100	0.620778534
270000	0.628841451
270900	0.624413456
271800	0.620381997
272700	0.62256295
273600	0.624876082
274500	0.631815478
275400	0.640671469
276300	0.641332364
277200	0.647082149
278100	0.643315049
279000	0.630758046
279900	0.630163241
280800	0.622827308
281700	0.620844624
282600	0.618267134
283500	0.619324565
284400	0.613376512
285300	0.600885599
286200	0.603859626
287100	0.605577953
288000	0.59943163
288900	0.593681845
289800	0.6071641
290700	0.603595268
291600	0.591897429
292500	0.585486749
293400	0.595466261
294300	0.596523693
295200	0.590377371
296100	0.58403278
297000	0.580794396
297900	0.577159474
298800	0.57127751
299700	0.564668561
300600	0.566981693
301500	0.577423832
302400	0.572599299
303300	0.570484436
304200	0.566783425
305100	0.563677219
306000	0.55706827
306900	0.55587866
307800	0.555614302
308700	0.551252396
309600	0.548014011
310500	0.5455687
311400	0.541933778
312300	0.536844888
313200	0.533606503
314100	0.530037671
315000	0.518802459
315900	0.523098275
316800	0.520652964
317700	0.50829423
318600	0.493820633
319500	0.496860749
320400	0.500363492
321300	0.505055846
322200	0.503007072
323100	0.499834776
324000	0.494878065
324900	0.493622365
325800	0.497191197
326700	0.495671139
327600	0.503073161
328500	0.517612848
329400	0.515233626
330300	0.516621506
331200	0.522173022
332100	0.520719054
333000	0.509285573
333900	0.502015729
334800	0.48390721
335700	0.470689313
336600	0.459718459
337500	0.450201573
338400	0.447888441
339300	0.429581654
340200	0.419073425
341100	0.418809067
342000	0.420461305
342900	0.421717005
343800	0.421188289
344700	0.421981363
345600	0.416694204
346500	0.406780781
347400	0.403278038
348300	0.405921618
349200	0.401427533
350100	0.402947591
351000	0.406648602
351900	0.413984535
352800	0.419007336
353700	0.414909788
354600	0.41722292
355500	0.417685546
356400	0.415306325
357300	0.407243408
358200	0.410019166
359100	0.411142687
360000	0.419139515
360900	0.428193774
361800	0.437248034
362700	0.471614566
363600	0.493622365
364500	0.514176195
365400	0.525345318
366300	0.523825259
367200	0.52508096
368100	0.537505783
369000	0.552508096
369900	0.562818056
370800	0.560901461
371700	0.571475778
372600	0.585024123
373500	0.595532351
374400	0.601480404
375300	0.609345053
376200	0.611988633
377100	0.62005155
378000	0.620778534
378900	0.614764391
379800	0.610072038
380700	0.6084198
381600	0.598374199
382500	0.601083868
383400	0.581058754
384300	0.56480074
385200	0.556671734
386100	0.542660763
387000	0.518273743
387900	0.499239971
388800	0.491044875
389700	0.476174741
390600	0.462758575
391500	0.443129998
392400	0.429317296
393300	0.416231578
394200	0.402088428
395100	0.385499967
396000	0.365078316
396900	0.348555945
397800	0.32866301
398700	0.312140638
399600	0.296213073
400500	0.278368912
401400	0.260062124
402300	0.2438702
403200	0.234683762
404100	0.222325028
405000	0.20666182
405900	0.196814487
406800	0.185579274
407700	0.17718591
408600	0.167470755
409500	0.158945212
410400	0.154252858
411300	0.149163968
412200	0.146256031
413100	0.136937413
414000	0.134095565
414900	0.131055449
415800	0.125503932
416700	0.118762805
417600	0.109047651
418500	0.102967418
419400	0.097415901
420300	0.093053995
421200	0.083999736
422100	0.077589056
423000	0.074152402
423900	0.069393959
424800	0.063578085
425700	0.058753552
426600	0.054127288
427500	0.050954993
428400	0.04751834
429300	0.044544313
430200	0.046593087
431100	0.04487476
432000	0.039389333
432900	0.032251669
433800	0.029409821
434700	0.027691494
435600	0.023660036
436500	0.020355561
437400	0.018505056
438300	0.017381535
439200	0.014804045
440100	0.012623092
441000	0.011301302
441900	0.01024387
442800	0.009649065
443700	0.008525544
444600	0.008195096
445500	0.008195096
446400	0.008789902
447300	0.009318617
448200	0.009979512
449100	0.011301302
450000	0.01414315
450900	0.017051087
451800	0.019562488
452700	0.021346904
453600	0.022999141
454500	0.023792215
455400	0.025510541
456300	0.02689842
457200	0.02689842
458100	0.026369705
459000	0.027030599
459900	0.029872447
460800	0.032516027
461700	0.03463089
462600	0.034829159
463500	0.036018769
464400	0.037935364
465300	0.04368515
466200	0.045205208
467100	0.048047056
468000	0.050360188
468900	0.053069857
469800	0.056836957
470700	0.059084
471600	0.065626859
472500	0.07183927
473400	0.079043024
474300	0.081686604
475200	0.081422246
476100	0.084594541
477000	0.086709405
477900	0.088229463
478800	0.094574053
479700	0.101909986
480600	0.110898156
481500	0.118894984
482400	0.125239574
483300	0.127684885
484200	0.134558192
485100	0.141431498
486000	0.144008988
486900	0.150023131
487800	0.157094706
488700	0.174211883
489600	0.189412464
490500	0.208115789
491400	0.221267596
492300	0.229462692
493200	0.242548411
494100	0.262573525
495000	0.278699359
495900	0.298922741
496800	0.31584165
497700	0.326151609
498600	0.337915538
499500	0.345846276
500400	0.34921684
501300	0.352124777
502200	0.358337189
503100	0.363426079
504000	0.359328531
504900	0.348820303
505800	0.339766043
506700	0.332297931
507600	0.328993457
508500	0.323045403
509400	0.323574119
510300	0.328927368
511200	0.331570947
512100	0.332760558
513000	0.329059547
513900	0.32086445
514800	0.31577556
515700	0.311083207
516600	0.306589122
517500	0.300707157
518400	0.291718988
519300	0.287423171
520200	0.292181614
521100	0.296080894
522000	0.28881105
522900	0.27209041
523800	0.262771793
524700	0.245059811
525600	0.2413588
526500	0.234088956
527400	0.238450862
528300	0.236996894
529200	0.242548411
530100	0.248694733
531000	0.255964576
531900	0.259070782
532800	0.257682903
533700	0.250082612
534600	0.240367458
535500	0.243275395
536400	0.2451259
537300	0.248232106
538200	0.248959091
539100	0.249157359
540000	0.242812768
540900	0.243209305
541800	0.248760822
542700	0.251404402
543600	0.251206133
544500	0.246117243
545400	0.249686075
546300	0.246117243
547200	0.245324169
548100	0.246645959
549000	0.240235279
549900	0.231643645
550800	0.228801798
551700	0.227876545
552600	0.22589386
553500	0.228933977
554400	0.229925319
555300	0.228008724
556200	0.223778997
557100	0.223977265
558000	0.224505981
558900	0.220672791
559800	0.216707422
560700	0.209569757
561600	0.203753883
562500	0.198532813
563400	0.193113476
564300	0.190205538
565200	0.186306259
566100	0.18617408
567000	0.183794858
567900	0.186438438
568800	0.187231511
569700	0.183200053
570600	0.174013614
571500	0.183332232
572400	0.1835305
573300	0.18868548
574200	0.185182737
575100	0.184984469
576000	0.185182737
576900	0.186702796
577800	0.190073359
578700	0.190271628
579600	0.197012755
580500	0.210362831
581400	0.226158218
582300	0.238516952
583200	0.252131386
584100	0.262903972
585000	0.273346111
585900	0.282202102
586800	0.283854339
587700	0.296940057
