#1	
# Sources:
# Power production from https://www.netztransparenz.de/Weitere-Veroeffentlichungen/Windenergie-Hochrechnung
# Installed capacities from https://www.netztransparenz.de/EEG/Anlagenstammdaten
double	default(35040, 2)
0	0.24450737
900	0.247426253
1800	0.25468952
2700	0.254893163
3600	0.26351405
4500	0.275664749
5400	0.280144896
6300	0.284014113
7200	0.291141618
8100	0.292635
9000	0.290462808
9900	0.287747568
10800	0.285982662
11700	0.273628319
12600	0.270437912
13500	0.267451148
14400	0.265618361
15300	0.264668027
16200	0.260527286
17100	0.255843497
18000	0.256929593
18900	0.257744165
19800	0.254621639
20700	0.249802088
21600	0.247629896
22500	0.250413017
23400	0.260052119
24300	0.266704457
25200	0.276750846
26100	0.272406461
27000	0.275528987
27900	0.276004154
28800	0.270505793
29700	0.272677985
30600	0.26283524
31500	0.260391524
32400	0.26147762
33300	0.271116722
34200	0.275596868
35100	0.268401482
36000	0.270098507
36900	0.269012411
37800	0.273221033
38700	0.277972704
39600	0.271591889
40500	0.271456127
41400	0.265278956
42300	0.273899843
43200	0.271320365
44100	0.281298873
45000	0.287340282
45900	0.289851879
46800	0.290327046
47700	0.299015814
48600	0.301052244
49500	0.29670786
50400	0.297658194
51300	0.296368455
52200	0.289037307
53100	0.292567119
54000	0.300305553
54900	0.304921461
55800	0.312999301
56700	0.323996023
57600	0.337640104
58500	0.363570647
59400	0.382305804
60300	0.40036215
61200	0.411019468
62100	0.429415219
63000	0.45045833
63900	0.453445094
64800	0.461658695
65700	0.474895491
66600	0.478764708
67500	0.484806117
68400	0.496617411
69300	0.498925365
70200	0.501572724
71100	0.502930344
72000	0.51141547
72900	0.517932046
73800	0.524923789
74700	0.534766534
75600	0.5391788
76500	0.540332777
77400	0.539586086
78300	0.549632474
79200	0.561986816
80100	0.563208674
81000	0.565788152
81900	0.576513351
82800	0.574544802
83700	0.585813048
84600	0.603258466
85500	0.609707161
86400	0.613704364
87300	0.600879273
88200	0.608343612
89100	0.619947266
90000	0.630940201
90900	0.62211871
91800	0.63440094
92700	0.648651041
93600	0.654283224
94500	0.641118845
95400	0.644851014
96300	0.652179638
97200	0.660186838
98100	0.66269757
99000	0.676879813
99900	0.691672776
100800	0.692215637
101700	0.700290694
102600	0.711487202
103500	0.712369351
104400	0.710605053
105300	0.714337223
106200	0.709451474
107100	0.702529996
108000	0.699408545
108900	0.705244301
109800	0.705583589
110700	0.70327643
111600	0.715219372
112500	0.723905148
113400	0.724651582
114300	0.722683711
115200	0.725805161
116100	0.736187378
117000	0.741887418
117900	0.746773168
118800	0.746908883
119700	0.745823161
120600	0.7172551
121500	0.713387216
122400	0.721665846
123300	0.728044463
124200	0.728315893
125100	0.725601588
126000	0.726212307
126900	0.722547995
127800	0.727637317
128700	0.723701575
129600	0.715151514
130500	0.709722904
131400	0.711487202
132300	0.70755146
133200	0.69669424
134100	0.696354952
135000	0.694251365
135900	0.699476403
136800	0.692283494
137700	0.691197772
138600	0.694047793
139500	0.696626382
140400	0.697372816
141300	0.684751298
142200	0.683597718
143100	0.690519196
144000	0.697576389
144900	0.694997799
145800	0.686854884
146700	0.665751163
147600	0.639897408
148500	0.627886608
149400	0.620422269
150300	0.631618777
151200	0.662765427
152100	0.690926342
153000	0.704022864
153900	0.70755146
154800	0.714676511
155700	0.721122985
156600	0.725940877
157500	0.722276565
158400	0.723294429
159300	0.7252623
160200	0.719290829
161100	0.719765833
162000	0.720919412
162900	0.717187243
163800	0.716372951
164700	0.715965806
165600	0.706058592
166500	0.70470144
167400	0.710876484
168300	0.721530131
169200	0.720444409
170100	0.724108721
171000	0.714472938
171900	0.71413365
172800	0.712912212
173700	0.704090721
174600	0.700222837
175500	0.712030063
176400	0.708772897
177300	0.703004999
178200	0.705176443
179100	0.700901413
180000	0.704022864
180900	0.701783562
181800	0.694387081
182700	0.690858484
183600	0.686583454
184500	0.680544125
185400	0.673690505
186300	0.662561854
187200	0.655911807
188100	0.647497462
189000	0.635079516
189900	0.628768757
190800	0.632229496
191700	0.625918737
192600	0.629718764
193500	0.618997259
194400	0.620490127
195300	0.647972465
196200	0.669076186
197100	0.673215502
198000	0.675658376
198900	0.675183373
199800	0.682308423
200700	0.698458538
201600	0.724040863
202500	0.72641588
203400	0.718205107
204300	0.718069392
205200	0.719087256
206100	0.713047928
207000	0.708094321
207900	0.706872884
208800	0.70497287
209700	0.704905013
210600	0.708772897
211500	0.708297894
212400	0.718951541
213300	0.72899447
214200	0.732387351
215100	0.738087391
216000	0.741615988
216900	0.743108856
217800	0.743583859
218700	0.743583859
219600	0.735101656
220500	0.734287364
221400	0.72499087
222300	0.702665711
223200	0.68040841
224100	0.665683305
225000	0.659915407
225900	0.655368946
226800	0.637590248
227700	0.626665171
228600	0.602439998
229500	0.582082711
230400	0.569325477
231300	0.556907532
232200	0.549443193
233100	0.537025247
234000	0.532682359
234900	0.536414529
235800	0.542793146
236700	0.540621702
237600	0.53553238
238500	0.535396664
239400	0.525353736
240300	0.518025112
241200	0.501128564
242100	0.48952491
243000	0.475885527
243900	0.470185486
244800	0.464824734
245700	0.461703283
246600	0.470185486
247500	0.472831934
248400	0.472899791
249300	0.471135493
250200	0.477174822
251100	0.483417723
252000	0.493189221
252900	0.503639296
253800	0.514632231
254700	0.520467987
255600	0.526778746
256500	0.550732488
257400	0.568579043
258300	0.571496921
259200	0.571632636
260100	0.576789816
261000	0.569868338
261900	0.581336277
262800	0.585747022
263700	0.596875673
264600	0.612143639
265500	0.608818615
266400	0.606375741
267300	0.623340147
268200	0.634468797
269100	0.637386675
270000	0.645665306
270900	0.641118845
271800	0.63697953
272700	0.639218831
273600	0.641593848
274500	0.648718899
275400	0.657811821
276300	0.658490397
277200	0.66439401
278100	0.660526126
279000	0.647633177
279900	0.647022458
280800	0.639490262
281700	0.637454533
282600	0.634808086
283500	0.635893808
284400	0.629786621
285300	0.61696153
286200	0.620015123
287100	0.621779422
288000	0.615468662
288900	0.609565049
289800	0.623408005
290700	0.619743693
291600	0.607732893
292500	0.601150703
293400	0.611397205
294300	0.612482927
295200	0.606172168
296100	0.599657836
297000	0.596332812
297900	0.592600643
298800	0.586561314
299700	0.579775551
300600	0.582150568
301500	0.592872073
302400	0.587918466
303300	0.585747022
304200	0.581946995
305100	0.578757687
306000	0.571971924
306900	0.570750487
307800	0.570479057
308700	0.566000453
309600	0.56267543
310500	0.560164698
311400	0.556432528
312300	0.551207491
313200	0.547882467
314100	0.544218156
315000	0.532682359
315900	0.537093105
316800	0.534582373
317700	0.521892997
318600	0.507032177
319500	0.510153628
320400	0.513750082
321300	0.518567973
322200	0.516464387
323100	0.513207221
324000	0.508117899
324900	0.506828604
325800	0.510492916
326700	0.50893219
327600	0.516532245
328500	0.531460922
