#1	Original data for 2015 (from AmprionNKZ) meassured every 15min, scaled by installed power (from BNAEEG).
double	default(35040, 2)
0	0.124415474
900	0.124698881
1800	0.126966133
2700	0.129233385
3600	0.124415474
4500	0.122573331
5400	0.121014595
6300	0.120731189
7200	0.119455859
8100	0.111945586
9000	0.109678334
9900	0.108828114
10800	0.113220915
11700	0.115204761
12600	0.116621794
13500	0.122998441
14400	0.125832507
15300	0.120872892
16200	0.120731189
17100	0.115204761
18000	0.118322233
18900	0.113646025
19800	0.10911152
20700	0.112654102
21600	0.119597563
22500	0.128099759
23400	0.140853054
24300	0.149496953
25200	0.162250248
26100	0.182372113
27000	0.193566671
27900	0.197534363
28800	0.200651835
29700	0.202210571
30600	0.196400737
31500	0.190590903
32400	0.176420575
33300	0.169477115
34200	0.163100468
35100	0.163808984
36000	0.160124699
36900	0.1645175
37800	0.169335412
38700	0.177129092
39600	0.181238487
40500	0.185772991
41400	0.192858155
42300	0.187756837
43200	0.19611733
44100	0.201785461
45000	0.206745076
45900	0.209437438
46800	0.214538756
47700	0.210996174
48600	0.207170186
49500	0.197250956
50400	0.191299419
51300	0.191157716
52200	0.198101176
53100	0.190732606
54000	0.190449199
54900	0.184639365
55800	0.188040244
56700	0.201643758
57600	0.216239195
58500	0.230551226
59400	0.251239904
60300	0.266260451
61200	0.272211988
62100	0.275896273
63000	0.291625337
63900	0.30650418
64800	0.320674508
65700	0.32294176
66600	0.329176704
67500	0.335128241
68400	0.3463228
69300	0.348590052
70200	0.357233952
71100	0.366019555
72000	0.380048179
72900	0.385858013
73800	0.391951254
74700	0.414198668
75600	0.423834491
76500	0.431911577
77400	0.43984696
78300	0.44849086
79200	0.442964432
80100	0.439138444
81000	0.4415474
81900	0.450474706
82800	0.451608332
83700	0.473430636
84600	0.488026073
85500	0.484625195
86400	0.484625195
87300	0.493694204
88200	0.504605356
89100	0.499504039
90000	0.515799915
90900	0.530820462
91800	0.537338813
92700	0.541731614
93600	0.563270512
94500	0.562987105
95400	0.565679467
96300	0.579141278
97200	0.581691937
98100	0.584100893
99000	0.59869633
99900	0.614425393
100800	0.620235227
101700	0.618676491
102600	0.630862973
103500	0.635680884
104400	0.656369562
105300	0.654669123
106200	0.662037693
107100	0.660053847
108000	0.67833357
108900	0.676491427
109800	0.671390109
110700	0.66841434
111600	0.667139011
112500	0.664730055
113400	0.659628737
114300	0.636531104
115200	0.634263851
116100	0.636105994
117000	0.632846819
117900	0.619101601
118800	0.600680176
119700	0.585092816
120600	0.5757404
121500	0.561428369
122400	0.556043645
123300	0.548391668
124200	0.536205186
125100	0.549383591
126000	0.557318974
126900	0.557885787
127800	0.555901941
128700	0.556327051
129600	0.564687544
130500	0.569788862
131400	0.568230126
132300	0.572339521
133200	0.57403996
134100	0.576307213
135000	0.57531529
135900	0.572481224
136800	0.55887771
137700	0.543573757
138600	0.523310188
139500	0.513532663
140400	0.5281281
141300	0.523451892
142200	0.522459969
143100	0.519625903
144000	0.521609749
144900	0.528411506
145800	0.538472439
146700	0.53507156
147600	0.526711067
148500	0.541731614
149400	0.544849086
150300	0.547258042
151200	0.547824855
152100	0.539747768
153000	0.527419583
153900	0.514099476
154800	0.494119314
155700	0.475697889
156600	0.470454868
157500	0.459260309
158400	0.455434321
159300	0.451891739
160200	0.453450475
161100	0.451183222
162000	0.457701573
162900	0.464645033
163800	0.461102451
164700	0.458551793
165600	0.442255916
166500	0.442822729
167400	0.44112229
168300	0.430352841
169200	0.428652402
170100	0.427093666
171000	0.428368995
171900	0.423551084
172800	0.418024656
173700	0.418733173
174600	0.410797789
175500	0.39308488
176400	0.373529829
177300	0.357659062
178200	0.361626754
179100	0.350007085
180000	0.341221482
180900	0.334278022
181800	0.32294176
182700	0.316565113
183600	0.309338246
184500	0.297435171
185400	0.291200227
186300	0.294601105
187200	0.29176704
188100	0.289924897
189000	0.290633414
189900	0.288932974
190800	0.273487318
191700	0.276746493
192600	0.282556327
193500	0.282131217
194400	0.282131217
195300	0.285815502
196200	0.280430778
197100	0.29134193
198000	0.301544566
198900	0.3159983
199800	0.326342639
200700	0.349015162
201600	0.366019555
202500	0.393226584
203400	0.406830098
204300	0.400028341
205200	0.405413065
206100	0.405271362
207000	0.389117189
207900	0.385432904
208800	0.383590761
209700	0.380048179
210600	0.390534221
211500	0.37749752
212400	0.361768457
213300	0.342496812
214200	0.314439564
215100	0.293750886
216000	0.278021822
216900	0.249964574
217800	0.228000567
218700	0.210571064
219600	0.191299419
220500	0.172452884
221400	0.160266402
222300	0.146662888
223200	0.145104152
224100	0.134759813
225000	0.127391243
225900	0.124982287
226800	0.125407397
227700	0.115771574
228600	0.110103443
229500	0.112795806
230400	0.107269378
231300	0.106985971
232200	0.105994048
233100	0.114071135
234000	0.114071135
234900	0.117046904
235800	0.120306079
236700	0.124698881
237600	0.124132067
238500	0.130083605
239400	0.13376789
240300	0.136176846
241200	0.139294318
242100	0.149638657
243000	0.161400028
243900	0.175570356
244800	0.194700298
245700	0.215247272
246600	0.250956497
247500	0.268952813
248400	0.27532946
249300	0.279580558
250200	0.288507865
251100	0.288224458
252000	0.275612867
252900	0.281422701
253800	0.269377923
