#1	
# Sources:
# Power production from https://www.netztransparenz.de/Weitere-Veroeffentlichungen/Windenergie-Hochrechnung
# Installed capacities from https://www.netztransparenz.de/EEG/Anlagenstammdaten
double	default(35040, 2)
0	0.126843609
900	0.127132546
1800	0.129444047
2700	0.131755548
3600	0.126843609
4500	0.124965514
5400	0.123376357
6300	0.12308742
7200	0.121787201
8100	0.114130354
9000	0.111818853
9900	0.11095204
10800	0.115430573
11700	0.117453136
12600	0.118897825
13500	0.125398921
14400	0.128288297
15300	0.123231889
16200	0.12308742
17100	0.117453136
18000	0.12063145
18900	0.11586398
19800	0.111240978
20700	0.114852698
21600	0.121931669
22500	0.130599798
23400	0.14360199
24300	0.152414587
25200	0.165416779
26100	0.185931349
27000	0.197344384
27900	0.201389511
28800	0.204567824
29700	0.206156981
30600	0.20023376
31500	0.194310539
32400	0.179863659
33300	0.172784688
34200	0.166283592
35100	0.167005936
36000	0.163249747
36900	0.16772828
37800	0.172640219
38700	0.180586003
39600	0.184775598
40500	0.1893986
41400	0.19662204
42300	0.191421163
43200	0.199944823
44100	0.205723575
45000	0.210779983
45900	0.21352489
46800	0.218725767
47700	0.215114047
48600	0.211213389
49500	0.201100573
50400	0.195032883
51300	0.194888415
52200	0.201967386
53100	0.194455008
54000	0.194166071
54900	0.18824285
55800	0.191710101
56700	0.205579106
57600	0.220459393
58500	0.235050742
59400	0.256143187
60300	0.27145688
61200	0.27752457
62100	0.281280759
63000	0.297316796
63900	0.31248602
64800	0.3269329
65700	0.329244401
66600	0.335601028
67500	0.341668718
68400	0.353081753
69300	0.355393254
70200	0.364205851
71100	0.373162917
72000	0.387465328
72900	0.393388549
73800	0.399600708
74700	0.42228231
75600	0.432106188
76500	0.44034091
77400	0.448431163
78300	0.45724376
79200	0.451609477
80100	0.447708819
81000	0.450164789
81900	0.459266323
82800	0.460422074
83700	0.482670269
84600	0.497550556
85500	0.494083305
86400	0.49391562
87300	0.503158485
88200	0.514278807
89100	0.509079696
90000	0.525687969
90900	0.540996465
91800	0.547639775
92700	0.552116788
93600	0.574068593
94500	0.573779753
95400	0.576523729
96300	0.590243607
97200	0.592843163
98100	0.595298299
99000	0.610173536
99900	0.626204131
100800	0.632125341
101700	0.630536724
102600	0.642956824
103500	0.647867096
104400	0.668952383
105300	0.667219346
106200	0.674729174
107100	0.672707297
108000	0.691337448
108900	0.689459991
109800	0.684260879
110700	0.681228064
111600	0.679928286
112500	0.67747315
113400	0.672274038
114300	0.648733615
115200	0.646422899
116100	0.648300356
117000	0.644978701
117900	0.630969983
118800	0.612195413
119700	0.596309238
120600	0.586777533
121500	0.572191136
122400	0.566703185
123300	0.558904517
124200	0.546484417
125100	0.559915455
126000	0.568002963
126900	0.568580642
127800	0.566558765
128700	0.566992024
129600	0.575512791
130500	0.580711902
131400	0.579123285
132300	0.583311458
133200	0.585044496
134100	0.587355212
135000	0.586344274
135900	0.583455878
136800	0.56959158
137700	0.553994245
138600	0.533342217
139500	0.523377253
