#1
# Sources:
# Power production from https://www.netztransparenz.de/Weitere-Veroeffentlichungen/Windenergie-Hochrechnung
# Installed capacities from https://www.netztransparenz.de/EEG/Anlagenstammdaten
double	default(35040, 2)
0	0.217496189
900	0.216990632
1800	0.218720171
2700	0.218507304
3600	0.219411986
4500	0.222604982
5400	0.222152641
6300	0.225638327
7200	0.229203838
8100	0.229150622
9000	0.228591848
9900	0.230188345
10800	0.230853552
11700	0.228139507
12600	0.227580732
13500	0.231119635
14400	0.233966723
15300	0.233407949
16200	0.230081912
17100	0.228059682
18000	0.235270529
18900	0.234099764
19800	0.232636308
20700	0.230986594
21600	0.233727248
22500	0.239527856
23400	0.251368547
24300	0.257248979
25200	0.257488454
26100	0.260681449
27000	0.265071818
27900	0.266215974
28800	0.263608361
29700	0.265098426
30600	0.254960666
31500	0.252512703
32400	0.249984915
33300	0.255333182
34200	0.256956288
35100	0.254667975
36000	0.258872085
36900	0.264140527
37800	0.271723891
38700	0.277630932
39600	0.282606683
40500	0.288300858
41400	0.291813152
42300	0.299130433
43200	0.300460848
44100	0.309986617
45000	0.312886921
45900	0.314270552
46800	0.316851556
47700	0.324062404
48600	0.322226432
49500	0.317277289
50400	0.308975502
51300	0.307219354
52200	0.302749161
53100	0.299715815
54000	0.296975161
54900	0.297853235
55800	0.303015244
56700	0.313791603
57600	0.325658901
58500	0.34220926
59400	0.357163121
60300	0.371105866
61200	0.380232511
62100	0.39178051
63000	0.406814196
63900	0.414477384
64800	0.424082978
65700	0.433582139
66600	0.440074563
67500	0.447498276
68400	0.458168202
69300	0.463489861
70200	0.470195151
71100	0.4761288
72000	0.48594726
72900	0.493557232
73800	0.501353462
74700	0.513220761
75600	0.520617866
76500	0.526498299
77400	0.531394225
78300	0.540760344
79200	0.548716224
80100	0.552654251
81000	0.551616528
81900	0.560344048
82800	0.562552536
83700	0.571785614
84600	0.583466655
85500	0.587537724
86400	0.590513699
87300	0.584023076
88200	0.590886112
89100	0.60275012
90000	0.610065371
90900	0.612220045
91800	0.621929379
92700	0.630947089
93600	0.638661354
94500	0.636293873
95400	0.640071203
96300	0.647891871
97200	0.654914513
98100	0.656377563
99000	0.66180415
99900	0.672896731
100800	0.673801162
101700	0.676966671
102600	0.682313455
103500	0.682526262
104400	0.688804078
105300	0.691357766
106200	0.691650376
107100	0.683377491
108000	0.6923686
108900	0.694549875
109800	0.695879921
110700	0.68042479
111600	0.68507995
112500	0.688325261
113400	0.687527234
114300	0.687341027
115200	0.693565641
116100	0.702982365
117000	0.707078906
117900	0.695826719
118800	0.695587311
119700	0.692581408
120600	0.67635485
121500	0.67257752
122400	0.674492786
123300	0.673614956
124200	0.672790327
125100	0.675264212
126000	0.676035639
126900	0.677498689
127800	0.680158781
128700	0.677897703
129600	0.677019873
130500	0.673934167
131400	0.674386382
132300	0.673641557
133200	0.672258309
134100	0.679467157
135000	0.677179478
135900	0.680025776
136800	0.671939098
137700	0.666884924
138600	0.661591342
139500	0.657707609
140400	0.663666214
141300	0.654089884
142200	0.652706637
143100	0.654994316
144000	0.657494801
144900	0.652892843
145800	0.643928335
146700	0.638155937
147600	0.634378607
148500	0.632090928
149400	0.637038698
150300	0.644220945
151200	0.653158852
152100	0.656404164
153000	0.658532237
153900	0.655100719
154800	0.653717472
155700	0.64813128
156600	0.648583495
157500	0.642545088
158400	0.641348046
159300	0.635017029
160200	0.628153993
161100	0.631372704
162000	0.632968758
162900	0.637118501
163800	0.635123432
164700	0.641587455
165600	0.632330336
166500	0.639858395
167400	0.645151977
168300	0.647652463
169200	0.646428821
170100	0.646455422
171000	0.641853464
171900	0.636746088
172800	0.633713584
173700	0.628286997
174600	0.627621975
175500	0.624270259
176400	0.615944173
177300	0.61003877
178200	0.607485082
179100	0.597004322
180000	0.591205323
180900	0.583517659
181800	0.567690114
182700	0.56348717
183600	0.556304923
184500	0.545398548
185400	0.540823191
186300	0.534039958
187200	0.531034054
188100	0.524969046
189000	0.527230124
189900	0.527522734
190800	0.529890215
191700	0.532576907
192600	0.538030095
193500	0.535423205
194400	0.544627122
195300	0.555107882
196200	0.561146289
197100	0.564444803
198000	0.567823119
198900	0.568754151
199800	0.573622118
200700	0.583225048
201600	0.596046689
202500	0.601819088
203400	0.599318602
204300	0.604984596
205200	0.610969802
206100	0.613204279
207000	0.612778664
207900	0.612033839
208800	0.602829922
209700	0.597935354
210600	0.605170803
211500	0.607644688
212400	0.609533353
213300	0.610118573
214200	0.607511683
215100	0.601872289
216000	0.603282138
216900	0.603494945
217800	0.596312698
218700	0.590513699
219600	0.574499949
220500	0.559364028
221400	0.547074406
222300	0.532576907
223200	0.522255753
224100	0.511030167
225000	0.500815416
225900	0.490893275
226800	0.47533174
227700	0.464052952
228600	0.445192904
229500	0.434153524
230400	0.43170624
231300	0.425854039
232200	0.411010729
233100	0.398880712
234000	0.397125051
234900	0.397311258
235800	0.397816675
236700	0.395183184
237600	0.386351681
238500	0.374195063
239400	0.362996078
240300	0.357383285
241200	0.339161659
242100	0.330596164
243000	0.325621793
243900	0.330808972
244800	0.338416833
245700	0.348126167
246600	0.360362588
247500	0.370470935
248400	0.384090603
249300	0.389623593
250200	0.395129983
251100	0.402950651
252000	0.401434399
252900	0.409414674
253800	0.411516146
254700	0.419523021
255600	0.428354525
256500	0.446310142
257400	0.459903209
258300	0.463574135
259200	0.461791874
260100	0.459371191
261000	0.460914044
261900	0.470171162
262800	0.478098235
263700	0.482540587
264600	0.497250893
265500	0.485280482
266400	0.479375079
267300	0.484189844
268200	0.497676508
269100	0.500443003
270000	0.497516902
270900	0.493500164
271800	0.490786871
272700	0.497117889
273600	0.500336599
274500	0.497516902
275400	0.499511971
276300	0.494936614
277200	0.493579967
278100	0.489217417
279000	0.485120876
279900	0.480731725
280800	0.48057212
281700	0.481077537
282600	0.483578023
283500	0.494005582
284400	0.485147477
285300	0.463919947
286200	0.457269719
287100	0.465622406
288000	0.463813544
288900	0.466447034
289800	0.476927794
290700	0.464717975
291600	0.453306182
292500	0.447879596
293400	0.444394876
294300	0.446868761
295200	0.445857926
296100	0.436388001
297000	0.431280625
