#1	
# Sources:
# Power production from https://www.tennettso.de/site/Transparenz/veroeffentlichungen/netzkennzahlen/tatsaechliche-und-prognostizierte-windenergieeinspeisung
# Installed capacities from https://www.netztransparenz.de/EEG/Anlagenstammdaten
double	default(35040, 2)
0	0.240221697
900	0.235975189
1800	0.232251328
2700	0.230095408
3600	0.226502209
4500	0.223366326
5400	0.219381142
6300	0.223170333
7200	0.225260922
8100	0.227155518
9000	0.228984783
9900	0.23532188
10800	0.23682449
11700	0.241593646
12600	0.242900263
13500	0.251915927
14400	0.259690303
15300	0.26165023
16200	0.257534384
17100	0.259363649
18000	0.275173725
18900	0.273605784
19800	0.274651078
20700	0.273475122
21600	0.279812218
22500	0.28725994
23400	0.300783435
24300	0.305356598
25200	0.290461154
26100	0.293401044
27000	0.296210273
27900	0.296210273
28800	0.294119684
29700	0.294772993
30600	0.281902807
31500	0.281053505
32400	0.280269535
33300	0.287325271
34200	0.2901345
35100	0.291310456
36000	0.301763399
36900	0.31352296
37800	0.32593583
38700	0.332272926
39600	0.348670981
40500	0.360691865
41400	0.371732786
42300	0.38368834
43200	0.385778928
44100	0.397146504
45000	0.39610121
45900	0.394859923
46800	0.3990411
47700	0.410278014
48600	0.40563952
49500	0.401915659
50400	0.383492347
51300	0.380487126
52200	0.373300728
53100	0.366048998
54000	0.351937525
54900	0.352068187
55800	0.35520407
56700	0.364350395
57600	0.373692713
58500	0.383165693
59400	0.39244268
60300	0.401850328
61200	0.411192646
62100	0.420665626
63000	0.429942613
63900	0.439350261
64800	0.44875791
65700	0.458165559
66600	0.467507877
67500	0.476850194
68400	0.486257843
69300	0.495600161
70200	0.50500781
71100	0.514415458
72000	0.523692445
72900	0.533100094
73800	0.542507743
74700	0.551850061
75600	0.561257709
76500	0.570600027
77400	0.580007676
78300	0.589349994
79200	0.598757642
80100	0.609341247
81000	0.603461467
81900	0.60953724
82800	0.616070329
83700	0.618095587
84600	0.623518051
85500	0.628744523
86400	0.631821904
87300	0.62306928
88200	0.626531139
89100	0.646518475
90000	0.646061248
90900	0.651417332
91800	0.660235274
92700	0.665656676
93600	0.668269399
94500	0.675127799
95400	0.679504111
96300	0.684794877
97200	0.690869459
98100	0.690608187
99000	0.68329256
99900	0.687930145
100800	0.687015692
101700	0.688256735
102600	0.685774648
103500	0.683488515
104400	0.691261368
105300	0.694396636
106200	0.694919181
107100	0.680614519
108000	0.697466586
108900	0.697793177
109800	0.704455622
110700	0.67029426
111600	0.670947441
112500	0.670490214
113400	0.669641079
114300	0.679438793
115200	0.690804141
116100	0.700732491
117000	0.704129032
117900	0.678328386
118800	0.686950374
119700	0.686558465
120600	0.676564797
121500	0.678654976
122400	0.678981566
123300	0.673298892
124200	0.677740523
125100	0.681986199
126000	0.680679837
126900	0.68708101
127800	0.689236507
128700	0.688126099
129600	0.689628415
130500	0.68466424
131400	0.684860195
132300	0.685056149
133200	0.691392004
134100	0.706349847
135000	0.70419435
135900	0.708113435
136800	0.701973535
137700	0.696617451
138600	0.690412233
139500	0.682770016
140400	0.688713962
141300	0.679569429
142200	0.678067113
143100	0.676172888
144000	0.675650344
144900	0.664742222
145800	0.650306924
146700	0.657818505
147600	0.678459022
148500	0.677413932
149400	0.693939409
150300	0.699687402
151200	0.691718594
152100	0.676499479
153000	0.675062481
153900	0.670882123
154800	0.669314489
155700	0.658406367
156600	0.656381507
157500	0.650698833
158400	0.65043756
159300	0.635283763
160200	0.624310323
161100	0.633062948
162000	0.632671039
162900	0.644101705
163800	0.642272799
164700	0.659451457
165600	0.653899419
166500	0.671469986
167400	0.67989602
168300	0.682704698
169200	0.681006427
170100	0.67885093
171000	0.677217978
171900	0.668073445
172800	0.662325453
173700	0.657687868
174600	0.664350314
175500	0.652397103
176400	0.643383206
177300	0.641750254
178200	0.631691268
179100	0.615427063
180000	0.601710264
180900	0.58916919
181800	0.56349918
182700	0.559841367
183600	0.549717062
184500	0.534955174
185400	0.534367311
186300	0.527247639
187200	0.527770183
188100	0.5224141
189000	0.540441893
189900	0.547822838
190800	0.558404369
191700	0.570096307
192600	0.577411933
193500	0.582180154
194400	0.602494081
195300	0.600991765
196200	0.598509677
197100	0.59772586
198000	0.597921814
198900	0.593806774
199800	0.59361082
200700	0.590998096
201600	0.589887689
202500	0.588711963
203400	0.583290562
204300	0.598966904
