#1 Original data for 2015 (from TennetNKZ) measured every 15min, scaled by installed power (from BNAEEG).
double	default(35136,2)
0	0.4661038
900	0.4631413
1800	0.4601787
2700	0.4611662
3600	0.4621538
4500	0.4631413
5400	0.4631413
6300	0.4621538
7200	0.4621538
8100	0.4621538
9000	0.4591912
9900	0.4572162
10800	0.4601787
11700	0.4651163
12600	0.4651163
13500	0.4661038
14400	0.4670913
15300	0.4670913
16200	0.4680788
17100	0.4680788
18000	0.4680788
18900	0.4680788
19800	0.4680788
20700	0.4680788
21600	0.4680788
22500	0.4680788
23400	0.4670913
24300	0.4670913
25200	0.4661038
26100	0.4661038
27000	0.4661038
27900	0.4670913
28800	0.4700538
29700	0.4700538
30600	0.4720288
31500	0.4730163
32400	0.4730163
33300	0.4730163
34200	0.4740039
35100	0.4730163
36000	0.4740039
36900	0.4710413
37800	0.4680788
38700	0.4720288
39600	0.4730163
40500	0.4730163
41400	0.4730163
42300	0.4740039
43200	0.4740039
44100	0.4740039
45000	0.4740039
45900	0.4730163
46800	0.4730163
47700	0.4740039
48600	0.4740039
49500	0.4740039
50400	0.4700538
51300	0.4710413
52200	0.4710413
53100	0.4710413
54000	0.4710413
54900	0.4710413
55800	0.4710413
56700	0.4710413
57600	0.4710413
58500	0.4700538
59400	0.4710413
60300	0.4710413
61200	0.4710413
62100	0.4700538
63000	0.4710413
63900	0.4700538
64800	0.4700538
65700	0.4700538
66600	0.4700538
67500	0.4700538
68400	0.4700538
69300	0.4700538
70200	0.4690663
71100	0.4690663
72000	0.4690663
72900	0.4680788
73800	0.4680788
74700	0.4680788
75600	0.4680788
76500	0.4680788
77400	0.4680788
78300	0.4641288
79200	0.4670913
80100	0.4680788
81000	0.4661038
81900	0.4611662
82800	0.4512912
83700	0.4463536
84600	0.4453661
85500	0.4187034
86400	0.3387153
87300	0.240952
88200	0.2202143
89100	0.2152767
90000	0.2172518
90900	0.2261393
91800	0.2251518
92700	0.2340394
93600	0.2320644
94500	0.2291019
95400	0.2291019
96300	0.2350269
97200	0.2478645
98100	0.2567521
99000	0.2814398
99900	0.307115
100800	0.2883523
101700	0.2814398
102600	0.2735397
103500	0.2903274
104400	0.3100775
105300	0.3505653
106200	0.3258776
107100	0.3574779
108000	0.4305535
108900	0.4424036
109800	0.4512912
110700	0.4542537
111600	0.4473411
112500	0.4424036
