#1 Original data for 2015 (from TennetNKZ) measured every 15min, scaled by installed power (from BNAEEG). Scaled to 4500 FLH (keeping maximum power) with transientee-sources\matlab\la\REF\changeFullLoadHours_RE.m	
double	default(35136, 2)
0	0.805584414
900	0.800464215
1800	0.795343844
2700	0.797050577
3600	0.798757483
4500	0.800464215
5400	0.800464215
6300	0.798757483
7200	0.798757483
8100	0.798757483
9000	0.793637112
9900	0.790223646
10800	0.795343844
11700	0.803877681
12600	0.803877681
13500	0.805584414
14400	0.807291146
15300	0.807291146
16200	0.808997879
17100	0.808997879
18000	0.808997879
18900	0.808997879
19800	0.808997879
20700	0.808997879
21600	0.808997879
22500	0.808997879
23400	0.807291146
24300	0.807291146
25200	0.805584414
26100	0.805584414
27000	0.805584414
27900	0.807291146
28800	0.812411344
29700	0.812411344
30600	0.81582481
31500	0.817531543
32400	0.817531543
33300	0.817531543
34200	0.819238448
35100	0.817531543
36000	0.819238448
36900	0.814118077
37800	0.808997879
38700	0.81582481
39600	0.817531543
40500	0.817531543
41400	0.817531543
42300	0.819238448
43200	0.819238448
44100	0.819238448
45000	0.819238448
45900	0.817531543
46800	0.817531543
47700	0.819238448
48600	0.819238448
49500	0.819238448
50400	0.812411344
51300	0.814118077
52200	0.814118077
53100	0.814118077
54000	0.814118077
54900	0.814118077
55800	0.814118077
56700	0.814118077
57600	0.814118077
58500	0.812411344
59400	0.814118077
60300	0.814118077
61200	0.814118077
62100	0.812411344
63000	0.814118077
63900	0.812411344
64800	0.812411344
65700	0.812411344
66600	0.812411344
67500	0.812411344
68400	0.812411344
69300	0.812411344
70200	0.810704612
71100	0.810704612
72000	0.810704612
72900	0.808997879
73800	0.808997879
74700	0.808997879
75600	0.808997879
76500	0.808997879
77400	0.808997879
78300	0.802170948
79200	0.807291146
80100	0.808997879
81000	0.805584414
81900	0.797050577
82800	0.77998325
83700	0.771449413
84600	0.769742681
85500	0.723660551
86400	0.585414164
87300	0.416446241
88200	0.380604509
89100	0.372070672
90000	0.37548431
90900	0.390844905
91800	0.389138172
92700	0.404498939
93600	0.401085474
94500	0.395965276
95400	0.395965276
96300	0.406205672
97200	0.42839337
98100	0.443754138
99000	0.486422802
99900	0.530798198
100800	0.498369931
101700	0.486422802
102600	0.472768767
103500	0.501783569
104400	0.535918396
105300	0.605894956
106200	0.563226293
107100	0.617842258
108000	0.744141517
108900	0.764622482
109800	0.77998325
110700	0.785103448
111600	0.773156146
112500	0.764622482
113400	0.771449413
114300	0.764622482
115200	0.771449413
116100	0.766329215
117000	0.72878075
117900	0.69976612
118800	0.660510922
119700	0.559812827
120600	0.534211664
121500	0.599068026
122400	0.657097457
123300	0.62978956
124200	0.645150155
125100	0.704886319
126000	0.68269862
126900	0.628082828
127800	0.607601862
128700	0.655390724
129600	0.663924388
130500	0.680991888
131400	0.684405353
132300	0.691232457
133200	0.725367284
134100	0.72878075
135000	0.69976612
135900	0.708299784
136800	0.76291575
137700	0.756088819
138600	0.756088819
139500	0.754381913
140400	0.752675181
141300	0.744141517
142200	0.749261715
143100	0.768035948
144000	0.776569784
144900	0.786810181
145800	0.773156146
146700	0.715126888
147600	0.749261715
148500	0.752675181
149400	0.774862879
150300	0.769742681
151200	0.750968448
152100	0.756088819
153000	0.769742681
153900	0.786810181
154800	0.790223646
155700	0.791930379
156600	0.790223646
157500	0.790223646
158400	0.795343844
159300	0.790223646
160200	0.790223646
161100	0.788516913
162000	0.766329215
162900	0.737314586
163800	0.72878075
164700	0.77998325
165600	0.76291575
166500	0.76291575
167400	0.790223646
168300	0.786810181
169200	0.797050577
170100	0.778276517
171000	0.739021319
171900	0.754381913
172800	0.776569784
173700	0.785103448
174600	0.793637112
175500	0.793637112
176400	0.793637112
177300	0.781689983
178200	0.785103448
179100	0.788516913
180000	0.793637112
180900	0.793637112
181800	0.791930379
182700	0.793637112
183600	0.793637112
184500	0.793637112
185400	0.793637112
186300	0.793637112
187200	0.793637112
188100	0.793637112
189000	0.793637112
189900	0.793637112
190800	0.793637112
191700	0.793637112
192600	0.793637112
193500	0.793637112
194400	0.793637112
195300	0.793637112
196200	0.793637112
197100	0.793637112
198000	0.793637112
198900	0.793637112
199800	0.793637112
200700	0.793637112
201600	0.793637112
202500	0.793637112
203400	0.793637112
204300	0.793637112
205200	0.793637112
206100	0.793637112
207000	0.793637112
207900	0.788516913
208800	0.785103448
209700	0.791930379
210600	0.793637112
211500	0.793637112
212400	0.793637112
213300	0.793637112
214200	0.793637112
215100	0.783396715
216000	0.566639931
216900	0.769742681
217800	0.802170948
218700	0.805584414
219600	0.803877681
220500	0.805584414
221400	0.793637112
222300	0.790223646
223200	0.795343844
224100	0.793637112
225000	0.793637112
225900	0.791930379
226800	0.785103448
227700	0.750968448
228600	0.725367284
229500	0.747554982
230400	0.72878075
231300	0.721953819
232200	0.723660551
233100	0.744141517
234000	0.730487482
234900	0.759502284
235800	0.744141517
236700	0.769742681
237600	0.793637112
238500	0.791930379
239400	0.795343844
240300	0.795343844
241200	0.795343844
242100	0.795343844
243000	0.795343844
243900	0.795343844
244800	0.795343844
245700	0.795343844
246600	0.795343844
247500	0.791930379
248400	0.795343844
249300	0.795343844
250200	0.797050577
251100	0.795343844
252000	0.797050577
252900	0.795343844
253800	0.797050577
254700	0.797050577
255600	0.797050577
256500	0.797050577
257400	0.795343844
258300	0.795343844
259200	0.795343844
260100	0.797050577
261000	0.797050577
261900	0.795343844
262800	0.795343844
263700	0.795343844
264600	0.795343844
265500	0.795343844
266400	0.795343844
267300	0.791930379
268200	0.788516913
269100	0.788516913
270000	0.785103448
270900	0.783396715
271800	0.76291575
272700	0.77998325
273600	0.791930379
274500	0.790223646
275400	0.776569784
276300	0.761209017
277200	0.776569784
278100	0.773156146
279000	0.786810181
279900	0.776569784
280800	0.778276517
281700	0.776569784
282600	0.761209017
283500	0.759502284
284400	0.749261715
285300	0.766329215
286200	0.769742681
287100	0.771449413
288000	0.761209017
288900	0.761209017
289800	0.776569784
290700	0.781689983
291600	0.749261715
292500	0.74584825
293400	0.759502284
294300	0.774862879
295200	0.764622482
296100	0.771449413
297000	0.76291575
297900	0.773156146
298800	0.77998325
299700	0.77998325
300600	0.76291575
301500	0.769742681
302400	0.740728051
303300	0.716833621
304200	0.756088819
305100	0.773156146
306000	0.752675181
306900	0.720247086
307800	0.704886319
308700	0.71171325
309600	0.768035948
310500	0.754381913
311400	0.735607853
312300	0.754381913
313200	0.739021319
314100	0.750968448
315000	0.733900948
315900	0.737314586
316800	0.69976612
317700	0.689525551
318600	0.704886319
319500	0.71171325
320400	0.733900948
321300	0.69976612
322200	0.694645922
323100	0.716833621
324000	0.737314586
324900	0.740728051
325800	0.730487482
326700	0.674164957
327600	0.658804189
328500	0.689525551
329400	0.691232457
330300	0.687818819
331200	0.689525551
332100	0.670751491
333000	0.66563112
333900	0.651977258
334800	0.616135526
335700	0.611015327
336600	0.624669189
337500	0.663924388
338400	0.701472853
339300	0.706593051
340200	0.721953819
341100	0.737314586
342000	0.737314586
342900	0.725367284
343800	0.704886319
344700	0.737314586
345600	0.740728051
346500	0.747554982
347400	0.732194215
348300	0.720247086
349200	0.723660551
350100	0.715126888
351000	0.715126888
351900	0.701472853
352800	0.706593051
353700	0.723660551
354600	0.720247086
355500	0.708299784
356400	0.69293919
357300	0.69293919
358200	0.686112086
359100	0.674164957
360000	0.645150155
360900	0.680991888
361800	0.716833621
362700	0.725367284
363600	0.706593051
364500	0.71171325
365400	0.696352655
366300	0.689525551
367200	0.68269862
368100	0.64856362
