#1 Original data for 2015 (from TennetNKZ) measured every 15min, scaled by installed power (from BNAEEG).
double	default(35136,2)
0	0.2401071
900	0.2358626
1800	0.2321405
2700	0.2299856
3600	0.2263941
4500	0.2232598
5400	0.2192765
6300	0.2230639
7200	0.2251535
8100	0.2270471
9000	0.2288755
9900	0.2352096
10800	0.2367115
11700	0.2414784
12600	0.2427844
13500	0.2517957
14400	0.2595664
15300	0.2615254
16200	0.2574115
17100	0.2592399
18000	0.2750424
18900	0.2734753
19800	0.27452
20700	0.2733447
21600	0.2796787
22500	0.2871229
23400	0.3006399
24300	0.3052109
25200	0.2903226
26100	0.2932611
27000	0.296069
27900	0.296069
28800	0.2939794
29700	0.2946324
30600	0.2817683
31500	0.2809194
32400	0.2801358
33300	0.2871882
34200	0.2899961
35100	0.2911715
36000	0.3016194
36900	0.3133734
37800	0.3257803
38700	0.3321144
39600	0.3485046
40500	0.3605198
41400	0.3715554
42300	0.3835053
43200	0.3855949
44100	0.396957
45000	0.3959122
45900	0.3946715
46800	0.3988507
47700	0.4100823
48600	0.405446
49500	0.4017239
50400	0.3833094
51300	0.3803056
52200	0.3731226
53100	0.3658744
54000	0.3517696
54900	0.3519002
55800	0.3550346
56700	0.3641766
57600	0.3735144
58500	0.3829829
59400	0.3922555
60300	0.4016586
61200	0.4109965
62100	0.4204649
63000	0.4297375
63900	0.4391407
64800	0.4485438
65700	0.457947
66600	0.4672848
67500	0.4766227
68400	0.4860259
69300	0.4953637
70200	0.5047669
71100	0.51417
72000	0.5234426
72900	0.5328458
73800	0.5422489
74700	0.5515868
75600	0.5609899
76500	0.5703278
77400	0.579731
78300	0.5890688
79200	0.598472
80100	0.6090505
81000	0.6031736
81900	0.6092464
82800	0.6157764
83700	0.6178007
84600	0.6232206
85500	0.6284446
86400	0.6316442
87300	0.6228941
88200	0.626355
89100	0.6463367
90000	0.6458796
90900	0.6512342
91800	0.6600496
92700	0.6654695
93600	0.6680815
94500	0.674938
95400	0.679313
96300	0.6846023
97200	0.6906752
98100	0.690414
99000	0.6831004
99900	0.6877367
100800	0.6868225
101700	0.6880632
102600	0.6855818
103500	0.6832963
104400	0.691067
105300	0.6942014
106200	0.6947238
107100	0.6804231
108000	0.6972705
108900	0.697597
109800	0.7042575
110700	0.6701058
111600	0.6707588
112500	0.6703017
113400	0.6694528
114300	0.6792477
115200	0.6906099
116100	0.7005355
117000	0.703931
117900	0.6781377
118800	0.6867572
119700	0.6863654
120600	0.6763746
121500	0.6784642
122400	0.6787906
123300	0.6731096
124200	0.67755
125100	0.6817944
126000	0.6804884
126900	0.6868878
127800	0.6890427
128700	0.6879326
129600	0.6894345
130500	0.6844717
131400	0.6846676
132300	0.6848635
133200	0.6911976
134100	0.7061512
135000	0.7039963
135900	0.7079143
136800	0.7017762
137700	0.6964216
138600	0.6902181
139500	0.682578
140400	0.6885203
141300	0.6793783
142200	0.6778765
143100	0.6759828
144000	0.6754604
144900	0.6645553
145800	0.6501241
146700	0.6576335
