#1 Original data for 2015 (from TennetNKZ) measured every 15min, scaled by installed power (from BNAEEG).  Scaled to 2050 FLH (keeping maximum power) with transientee-sources\matlab\la\REF\changeFullLoadHours_RE.m	
double	default(35136, 2)
0	0.272469472
900	0.267652885
1800	0.263429109
2700	0.260983765
3600	0.256908191
4500	0.253351441
5400	0.248831259
6300	0.253129137
7200	0.25550038
8100	0.257649205
9000	0.259724042
9900	0.266911872
10800	0.268616202
11700	0.2740256
12600	0.275507626
13500	0.285733497
14400	0.294551556
15300	0.296774596
16200	0.292106212
17100	0.294181049
18000	0.312113459
18900	0.31033514
19800	0.311520648
20700	0.310186937
21600	0.317374653
22500	0.325822205
23400	0.341161068
24300	0.346348162
25200	0.329453171
26100	0.332787731
27000	0.335974088
27900	0.335974088
28800	0.333602846
29700	0.334343859
30600	0.319745896
31500	0.318782579
32400	0.317893363
33300	0.325896307
34200	0.329082664
35100	0.330416488
36000	0.342272588
36900	0.355610828
37800	0.369689968
38700	0.376877798
39600	0.395477119
40500	0.409111765
41400	0.421634777
42300	0.435195321
43200	0.437566564
44100	0.450460082
45000	0.449274461
45900	0.447866536
46800	0.452609021
47700	0.465354451
48600	0.460093256
49500	0.45586948
50400	0.434973017
51300	0.431564356
52200	0.423413209
53100	0.415188074
54000	0.399182186
54900	0.399330389
55800	0.402887253
56700	0.41326144
57600	0.423857817
58500	0.43460251
59400	0.4451249
60300	0.455795378
61200	0.466391869
62100	0.477136449
63000	0.487658839
63900	0.498329431
64800	0.50899991
65700	0.519670502
66600	0.530266879
67500	0.54086337
68400	0.551533962
69300	0.562130339
70200	0.572800932
71100	0.58347141
72000	0.5939938
72900	0.604664392
73800	0.61533487
74700	0.625931361
75600	0.63660184
76500	0.647198331
77400	0.657868923
78300	0.6684653
79200	0.679135892
80100	0.691140195
81000	0.684471188
81900	0.691362499
82800	0.698772633
83700	0.701069774
84600	0.707220185
85500	0.713148291
86400	0.716779143
87300	0.706849678
88200	0.710777049
89100	0.733451944
90000	0.732933234
90900	0.739009544
91800	0.74901311
92700	0.755163521
93600	0.758127574
94500	0.765908214
95400	0.77087289
96300	0.776875098
97200	0.783766523
98100	0.783470117
99000	0.775170768
99900	0.780431963
100800	0.779394544
101700	0.780802469
102600	0.777986619
103500	0.775393072
104400	0.784211131
105300	0.787767995
106200	0.788360805
107100	0.772132613
108000	0.791250757
108900	0.791621264
109800	0.799179487
110700	0.760424716
111600	0.761165729
112500	0.76064702
113400	0.759683702
114300	0.770798789
115200	0.783692421
116100	0.794955824
117000	0.79880898
117900	0.76953918
118800	0.779320443
119700	0.778875835
120600	0.767538444
121500	0.769909687
122400	0.77028008
123300	0.763833377
124200	0.768872268
125100	0.773688741
126000	0.772206714
126900	0.779468645
127800	0.781913989
128700	0.780654267
129600	0.782358597
130500	0.776726896
131400	0.7769492
132300	0.777171504
133200	0.784359333
134100	0.801328425
135000	0.798883081
135900	0.803329161
136800	0.796363749
137700	0.79028744
138600	0.783247813
139500	0.774577957
140400	0.781321179
141300	0.770946992
142200	0.769242775
143100	0.767093836
144000	0.766501025
144900	0.754126102
145800	0.737749821
146700	0.746271361
147600	0.769687383
148500	0.768501761
149400	0.787249285
150300	0.793770203
151200	0.78472984
152100	0.767464343
153000	0.765834113
153900	0.761091628
154800	0.759313196
155700	0.746938273
156600	0.744641132
157500	0.738194429
158400	0.737898024
159300	0.720706514
160200	0.708257603
161100	0.718187069
162000	0.717742461
162900	0.730710194
163800	0.728635357
164700	0.748123894
165600	0.741825394
166500	0.76175854
167400	0.771317498
168300	0.774503856
169200	0.772577221
170100	0.770131877
171000	0.768279457
171900	0.75790527
172800	0.751384353
173700	0.746123158
174600	0.753681494
175500	0.740121064
176400	0.729895079
177300	0.728042546
178200	0.716630941
179100	0.698179822
180000	0.682618655
180900	0.668391199
181800	0.639269488
182700	0.635119813
183600	0.62363422
184500	0.606887432
185400	0.60622052
186300	0.598143474
187200	0.598736285
188100	0.592659976
189000	0.61311183
189900	0.621485281
190800	0.633489697
191700	0.646753723
192600	0.655053072
193500	0.66046247
194400	0.683507871
195300	0.68180354
196200	0.67898769
197100	0.678098474
198000	0.678320778
198900	0.673652394
199800	0.67343009
200700	0.670466036
201600	0.669206314
202500	0.66787249
203400	0.661722192
204300	0.679506399
205200	0.693215032
206100	0.707368387
207000	0.720854717
207900	0.721077021
208800	0.699143139
209700	0.686990634
210600	0.696253187
211500	0.710036035
212400	0.712333177
213300	0.714408014
214200	0.717964765
215100	0.706108665
216000	0.71085115
216900	0.725745405
217800	0.715667737
218700	0.705886361
219600	0.682692756
220500	0.652385424
221400	0.633563799
222300	0.624449335
223200	0.622078092
224100	0.612741324
225000	0.595401725
225900	0.572800932
226800	0.545605855
227700	0.529451764
228600	0.50625816
229500	0.495661783
230400	0.506035856
231300	0.501960283
232200	0.467503389
233100	0.444309785
234000	0.445791698
234900	0.44016011
235800	0.432675876
236700	0.42459883
237600	0.404146975
238500	0.367096422
239400	0.34456973
240300	0.336122291
241200	0.301368879
242100	0.284103268
243000	0.27847168
243900	0.2914393
244800	0.307222884
245700	0.326859624
246600	0.331972616
247500	0.348719404
248400	0.381768486
249300	0.395328917
250200	0.399033983
251100	0.415706784
252000	0.406592319
252900	0.414521162
253800	0.416521898
254700	0.429489518
255600	0.440308313
256500	0.457722013
257400	0.481730732
258300	0.492549527
259200	0.487140129
260100	0.477062348
261000	0.4910675
261900	0.501589776
262800	0.515891334
263700	0.52011511
264600	0.543753322
265500	0.509889126
266400	0.496402796
267300	0.485880407
268200	0.50625816
269100	0.508925808
270000	0.49603229
270900	0.496699202
271800	0.499811458
272700	0.510037328
273600	0.516113638
274500	0.504109222
275400	0.500255952
276300	0.489881879
277200	0.478396172
278100	0.470467443
279000	0.477877463
279900	0.465724957
280800	0.469430024
281700	0.470912051
282600	0.473801889
283500	0.49773662
284400	0.479137185
285300	0.437270158
286200	0.422449891
287100	0.446088104
288000	0.447199624
288900	0.456758696
289800	0.470245139
290700	0.441938542
291600	0.428377998
292500	0.42793339
293400	0.414002453
294300	0.425043438
295200	0.431712558
296100	0.41437296
297000	0.404295178
297900	0.406962826
298800	0.428526201
299700	0.436455044
300600	0.450756488
301500	0.462760904
302400	0.442679556
303300	0.457499709
304200	0.437270158
305100	0.438900388
306000	0.444976697
306900	0.43682555
307800	0.444235684
308700	0.450756488
309600	0.43845578
310500	0.435417625
311400	0.423857817
312300	0.412594528
313200	0.395180714
314100	0.384065627
315000	0.377322406
315900	0.366355408
316800	0.364651078
317700	0.362502252
318600	0.346125858
319500	0.330120083
320400	0.32774884
321300	0.314114195
322200	0.312261661
323100	0.316263133
324000	0.319078984
324900	0.317448755
325800	0.318782579
326700	0.32997188
327600	0.3255258
328500	0.320042301
329400	0.326563219
330300	0.324117875
331200	0.306926479
332100	0.32219124
333000	0.31218756
333900	0.315299816
334800	0.298701231
335700	0.301813487
336600	0.310112836
337500	0.306259567
338400	0.302258095
339300	0.301368879
340200	0.310261039
341100	0.316855944
342000	0.318412072
342900	0.309149519
343800	0.306926479
344700	0.307222884
345600	0.305222148
346500	0.316855944
347400	0.323969672
348300	0.330342387
349200	0.327971144
350100	0.324191976
351000	0.325674003
351900	0.320486909
352800	0.327822941
353700	0.332639528
354600	0.342865399
355500	0.339456737
356400	0.339901345
357300	0.339530839
358200	0.337233811
359100	0.346644567
360000	0.362576354
360900	0.376210886
361800	0.378582129
362700	0.388585809
363600	0.389252721
364500	0.399330389
365400	0.402368543
366300	0.399774997
367200	0.404813887
368100	0.412890933
369000	0.410445589
369900	0.407555637
370800	0.381916689
371700	0.373987846
372600	0.364502988
373500	0.341161068
374400	0.345088439
375300	0.337011507
376200	0.321894835
377100	0.311446547
378000	0.293217732
378900	0.287882436
379800	0.287956537
380700	0.285437092
381600	0.267430581
382500	0.25438886
383400	0.249127665
384300	0.248831259
385200	0.236604539
386100	0.233788689
387000	0.234529702
387900	0.229564913
388800	0.226675074
389700	0.221487981
390600	0.218375725
391500	0.211854807
392400	0.213262732
393300	0.205482092
394200	0.190661939
395100	0.182362589
396000	0.162058937
396900	0.148276203
397800	0.138198421
398700	0.129973173
399600	0.114189702
400500	0.104704743
401400	0.099517672
402300	0.09885076
403200	0.088402517
404100	0.089736341
405000	0.089143531
405900	0.088921227
406800	0.091662965
407700	0.09996228
408600	0.097887454
409500	0.097739251
410400	0.097146441
411300	0.098109758
412200	0.105001148
413100	0.107891089
414000	0.109817712
414900	0.101888904
415800	0.098183859
416700	0.096331326
417600	0.093589588
418500	0.09084785
419400	0.08625359
420300	0.085216171
421200	0.085364374
422100	0.084401068
423000	0.080399607
423900	0.076101753
424800	0.071729797
425700	0.069210351
426600	0.065505307
427500	0.059354919
428400	0.057576498
429300	0.056094472
430200	0.056168573
431100	0.054538355
432000	0.053945544
432900	0.050685097
433800	0.049944095
434700	0.047721055
435600	0.04512752
436500	0.044238315
437400	0.043274998
438300	0.038384332
439200	0.034975682
440100	0.033493667
441000	0.030307321
441900	0.031492931
442800	0.030900132
443700	0.029862713
444600	0.029418105
445500	0.029566308
446400	0.028825294
447300	0.031567032
448200	0.031715235
449100	0.031048334
450000	0.031789336
450900	0.032159843
451800	0.033567768
452700	0.035864898
453600	0.039125334
454500	0.042237579
455400	0.043349099
456300	0.048387967
457200	0.052167124
458100	0.055131166
459000	0.058910311
459900	0.059280818
460800	0.063208177
461700	0.066616816
462600	0.070914682
463500	0.075508942
464400	0.079288099
465300	0.08165933
466200	0.086401793
467100	0.094330601
468000	0.096775934
468900	0.098406163
469800	0.097887454
470700	0.096109022
471600	0.098480265
472500	0.09885076
473400	0.099591774
474300	0.09885076
475200	0.094552905
476100	0.083585953
477000	0.085883083
477900	0.090403242
478800	0.094404703
479700	0.09766515
480600	0.100258686
481500	0.103222728
482400	0.104704743
483300	0.102481714
484200	0.108113393
485100	0.114782513
486000	0.12537889
486900	0.136123584
487800	0.140050955
488700	0.139976853
489600	0.153240879
490500	0.159020783
491400	0.162799951
492300	0.164207876
493200	0.174211556
494100	0.173618746
495000	0.186660467
495900	0.187475582
496800	0.18903171
497700	0.193996499
498600	0.193181384
499500	0.189846824
500400	0.188068392
501300	0.190884243
502200	0.193551891
503100	0.193848296
504000	0.210965591
504900	0.212966327
505800	0.212299415
506700	0.1940706
507600	0.189550419
508500	0.187994291
509400	0.18406692
510300	0.185400744
511200	0.190661939
512100	0.188957608
513000	0.192218067
513900	0.19125475
514800	0.190365534
515700	0.189105811
516600	0.187105075
517500	0.180880563
518400	0.175026671
519300	0.17272953
520200	0.172655428
521100	0.167690639
522000	0.165615801
522900	0.174656164
523800	0.179769043
524700	0.187327379
525600	0.195552627
526500	0.200665619
527400	0.196664147
528300	0.198220275
529200	0.209113058
530100	0.212744023
531000	0.215115266
531900	0.216819596
532800	0.217708813
533700	0.222747703
534600	0.22756429
535500	0.232306662
536400	0.228008898
537300	0.224896642
538200	0.21200301
539100	0.217264204
540000	0.222525399
540900	0.228231202
541800	0.223711021
542700	0.223044109
543600	0.215782178
544500	0.206593612
545400	0.201925342
546300	0.198294376
547200	0.193922398
548100	0.188216595
549000	0.191995763
549900	0.196219539
550800	0.189402216
551700	0.181547475
552600	0.180361853
553500	0.177990611
554400	0.176508584
555300	0.173396442
556200	0.169765476
557100	0.175989875
558000	0.176656787
558900	0.180954664
559800	0.188290696
560700	0.199924606
561600	0.214374252
562500	0.217782914
563400	0.227712493
564300	0.235196614
565200	0.246682321
566100	0.261354271
567000	0.266467264
567900	0.255129873
568800	0.255722684
569700	0.240754214
570600	0.224526135
571500	0.21756061
572400	0.213781442
573300	0.214448354
574200	0.216004482
575100	0.21533757
576000	0.220969271
576900	0.228305303
577800	0.246015409
578700	0.244607483
579600	0.253796049
580500	0.265355744
581400	0.264096021
582300	0.269875925
583200	0.284918382
584100	0.301887588
585000	0.310853736
585900	0.319671795
586800	0.330935197
587700	0.345458946
588600	0.352794978
589500	0.36531799
590400	0.382287195
591300	0.403035455
592200	0.411927615
593100	0.424895236
594000	0.435862233
594900	0.452757224
595800	0.460834269
596700	0.465576755
597600	0.458907635
598500	0.470393341
599400	0.476247233
600300	0.479285388
601200	0.484768887
602100	0.492030817
603000	0.497588418
603900	0.49884814
604800	0.487881143
605700	0.493438743
606600	0.514483408
607500	0.52070792
608400	0.529896372
609300	0.538788533
610200	0.534490655
611100	0.532638122
612000	0.546791477
612900	0.562649049
613800	0.556350435
614700	0.557387854
615600	0.546717375
616500	0.55197857
617400	0.542419498
618300	0.539974154
619200	0.538269823
620100	0.537084202
621000	0.530933791
621900	0.528488447
622800	0.526413723
623700	0.520189211
624600	0.507814288
625500	0.501441573
626400	0.523597872
627300	0.531304298
628200	0.53589858
629100	0.537380607
630000	0.543160511
630900	0.546198666
631800	0.549977834
632700	0.558128867
633600	0.557758361
634500	0.543160511
635400	0.534490655
636300	0.543679221
637200	0.556128131
638100	0.557239651
639000	0.545828159
639900	0.553386495
640800	0.545235349
641700	0.538862634
642600	0.535379871
643500	0.539159039
644400	0.534046047
645300	0.518336678
646200	0.510481936
647100	0.489659575
648000	0.467429288
648900	0.449496765
649800	0.431712558
650700	0.418744938
651600	0.394884309
652500	0.384806641
653400	0.379990054
654300	0.376729595
655200	0.39273537
656100	0.398515274
657000	0.392809471
657900	0.36346557
658800	0.344866135
659700	0.330268285
660600	0.331157501
661500	0.329230867
662400	0.317078248
663300	0.316337235
664200	0.325007091
665100	0.341235169
666000	0.349089911
666900	0.341012865
667800	0.342420791
668700	0.35738926
669600	0.369689968
670500	0.38310231
671400	0.397996565
672300	0.423709614
673200	0.439122692
674100	0.471060253
675000	0.495587682
675900	0.529822271
676800	0.557536057
677700	0.567317433
678600	0.574208857
679500	0.575913188
680400	0.578062126
681300	0.601329832
682200	0.612963628
683100	0.615557174
684000	0.601922642
684900	0.608147041
685800	0.622670903
686700	0.622300396
687600	0.607406141
688500	0.616816897
689400	0.617039201
690300	0.628747212
691200	0.640084603
692100	0.631933569
693000	0.639121285
693900	0.644752987
694800	0.611852108
695700	0.619855052
696600	0.614297452
697500	0.591029746
698400	0.575098073
699300	0.558647577
700200	0.58732468
701100	0.599921906
702000	0.620670167
702900	0.645419899
703800	0.683359668
704700	0.700254659
705600	0.6969942
706500	0.727746141
707400	0.724411581
708300	0.726560519
709200	0.747975692
710100	0.761610337
711000	0.774133349
711900	0.767908951
712800	0.792880987
713700	0.793103291
714600	0.795029925
715500	0.810454413
716400	0.810454413
717300	0.810454413
718200	0.810454413
719100	0.810454413
720000	0.810454413
720900	0.810454413
721800	0.810454413
722700	0.810454413
723600	0.810454413
724500	0.810454413
725400	0.810454413
726300	0.810454413
727200	0.810454413
728100	0.810454413
729000	0.810454413
729900	0.802662249
730800	0.810454413
731700	0.800068703
732600	0.810454413
733500	0.810454413
734400	0.810454413
735300	0.810454413
736200	0.810454413
737100	0.810454413
738000	0.810454413
738900	0.810454413
739800	0.810454413
740700	0.810454413
741600	0.810454413
742500	0.810454413
743400	0.810454413
744300	0.810454413
745200	0.810454413
746100	0.810454413
747000	0.810454413
747900	0.810454413
748800	0.810454413
749700	0.810454413
750600	0.810454413
751500	0.810454413
752400	0.810454413
753300	0.810454413
754200	0.810454413
755100	0.810454413
756000	0.810454413
756900	0.810454413
757800	0.810454413
758700	0.810454413
759600	0.810454413
760500	0.810454413
761400	0.810454413
762300	0.810454413
763200	0.788286704
764100	0.756423244
765000	0.717890663
765900	0.664612031
766800	0.612370817
767700	0.588658504
768600	0.555461219
769500	0.50959272
770400	0.468911315
771300	0.451868008
772200	0.437418361
773100	0.423635513
774000	0.414669365
