#1	Original data for 2015 (from TransnetNKZ) meassured every 15min, scaled by installed power (from BNAEEG).
double	default(35040, 2)
0	0.026645768
900	0.028213166
1800	0.026645768
2700	0.036050157
3600	0.029780564
4500	0.032915361
5400	0.015673981
6300	0.043887147
7200	0.053291536
8100	0.053291536
9000	0.051724138
9900	0.065830721
10800	0.061128527
11700	0.05015674
12600	0.043887147
13500	0.034482759
14400	0.026645768
15300	0.023510972
16200	0.023510972
17100	0.029780564
18000	0.015673981
18900	0.017241379
19800	0.028213166
20700	0.031347962
21600	0.014106583
22500	0.018808777
23400	0.028213166
24300	0.015673981
25200	0.014106583
26100	0.009404389
27000	0.004702194
27900	0.017241379
28800	0.006269592
29700	0.010971787
30600	0.014106583
31500	0.010971787
32400	0.012539185
33300	0.012539185
34200	0.007836991
35100	0.003134796
36000	0.001567398
36900	0.006269592
37800	0.004702194
38700	0.004702194
39600	0.006269592
40500	0.006269592
41400	0.012539185
42300	0.014106583
43200	0.009404389
44100	0.004702194
45000	0.006269592
45900	0.029780564
46800	0.014106583
47700	0.007836991
48600	0.006269592
49500	0.014106583
50400	0.010971787
51300	0.010971787
52200	0.012539185
53100	0.007836991
54000	0.009404389
54900	0.015673981
55800	0.020376176
56700	0.031347962
57600	0.029780564
58500	0.020376176
59400	0.017241379
60300	0.029780564
61200	0.031347962
62100	0.018808777
63000	0.021943574
63900	0.014106583
64800	0.007836991
65700	0.010971787
66600	0.010971787
67500	0.018808777
68400	0.02507837
69300	0.036050157
70200	0.048589342
71100	0.043887147
72000	0.048589342
72900	0.056426332
73800	0.061128527
74700	0.062695925
75600	0.064263323
76500	0.070532915
77400	0.062695925
78300	0.062695925
79200	0.081504702
80100	0.073667712
81000	0.067398119
81900	0.089341693
82800	0.095611285
83700	0.089341693
84600	0.0830721
85500	0.086206897
86400	0.097178683
87300	0.120689655
88200	0.148902821
89100	0.156739812
90000	0.164576803
90900	0.200626959
91800	0.205329154
92700	0.228840125
93600	0.252351097
94500	0.255485893
95400	0.257053292
96300	0.272727273
97200	0.327586207
98100	0.335423197
99000	0.34169279
99900	0.368338558
100800	0.36677116
101700	0.354231975
102600	0.335423197
103500	0.329153605
104400	0.324451411
105300	0.332288401
106200	0.368338558
107100	0.405956113
108000	0.401253918
108900	0.407523511
109800	0.37460815
110700	0.369905956
111600	0.36677116
