#1	
# Sources:
# Power production from https://www.netztransparenz.de/Weitere-Veroeffentlichungen/Windenergie-Hochrechnung
# Installed capacities from https://www.netztransparenz.de/EEG/Anlagenstammdaten
double	default(35040, 2)
0	0.027331114
900	0.028938827
1800	0.027331114
2700	0.03697739
3600	0.03054654
4500	0.033761965
5400	0.016077126
6300	0.045015953
7200	0.054662229
8100	0.054662229
9000	0.053054516
9900	0.06752393
10800	0.062700792
11700	0.051446804
12600	0.045015953
13500	0.035369678
14400	0.027331114
15300	0.024115689
16200	0.024115689
17100	0.03054654
18000	0.016077126
18900	0.017684839
19800	0.028938827
20700	0.032154252
21600	0.014469414
22500	0.019292551
23400	0.028938827
24300	0.016077126
25200	0.014469414
26100	0.009646276
27000	0.004823138
27900	0.017684839
28800	0.00643085
29700	0.011253988
30600	0.014469414
31500	0.011253988
32400	0.012861701
33300	0.012861701
34200	0.008038563
35100	0.003215425
36000	0.001607713
36900	0.00643085
37800	0.004823138
38700	0.004823138
39600	0.00643085
40500	0.00643085
41400	0.012861701
42300	0.014469414
43200	0.009646276
44100	0.004823138
45000	0.00643085
45900	0.03054654
46800	0.014469414
47700	0.008038563
48600	0.00643085
49500	0.014469414
50400	0.011253988
51300	0.011253988
52200	0.012861701
53100	0.008038563
54000	0.009646276
54900	0.016077126
55800	0.020900264
56700	0.032154252
57600	0.03054654
58500	0.020900264
59400	0.017684839
60300	0.03054654
61200	0.032154252
62100	0.019292551
63000	0.022507977
63900	0.014469414
64800	0.008038563
65700	0.011253988
66600	0.011253988
67500	0.019292551
68400	0.025723402
69300	0.03697739
70200	0.049839091
71100	0.045015953
72000	0.049839091
72900	0.057877654
73800	0.062700792
74700	0.064308505
75600	0.065916217
76500	0.072347068
77400	0.064308505
78300	0.064308505
79200	0.083601056
80100	0.075562493
81000	0.069131642
81900	0.091639619
82800	0.098070469
83700	0.091639619
84600	0.085208769
85500	0.088424194
86400	0.099678182
87300	0.123793871
88200	0.152732698
89100	0.160771261
90000	0.168809824
90900	0.205787215
91800	0.210610352
92700	0.234726042
93600	0.258841731
94500	0.262057156
95400	0.263664869
96300	0.279741995
97200	0.336011936
98100	0.344050499
99000	0.35048135
99900	0.377812464
100800	0.376204752
101700	0.363343051
102600	0.344050499
103500	0.337619649
104400	0.332796511
105300	0.340835074
106200	0.377812464
107100	0.416397567
108000	0.411574429
108900	0.41800528
109800	0.384243315
110700	0.379420177
111600	0.376204752
112500	0.405143579
113400	0.41800528
114300	0.474275221
115200	0.5225066
116100	0.580384254
117000	0.646300471
