#1	
# Quelle Ziems2012a, normalized to 1J yearly energy generation (multiply with installed power and full load hours) 
# old version was smoothed with Matlab: smooth(...,100)
double	default(35136, 2)
0	2.94953E-08
900	2.94953E-08
1800	2.94953E-08
2700	2.94953E-08
3600	2.94953E-08
4500	2.94953E-08
5400	2.94953E-08
6300	2.94953E-08
7200	2.94954E-08
8100	2.94957E-08
9000	2.94959E-08
9900	2.94961E-08
10800	2.94963E-08
11700	2.94964E-08
12600	2.94965E-08
13500	2.94966E-08
14400	2.94967E-08
15300	2.94968E-08
16200	2.94968E-08
17100	2.9497E-08
18000	2.94972E-08
18900	2.94973E-08
19800	2.94975E-08
20700	2.94976E-08
21600	2.94978E-08
22500	2.94979E-08
23400	2.9498E-08
24300	2.94981E-08
25200	2.94982E-08
26100	2.94983E-08
27000	2.94985E-08
27900	2.94986E-08
28800	2.94988E-08
29700	2.94989E-08
30600	2.94991E-08
31500	2.94992E-08
32400	2.94993E-08
33300	2.94994E-08
34200	2.94995E-08
35100	2.94997E-08
36000	2.94998E-08
36900	2.95E-08
37800	2.95001E-08
38700	2.95003E-08
39600	2.95004E-08
40500	2.95005E-08
41400	2.95007E-08
42300	2.95008E-08
43200	2.95009E-08
44100	2.95011E-08
45000	2.95012E-08
45900	2.95014E-08
46800	2.95015E-08
47700	2.95016E-08
48600	2.95018E-08
49500	2.95019E-08
50400	2.95021E-08
51300	2.95022E-08
52200	2.95023E-08
53100	2.95025E-08
54000	2.95026E-08
54900	2.95028E-08
55800	2.95029E-08
56700	2.9503E-08
57600	2.95032E-08
58500	2.95033E-08
59400	2.95035E-08
60300	2.95036E-08
61200	2.95037E-08
62100	2.95039E-08
63000	2.9504E-08
63900	2.95042E-08
64800	2.95043E-08
65700	2.95044E-08
66600	2.95046E-08
67500	2.95047E-08
68400	2.95049E-08
69300	2.9505E-08
70200	2.95051E-08
71100	2.95053E-08
72000	2.95054E-08
72900	2.95056E-08
73800	2.95057E-08
74700	2.95059E-08
75600	2.9506E-08
76500	2.95062E-08
77400	2.95064E-08
78300	2.95065E-08
79200	2.95067E-08
80100	2.95068E-08
81000	2.9507E-08
81900	2.95071E-08
82800	2.95072E-08
83700	2.95074E-08
84600	2.95075E-08
85500	2.95077E-08
86400	2.95078E-08
87300	2.9508E-08
88200	2.95081E-08
89100	2.95082E-08
90000	2.95084E-08
90900	2.95086E-08
91800	2.95087E-08
92700	2.95089E-08
93600	2.95091E-08
94500	2.95092E-08
95400	2.95094E-08
96300	2.95096E-08
97200	2.95097E-08
98100	2.95099E-08
99000	2.951E-08
99900	2.95102E-08
100800	2.95103E-08
101700	2.95104E-08
102600	2.95106E-08
103500	2.95107E-08
104400	2.95109E-08
105300	2.95111E-08
106200	2.95112E-08
107100	2.95114E-08
108000	2.95116E-08
108900	2.95117E-08
109800	2.95119E-08
110700	2.95121E-08
111600	2.95122E-08
112500	2.95124E-08
113400	2.95126E-08
114300	2.95127E-08
115200	2.95129E-08
116100	2.9513E-08
117000	2.95132E-08
117900	2.95133E-08
118800	2.95135E-08
119700	2.95137E-08
120600	2.95138E-08
121500	2.9514E-08
122400	2.95142E-08
123300	2.95143E-08
124200	2.95145E-08
125100	2.95147E-08
126000	2.95149E-08
126900	2.9515E-08
127800	2.95152E-08
128700	2.95154E-08
129600	2.95155E-08
130500	2.95157E-08
131400	2.95159E-08
132300	2.9516E-08
