#1	
#H0 profile from Stromnetz Hamburg for Hamburg in 2012 normalized to 1 kWh; multiply by yearly electricity demand in kWh; Source: StromnetzHamburgGmbH2015	
double	default(35136, 2)
0	131040
900	127756
1800	124068
2700	119648
3600	114344
4500	108564
5400	102724
6300	97100
7200	91776
8100	87176
9000	83464
9900	80512
10800	78156
11700	76212
12600	74868
13500	74276
14400	74352
15300	74888
16200	75620
17100	76152
18000	76236
18900	75916
19800	75508
20700	75620
21600	76452
22500	77280
23400	77996
24300	78508
25200	78540
26100	77700
27000	76244
27900	75468
28800	76384
29700	79032
30600	83124
31500	88324
32400	94120
33300	99944
34200	105688
35100	111368
36000	116776
36900	122044
37800	127616
38700	133652
39600	139804
40500	145732
41400	151304
42300	156568
43200	161292
44100	164908
45000	167404
45900	169468
46800	171164
47700	171872
48600	171584
49500	170756
50400	169680
51300	169256
52200	170036
53100	172132
54000	175004
54900	177604
55800	179868
56700	182484
57600	185660
58500	189752
59400	194284
60300	198528
61200	201748
62100	203568
63000	204248
63900	204564
64800	205072
65700	205876
66600	207252
67500	209460
68400	212072
69300	213540
70200	213004
71100	210684
72000	206756
72900	201412
73800	196096
74700	192452
75600	190544
76500	188960
77400	186600
78300	182896
79200	177344
80100	170396
81000	162176
81900	152984
82800	143432
83700	133832
84600	124236
85500	114228
86400	108272
87300	99316
88200	91008
89100	83644
90000	76980
90900	71000
91800	65760
92700	61468
93600	58076
94500	55648
95400	54184
96300	53544
97200	53384
98100	53732
99000	55008
99900	57336
100800	60236
101700	63288
102600	66292
103500	68940
104400	71536
105300	74372
106200	78004
107100	83332
108000	90512
108900	98412
109800	106168
110700	113152
111600	118868
112500	122712
113400	124576
114300	125876
115200	127420
116100	128996
117000	129908
117900	130084
118800	129904
119700	129696
120600	129624
121500	129940
122400	130624
123300	131224
124200	131792
125100	132924
126000	134784
126900	137024
127800	139384
128700	141824
129600	144004
130500	145488
131400	146240
132300	146680
133200	146812
134100	146240
135000	145080
135900	144092
136800	143640
137700	143984
138600	145176
139500	147180
140400	149732
141300	152036
142200	154364
143100	157784
144000	162796
144900	168756
145800	174872
146700	180944
147600	186432
148500	190312
149400	192624
150300	194408
151200	196040
152100	198060
153000	200892
153900	204684
154800	208564
155700	211572
156600	213416
157500	214056
158400	213388
159300	210944
160200	207232
161100	203532
162000	200868
162900	198464
163800	195524
164700	191892
165600	186908
166500	180032
167400	170988
168300	160232
169200	148696
170100	137580
171000	127380
171900	117696
172800	107592
173700	99084
174600	91060
175500	83768
176400	77032
177300	70992
178200	65852
179100	61712
180000	58452
180900	56088
181800	54484
182700	53540
183600	53152
184500	53456
185400	54784
186300	57056
187200	59684
188100	62436
189000	65436
189900	68460
190800	71624
191700	74800
192600	78320
193500	83232
194400	89976
195300	97628
196200	105264
197100	112372
198000	118404
198900	122596
199800	124624
200700	125756
201600	127012
202500	128328
203400	128976
204300	129140
205200	129188
206100	129032
207000	128640
207900	128640
208800	129292
209700	129936
210600	130584
211500	131808
212400	133828
213300	136368
214200	139200
215100	142200
216000	144740
216900	146224
217800	146788
218700	147212
219600	147364
220500	146640
221400	145472
222300	145052
223200	145596
224100	146844
225000	148456
225900	150128
226800	151788
227700	153472
228600	155868
229500	160012
230400	165844
231300	171864
232200	177000
233100	181308
234000	185008
