#1
# Standard load profile gas for multi-family houses in Hamburg 2012 scaled to 1J. Calculation based on Bdew2013b)
double	default(8784,2)
0	1.63177e-08
3600	1.788534e-08
7200	1.681649e-08
10800	1.824162e-08
14400	2.465469e-08
18000	3.676826e-08
21600	3.740957e-08
25200	3.598444e-08
28800	3.505811e-08
32400	3.306293e-08
36000	3.185157e-08
39600	3.085398e-08
43200	3.028393e-08
46800	2.98564e-08
50400	2.98564e-08
54000	3.071147e-08
57600	3.242162e-08
61200	3.413178e-08
64800	3.55569e-08
68400	3.655449e-08
72000	3.619821e-08
75600	3.299167e-08
79200	2.814624e-08
82800	2.08781e-08
86400	1.830942e-08
90000	2.00684e-08
93600	1.88691e-08
97200	2.046817e-08
100800	2.766401e-08
104400	4.125616e-08
108000	4.197574e-08
111600	4.037667e-08
115200	3.933727e-08
118800	3.709856e-08
122400	3.573935e-08
126000	3.461999e-08
129600	3.398036e-08
133200	3.350064e-08
136800	3.350064e-08
140400	3.446009e-08
144000	3.637898e-08
147600	3.829787e-08
151200	3.989694e-08
154800	4.10163e-08
158400	4.061653e-08
162000	3.701861e-08
165600	3.158175e-08
169200	2.342646e-08
172800	2.117431e-08
176400	2.320852e-08
180000	2.182156e-08
183600	2.367084e-08
187200	3.199262e-08
190800	4.771154e-08
194400	4.854372e-08
198000	4.669444e-08
201600	4.54924e-08
205200	4.29034e-08
208800	4.133151e-08
212400	4.003701e-08
216000	3.92973e-08
219600	3.874251e-08
223200	3.874251e-08
226800	3.985208e-08
230400	4.207122e-08
234000	4.429037e-08
237600	4.613965e-08
241200	4.743415e-08
244800	4.697183e-08
248400	4.281094e-08
252000	3.652337e-08
255600	2.709202e-08
259200	2.272228e-08
262800	2.49052e-08
266400	2.341684e-08
270000	2.540132e-08
273600	3.433147e-08
277200	5.119954e-08
280800	5.209255e-08
284400	5.010808e-08
288000	4.881817e-08
291600	4.60399e-08
295200	4.435309e-08
298800	4.296395e-08
302400	4.217016e-08
306000	4.157482e-08
309600	4.157482e-08
313200	4.276551e-08
316800	4.514688e-08
320400	4.752825e-08
324000	4.951273e-08
327600	5.090187e-08
331200	5.040575e-08
334800	4.594067e-08
338400	3.919345e-08
342000	2.907261e-08
345600	2.304905e-08
349200	2.526337e-08
352800	2.375361e-08
356400	2.576663e-08
360000	3.482521e-08
363600	5.193586e-08
367200	5.284171e-08
370800	5.08287e-08
374400	4.952023e-08
378000	4.670201e-08
381600	4.499094e-08
385200	4.358183e-08
388800	4.277663e-08
392400	4.217272e-08
396000	4.217272e-08
399600	4.338053e-08
403200	4.579615e-08
406800	4.821177e-08
410400	5.022479e-08
414000	5.16339e-08
417600	5.113065e-08
421200	4.660136e-08
424800	3.97571e-08
428400	2.949071e-08
432000	2.616925e-08
435600	2.782553e-08
439200	2.815679e-08
442800	3.025474e-08
446400	3.76528e-08
450000	5.565106e-08
453600	5.509897e-08
457200	5.35531e-08
460800	5.333227e-08
464400	5.222808e-08
468000	5.079264e-08
471600	4.924677e-08
475200	4.88051e-08
478800	4.869468e-08
482400	4.902593e-08
486000	4.946761e-08
489600	5.156557e-08
493200	5.333227e-08
496800	5.443645e-08
500400	5.421562e-08
504000	5.300101e-08
507600	4.836342e-08
511200	4.217997e-08
514800	3.102767e-08
518400	2.42078e-08
522000	2.653344e-08
525600	2.494778e-08
529200	2.7062e-08
532800	3.657598e-08
536400	5.454684e-08
