#1
double	default(315,2) #Natural gas volume flow of the Ring supply line of Hamburg Reibrook in m3/s i.N.. Average from the years 2009 and 2011(converted from original m3/h i.N.) . Time in seconds, m3/s. Source: Brauer2013
23945.33	31.422380
143671.98	27.925532
239453.30	28.171789
478906.61	36.101261
814141.23	27.925532
909922.55	29.550827
981758.54	28.122537
1077539.86	31.767139
1173321.18	31.668637
1245157.18	33.244681
1340938.50	29.600079
1412774.49	28.812057
1676173.12	34.968479
1771954.44	34.081954
1843790.43	32.161151
2011407.74	35.559496
2107189.07	33.392435
2202970.39	36.840032
2274806.38	36.495272
2442423.69	32.653664
2538205.01	34.377463
2705822.32	30.782112
2801603.64	32.210402
2873439.64	30.141844
2969220.96	30.289598
3065002.28	25.462963
3136838.27	30.240347
3232619.59	29.797084
3304455.58	31.077620
3496018.22	39.450355
3567854.21	33.096927
3663635.54	33.392435
3759416.86	33.244681
3831252.85	30.486604
3927034.17	34.081954
3998870.16	31.323877
4094651.48	34.771474
4166487.47	31.323877
4262268.79	30.388101
4358050.11	31.964145
4429886.10	34.623719
4525667.43	32.899921
4597503.42	36.347518
4693284.74	36.495272
4765120.73	32.308905
4860902.05	31.077620
4956683.37	31.767139
5052464.69	28.171789
5124300.68	27.433018
5196136.67	28.812057
5315863.33	29.649330
5387699.32	32.013396
5483480.64	32.604413
5627152.62	31.225374
5722933.94	29.353822
5818715.26	29.944838
5914496.58	33.884949
5986332.57	35.411742
6082113.90	39.450355
6153949.89	34.574468
6249731.21	35.805753
6321567.20	31.570134
6417348.52	30.240347
6513129.84	33.490938
6584965.83	32.949173
6680747.15	26.497242
6776528.47	23.197400
6848364.46	24.330181
6944145.79	21.719858
7039927.11	26.201734
7111763.10	26.053980
7207544.42	31.176123
7279380.41	32.949173
7446997.72	31.668637
7542779.04	28.418046
7638560.36	27.925532
7710396.36	28.713554
7758287.02	23.492908
7830123.01	17.681245
7901959.00	14.085894
7973794.99	14.824665
8069576.31	13.445626
8141412.30	15.858944
8237193.62	15.858944
8309029.61	14.479905
8404810.93	16.548463
8500592.26	14.135146
8572428.25	14.332151
8668209.57	14.135146
8740045.56	16.499212
8835826.88	15.317179
8931608.20	16.449961
9003444.19	14.282900
9099225.51	16.597715
9266842.82	13.593381
9362624.15	14.282900
9410514.81	13.691883
9554186.79	13.150118
9793640.09	10.293538
9889421.41	8.175729
9961257.40	11.524823
10033093.39	11.574074
10128874.72	10.047281
10224656.04	11.721828
10296492.03	11.918834
10392273.35	9.899527
10488054.67	10.293538
10583835.99	14.824665
10679617.31	12.460599
10775398.63	12.214342
10823289.29	11.771080
10919070.62	11.524823
10990906.61	10.244287
11110633.26	11.130812
11182469.25	10.342790
11278250.57	11.524823
11421922.55	12.854610
11541649.20	13.002364
11613485.19	11.820331
11709266.51	13.100867
11805047.84	10.786052
11876883.83	12.706856
12044501.14	8.224980
12116337.13	8.717494
12212118.45	10.539795
12307899.77	8.569740
12379735.76	10.983058
12475517.08	11.081560
12571298.41	10.392041
12643134.40	11.229314
12738915.72	10.638298
12810751.71	6.698188
12906533.03	6.057920
12978369.02	8.569740
13074150.34	6.845942
13241767.65	9.357762
13337548.97	8.914500
13409384.97	9.111505
13505166.29	8.175729
13600947.61	9.062254
13672783.60	8.569740
13768564.92	8.914500
13840400.91	7.436958
13936182.23	7.929472
14008018.22	9.308511
14103799.54	9.210008
14199580.87	9.899527
14462979.50	7.929472
14558760.82	8.372734
14702432.80	7.978723
14798214.12	10.047281
14893995.44	10.293538
14989776.77	17.927502
15061612.76	14.529157
15157394.08	14.184397
15229230.07	11.426320
15325011.39	10.786052
15420792.71	10.933806
15492628.70	9.751773
15588410.02	13.297872
15660246.01	13.150118
15756027.33	13.494878
15827863.33	10.933806
15923644.65	10.736801
16019425.97	12.608353
16091261.96	10.293538
16187043.28	9.062254
16354660.59	10.589046
16522277.90	10.293538
16594113.90	9.801024
16689895.22	9.505516
16785676.54	10.195035
16881457.86	11.918834
16953293.85	8.077226
17049075.17	6.648936
17120911.16	7.584712
17216692.48	8.126478
17288528.47	9.013002
17384309.79	8.963751
17480091.12	10.490544
17551927.11	9.702522
17647708.43	9.899527
17815325.74	6.353428
17982943.05	8.766745
18078724.37	8.274232
18174505.69	8.569740
18246341.69	9.948779
18342123.01	7.092199
18413959.00	6.845942
18509740.32	7.141450
18581576.31	5.614657
18677357.63	6.648936
18773138.95	6.156422
18844974.94	4.432624
19012592.26	8.421986
19108373.58	9.604019
19204154.90	6.895193
19275990.89	6.057920
19371772.21	6.057920
19539389.52	6.451931
19635170.84	5.319149
19730952.16	5.614657
19802788.15	6.304177
19898569.48	4.777384
19970405.47	7.141450
20138022.78	5.171395
20233804.10	4.481875
20305640.09	5.516154
20401421.41	5.269898
20569038.72	7.289204
20664820.05	5.713160
20760601.37	6.648936
20856382.69	11.377069
20928218.68	12.017336
21095835.99	11.130812
21287398.63	7.880221
21359234.62	7.289204
21455015.95	7.436958
21526851.94	9.357762
21622633.26	9.801024
21694469.25	9.801024
21766305.24	9.013002
21862086.56	5.959417
21981813.21	5.860914
22125485.19	9.801024
22412829.16	11.475571
22652282.46	12.165091
22819899.77	11.672577
22915681.09	9.948779
23083298.41	9.160757
23322751.71	12.854610
23418533.03	12.854610
23514314.35	19.700552
23681931.66	13.888889
23777712.98	14.135146
23873494.31	10.244287
23945330.30	14.184397
24041111.62	12.706856
24136892.94	12.706856
24208728.93	15.070922
24304510.25	15.317179
24376346.24	16.400709
24472127.56	16.646966
24543963.55	18.617021
24639744.87	18.370764
24711580.87	19.552797
24807362.19	19.306541
24903143.51	21.178093
24974979.50	17.139480
25142596.81	20.784082
25238378.13	24.576438
25334159.45	24.280930
25405995.44	21.473601
25501776.77	21.916864
25597558.09	20.537825
25669394.08	18.666273
25765175.40	18.370764
25813066.06	16.942474
25932792.71	15.661939
26028574.03	17.878251
26076464.69	23.985422
26196191.34	26.250985
26268027.33	21.867612
26363808.66	23.049645
26459589.98	18.567770
26531425.97	19.109535
26627207.29	17.681245
26770879.27	21.375099
26890605.92	26.250985
26962441.91	23.000394
27058223.23	23.492908
27130059.23	26.743499
27225840.55	20.439322
27321621.87	20.291568
27393457.86	20.784082
27489239.18	23.985422
27585020.50	23.246651
27656856.49	24.871946
27728692.48	29.944838
27824473.80	24.822695
27920255.13	27.137510
27992091.12	28.024035
28087872.44	24.083924
28183653.76	25.955477
28255489.75	25.315209
28351271.07	28.270292
28423107.06	27.580772
28518888.38	27.482270
28590724.37	29.107565
28686505.69	30.141844
28782287.02	28.221040
28854123.01	28.024035
28949904.33	28.221040
29021740.32	27.876281
29093576.31	29.206068
29189357.63	29.698582
29285138.95	27.088258
29380920.27	27.580772
29452756.26	29.353822
29548537.59	26.940504
29644318.91	28.664303
29716154.90	27.088258
29811936.22	26.989756
30051389.52	31.570134
30171116.17	31.816391
30266897.49	31.767139
30506350.80	35.510244
30578186.79	34.377463
30626077.45	32.111899
30841585.42	26.497242
30913421.41	28.565800
31033148.06	28.171789
31176820.05	28.861308
31272601.37	30.880615
31440218.68	28.713554
