#1 
# created with random function and average 4,3
double	default(365, 2)
0	4.342667459
86400	5.227583314
172800	4.347381037
259200	4.957831621
345600	4.962271788
432000	4.416607842
518400	4.948069549
604800	5.225748602
691200	5.091749287
777600	5.267802408
864000	4.435520187
950400	4.311798327
1036800	5.135625692
1123200	5.038567216
1209600	5.126423927
1296000	4.745374992
1382400	4.426637138
1468800	5.092818703
1555200	4.622626456
1641600	4.966062778
1728000	4.757687729
1814400	4.32809661
1900800	4.357080514
1987200	4.996837896
2073600	5.261800003
2160000	5.291169671
2246400	5.19076057
2332800	5.295332516
2419200	4.749126625
2505600	5.1041765
2592000	4.34250484
2678400	4.976187175
2764800	4.394538016
2851200	4.810209413
2937600	5.058529197
3024000	4.327205229
3110400	4.376564098
3196800	5.171897041
3283200	4.637694957
3369600	4.630818785
3456000	4.992763633
3542400	4.398617554
3628800	5.269695129
3715200	4.994886113
3801600	4.344585277
3888000	5.012913662
3974400	5.2507588
4060800	4.765336004
4147200	4.940043487
4233600	4.560221621
4320000	4.713006209
4406400	4.64411315
4492800	4.486865863
4579200	4.578066381
4665600	4.436539656
4752000	4.831248963
4838400	5.171789072
4924800	4.599966233
5011200	4.478227262
5097600	5.108337245
5184000	4.718174283
5270400	4.421813075
5356800	4.760137132
5443200	4.781351214
5529600	5.228770785
5616000	4.464106941
5702400	4.339581386
5788800	4.378210903
5875200	4.524858091
5961600	4.904998543
6048000	4.810682993
6134400	5.194992779
6220800	4.765812486
6307200	4.778701526
6393600	4.339463995
6480000	5.073472549
6566400	4.801811883
6652800	5.171406978
6739200	4.523052715
6825600	4.899581143
6912000	4.391797109
6998400	4.386887383
7084800	5.00019153
7171200	4.954281806
7257600	4.38816067
7344000	4.385470543
7430400	4.792394639
7516800	5.020151871
7603200	4.370201495
7689600	5.08869917
7776000	4.923986385
7862400	4.927616625
7948800	5.013050669
8035200	4.847247988
8121600	5.209102679
8208000	5.251877312
8294400	4.436518779
8380800	4.610463336
8467200	5.078461176
8553600	4.918971553
8640000	5.146584036
8726400	4.755900292
8812800	4.562127332
8899200	4.511716988
8985600	5.07861572
9072000	4.484702235
9158400	4.537784381
9244800	4.5650747
9331200	4.654277224
9417600	4.816611178
9504000	5.06688211
9590400	5.079839183
9676800	5.058459137
9763200	5.000998058
9849600	5.020456077
9936000	5.108703403
10022400	4.919603478
10108800	4.434009116
10195200	4.941372991
