#1
# [1] H. Gadd and S. Werner, 'Heat load patterns in district heating substations,' Appl. Energy, vol. 108, pp. 176–183, 2013. Source: Gadd2013a
# See also: \\transientee-sources\matlab\pd\Grundlagen\Verbraucherdaten\Fernwärme\DecemberDailyPattern.m
double	default(672,2)
0	1.109087
900	1.095376
1800	1.081665
2700	1.067955
3600	1.054244
4500	1.049994
5400	1.053127
6300	1.069885
7200	1.086642
8100	1.1034
9000	1.123536
9900	1.151828
10800	1.18012
11700	1.198162
12600	1.204256
13500	1.21035
14400	1.216443
15300	1.215374
16200	1.204295
17100	1.193215
18000	1.182136
18900	1.171056
19800	1.13875
20700	1.105743
21600	1.084417
22500	1.072992
23400	1.093219
24300	1.11607
25200	1.138921
26100	1.161772
27000	1.181428
27900	1.158577
28800	1.135726
29700	1.121973
30600	1.113267
31500	1.104562
32400	1.035113
33300	1.023688
34200	1.018017
35100	1.021532
36000	1.025048
36900	1.028564
37800	1.032079
38700	1.032933
39600	1.015523
40500	0.9981124
41400	0.9816466
42300	0.9674281
43200	0.9532096
44100	0.9389912
45000	0.9247727
45900	0.9105542
46800	0.8965393
47700	0.8832094
48600	0.8698795
49500	0.8565497
50400	0.8529691
51300	0.8494535
52200	0.8459379
53100	0.8424224
54000	0.8389068
54900	0.8400134
55800	0.8427833
56700	0.8455531
57600	0.848323
58500	0.8559701
59400	0.8757744
60300	0.8955787
61200	0.915383
62100	0.9300656
63000	0.9286807
63900	0.9272958
64800	0.9259109
65700	0.924526
66600	0.932289
67500	0.9424451
68400	0.9526011
69300	0.9627572
70200	0.9729133
71100	0.9935609
72000	1.014889
72900	1.038777
73800	1.062898
74700	1.087018
75600	1.111139
76500	1.132243
77400	1.108699
78300	1.085156
79200	1.061612
80100	1.038068
81000	1.026312
81900	1.02196
82800	1.017607
83700	1.021881
84600	1.028546
85500	1.035211
86400	1.041876
87300	1.048541
88200	1.055206
89100	1.066915
90000	1.089766
90900	1.112617
91800	1.133555
92700	1.131211
93600	1.128868
94500	1.126524
95400	1.12418
96300	1.121836
97200	1.126861
98100	1.133526
99000	1.140191
99900	1.146856
100800	1.153521
101700	1.160186
102600	1.163032
103500	1.15868
104400	1.154327
105300	1.149975
106200	1.144186
107100	1.125436
108000	1.106686
108900	1.099154
109800	1.104232
110700	1.10931
111600	1.114388
112500	1.11651
113400	1.108385
114300	1.10026
115200	1.092135
116100	1.08401
117000	1.075885
117900	1.06776
118800	1.059636
119700	1.051511
120600	1.043386
121500	1.035261
122400	1.027136
123300	1.020705
124200	1.031368
125100	1.042032
126000	1.052696
126900	1.061488
127800	1.03102
128700	1.000552
129600	0.9700834
130500	0.9453158
131400	0.9429104
132300	0.940505
133200	0.9380997
134100	0.9426363
135000	0.959474
135900	0.9763118
136800	0.9931495
137700	0.9933615
138600	0.9781274
139500	0.9628933
140400	0.9476592
141300	0.9529835
142200	0.9611579
143100	0.9693323
144000	0.9775067
144900	0.9856811
145800	0.9938555
146700	1.00203
147600	1.010204
148500	1.009519
149400	1.002594
150300	0.9956694
151200	0.9887448
152100	0.985247
153000	1.003201
153900	1.021156
154800	1.03911
155700	1.057065
156600	1.075019
157500	1.085781
158400	1.088602
159300	1.091423
160200	1.094245
161100	1.097066
162000	1.099739
162900	1.092757
163800	1.085774
164700	1.078792
165600	1.07181
166500	1.06738
167400	1.0762
168300	1.08502
169200	1.093839
170100	1.09012
171000	1.059652
171900	1.029183
172800	0.9987151
173700	0.9789129
174600	0.9872916
175500	0.9956703
176400	1.004049
177300	1.01066
178200	1.011353
179100	1.012045
180000	1.012738
180900	1.01343
181800	1.027356
182700	1.044996
183600	1.062635
184500	1.080275
185400	1.081359
186300	1.081359
187200	1.081359
188100	1.081359
189000	1.081359
189900	1.085679
190800	1.092027
191700	1.092694
192600	1.076658
193500	1.060622
194400	1.044586
195300	1.037654
196200	1.043748
197100	1.049842
198000	1.055935
198900	1.058304
199800	1.054241
200700	1.050179
201600	1.046117
202500	1.042054
203400	1.037992
204300	1.033929
205200	1.029867
206100	1.025804
207000	1.022512
207900	1.02134
208800	1.020168
209700	1.02101
210600	1.022997
211500	1.024984
212400	1.026971
213300	1.028958
214200	0.9964363
215100	0.963429
216000	0.9304218
216900	0.9060796
217800	0.8981163
218700	0.890153
219600	0.8821897
220500	0.8742265
221400	0.8662632
222300	0.8582999
223200	0.8503366
224100	0.8423733
225000	0.8373369
225900	0.8359087
226800	0.8344805
227700	0.8330523
228600	0.8316241
229500	0.8301959
230400	0.8287677
231300	0.8324531
232200	0.8362617
233100	0.8400702
234000	0.8438788
234900	0.8475148
