#1
# [1] H. Gadd and S. Werner, 'Heat load patterns in district heating substations,' Appl. Energy, vol. 108, pp. 176–183, 2013. Source: Gadd2013a
# See also: \\transientee-sources\matlab\pd\Grundlagen\Verbraucherdaten\Fernwärme\DecemberDailyPattern.m
double	default(672,2)
0	0.9493819
900	0.9479282
1800	0.9464745
2700	0.9450208
3600	0.9435671
4500	0.9421134
5400	0.9406597
6300	0.939206
7200	0.9377523
8100	0.9362986
9000	0.9348449
9900	0.934942
10800	0.9357328
11700	0.9365236
12600	0.9373144
13500	0.9381052
14400	0.938896
15300	0.9396869
16200	0.9409677
17100	0.9461849
18000	0.951402
18900	0.9566192
19800	0.9618363
20700	0.9670535
21600	0.9788687
22500	0.9941907
23400	1.009513
24300	1.024835
25200	1.039379
26100	1.047287
27000	1.055196
27900	1.062942
28800	1.068626
29700	1.07431
30600	1.079743
31500	1.079248
32400	1.078754
33300	1.07826
34200	1.077765
35100	1.074828
36000	1.069375
36900	1.063921
37800	1.058467
38700	1.053013
39600	1.047559
40500	1.042105
41400	1.036651
42300	1.031197
43200	1.027398
44100	1.024309
45000	1.02122
45900	1.01813
46800	1.015041
47700	1.011952
48600	1.008863
49500	1.006225
50400	1.004203
51300	1.002181
52200	1.000853
53100	1.006784
54000	1.012715
54900	1.018646
55800	1.024577
56700	1.02851
57600	1.030734
58500	1.032958
59400	1.033303
60300	1.03182
61200	1.025644
62100	1.023585
63000	1.021526
63900	1.019466
64800	1.018866
65700	1.020102
66600	1.021337
67500	1.022573
68400	1.023809
69300	1.026262
70200	1.029557
71100	1.026242
72000	1.020977
72900	1.015712
73800	1.010447
74700	1.005182
75600	0.9999175
76500	0.9946526
77400	0.9923147
78300	0.9907156
79200	0.9891165
80100	0.9875174
81000	0.9859184
81900	0.9825642
82800	0.9782394
83700	0.973672
84600	0.9682351
85500	0.964723
86400	0.962027
87300	0.9593311
88200	0.9565161
89100	0.9534956
90000	0.9504751
90900	0.9425442
91800	0.9395787
92700	0.9385244
93600	0.9392658
94500	0.9400072
95400	0.9407485
96300	0.9414899
97200	0.9422313
98100	0.9429727
99000	0.9437141
99900	0.9444555
100800	0.9451969
101700	0.9459383
102600	0.9466797
103500	0.9484389
104400	0.9518089
105300	0.9551788
106200	0.9589974
107100	0.9710008
108000	0.9830042
108900	0.9979199
109800	1.013057
110700	1.024302
111600	1.031716
112500	1.03913
113400	1.046044
114300	1.052399
115200	1.057397
116100	1.059868
117000	1.06234
117900	1.064811
118800	1.067282
119700	1.069754
120600	1.068105
121500	1.063575
122400	1.059044
123300	1.054513
124200	1.049983
125100	1.045527
126000	1.041573
126900	1.037619
127800	1.03407
128700	1.034224
129600	1.034379
130500	1.034533
131400	1.034688
132300	1.033527
133200	1.028359
134100	1.023192
135000	1.018025
135900	1.012858
136800	1.00769
137700	1.002523
138600	1.002727
139500	1.006875
140400	1.011024
141300	1.015172
142200	1.01932
143100	1.023468
144000	1.027617
144900	1.031765
145800	1.0355
146700	1.034882
147600	1.034264
148500	1.033646
149400	1.033028
150300	1.032873
151200	1.034221
152100	1.035569
153000	1.036917
153900	1.035717
154800	1.034234
155700	1.032751
156600	1.031269
157500	1.027988
158400	1.021398
159300	1.014808
160200	1.008218
161100	1.001628
162000	0.9950375
162900	0.9884474
163800	0.9818066
164700	0.975165
165600	0.9685235
166500	0.9618819
167400	0.9563673
168300	0.9581796
169200	0.9599919
170100	0.9618041
171000	0.9636164
171900	0.9587282
172800	0.9490902
173700	0.9394522
174600	0.9347852
175500	0.9341349
176400	0.9334845
177300	0.9328342
178200	0.9321838
179100	0.9315335
180000	0.9313983
180900	0.9313983
181800	0.9313983
182700	0.9313983
183600	0.9317474
184500	0.9331782
185400	0.9346089
186300	0.9360397
187200	0.9374704
188100	0.9389011
189000	0.9415309
189900	0.9454437
190800	0.9493566
191700	0.9532695
192600	0.9671595
193500	0.9828859
194400	0.9986124
195300	1.009781
196200	1.016557
197100	1.023333
198000	1.030109
198900	1.036885
199800	1.043661
200700	1.050437
201600	1.057213
202500	1.06399
203400	1.070039
204300	1.070193
205200	1.070347
206100	1.070502
207000	1.070656
207900	1.069292
208800	1.063569
209700	1.057846
210600	1.052123
211500	1.0464
212400	1.040677
213300	1.036981
214200	1.035334
215100	1.033686
216000	1.032039
216900	1.030391
217800	1.028744
218700	1.026701
219600	1.022019
220500	1.017336
221400	1.012654
222300	1.007972
223200	1.003289
224100	1.003126
225000	1.010685
225900	1.018244
226800	1.025804
227700	1.033363
228600	1.040361
229500	1.045303
230400	1.050246
231300	1.052403
232200	1.053815
233100	1.055227
234000	1.056639
234900	1.057
235800	1.05648
236700	1.05596
237600	1.055439
238500	1.054919
239400	1.054399
240300	1.051823
241200	1.048678
242100	1.045532
243000	1.040878
243900	1.034363
244800	1.027848
245700	1.021388
246600	1.015371
247500	1.009354
248400	1.003337
249300	0.9973202
250200	0.9913032
251100	0.9852861
252000	0.9793724
252900	0.9741004
253800	0.9688283
254700	0.9635562
255600	0.9582841
256500	0.953012
257400	0.94774
258300	0.9424679
259200	0.9371958
260100	0.9320689
261000	0.9302155
261900	0.928362
262800	0.9265085
263700	0.9257532
264600	0.9266182
265500	0.9274831
266400	0.9283481
267300	0.929213
268200	0.930078
269100	0.9308466
270000	0.9314281
