#1	
double default(34,3) #Leistungskennfeld Teillast	
0	0.00001 0.00001
0.14609	0.990801802	1.09979
0.17246	0.99036036	1.0993
0.19883	0.989864865	1.09875
0.2252	0.989261261	1.09808
0.25157	0.988585586	1.09733
0.27794	0.987693694	1.09634
0.30432	0.986792793	1.09534
0.33069	0.985612613	1.09403
0.35706	0.984396396	1.09268
0.38343	0.983036036	1.09117
0.4098	0.981558559	1.08953
0.43617	0.979900901	1.08769
0.46254	0.978171171	1.08577
0.48891	0.97636036	1.08376
0.51528	0.974297297	1.08147
0.54165	0.972144144	1.07908
0.56802	0.969954955	1.07665
0.59439	0.967621622	1.07406
0.62076	0.965225225	1.0714
0.64713	0.962765766	1.06867
0.6735	0.960252252	1.06588
0.69987	0.957540541	1.06287
0.72625	0.954855856	1.05989
0.75262	0.952036036	1.05676
0.77899	0.949144144	1.05355
0.80536	0.946207207	1.05029
0.83173	0.943207207	1.04696
0.8581	0.940207207	1.04363
0.88447	0.937144144	1.04023
0.91084	0.934045045	1.03679
0.93721	0.930936937	1.03334
0.96358	0.927774775	1.02983
0.98755	0.925018018	1.02677
